# id;timestamp;commentText;codeText;commentWords;codeWords
NettyMessage -> NettyMessageEncoder -> static LengthFieldBasedFrameDecoder createFrameLengthDecoder();1412761231;Create the frame length decoder here as it depends on the encoder;static LengthFieldBasedFrameDecoder createFrameLengthDecoder() {_			return new LengthFieldBasedFrameDecoder(Integer.MAX_VALUE, 0, 4, -4, 4)__		};create,the,frame,length,decoder,here,as,it,depends,on,the,encoder;static,length,field,based,frame,decoder,create,frame,length,decoder,return,new,length,field,based,frame,decoder,integer,0,4,4,4
NettyMessage -> NettyMessageEncoder -> static LengthFieldBasedFrameDecoder createFrameLengthDecoder();1412761231;;static LengthFieldBasedFrameDecoder createFrameLengthDecoder() {_			return new LengthFieldBasedFrameDecoder(Integer.MAX_VALUE, 0, 4, -4, 4)__		};;static,length,field,based,frame,decoder,create,frame,length,decoder,return,new,length,field,based,frame,decoder,integer,0,4,4,4
NettyMessage -> NettyMessageEncoder -> static LengthFieldBasedFrameDecoder createFrameLengthDecoder();1412761231;+------------------+------------------+--------++----------------+;static LengthFieldBasedFrameDecoder createFrameLengthDecoder() {_			return new LengthFieldBasedFrameDecoder(Integer.MAX_VALUE, 0, 4, -4, 4)__		};;static,length,field,based,frame,decoder,create,frame,length,decoder,return,new,length,field,based,frame,decoder,integer,0,4,4,4
NettyMessage -> NettyMessageEncoder -> static LengthFieldBasedFrameDecoder createFrameLengthDecoder();1412761231;| FRAME LENGTH (4) | MAGIC NUMBER (4) | ID (1) || CUSTOM MESSAGE |;static LengthFieldBasedFrameDecoder createFrameLengthDecoder() {_			return new LengthFieldBasedFrameDecoder(Integer.MAX_VALUE, 0, 4, -4, 4)__		};frame,length,4,magic,number,4,id,1,custom,message;static,length,field,based,frame,decoder,create,frame,length,decoder,return,new,length,field,based,frame,decoder,integer,0,4,4,4
NettyMessage -> NettyMessageEncoder -> static LengthFieldBasedFrameDecoder createFrameLengthDecoder();1412761231;+------------------+------------------+--------++----------------+;static LengthFieldBasedFrameDecoder createFrameLengthDecoder() {_			return new LengthFieldBasedFrameDecoder(Integer.MAX_VALUE, 0, 4, -4, 4)__		};;static,length,field,based,frame,decoder,create,frame,length,decoder,return,new,length,field,based,frame,decoder,integer,0,4,4,4
NettyMessage -> NettyMessageEncoder -> static LengthFieldBasedFrameDecoder createFrameLengthDecoder();1420560668;Create the frame length decoder here as it depends on the encoder;static LengthFieldBasedFrameDecoder createFrameLengthDecoder() {_			return new LengthFieldBasedFrameDecoder(Integer.MAX_VALUE, 0, 4, -4, 4)__		};create,the,frame,length,decoder,here,as,it,depends,on,the,encoder;static,length,field,based,frame,decoder,create,frame,length,decoder,return,new,length,field,based,frame,decoder,integer,0,4,4,4
NettyMessage -> NettyMessageEncoder -> static LengthFieldBasedFrameDecoder createFrameLengthDecoder();1420560668;;static LengthFieldBasedFrameDecoder createFrameLengthDecoder() {_			return new LengthFieldBasedFrameDecoder(Integer.MAX_VALUE, 0, 4, -4, 4)__		};;static,length,field,based,frame,decoder,create,frame,length,decoder,return,new,length,field,based,frame,decoder,integer,0,4,4,4
NettyMessage -> NettyMessageEncoder -> static LengthFieldBasedFrameDecoder createFrameLengthDecoder();1420560668;+------------------+------------------+--------++----------------+;static LengthFieldBasedFrameDecoder createFrameLengthDecoder() {_			return new LengthFieldBasedFrameDecoder(Integer.MAX_VALUE, 0, 4, -4, 4)__		};;static,length,field,based,frame,decoder,create,frame,length,decoder,return,new,length,field,based,frame,decoder,integer,0,4,4,4
NettyMessage -> NettyMessageEncoder -> static LengthFieldBasedFrameDecoder createFrameLengthDecoder();1420560668;| FRAME LENGTH (4) | MAGIC NUMBER (4) | ID (1) || CUSTOM MESSAGE |;static LengthFieldBasedFrameDecoder createFrameLengthDecoder() {_			return new LengthFieldBasedFrameDecoder(Integer.MAX_VALUE, 0, 4, -4, 4)__		};frame,length,4,magic,number,4,id,1,custom,message;static,length,field,based,frame,decoder,create,frame,length,decoder,return,new,length,field,based,frame,decoder,integer,0,4,4,4
NettyMessage -> NettyMessageEncoder -> static LengthFieldBasedFrameDecoder createFrameLengthDecoder();1420560668;+------------------+------------------+--------++----------------+;static LengthFieldBasedFrameDecoder createFrameLengthDecoder() {_			return new LengthFieldBasedFrameDecoder(Integer.MAX_VALUE, 0, 4, -4, 4)__		};;static,length,field,based,frame,decoder,create,frame,length,decoder,return,new,length,field,based,frame,decoder,integer,0,4,4,4
