# id;timestamp;commentText;codeText;commentWords;codeWords
PartitionRequestQueue -> SequenceNumberingSubpartitionView -> @Override 		public void onNotification();1420560668;Enqueue this iterator again after a notification.;@Override_		public void onNotification() {_			numOutstandingSubscribeCalls.decrementAndGet()__			ctx.pipeline().fireUserEventTriggered(this)__		};enqueue,this,iterator,again,after,a,notification;override,public,void,on,notification,num,outstanding,subscribe,calls,decrement,and,get,ctx,pipeline,fire,user,event,triggered,this
PartitionRequestQueue -> SequenceNumberingSubpartitionView -> @Override 		public void onNotification();1432127765;Enqueue this iterator again after a notification.;@Override_		public void onNotification() {_			ctx.pipeline().fireUserEventTriggered(this)__		};enqueue,this,iterator,again,after,a,notification;override,public,void,on,notification,ctx,pipeline,fire,user,event,triggered,this
PartitionRequestQueue -> SequenceNumberingSubpartitionView -> @Override 		public void onNotification();1432806352;Enqueue this iterator again after a notification.;@Override_		public void onNotification() {_			ctx.pipeline().fireUserEventTriggered(this)__		};enqueue,this,iterator,again,after,a,notification;override,public,void,on,notification,ctx,pipeline,fire,user,event,triggered,this
PartitionRequestQueue -> SequenceNumberingSubpartitionView -> @Override 		public void onNotification();1432817911;Enqueue this iterator again after a notification.;@Override_		public void onNotification() {_			ctx.pipeline().fireUserEventTriggered(this)__		};enqueue,this,iterator,again,after,a,notification;override,public,void,on,notification,ctx,pipeline,fire,user,event,triggered,this
PartitionRequestQueue -> SequenceNumberingSubpartitionView -> @Override 		public void onNotification();1432821459;Enqueue this iterator again after a notification.;@Override_		public void onNotification() {_			ctx.pipeline().fireUserEventTriggered(this)__		};enqueue,this,iterator,again,after,a,notification;override,public,void,on,notification,ctx,pipeline,fire,user,event,triggered,this
PartitionRequestQueue -> SequenceNumberingSubpartitionView -> @Override 		public void onNotification();1433349700;Enqueue this iterator again after a notification.;@Override_		public void onNotification() {_			ctx.pipeline().fireUserEventTriggered(this)__		};enqueue,this,iterator,again,after,a,notification;override,public,void,on,notification,ctx,pipeline,fire,user,event,triggered,this
PartitionRequestQueue -> SequenceNumberingSubpartitionView -> @Override 		public void onNotification();1465394479;Enqueue this iterator again after a notification.;@Override_		public void onNotification() {_			ctx.pipeline().fireUserEventTriggered(this)__		};enqueue,this,iterator,again,after,a,notification;override,public,void,on,notification,ctx,pipeline,fire,user,event,triggered,this
PartitionRequestQueue -> private void enqueueAvailableReader(final NetworkSequenceViewReader reader) throws Exception;1516169704;Try to enqueue the reader once receiving credit notification from the consumer or receiving_non-empty reader notification from the producer.__<p>NOTE: Only one thread would trigger the actual enqueue after checking the reader's_availability, so there is no race condition here.;private void enqueueAvailableReader(final NetworkSequenceViewReader reader) throws Exception {_		if (!reader.isRegisteredAsAvailable() && reader.isAvailable()) {_			_			_			_			boolean triggerWrite = availableReaders.isEmpty()__			availableReaders.add(reader)___			reader.setRegisteredAsAvailable(true)___			if (triggerWrite) {_				writeAndFlushNextMessageIfPossible(ctx.channel())__			}_		}_	};try,to,enqueue,the,reader,once,receiving,credit,notification,from,the,consumer,or,receiving,non,empty,reader,notification,from,the,producer,p,note,only,one,thread,would,trigger,the,actual,enqueue,after,checking,the,reader,s,availability,so,there,is,no,race,condition,here;private,void,enqueue,available,reader,final,network,sequence,view,reader,reader,throws,exception,if,reader,is,registered,as,available,reader,is,available,boolean,trigger,write,available,readers,is,empty,available,readers,add,reader,reader,set,registered,as,available,true,if,trigger,write,write,and,flush,next,message,if,possible,ctx,channel
PartitionRequestQueue -> private void enqueueAvailableReader(final NetworkSequenceViewReader reader) throws Exception;1516801403;Try to enqueue the reader once receiving credit notification from the consumer or receiving_non-empty reader notification from the producer.__<p>NOTE: Only one thread would trigger the actual enqueue after checking the reader's_availability, so there is no race condition here.;private void enqueueAvailableReader(final NetworkSequenceViewReader reader) throws Exception {_		if (reader.isRegisteredAsAvailable() || !reader.isAvailable()) {_			return__		}_		_		_		_		boolean triggerWrite = availableReaders.isEmpty()__		registerAvailableReader(reader)___		if (triggerWrite) {_			writeAndFlushNextMessageIfPossible(ctx.channel())__		}_	};try,to,enqueue,the,reader,once,receiving,credit,notification,from,the,consumer,or,receiving,non,empty,reader,notification,from,the,producer,p,note,only,one,thread,would,trigger,the,actual,enqueue,after,checking,the,reader,s,availability,so,there,is,no,race,condition,here;private,void,enqueue,available,reader,final,network,sequence,view,reader,reader,throws,exception,if,reader,is,registered,as,available,reader,is,available,return,boolean,trigger,write,available,readers,is,empty,register,available,reader,reader,if,trigger,write,write,and,flush,next,message,if,possible,ctx,channel
PartitionRequestQueue -> private void enqueueAvailableReader(final NetworkSequenceViewReader reader) throws Exception;1519305426;Try to enqueue the reader once receiving credit notification from the consumer or receiving_non-empty reader notification from the producer.__<p>NOTE: Only one thread would trigger the actual enqueue after checking the reader's_availability, so there is no race condition here.;private void enqueueAvailableReader(final NetworkSequenceViewReader reader) throws Exception {_		if (reader.isRegisteredAsAvailable() || !reader.isAvailable()) {_			return__		}_		_		_		_		boolean triggerWrite = availableReaders.isEmpty()__		registerAvailableReader(reader)___		if (triggerWrite) {_			writeAndFlushNextMessageIfPossible(ctx.channel())__		}_	};try,to,enqueue,the,reader,once,receiving,credit,notification,from,the,consumer,or,receiving,non,empty,reader,notification,from,the,producer,p,note,only,one,thread,would,trigger,the,actual,enqueue,after,checking,the,reader,s,availability,so,there,is,no,race,condition,here;private,void,enqueue,available,reader,final,network,sequence,view,reader,reader,throws,exception,if,reader,is,registered,as,available,reader,is,available,return,boolean,trigger,write,available,readers,is,empty,register,available,reader,reader,if,trigger,write,write,and,flush,next,message,if,possible,ctx,channel
PartitionRequestQueue -> private void enqueueAvailableReader(final NetworkSequenceViewReader reader) throws Exception;1519657986;Try to enqueue the reader once receiving credit notification from the consumer or receiving_non-empty reader notification from the producer.__<p>NOTE: Only one thread would trigger the actual enqueue after checking the reader's_availability, so there is no race condition here.;private void enqueueAvailableReader(final NetworkSequenceViewReader reader) throws Exception {_		if (reader.isRegisteredAsAvailable() || !reader.isAvailable()) {_			return__		}_		_		_		_		boolean triggerWrite = availableReaders.isEmpty()__		registerAvailableReader(reader)___		if (triggerWrite) {_			writeAndFlushNextMessageIfPossible(ctx.channel())__		}_	};try,to,enqueue,the,reader,once,receiving,credit,notification,from,the,consumer,or,receiving,non,empty,reader,notification,from,the,producer,p,note,only,one,thread,would,trigger,the,actual,enqueue,after,checking,the,reader,s,availability,so,there,is,no,race,condition,here;private,void,enqueue,available,reader,final,network,sequence,view,reader,reader,throws,exception,if,reader,is,registered,as,available,reader,is,available,return,boolean,trigger,write,available,readers,is,empty,register,available,reader,reader,if,trigger,write,write,and,flush,next,message,if,possible,ctx,channel
PartitionRequestQueue -> private void enqueueAvailableReader(final NetworkSequenceViewReader reader) throws Exception;1533422462;Try to enqueue the reader once receiving credit notification from the consumer or receiving_non-empty reader notification from the producer.__<p>NOTE: Only one thread would trigger the actual enqueue after checking the reader's_availability, so there is no race condition here.;private void enqueueAvailableReader(final NetworkSequenceViewReader reader) throws Exception {_		if (reader.isRegisteredAsAvailable() || !reader.isAvailable()) {_			return__		}_		_		_		_		boolean triggerWrite = availableReaders.isEmpty()__		registerAvailableReader(reader)___		if (triggerWrite) {_			writeAndFlushNextMessageIfPossible(ctx.channel())__		}_	};try,to,enqueue,the,reader,once,receiving,credit,notification,from,the,consumer,or,receiving,non,empty,reader,notification,from,the,producer,p,note,only,one,thread,would,trigger,the,actual,enqueue,after,checking,the,reader,s,availability,so,there,is,no,race,condition,here;private,void,enqueue,available,reader,final,network,sequence,view,reader,reader,throws,exception,if,reader,is,registered,as,available,reader,is,available,return,boolean,trigger,write,available,readers,is,empty,register,available,reader,reader,if,trigger,write,write,and,flush,next,message,if,possible,ctx,channel
