# id;timestamp;commentText;codeText;commentWords;codeWords
MethodWriter -> public int writeNewStrings();1524684173;Starts a new string concat._@return the size of arguments pushed to stack (the object that does string concats, e.g. a StringBuilder);public int writeNewStrings() {_        if (INDY_STRING_CONCAT_BOOTSTRAP_HANDLE != null) {_            _            stringConcatArgs.push(new ArrayList<>())__            return 0_ _        } else {_            _            newInstance(STRINGBUILDER_TYPE)__            dup()__            invokeConstructor(STRINGBUILDER_TYPE, STRINGBUILDER_CONSTRUCTOR)__            return 1_ _        }_    };starts,a,new,string,concat,return,the,size,of,arguments,pushed,to,stack,the,object,that,does,string,concats,e,g,a,string,builder;public,int,write,new,strings,if,null,string,concat,args,push,new,array,list,return,0,else,new,instance,dup,invoke,constructor,return,1
MethodWriter -> public int writeNewStrings();1531179852;Starts a new string concat._@return the size of arguments pushed to stack (the object that does string concats, e.g. a StringBuilder);public int writeNewStrings() {_        if (INDY_STRING_CONCAT_BOOTSTRAP_HANDLE != null) {_            _            stringConcatArgs.push(new ArrayList<>())__            return 0_ _        } else {_            _            newInstance(STRINGBUILDER_TYPE)__            dup()__            invokeConstructor(STRINGBUILDER_TYPE, STRINGBUILDER_CONSTRUCTOR)__            return 1_ _        }_    };starts,a,new,string,concat,return,the,size,of,arguments,pushed,to,stack,the,object,that,does,string,concats,e,g,a,string,builder;public,int,write,new,strings,if,null,string,concat,args,push,new,array,list,return,0,else,new,instance,dup,invoke,constructor,return,1
MethodWriter -> public int writeNewStrings();1531910483;Starts a new string concat._@return the size of arguments pushed to stack (the object that does string concats, e.g. a StringBuilder);public int writeNewStrings() {_        if (INDY_STRING_CONCAT_BOOTSTRAP_HANDLE != null) {_            _            stringConcatArgs.push(new ArrayList<>())__            return 0_ _        } else {_            _            newInstance(STRINGBUILDER_TYPE)__            dup()__            invokeConstructor(STRINGBUILDER_TYPE, STRINGBUILDER_CONSTRUCTOR)__            return 1_ _        }_    };starts,a,new,string,concat,return,the,size,of,arguments,pushed,to,stack,the,object,that,does,string,concats,e,g,a,string,builder;public,int,write,new,strings,if,null,string,concat,args,push,new,array,list,return,0,else,new,instance,dup,invoke,constructor,return,1
MethodWriter -> public int writeNewStrings();1533143718;Starts a new string concat._@return the size of arguments pushed to stack (the object that does string concats, e.g. a StringBuilder);public int writeNewStrings() {_        if (INDY_STRING_CONCAT_BOOTSTRAP_HANDLE != null) {_            _            stringConcatArgs.push(new ArrayList<>())__            return 0_ _        } else {_            _            newInstance(STRINGBUILDER_TYPE)__            dup()__            invokeConstructor(STRINGBUILDER_TYPE, STRINGBUILDER_CONSTRUCTOR)__            return 1_ _        }_    };starts,a,new,string,concat,return,the,size,of,arguments,pushed,to,stack,the,object,that,does,string,concats,e,g,a,string,builder;public,int,write,new,strings,if,null,string,concat,args,push,new,array,list,return,0,else,new,instance,dup,invoke,constructor,return,1
MethodWriter -> public int writeNewStrings();1533738061;Starts a new string concat._@return the size of arguments pushed to stack (the object that does string concats, e.g. a StringBuilder);public int writeNewStrings() {_        if (INDY_STRING_CONCAT_BOOTSTRAP_HANDLE != null) {_            _            stringConcatArgs.push(new ArrayList<>())__            return 0_ _        } else {_            _            newInstance(STRINGBUILDER_TYPE)__            dup()__            invokeConstructor(STRINGBUILDER_TYPE, STRINGBUILDER_CONSTRUCTOR)__            return 1_ _        }_    };starts,a,new,string,concat,return,the,size,of,arguments,pushed,to,stack,the,object,that,does,string,concats,e,g,a,string,builder;public,int,write,new,strings,if,null,string,concat,args,push,new,array,list,return,0,else,new,instance,dup,invoke,constructor,return,1
MethodWriter -> public int writeNewStrings();1533921794;Starts a new string concat._@return the size of arguments pushed to stack (the object that does string concats, e.g. a StringBuilder);public int writeNewStrings() {_        if (INDY_STRING_CONCAT_BOOTSTRAP_HANDLE != null) {_            _            stringConcatArgs.push(new ArrayList<>())__            return 0_ _        } else {_            _            newInstance(STRINGBUILDER_TYPE)__            dup()__            invokeConstructor(STRINGBUILDER_TYPE, STRINGBUILDER_CONSTRUCTOR)__            return 1_ _        }_    };starts,a,new,string,concat,return,the,size,of,arguments,pushed,to,stack,the,object,that,does,string,concats,e,g,a,string,builder;public,int,write,new,strings,if,null,string,concat,args,push,new,array,list,return,0,else,new,instance,dup,invoke,constructor,return,1
MethodWriter -> public int writeNewStrings();1537806831;Starts a new string concat._@return the size of arguments pushed to stack (the object that does string concats, e.g. a StringBuilder);public int writeNewStrings() {_        if (INDY_STRING_CONCAT_BOOTSTRAP_HANDLE != null) {_            _            stringConcatArgs.push(new ArrayList<>())__            return 0_ _        } else {_            _            newInstance(STRINGBUILDER_TYPE)__            dup()__            invokeConstructor(STRINGBUILDER_TYPE, STRINGBUILDER_CONSTRUCTOR)__            return 1_ _        }_    };starts,a,new,string,concat,return,the,size,of,arguments,pushed,to,stack,the,object,that,does,string,concats,e,g,a,string,builder;public,int,write,new,strings,if,null,string,concat,args,push,new,array,list,return,0,else,new,instance,dup,invoke,constructor,return,1
MethodWriter -> public int writeNewStrings();1544203947;Starts a new string concat._@return the size of arguments pushed to stack (the object that does string concats, e.g. a StringBuilder);public int writeNewStrings() {_        if (INDY_STRING_CONCAT_BOOTSTRAP_HANDLE != null) {_            _            stringConcatArgs.push(new ArrayList<>())__            return 0_ _        } else {_            _            newInstance(STRINGBUILDER_TYPE)__            dup()__            invokeConstructor(STRINGBUILDER_TYPE, STRINGBUILDER_CONSTRUCTOR)__            return 1_ _        }_    };starts,a,new,string,concat,return,the,size,of,arguments,pushed,to,stack,the,object,that,does,string,concats,e,g,a,string,builder;public,int,write,new,strings,if,null,string,concat,args,push,new,array,list,return,0,else,new,instance,dup,invoke,constructor,return,1
MethodWriter -> public int writeNewStrings();1544565998;Starts a new string concat._@return the size of arguments pushed to stack (the object that does string concats, e.g. a StringBuilder);public int writeNewStrings() {_        if (INDY_STRING_CONCAT_BOOTSTRAP_HANDLE != null) {_            _            stringConcatArgs.push(new ArrayList<>())__            return 0_ _        } else {_            _            newInstance(STRINGBUILDER_TYPE)__            dup()__            invokeConstructor(STRINGBUILDER_TYPE, STRINGBUILDER_CONSTRUCTOR)__            return 1_ _        }_    };starts,a,new,string,concat,return,the,size,of,arguments,pushed,to,stack,the,object,that,does,string,concats,e,g,a,string,builder;public,int,write,new,strings,if,null,string,concat,args,push,new,array,list,return,0,else,new,instance,dup,invoke,constructor,return,1
MethodWriter -> public int writeNewStrings();1545072619;Starts a new string concat._@return the size of arguments pushed to stack (the object that does string concats, e.g. a StringBuilder);public int writeNewStrings() {_        if (INDY_STRING_CONCAT_BOOTSTRAP_HANDLE != null) {_            _            stringConcatArgs.push(new ArrayList<>())__            return 0_ _        } else {_            _            newInstance(STRINGBUILDER_TYPE)__            dup()__            invokeConstructor(STRINGBUILDER_TYPE, STRINGBUILDER_CONSTRUCTOR)__            return 1_ _        }_    };starts,a,new,string,concat,return,the,size,of,arguments,pushed,to,stack,the,object,that,does,string,concats,e,g,a,string,builder;public,int,write,new,strings,if,null,string,concat,args,push,new,array,list,return,0,else,new,instance,dup,invoke,constructor,return,1
MethodWriter -> public void writeDebugInfo(Location location);1524684173;Encodes the offset into the line number table as {@code offset + 1}._<p>_This is invoked before instructions that can hit exceptions.;public void writeDebugInfo(Location location) {_        _        Label label = new Label()__        visitLabel(label)__        visitLineNumber(location.getOffset() + 1, label)__    };encodes,the,offset,into,the,line,number,table,as,code,offset,1,p,this,is,invoked,before,instructions,that,can,hit,exceptions;public,void,write,debug,info,location,location,label,label,new,label,visit,label,label,visit,line,number,location,get,offset,1,label
