# id;timestamp;commentText;codeText;commentWords;codeWords
InitBinderDataBinderFactory -> public InitBinderDataBinderFactory(List<InvocableHandlerMethod> binderMethods, WebBindingInitializer initializer);1328020251;Create a new instance._@param binderMethods {@code @InitBinder} methods, or {@code null}_@param initializer for global data binder intialization;public InitBinderDataBinderFactory(List<InvocableHandlerMethod> binderMethods, WebBindingInitializer initializer) {_		super(initializer)__		this.binderMethods = (binderMethods != null) ? binderMethods : new ArrayList<InvocableHandlerMethod>()__	};create,a,new,instance,param,binder,methods,code,init,binder,methods,or,code,null,param,initializer,for,global,data,binder,intialization;public,init,binder,data,binder,factory,list,invocable,handler,method,binder,methods,web,binding,initializer,initializer,super,initializer,this,binder,methods,binder,methods,null,binder,methods,new,array,list,invocable,handler,method
InitBinderDataBinderFactory -> public InitBinderDataBinderFactory(List<InvocableHandlerMethod> binderMethods, WebBindingInitializer initializer);1356735495;Create a new instance._@param binderMethods {@code @InitBinder} methods, or {@code null}_@param initializer for global data binder intialization;public InitBinderDataBinderFactory(List<InvocableHandlerMethod> binderMethods, WebBindingInitializer initializer) {_		super(initializer)__		this.binderMethods = (binderMethods != null) ? binderMethods : new ArrayList<InvocableHandlerMethod>()__	};create,a,new,instance,param,binder,methods,code,init,binder,methods,or,code,null,param,initializer,for,global,data,binder,intialization;public,init,binder,data,binder,factory,list,invocable,handler,method,binder,methods,web,binding,initializer,initializer,super,initializer,this,binder,methods,binder,methods,null,binder,methods,new,array,list,invocable,handler,method
InitBinderDataBinderFactory -> public InitBinderDataBinderFactory(List<InvocableHandlerMethod> binderMethods, WebBindingInitializer initializer);1467730834;Create a new instance._@param binderMethods {@code @InitBinder} methods, or {@code null}_@param initializer for global data binder intialization;public InitBinderDataBinderFactory(List<InvocableHandlerMethod> binderMethods, WebBindingInitializer initializer) {_		super(initializer)__		this.binderMethods = (binderMethods != null) ? binderMethods : new ArrayList<>()__	};create,a,new,instance,param,binder,methods,code,init,binder,methods,or,code,null,param,initializer,for,global,data,binder,intialization;public,init,binder,data,binder,factory,list,invocable,handler,method,binder,methods,web,binding,initializer,initializer,super,initializer,this,binder,methods,binder,methods,null,binder,methods,new,array,list
InitBinderDataBinderFactory -> protected boolean isBinderMethodApplicable(HandlerMethod initBinderMethod, WebDataBinder binder);1328020251;Return {@code true} if the given {@code @InitBinder} method should be_invoked to initialize the given WebDataBinder._<p>The default implementation checks if target object name is included_in the attribute names specified in the {@code @InitBinder} annotation.;protected boolean isBinderMethodApplicable(HandlerMethod initBinderMethod, WebDataBinder binder) {_		InitBinder annot = initBinderMethod.getMethodAnnotation(InitBinder.class)__		Collection<String> names = Arrays.asList(annot.value())__		return (names.size() == 0 || names.contains(binder.getObjectName()))__	};return,code,true,if,the,given,code,init,binder,method,should,be,invoked,to,initialize,the,given,web,data,binder,p,the,default,implementation,checks,if,target,object,name,is,included,in,the,attribute,names,specified,in,the,code,init,binder,annotation;protected,boolean,is,binder,method,applicable,handler,method,init,binder,method,web,data,binder,binder,init,binder,annot,init,binder,method,get,method,annotation,init,binder,class,collection,string,names,arrays,as,list,annot,value,return,names,size,0,names,contains,binder,get,object,name
InitBinderDataBinderFactory -> protected boolean isBinderMethodApplicable(HandlerMethod initBinderMethod, WebDataBinder binder);1356735495;Return {@code true} if the given {@code @InitBinder} method should be_invoked to initialize the given WebDataBinder._<p>The default implementation checks if target object name is included_in the attribute names specified in the {@code @InitBinder} annotation.;protected boolean isBinderMethodApplicable(HandlerMethod initBinderMethod, WebDataBinder binder) {_		InitBinder annot = initBinderMethod.getMethodAnnotation(InitBinder.class)__		Collection<String> names = Arrays.asList(annot.value())__		return (names.size() == 0 || names.contains(binder.getObjectName()))__	};return,code,true,if,the,given,code,init,binder,method,should,be,invoked,to,initialize,the,given,web,data,binder,p,the,default,implementation,checks,if,target,object,name,is,included,in,the,attribute,names,specified,in,the,code,init,binder,annotation;protected,boolean,is,binder,method,applicable,handler,method,init,binder,method,web,data,binder,binder,init,binder,annot,init,binder,method,get,method,annotation,init,binder,class,collection,string,names,arrays,as,list,annot,value,return,names,size,0,names,contains,binder,get,object,name
InitBinderDataBinderFactory -> protected boolean isBinderMethodApplicable(HandlerMethod initBinderMethod, WebDataBinder binder);1467730834;Return {@code true} if the given {@code @InitBinder} method should be_invoked to initialize the given WebDataBinder._<p>The default implementation checks if target object name is included_in the attribute names specified in the {@code @InitBinder} annotation.;protected boolean isBinderMethodApplicable(HandlerMethod initBinderMethod, WebDataBinder binder) {_		InitBinder annot = initBinderMethod.getMethodAnnotation(InitBinder.class)__		Collection<String> names = Arrays.asList(annot.value())__		return (names.size() == 0 || names.contains(binder.getObjectName()))__	};return,code,true,if,the,given,code,init,binder,method,should,be,invoked,to,initialize,the,given,web,data,binder,p,the,default,implementation,checks,if,target,object,name,is,included,in,the,attribute,names,specified,in,the,code,init,binder,annotation;protected,boolean,is,binder,method,applicable,handler,method,init,binder,method,web,data,binder,binder,init,binder,annot,init,binder,method,get,method,annotation,init,binder,class,collection,string,names,arrays,as,list,annot,value,return,names,size,0,names,contains,binder,get,object,name
InitBinderDataBinderFactory -> @Override 	public void initBinder(WebDataBinder dataBinder, NativeWebRequest request) throws Exception;1533221753;Initialize a WebDataBinder with {@code @InitBinder} methods._<p>If the {@code @InitBinder} annotation specifies attributes names,_it is invoked only if the names include the target object name._@throws Exception if one of the invoked @{@link InitBinder} methods fail.;@Override_	public void initBinder(WebDataBinder dataBinder, NativeWebRequest request) throws Exception {_		for (InvocableHandlerMethod binderMethod : this.binderMethods) {_			if (isBinderMethodApplicable(binderMethod, dataBinder)) {_				Object returnValue = binderMethod.invokeForRequest(request, null, dataBinder)__				if (returnValue != null) {_					throw new IllegalStateException(_							"@InitBinder methods should return void: " + binderMethod)__				}_			}_		}_	};initialize,a,web,data,binder,with,code,init,binder,methods,p,if,the,code,init,binder,annotation,specifies,attributes,names,it,is,invoked,only,if,the,names,include,the,target,object,name,throws,exception,if,one,of,the,invoked,link,init,binder,methods,fail;override,public,void,init,binder,web,data,binder,data,binder,native,web,request,request,throws,exception,for,invocable,handler,method,binder,method,this,binder,methods,if,is,binder,method,applicable,binder,method,data,binder,object,return,value,binder,method,invoke,for,request,request,null,data,binder,if,return,value,null,throw,new,illegal,state,exception,init,binder,methods,should,return,void,binder,method
InitBinderDataBinderFactory -> @Override 	public void initBinder(WebDataBinder dataBinder, NativeWebRequest request) throws Exception;1533225642;Initialize a WebDataBinder with {@code @InitBinder} methods._<p>If the {@code @InitBinder} annotation specifies attributes names,_it is invoked only if the names include the target object name._@throws Exception if one of the invoked @{@link InitBinder} methods fails_@see #isBinderMethodApplicable;@Override_	public void initBinder(WebDataBinder dataBinder, NativeWebRequest request) throws Exception {_		for (InvocableHandlerMethod binderMethod : this.binderMethods) {_			if (isBinderMethodApplicable(binderMethod, dataBinder)) {_				Object returnValue = binderMethod.invokeForRequest(request, null, dataBinder)__				if (returnValue != null) {_					throw new IllegalStateException(_							"@InitBinder methods must not return a value (should be void): " + binderMethod)__				}_			}_		}_	};initialize,a,web,data,binder,with,code,init,binder,methods,p,if,the,code,init,binder,annotation,specifies,attributes,names,it,is,invoked,only,if,the,names,include,the,target,object,name,throws,exception,if,one,of,the,invoked,link,init,binder,methods,fails,see,is,binder,method,applicable;override,public,void,init,binder,web,data,binder,data,binder,native,web,request,request,throws,exception,for,invocable,handler,method,binder,method,this,binder,methods,if,is,binder,method,applicable,binder,method,data,binder,object,return,value,binder,method,invoke,for,request,request,null,data,binder,if,return,value,null,throw,new,illegal,state,exception,init,binder,methods,must,not,return,a,value,should,be,void,binder,method
InitBinderDataBinderFactory -> protected boolean isBinderMethodApplicable(HandlerMethod binderMethod, WebDataBinder binder);1477923104;Whether the given {@code @InitBinder} method should be used to initialize_the given WebDataBinder instance. By default we check the attributes_names of the annotation, if present.;protected boolean isBinderMethodApplicable(HandlerMethod binderMethod, WebDataBinder binder) {_		InitBinder annot = binderMethod.getMethodAnnotation(InitBinder.class)__		Collection<String> names = Arrays.asList(annot.value())__		return (names.size() == 0 || names.contains(binder.getObjectName()))__	};whether,the,given,code,init,binder,method,should,be,used,to,initialize,the,given,web,data,binder,instance,by,default,we,check,the,attributes,names,of,the,annotation,if,present;protected,boolean,is,binder,method,applicable,handler,method,binder,method,web,data,binder,binder,init,binder,annot,binder,method,get,method,annotation,init,binder,class,collection,string,names,arrays,as,list,annot,value,return,names,size,0,names,contains,binder,get,object,name
InitBinderDataBinderFactory -> protected boolean isBinderMethodApplicable(HandlerMethod binderMethod, WebDataBinder binder);1495868221;Whether the given {@code @InitBinder} method should be used to initialize_the given WebDataBinder instance. By default we check the attributes_names of the annotation, if present.;protected boolean isBinderMethodApplicable(HandlerMethod binderMethod, WebDataBinder binder) {_		InitBinder annot = binderMethod.getMethodAnnotation(InitBinder.class)__		Collection<String> names = Arrays.asList(annot.value())__		return (names.size() == 0 || names.contains(binder.getObjectName()))__	};whether,the,given,code,init,binder,method,should,be,used,to,initialize,the,given,web,data,binder,instance,by,default,we,check,the,attributes,names,of,the,annotation,if,present;protected,boolean,is,binder,method,applicable,handler,method,binder,method,web,data,binder,binder,init,binder,annot,binder,method,get,method,annotation,init,binder,class,collection,string,names,arrays,as,list,annot,value,return,names,size,0,names,contains,binder,get,object,name
InitBinderDataBinderFactory -> protected boolean isBinderMethodApplicable(HandlerMethod binderMethod, WebDataBinder binder);1496837955;Whether the given {@code @InitBinder} method should be used to initialize_the given WebDataBinder instance. By default we check the attributes_names of the annotation, if present.;protected boolean isBinderMethodApplicable(HandlerMethod binderMethod, WebDataBinder binder) {_		InitBinder ann = binderMethod.getMethodAnnotation(InitBinder.class)__		Assert.state(ann != null, "No InitBinder annotation")__		Collection<String> names = Arrays.asList(ann.value())__		return (names.isEmpty() || names.contains(binder.getObjectName()))__	};whether,the,given,code,init,binder,method,should,be,used,to,initialize,the,given,web,data,binder,instance,by,default,we,check,the,attributes,names,of,the,annotation,if,present;protected,boolean,is,binder,method,applicable,handler,method,binder,method,web,data,binder,binder,init,binder,ann,binder,method,get,method,annotation,init,binder,class,assert,state,ann,null,no,init,binder,annotation,collection,string,names,arrays,as,list,ann,value,return,names,is,empty,names,contains,binder,get,object,name
