# id;timestamp;commentText;codeText;commentWords;codeWords
AopContext -> static Object setCurrentProxy(Object proxy);1328020251;Make the given proxy available via the <code>currentProxy()</code> method._<p>Note that the caller should be careful to keep the old value as appropriate._@param proxy the proxy to expose (or <code>null</code> to reset it)_@return the old proxy, which may be <code>null</code> if none was bound_@see #currentProxy();static Object setCurrentProxy(Object proxy) {_		Object old = currentProxy.get()__		if (proxy != null) {_			currentProxy.set(proxy)__		}_		else {_			currentProxy.remove()__		}_		return old__	};make,the,given,proxy,available,via,the,code,current,proxy,code,method,p,note,that,the,caller,should,be,careful,to,keep,the,old,value,as,appropriate,param,proxy,the,proxy,to,expose,or,code,null,code,to,reset,it,return,the,old,proxy,which,may,be,code,null,code,if,none,was,bound,see,current,proxy;static,object,set,current,proxy,object,proxy,object,old,current,proxy,get,if,proxy,null,current,proxy,set,proxy,else,current,proxy,remove,return,old
AopContext -> static Object setCurrentProxy(Object proxy);1356735495;Make the given proxy available via the {@code currentProxy()} method._<p>Note that the caller should be careful to keep the old value as appropriate._@param proxy the proxy to expose (or {@code null} to reset it)_@return the old proxy, which may be {@code null} if none was bound_@see #currentProxy();static Object setCurrentProxy(Object proxy) {_		Object old = currentProxy.get()__		if (proxy != null) {_			currentProxy.set(proxy)__		}_		else {_			currentProxy.remove()__		}_		return old__	};make,the,given,proxy,available,via,the,code,current,proxy,method,p,note,that,the,caller,should,be,careful,to,keep,the,old,value,as,appropriate,param,proxy,the,proxy,to,expose,or,code,null,to,reset,it,return,the,old,proxy,which,may,be,code,null,if,none,was,bound,see,current,proxy;static,object,set,current,proxy,object,proxy,object,old,current,proxy,get,if,proxy,null,current,proxy,set,proxy,else,current,proxy,remove,return,old
AopContext -> static Object setCurrentProxy(Object proxy);1467730834;Make the given proxy available via the {@code currentProxy()} method._<p>Note that the caller should be careful to keep the old value as appropriate._@param proxy the proxy to expose (or {@code null} to reset it)_@return the old proxy, which may be {@code null} if none was bound_@see #currentProxy();static Object setCurrentProxy(Object proxy) {_		Object old = currentProxy.get()__		if (proxy != null) {_			currentProxy.set(proxy)__		}_		else {_			currentProxy.remove()__		}_		return old__	};make,the,given,proxy,available,via,the,code,current,proxy,method,p,note,that,the,caller,should,be,careful,to,keep,the,old,value,as,appropriate,param,proxy,the,proxy,to,expose,or,code,null,to,reset,it,return,the,old,proxy,which,may,be,code,null,if,none,was,bound,see,current,proxy;static,object,set,current,proxy,object,proxy,object,old,current,proxy,get,if,proxy,null,current,proxy,set,proxy,else,current,proxy,remove,return,old
AopContext -> @Nullable 	static Object setCurrentProxy(@Nullable Object proxy);1495868221;Make the given proxy available via the {@code currentProxy()} method._<p>Note that the caller should be careful to keep the old value as appropriate._@param proxy the proxy to expose (or {@code null} to reset it)_@return the old proxy, which may be {@code null} if none was bound_@see #currentProxy();@Nullable_	static Object setCurrentProxy(@Nullable Object proxy) {_		Object old = currentProxy.get()__		if (proxy != null) {_			currentProxy.set(proxy)__		}_		else {_			currentProxy.remove()__		}_		return old__	};make,the,given,proxy,available,via,the,code,current,proxy,method,p,note,that,the,caller,should,be,careful,to,keep,the,old,value,as,appropriate,param,proxy,the,proxy,to,expose,or,code,null,to,reset,it,return,the,old,proxy,which,may,be,code,null,if,none,was,bound,see,current,proxy;nullable,static,object,set,current,proxy,nullable,object,proxy,object,old,current,proxy,get,if,proxy,null,current,proxy,set,proxy,else,current,proxy,remove,return,old
AopContext -> @Nullable 	static Object setCurrentProxy(@Nullable Object proxy);1530174524;Make the given proxy available via the {@code currentProxy()} method._<p>Note that the caller should be careful to keep the old value as appropriate._@param proxy the proxy to expose (or {@code null} to reset it)_@return the old proxy, which may be {@code null} if none was bound_@see #currentProxy();@Nullable_	static Object setCurrentProxy(@Nullable Object proxy) {_		Object old = currentProxy.get()__		if (proxy != null) {_			currentProxy.set(proxy)__		}_		else {_			currentProxy.remove()__		}_		return old__	};make,the,given,proxy,available,via,the,code,current,proxy,method,p,note,that,the,caller,should,be,careful,to,keep,the,old,value,as,appropriate,param,proxy,the,proxy,to,expose,or,code,null,to,reset,it,return,the,old,proxy,which,may,be,code,null,if,none,was,bound,see,current,proxy;nullable,static,object,set,current,proxy,nullable,object,proxy,object,old,current,proxy,get,if,proxy,null,current,proxy,set,proxy,else,current,proxy,remove,return,old
AopContext -> @Nullable 	static Object setCurrentProxy(@Nullable Object proxy);1530532518;Make the given proxy available via the {@code currentProxy()} method._<p>Note that the caller should be careful to keep the old value as appropriate._@param proxy the proxy to expose (or {@code null} to reset it)_@return the old proxy, which may be {@code null} if none was bound_@see #currentProxy();@Nullable_	static Object setCurrentProxy(@Nullable Object proxy) {_		Object old = currentProxy.get()__		if (proxy != null) {_			currentProxy.set(proxy)__		}_		else {_			currentProxy.remove()__		}_		return old__	};make,the,given,proxy,available,via,the,code,current,proxy,method,p,note,that,the,caller,should,be,careful,to,keep,the,old,value,as,appropriate,param,proxy,the,proxy,to,expose,or,code,null,to,reset,it,return,the,old,proxy,which,may,be,code,null,if,none,was,bound,see,current,proxy;nullable,static,object,set,current,proxy,nullable,object,proxy,object,old,current,proxy,get,if,proxy,null,current,proxy,set,proxy,else,current,proxy,remove,return,old
AopContext -> public static Object currentProxy() throws IllegalStateException;1328020251;Try to return the current AOP proxy. This method is usable only if the_calling method has been invoked via AOP, and the AOP framework has been set_to expose proxies. Otherwise, this method will throw an IllegalStateException._@return Object the current AOP proxy (never returns <code>null</code>)_@throws IllegalStateException if the proxy cannot be found, because the_method was invoked outside an AOP invocation context, or because the_AOP framework has not been configured to expose the proxy;public static Object currentProxy() throws IllegalStateException {_		Object proxy = currentProxy.get()__		if (proxy == null) {_			throw new IllegalStateException(_					"Cannot find current proxy: Set 'exposeProxy' property on Advised to 'true' to make it available.")__		}_		return proxy__	};try,to,return,the,current,aop,proxy,this,method,is,usable,only,if,the,calling,method,has,been,invoked,via,aop,and,the,aop,framework,has,been,set,to,expose,proxies,otherwise,this,method,will,throw,an,illegal,state,exception,return,object,the,current,aop,proxy,never,returns,code,null,code,throws,illegal,state,exception,if,the,proxy,cannot,be,found,because,the,method,was,invoked,outside,an,aop,invocation,context,or,because,the,aop,framework,has,not,been,configured,to,expose,the,proxy;public,static,object,current,proxy,throws,illegal,state,exception,object,proxy,current,proxy,get,if,proxy,null,throw,new,illegal,state,exception,cannot,find,current,proxy,set,expose,proxy,property,on,advised,to,true,to,make,it,available,return,proxy
AopContext -> public static Object currentProxy() throws IllegalStateException;1356735495;Try to return the current AOP proxy. This method is usable only if the_calling method has been invoked via AOP, and the AOP framework has been set_to expose proxies. Otherwise, this method will throw an IllegalStateException._@return Object the current AOP proxy (never returns {@code null})_@throws IllegalStateException if the proxy cannot be found, because the_method was invoked outside an AOP invocation context, or because the_AOP framework has not been configured to expose the proxy;public static Object currentProxy() throws IllegalStateException {_		Object proxy = currentProxy.get()__		if (proxy == null) {_			throw new IllegalStateException(_					"Cannot find current proxy: Set 'exposeProxy' property on Advised to 'true' to make it available.")__		}_		return proxy__	};try,to,return,the,current,aop,proxy,this,method,is,usable,only,if,the,calling,method,has,been,invoked,via,aop,and,the,aop,framework,has,been,set,to,expose,proxies,otherwise,this,method,will,throw,an,illegal,state,exception,return,object,the,current,aop,proxy,never,returns,code,null,throws,illegal,state,exception,if,the,proxy,cannot,be,found,because,the,method,was,invoked,outside,an,aop,invocation,context,or,because,the,aop,framework,has,not,been,configured,to,expose,the,proxy;public,static,object,current,proxy,throws,illegal,state,exception,object,proxy,current,proxy,get,if,proxy,null,throw,new,illegal,state,exception,cannot,find,current,proxy,set,expose,proxy,property,on,advised,to,true,to,make,it,available,return,proxy
AopContext -> public static Object currentProxy() throws IllegalStateException;1467730834;Try to return the current AOP proxy. This method is usable only if the_calling method has been invoked via AOP, and the AOP framework has been set_to expose proxies. Otherwise, this method will throw an IllegalStateException._@return Object the current AOP proxy (never returns {@code null})_@throws IllegalStateException if the proxy cannot be found, because the_method was invoked outside an AOP invocation context, or because the_AOP framework has not been configured to expose the proxy;public static Object currentProxy() throws IllegalStateException {_		Object proxy = currentProxy.get()__		if (proxy == null) {_			throw new IllegalStateException(_					"Cannot find current proxy: Set 'exposeProxy' property on Advised to 'true' to make it available.")__		}_		return proxy__	};try,to,return,the,current,aop,proxy,this,method,is,usable,only,if,the,calling,method,has,been,invoked,via,aop,and,the,aop,framework,has,been,set,to,expose,proxies,otherwise,this,method,will,throw,an,illegal,state,exception,return,object,the,current,aop,proxy,never,returns,code,null,throws,illegal,state,exception,if,the,proxy,cannot,be,found,because,the,method,was,invoked,outside,an,aop,invocation,context,or,because,the,aop,framework,has,not,been,configured,to,expose,the,proxy;public,static,object,current,proxy,throws,illegal,state,exception,object,proxy,current,proxy,get,if,proxy,null,throw,new,illegal,state,exception,cannot,find,current,proxy,set,expose,proxy,property,on,advised,to,true,to,make,it,available,return,proxy
AopContext -> public static Object currentProxy() throws IllegalStateException;1495868221;Try to return the current AOP proxy. This method is usable only if the_calling method has been invoked via AOP, and the AOP framework has been set_to expose proxies. Otherwise, this method will throw an IllegalStateException._@return Object the current AOP proxy (never returns {@code null})_@throws IllegalStateException if the proxy cannot be found, because the_method was invoked outside an AOP invocation context, or because the_AOP framework has not been configured to expose the proxy;public static Object currentProxy() throws IllegalStateException {_		Object proxy = currentProxy.get()__		if (proxy == null) {_			throw new IllegalStateException(_					"Cannot find current proxy: Set 'exposeProxy' property on Advised to 'true' to make it available.")__		}_		return proxy__	};try,to,return,the,current,aop,proxy,this,method,is,usable,only,if,the,calling,method,has,been,invoked,via,aop,and,the,aop,framework,has,been,set,to,expose,proxies,otherwise,this,method,will,throw,an,illegal,state,exception,return,object,the,current,aop,proxy,never,returns,code,null,throws,illegal,state,exception,if,the,proxy,cannot,be,found,because,the,method,was,invoked,outside,an,aop,invocation,context,or,because,the,aop,framework,has,not,been,configured,to,expose,the,proxy;public,static,object,current,proxy,throws,illegal,state,exception,object,proxy,current,proxy,get,if,proxy,null,throw,new,illegal,state,exception,cannot,find,current,proxy,set,expose,proxy,property,on,advised,to,true,to,make,it,available,return,proxy
AopContext -> public static Object currentProxy() throws IllegalStateException;1530174524;Try to return the current AOP proxy. This method is usable only if the_calling method has been invoked via AOP, and the AOP framework has been set_to expose proxies. Otherwise, this method will throw an IllegalStateException._@return the current AOP proxy (never returns {@code null})_@throws IllegalStateException if the proxy cannot be found, because the_method was invoked outside an AOP invocation context, or because the_AOP framework has not been configured to expose the proxy;public static Object currentProxy() throws IllegalStateException {_		Object proxy = currentProxy.get()__		if (proxy == null) {_			throw new IllegalStateException(_					"Cannot find current proxy: Set 'exposeProxy' property on Advised to 'true' to make it available.")__		}_		return proxy__	};try,to,return,the,current,aop,proxy,this,method,is,usable,only,if,the,calling,method,has,been,invoked,via,aop,and,the,aop,framework,has,been,set,to,expose,proxies,otherwise,this,method,will,throw,an,illegal,state,exception,return,the,current,aop,proxy,never,returns,code,null,throws,illegal,state,exception,if,the,proxy,cannot,be,found,because,the,method,was,invoked,outside,an,aop,invocation,context,or,because,the,aop,framework,has,not,been,configured,to,expose,the,proxy;public,static,object,current,proxy,throws,illegal,state,exception,object,proxy,current,proxy,get,if,proxy,null,throw,new,illegal,state,exception,cannot,find,current,proxy,set,expose,proxy,property,on,advised,to,true,to,make,it,available,return,proxy
