# id;timestamp;commentText;codeText;commentWords;codeWords
AbstractCamelEndpointFactoryBean -> public void setPattern(ExchangePattern pattern);1423147883;Sets the exchange pattern of the endpoint__@deprecated set the pattern in the uri;public void setPattern(ExchangePattern pattern) {_        this.pattern = pattern__    };sets,the,exchange,pattern,of,the,endpoint,deprecated,set,the,pattern,in,the,uri;public,void,set,pattern,exchange,pattern,pattern,this,pattern,pattern
AbstractCamelEndpointFactoryBean -> public void setPattern(ExchangePattern pattern);1423147883;Sets the exchange pattern of the endpoint__@deprecated set the pattern in the uri;public void setPattern(ExchangePattern pattern) {_        this.pattern = pattern__    };sets,the,exchange,pattern,of,the,endpoint,deprecated,set,the,pattern,in,the,uri;public,void,set,pattern,exchange,pattern,pattern,this,pattern,pattern
AbstractCamelEndpointFactoryBean -> public void setPattern(ExchangePattern pattern);1426708532;Sets the exchange pattern of the endpoint__@deprecated set the pattern in the uri;public void setPattern(ExchangePattern pattern) {_        this.pattern = pattern__    };sets,the,exchange,pattern,of,the,endpoint,deprecated,set,the,pattern,in,the,uri;public,void,set,pattern,exchange,pattern,pattern,this,pattern,pattern
AbstractCamelEndpointFactoryBean -> public void setPattern(ExchangePattern pattern);1427090237;Sets the exchange pattern of the endpoint__@deprecated set the pattern in the uri;public void setPattern(ExchangePattern pattern) {_        this.pattern = pattern__    };sets,the,exchange,pattern,of,the,endpoint,deprecated,set,the,pattern,in,the,uri;public,void,set,pattern,exchange,pattern,pattern,this,pattern,pattern
AbstractCamelEndpointFactoryBean -> public void setUri(String uri);1275033153;Sets the URI to use to resolve the endpoint__@param uri the URI used to set the endpoint;public void setUri(String uri) {_        this.uri = uri__    };sets,the,uri,to,use,to,resolve,the,endpoint,param,uri,the,uri,used,to,set,the,endpoint;public,void,set,uri,string,uri,this,uri,uri
AbstractCamelEndpointFactoryBean -> public void setUri(String uri);1275270893;Sets the URI to use to resolve the endpoint__@param uri the URI used to set the endpoint;public void setUri(String uri) {_        this.uri = uri__    };sets,the,uri,to,use,to,resolve,the,endpoint,param,uri,the,uri,used,to,set,the,endpoint;public,void,set,uri,string,uri,this,uri,uri
AbstractCamelEndpointFactoryBean -> public void setUri(String uri);1291814864;Sets the URI to use to resolve the endpoint__@param uri the URI used to set the endpoint;public void setUri(String uri) {_        this.uri = uri__    };sets,the,uri,to,use,to,resolve,the,endpoint,param,uri,the,uri,used,to,set,the,endpoint;public,void,set,uri,string,uri,this,uri,uri
AbstractCamelEndpointFactoryBean -> public void setUri(String uri);1297261992;Sets the URI to use to resolve the endpoint__@param uri the URI used to set the endpoint;public void setUri(String uri) {_        this.uri = uri__    };sets,the,uri,to,use,to,resolve,the,endpoint,param,uri,the,uri,used,to,set,the,endpoint;public,void,set,uri,string,uri,this,uri,uri
AbstractCamelEndpointFactoryBean -> public void setUri(String uri);1297262857;Sets the URI to use to resolve the endpoint__@param uri the URI used to set the endpoint;public void setUri(String uri) {_        this.uri = uri__    };sets,the,uri,to,use,to,resolve,the,endpoint,param,uri,the,uri,used,to,set,the,endpoint;public,void,set,uri,string,uri,this,uri,uri
AbstractCamelEndpointFactoryBean -> public void setUri(String uri);1297404186;Sets the URI to use to resolve the endpoint__@param uri the URI used to set the endpoint;public void setUri(String uri) {_        this.uri = uri__    };sets,the,uri,to,use,to,resolve,the,endpoint,param,uri,the,uri,used,to,set,the,endpoint;public,void,set,uri,string,uri,this,uri,uri
AbstractCamelEndpointFactoryBean -> public void setUri(String uri);1303345011;Sets the URI to use to resolve the endpoint__@param uri the URI used to set the endpoint;public void setUri(String uri) {_        this.uri = uri__    };sets,the,uri,to,use,to,resolve,the,endpoint,param,uri,the,uri,used,to,set,the,endpoint;public,void,set,uri,string,uri,this,uri,uri
