# id;timestamp;commentText;codeText;commentWords;codeWords
RecordWriter -> private boolean tryWriteAndClearBuffer( 			int targetChannel, 			RecordSerializer<T> serializer) throws IOException;1519039270;Writes the buffer to the {@link ResultPartitionWriter} and removes the_buffer from the serializer state.__<p><b>Needs to be synchronized on the serializer!</b>__@return true if some data were written;private boolean tryWriteAndClearBuffer(_			int targetChannel,_			RecordSerializer<T> serializer) throws IOException {__		Buffer buffer = serializer.getCurrentBuffer()__		if (buffer == null) {_			return false__		}__		numBytesOut.inc(buffer.getSizeUnsafe())__		try {_			targetPartition.writeBuffer(buffer, targetChannel)__			return true__		} finally {_			serializer.clear()__		}_	};writes,the,buffer,to,the,link,result,partition,writer,and,removes,the,buffer,from,the,serializer,state,p,b,needs,to,be,synchronized,on,the,serializer,b,return,true,if,some,data,were,written;private,boolean,try,write,and,clear,buffer,int,target,channel,record,serializer,t,serializer,throws,ioexception,buffer,buffer,serializer,get,current,buffer,if,buffer,null,return,false,num,bytes,out,inc,buffer,get,size,unsafe,try,target,partition,write,buffer,buffer,target,channel,return,true,finally,serializer,clear
RecordWriter -> private boolean tryWriteAndClearBuffer( 			int targetChannel, 			RecordSerializer<T> serializer) throws IOException;1519039274;Tries to consume serialized data and (if data present) writes them to the {@link ResultPartitionWriter}._After writing it clean ups the state.__<p><b>Needs to be synchronized on the serializer!</b>__@return true if some data were written;private boolean tryWriteAndClearBuffer(_			int targetChannel,_			RecordSerializer<T> serializer) throws IOException {__		Optional<BufferConsumer> bufferConsumer = bufferConsumers[targetChannel]__		if (!bufferConsumer.isPresent()) {_			return false__		}__		numBytesOut.inc(bufferConsumer.get().getWrittenBytes())__		try {_			targetPartition.writeBuffer(bufferConsumer.get().build(), targetChannel)__			return true__		} finally {_			serializer.clear()__			closeBufferConsumer(targetChannel)__		}_	};tries,to,consume,serialized,data,and,if,data,present,writes,them,to,the,link,result,partition,writer,after,writing,it,clean,ups,the,state,p,b,needs,to,be,synchronized,on,the,serializer,b,return,true,if,some,data,were,written;private,boolean,try,write,and,clear,buffer,int,target,channel,record,serializer,t,serializer,throws,ioexception,optional,buffer,consumer,buffer,consumer,buffer,consumers,target,channel,if,buffer,consumer,is,present,return,false,num,bytes,out,inc,buffer,consumer,get,get,written,bytes,try,target,partition,write,buffer,buffer,consumer,get,build,target,channel,return,true,finally,serializer,clear,close,buffer,consumer,target,channel
RecordWriter -> private boolean tryWriteAndClearBuffer( 			int targetChannel, 			RecordSerializer<T> serializer) throws IOException;1519039287;Tries to consume serialized data and (if data present) writes them to the {@link ResultPartitionWriter}._After writing it clean ups the state.__<p><b>Needs to be synchronized on the serializer!</b>__@return true if some data were written;private boolean tryWriteAndClearBuffer(_			int targetChannel,_			RecordSerializer<T> serializer) throws IOException {__		if (!bufferConsumers[targetChannel].isPresent()) {_			return false__		}_		BufferConsumer bufferConsumer = bufferConsumers[targetChannel].get()__		bufferConsumers[targetChannel] = Optional.empty()___		numBytesOut.inc(bufferConsumer.getWrittenBytes())__		serializer.clear()__		targetPartition.addBufferConsumer(bufferConsumer, targetChannel)__		return true__	};tries,to,consume,serialized,data,and,if,data,present,writes,them,to,the,link,result,partition,writer,after,writing,it,clean,ups,the,state,p,b,needs,to,be,synchronized,on,the,serializer,b,return,true,if,some,data,were,written;private,boolean,try,write,and,clear,buffer,int,target,channel,record,serializer,t,serializer,throws,ioexception,if,buffer,consumers,target,channel,is,present,return,false,buffer,consumer,buffer,consumer,buffer,consumers,target,channel,get,buffer,consumers,target,channel,optional,empty,num,bytes,out,inc,buffer,consumer,get,written,bytes,serializer,clear,target,partition,add,buffer,consumer,buffer,consumer,target,channel,return,true
RecordWriter -> private boolean tryWriteAndClearBuffer( 			int targetChannel, 			RecordSerializer<T> serializer) throws IOException;1519039289;Tries to consume serialized data and (if data present) writes them to the {@link ResultPartitionWriter}._After writing it clean ups the state.__<p><b>Needs to be synchronized on the serializer!</b>__@return true if some data were written;private boolean tryWriteAndClearBuffer(_			int targetChannel,_			RecordSerializer<T> serializer) throws IOException {__		if (!bufferConsumers[targetChannel].isPresent()) {_			return false__		}_		BufferConsumer bufferConsumer = bufferConsumers[targetChannel].get()__		bufferConsumers[targetChannel] = Optional.empty()___		numBytesOut.inc(bufferConsumer.getWrittenBytes())__		serializer.clear()__		targetPartition.addBufferConsumer(bufferConsumer, targetChannel)__		return true__	};tries,to,consume,serialized,data,and,if,data,present,writes,them,to,the,link,result,partition,writer,after,writing,it,clean,ups,the,state,p,b,needs,to,be,synchronized,on,the,serializer,b,return,true,if,some,data,were,written;private,boolean,try,write,and,clear,buffer,int,target,channel,record,serializer,t,serializer,throws,ioexception,if,buffer,consumers,target,channel,is,present,return,false,buffer,consumer,buffer,consumer,buffer,consumers,target,channel,get,buffer,consumers,target,channel,optional,empty,num,bytes,out,inc,buffer,consumer,get,written,bytes,serializer,clear,target,partition,add,buffer,consumer,buffer,consumer,target,channel,return,true
RecordWriter -> public void setMetricGroup(IOMetricGroup metrics);1463939897;Sets the metric group for this RecordWriter._@param metrics;public void setMetricGroup(IOMetricGroup metrics) {_		for(RecordSerializer<?> serializer : serializers) {_			serializer.instantiateMetrics(metrics)__		}_	};sets,the,metric,group,for,this,record,writer,param,metrics;public,void,set,metric,group,iometric,group,metrics,for,record,serializer,serializer,serializers,serializer,instantiate,metrics,metrics
RecordWriter -> public void setMetricGroup(IOMetricGroup metrics);1469529015;Sets the metric group for this RecordWriter._@param metrics;public void setMetricGroup(IOMetricGroup metrics) {_		for(RecordSerializer<?> serializer : serializers) {_			serializer.instantiateMetrics(metrics)__		}_	};sets,the,metric,group,for,this,record,writer,param,metrics;public,void,set,metric,group,iometric,group,metrics,for,record,serializer,serializer,serializers,serializer,instantiate,metrics,metrics
RecordWriter -> public void setMetricGroup(IOMetricGroup metrics);1476448412;Sets the metric group for this RecordWriter._@param metrics;public void setMetricGroup(IOMetricGroup metrics) {_		for(RecordSerializer<?> serializer : serializers) {_			serializer.instantiateMetrics(metrics)__		}_	};sets,the,metric,group,for,this,record,writer,param,metrics;public,void,set,metric,group,iometric,group,metrics,for,record,serializer,serializer,serializers,serializer,instantiate,metrics,metrics
RecordWriter -> private BufferBuilder getBufferBuilder(int targetChannel) throws IOException, InterruptedException;1537529044;The {@link BufferBuilder} may already exist if not filled up last time, otherwise we need_request a new one for this target channel.;private BufferBuilder getBufferBuilder(int targetChannel) throws IOException, InterruptedException {_		if (bufferBuilders[targetChannel].isPresent()) {_			return bufferBuilders[targetChannel].get()__		} else {_			return requestNewBufferBuilder(targetChannel)__		}_	};the,link,buffer,builder,may,already,exist,if,not,filled,up,last,time,otherwise,we,need,request,a,new,one,for,this,target,channel;private,buffer,builder,get,buffer,builder,int,target,channel,throws,ioexception,interrupted,exception,if,buffer,builders,target,channel,is,present,return,buffer,builders,target,channel,get,else,return,request,new,buffer,builder,target,channel
RecordWriter -> private BufferBuilder getBufferBuilder(int targetChannel) throws IOException, InterruptedException;1543403062;The {@link BufferBuilder} may already exist if not filled up last time, otherwise we need_request a new one for this target channel.;private BufferBuilder getBufferBuilder(int targetChannel) throws IOException, InterruptedException {_		if (bufferBuilders[targetChannel].isPresent()) {_			return bufferBuilders[targetChannel].get()__		} else {_			return requestNewBufferBuilder(targetChannel)__		}_	};the,link,buffer,builder,may,already,exist,if,not,filled,up,last,time,otherwise,we,need,request,a,new,one,for,this,target,channel;private,buffer,builder,get,buffer,builder,int,target,channel,throws,ioexception,interrupted,exception,if,buffer,builders,target,channel,is,present,return,buffer,builders,target,channel,get,else,return,request,new,buffer,builder,target,channel
RecordWriter -> private BufferBuilder getBufferBuilder(int targetChannel) throws IOException, InterruptedException;1543403062;The {@link BufferBuilder} may already exist if not filled up last time, otherwise we need_request a new one for this target channel.;private BufferBuilder getBufferBuilder(int targetChannel) throws IOException, InterruptedException {_		if (bufferBuilders[targetChannel].isPresent()) {_			return bufferBuilders[targetChannel].get()__		} else {_			return requestNewBufferBuilder(targetChannel)__		}_	};the,link,buffer,builder,may,already,exist,if,not,filled,up,last,time,otherwise,we,need,request,a,new,one,for,this,target,channel;private,buffer,builder,get,buffer,builder,int,target,channel,throws,ioexception,interrupted,exception,if,buffer,builders,target,channel,is,present,return,buffer,builders,target,channel,get,else,return,request,new,buffer,builder,target,channel
RecordWriter -> private BufferBuilder getBufferBuilder(int targetChannel) throws IOException, InterruptedException;1548265071;The {@link BufferBuilder} may already exist if not filled up last time, otherwise we need_request a new one for this target channel.;private BufferBuilder getBufferBuilder(int targetChannel) throws IOException, InterruptedException {_		if (bufferBuilders[targetChannel].isPresent()) {_			return bufferBuilders[targetChannel].get()__		} else {_			return requestNewBufferBuilder(targetChannel)__		}_	};the,link,buffer,builder,may,already,exist,if,not,filled,up,last,time,otherwise,we,need,request,a,new,one,for,this,target,channel;private,buffer,builder,get,buffer,builder,int,target,channel,throws,ioexception,interrupted,exception,if,buffer,builders,target,channel,is,present,return,buffer,builders,target,channel,get,else,return,request,new,buffer,builder,target,channel
