# id;timestamp;commentText;codeText;commentWords;codeWords
DataAccessUtils -> public static long longResult(Collection<?> results) 			throws IncorrectResultSizeDataAccessException, TypeMismatchDataAccessException;1385412762;Return a unique long result from the given Collection._Throws an exception if 0 or more than 1 result objects found,_of if the unique result object is not convertable to a long._@param results the result Collection (can be {@code null})_@return the unique long result_@throws IncorrectResultSizeDataAccessException if more than one_result object has been found in the given Collection_@throws EmptyResultDataAccessException if no result object_at all has been found in the given Collection_@throws TypeMismatchDataAccessException if the unique object_in the collection is not convertable to a long;public static long longResult(Collection<?> results)_			throws IncorrectResultSizeDataAccessException, TypeMismatchDataAccessException {__		return objectResult(results, Number.class).longValue()__	};return,a,unique,long,result,from,the,given,collection,throws,an,exception,if,0,or,more,than,1,result,objects,found,of,if,the,unique,result,object,is,not,convertable,to,a,long,param,results,the,result,collection,can,be,code,null,return,the,unique,long,result,throws,incorrect,result,size,data,access,exception,if,more,than,one,result,object,has,been,found,in,the,given,collection,throws,empty,result,data,access,exception,if,no,result,object,at,all,has,been,found,in,the,given,collection,throws,type,mismatch,data,access,exception,if,the,unique,object,in,the,collection,is,not,convertable,to,a,long;public,static,long,long,result,collection,results,throws,incorrect,result,size,data,access,exception,type,mismatch,data,access,exception,return,object,result,results,number,class,long,value
DataAccessUtils -> public static long longResult(Collection<?> results) 			throws IncorrectResultSizeDataAccessException, TypeMismatchDataAccessException;1432125256;Return a unique long result from the given Collection._Throws an exception if 0 or more than 1 result objects found,_of if the unique result object is not convertable to a long._@param results the result Collection (can be {@code null})_@return the unique long result_@throws IncorrectResultSizeDataAccessException if more than one_result object has been found in the given Collection_@throws EmptyResultDataAccessException if no result object_at all has been found in the given Collection_@throws TypeMismatchDataAccessException if the unique object_in the collection is not convertable to a long;public static long longResult(Collection<?> results)_			throws IncorrectResultSizeDataAccessException, TypeMismatchDataAccessException {__		return objectResult(results, Number.class).longValue()__	};return,a,unique,long,result,from,the,given,collection,throws,an,exception,if,0,or,more,than,1,result,objects,found,of,if,the,unique,result,object,is,not,convertable,to,a,long,param,results,the,result,collection,can,be,code,null,return,the,unique,long,result,throws,incorrect,result,size,data,access,exception,if,more,than,one,result,object,has,been,found,in,the,given,collection,throws,empty,result,data,access,exception,if,no,result,object,at,all,has,been,found,in,the,given,collection,throws,type,mismatch,data,access,exception,if,the,unique,object,in,the,collection,is,not,convertable,to,a,long;public,static,long,long,result,collection,results,throws,incorrect,result,size,data,access,exception,type,mismatch,data,access,exception,return,object,result,results,number,class,long,value
DataAccessUtils -> public static long longResult(Collection<?> results) 			throws IncorrectResultSizeDataAccessException, TypeMismatchDataAccessException;1473796721;Return a unique long result from the given Collection._Throws an exception if 0 or more than 1 result objects found,_of if the unique result object is not convertible to a long._@param results the result Collection (can be {@code null})_@return the unique long result_@throws IncorrectResultSizeDataAccessException if more than one_result object has been found in the given Collection_@throws EmptyResultDataAccessException if no result object_at all has been found in the given Collection_@throws TypeMismatchDataAccessException if the unique object_in the collection is not convertible to a long;public static long longResult(Collection<?> results)_			throws IncorrectResultSizeDataAccessException, TypeMismatchDataAccessException {__		return objectResult(results, Number.class).longValue()__	};return,a,unique,long,result,from,the,given,collection,throws,an,exception,if,0,or,more,than,1,result,objects,found,of,if,the,unique,result,object,is,not,convertible,to,a,long,param,results,the,result,collection,can,be,code,null,return,the,unique,long,result,throws,incorrect,result,size,data,access,exception,if,more,than,one,result,object,has,been,found,in,the,given,collection,throws,empty,result,data,access,exception,if,no,result,object,at,all,has,been,found,in,the,given,collection,throws,type,mismatch,data,access,exception,if,the,unique,object,in,the,collection,is,not,convertible,to,a,long;public,static,long,long,result,collection,results,throws,incorrect,result,size,data,access,exception,type,mismatch,data,access,exception,return,object,result,results,number,class,long,value
DataAccessUtils -> public static <T> T singleResult(Collection<T> results) throws IncorrectResultSizeDataAccessException;1328020251;Return a single result object from the given Collection._<p>Returns <code>null</code> if 0 result objects found__throws an exception if more than 1 element found._@param results the result Collection (can be <code>null</code>)_@return the single result object, or <code>null</code> if none_@throws IncorrectResultSizeDataAccessException if more than one_element has been found in the given Collection;public static <T> T singleResult(Collection<T> results) throws IncorrectResultSizeDataAccessException {_		int size = (results != null ? results.size() : 0)__		if (size == 0) {_			return null__		}_		if (results.size() > 1) {_			throw new IncorrectResultSizeDataAccessException(1, size)__		}_		return results.iterator().next()__	};return,a,single,result,object,from,the,given,collection,p,returns,code,null,code,if,0,result,objects,found,throws,an,exception,if,more,than,1,element,found,param,results,the,result,collection,can,be,code,null,code,return,the,single,result,object,or,code,null,code,if,none,throws,incorrect,result,size,data,access,exception,if,more,than,one,element,has,been,found,in,the,given,collection;public,static,t,t,single,result,collection,t,results,throws,incorrect,result,size,data,access,exception,int,size,results,null,results,size,0,if,size,0,return,null,if,results,size,1,throw,new,incorrect,result,size,data,access,exception,1,size,return,results,iterator,next
DataAccessUtils -> public static <T> T singleResult(Collection<T> results) throws IncorrectResultSizeDataAccessException;1356735495;Return a single result object from the given Collection._<p>Returns {@code null} if 0 result objects found__throws an exception if more than 1 element found._@param results the result Collection (can be {@code null})_@return the single result object, or {@code null} if none_@throws IncorrectResultSizeDataAccessException if more than one_element has been found in the given Collection;public static <T> T singleResult(Collection<T> results) throws IncorrectResultSizeDataAccessException {_		int size = (results != null ? results.size() : 0)__		if (size == 0) {_			return null__		}_		if (results.size() > 1) {_			throw new IncorrectResultSizeDataAccessException(1, size)__		}_		return results.iterator().next()__	};return,a,single,result,object,from,the,given,collection,p,returns,code,null,if,0,result,objects,found,throws,an,exception,if,more,than,1,element,found,param,results,the,result,collection,can,be,code,null,return,the,single,result,object,or,code,null,if,none,throws,incorrect,result,size,data,access,exception,if,more,than,one,element,has,been,found,in,the,given,collection;public,static,t,t,single,result,collection,t,results,throws,incorrect,result,size,data,access,exception,int,size,results,null,results,size,0,if,size,0,return,null,if,results,size,1,throw,new,incorrect,result,size,data,access,exception,1,size,return,results,iterator,next
DataAccessUtils -> public static <T> T singleResult(Collection<T> results) throws IncorrectResultSizeDataAccessException;1385412762;Return a single result object from the given Collection._<p>Returns {@code null} if 0 result objects found__throws an exception if more than 1 element found._@param results the result Collection (can be {@code null})_@return the single result object, or {@code null} if none_@throws IncorrectResultSizeDataAccessException if more than one_element has been found in the given Collection;public static <T> T singleResult(Collection<T> results) throws IncorrectResultSizeDataAccessException {_		int size = (results != null ? results.size() : 0)__		if (size == 0) {_			return null__		}_		if (results.size() > 1) {_			throw new IncorrectResultSizeDataAccessException(1, size)__		}_		return results.iterator().next()__	};return,a,single,result,object,from,the,given,collection,p,returns,code,null,if,0,result,objects,found,throws,an,exception,if,more,than,1,element,found,param,results,the,result,collection,can,be,code,null,return,the,single,result,object,or,code,null,if,none,throws,incorrect,result,size,data,access,exception,if,more,than,one,element,has,been,found,in,the,given,collection;public,static,t,t,single,result,collection,t,results,throws,incorrect,result,size,data,access,exception,int,size,results,null,results,size,0,if,size,0,return,null,if,results,size,1,throw,new,incorrect,result,size,data,access,exception,1,size,return,results,iterator,next
DataAccessUtils -> public static <T> T singleResult(Collection<T> results) throws IncorrectResultSizeDataAccessException;1432125256;Return a single result object from the given Collection._<p>Returns {@code null} if 0 result objects found__throws an exception if more than 1 element found._@param results the result Collection (can be {@code null})_@return the single result object, or {@code null} if none_@throws IncorrectResultSizeDataAccessException if more than one_element has been found in the given Collection;public static <T> T singleResult(Collection<T> results) throws IncorrectResultSizeDataAccessException {_		int size = (results != null ? results.size() : 0)__		if (size == 0) {_			return null__		}_		if (results.size() > 1) {_			throw new IncorrectResultSizeDataAccessException(1, size)__		}_		return results.iterator().next()__	};return,a,single,result,object,from,the,given,collection,p,returns,code,null,if,0,result,objects,found,throws,an,exception,if,more,than,1,element,found,param,results,the,result,collection,can,be,code,null,return,the,single,result,object,or,code,null,if,none,throws,incorrect,result,size,data,access,exception,if,more,than,one,element,has,been,found,in,the,given,collection;public,static,t,t,single,result,collection,t,results,throws,incorrect,result,size,data,access,exception,int,size,results,null,results,size,0,if,size,0,return,null,if,results,size,1,throw,new,incorrect,result,size,data,access,exception,1,size,return,results,iterator,next
DataAccessUtils -> public static <T> T singleResult(Collection<T> results) throws IncorrectResultSizeDataAccessException;1473796721;Return a single result object from the given Collection._<p>Returns {@code null} if 0 result objects found__throws an exception if more than 1 element found._@param results the result Collection (can be {@code null})_@return the single result object, or {@code null} if none_@throws IncorrectResultSizeDataAccessException if more than one_element has been found in the given Collection;public static <T> T singleResult(Collection<T> results) throws IncorrectResultSizeDataAccessException {_		int size = (results != null ? results.size() : 0)__		if (size == 0) {_			return null__		}_		if (results.size() > 1) {_			throw new IncorrectResultSizeDataAccessException(1, size)__		}_		return results.iterator().next()__	};return,a,single,result,object,from,the,given,collection,p,returns,code,null,if,0,result,objects,found,throws,an,exception,if,more,than,1,element,found,param,results,the,result,collection,can,be,code,null,return,the,single,result,object,or,code,null,if,none,throws,incorrect,result,size,data,access,exception,if,more,than,one,element,has,been,found,in,the,given,collection;public,static,t,t,single,result,collection,t,results,throws,incorrect,result,size,data,access,exception,int,size,results,null,results,size,0,if,size,0,return,null,if,results,size,1,throw,new,incorrect,result,size,data,access,exception,1,size,return,results,iterator,next
DataAccessUtils -> @Nullable 	public static <T> T singleResult(@Nullable Collection<T> results) throws IncorrectResultSizeDataAccessException;1496837955;Return a single result object from the given Collection._<p>Returns {@code null} if 0 result objects found__throws an exception if more than 1 element found._@param results the result Collection (can be {@code null})_@return the single result object, or {@code null} if none_@throws IncorrectResultSizeDataAccessException if more than one_element has been found in the given Collection;@Nullable_	public static <T> T singleResult(@Nullable Collection<T> results) throws IncorrectResultSizeDataAccessException {_		int size = (results != null ? results.size() : 0)__		if (size == 0) {_			return null__		}_		if (results.size() > 1) {_			throw new IncorrectResultSizeDataAccessException(1, size)__		}_		return results.iterator().next()__	};return,a,single,result,object,from,the,given,collection,p,returns,code,null,if,0,result,objects,found,throws,an,exception,if,more,than,1,element,found,param,results,the,result,collection,can,be,code,null,return,the,single,result,object,or,code,null,if,none,throws,incorrect,result,size,data,access,exception,if,more,than,one,element,has,been,found,in,the,given,collection;nullable,public,static,t,t,single,result,nullable,collection,t,results,throws,incorrect,result,size,data,access,exception,int,size,results,null,results,size,0,if,size,0,return,null,if,results,size,1,throw,new,incorrect,result,size,data,access,exception,1,size,return,results,iterator,next
DataAccessUtils -> @Nullable 	public static <T> T singleResult(@Nullable Collection<T> results) throws IncorrectResultSizeDataAccessException;1502974979;Return a single result object from the given Collection._<p>Returns {@code null} if 0 result objects found__throws an exception if more than 1 element found._@param results the result Collection (can be {@code null})_@return the single result object, or {@code null} if none_@throws IncorrectResultSizeDataAccessException if more than one_element has been found in the given Collection;@Nullable_	public static <T> T singleResult(@Nullable Collection<T> results) throws IncorrectResultSizeDataAccessException {_		int size = (results != null ? results.size() : 0)__		if (size == 0) {_			return null__		}_		if (results.size() > 1) {_			throw new IncorrectResultSizeDataAccessException(1, size)__		}_		return results.iterator().next()__	};return,a,single,result,object,from,the,given,collection,p,returns,code,null,if,0,result,objects,found,throws,an,exception,if,more,than,1,element,found,param,results,the,result,collection,can,be,code,null,return,the,single,result,object,or,code,null,if,none,throws,incorrect,result,size,data,access,exception,if,more,than,one,element,has,been,found,in,the,given,collection;nullable,public,static,t,t,single,result,nullable,collection,t,results,throws,incorrect,result,size,data,access,exception,int,size,results,null,results,size,0,if,size,0,return,null,if,results,size,1,throw,new,incorrect,result,size,data,access,exception,1,size,return,results,iterator,next
DataAccessUtils -> @Nullable 	public static <T> T singleResult(@Nullable Collection<T> results) throws IncorrectResultSizeDataAccessException;1511712999;Return a single result object from the given Collection._<p>Returns {@code null} if 0 result objects found__throws an exception if more than 1 element found._@param results the result Collection (can be {@code null})_@return the single result object, or {@code null} if none_@throws IncorrectResultSizeDataAccessException if more than one_element has been found in the given Collection;@Nullable_	public static <T> T singleResult(@Nullable Collection<T> results) throws IncorrectResultSizeDataAccessException {_		if (CollectionUtils.isEmpty(results)) {_			return null__		}_		if (results.size() > 1) {_			throw new IncorrectResultSizeDataAccessException(1, results.size())__		}_		return results.iterator().next()__	};return,a,single,result,object,from,the,given,collection,p,returns,code,null,if,0,result,objects,found,throws,an,exception,if,more,than,1,element,found,param,results,the,result,collection,can,be,code,null,return,the,single,result,object,or,code,null,if,none,throws,incorrect,result,size,data,access,exception,if,more,than,one,element,has,been,found,in,the,given,collection;nullable,public,static,t,t,single,result,nullable,collection,t,results,throws,incorrect,result,size,data,access,exception,if,collection,utils,is,empty,results,return,null,if,results,size,1,throw,new,incorrect,result,size,data,access,exception,1,results,size,return,results,iterator,next
