# id;timestamp;commentText;codeText;commentWords;codeWords
NamedBeanHolder -> public NamedBeanHolder(String beanName, T beanInstance);1470948126;Create a new holder for the given bean name plus instance.;public NamedBeanHolder(String beanName, T beanInstance) {_		this.beanName = beanName__		this.beanInstance = beanInstance__	};create,a,new,holder,for,the,given,bean,name,plus,instance;public,named,bean,holder,string,bean,name,t,bean,instance,this,bean,name,bean,name,this,bean,instance,bean,instance
NamedBeanHolder -> public NamedBeanHolder(String beanName, T beanInstance);1472041785;Create a new holder for the given bean name plus instance._@param beanName the name of the bean_@param beanInstance the corresponding bean instance;public NamedBeanHolder(String beanName, T beanInstance) {_		Assert.notNull(beanName, "Bean name must not be null")__		this.beanName = beanName__		this.beanInstance = beanInstance__	};create,a,new,holder,for,the,given,bean,name,plus,instance,param,bean,name,the,name,of,the,bean,param,bean,instance,the,corresponding,bean,instance;public,named,bean,holder,string,bean,name,t,bean,instance,assert,not,null,bean,name,bean,name,must,not,be,null,this,bean,name,bean,name,this,bean,instance,bean,instance
NamedBeanHolder -> public NamedBeanHolder(String beanName, T beanInstance);1495868221;Create a new holder for the given bean name plus instance._@param beanName the name of the bean_@param beanInstance the corresponding bean instance;public NamedBeanHolder(String beanName, T beanInstance) {_		Assert.notNull(beanName, "Bean name must not be null")__		this.beanName = beanName__		this.beanInstance = beanInstance__	};create,a,new,holder,for,the,given,bean,name,plus,instance,param,bean,name,the,name,of,the,bean,param,bean,instance,the,corresponding,bean,instance;public,named,bean,holder,string,bean,name,t,bean,instance,assert,not,null,bean,name,bean,name,must,not,be,null,this,bean,name,bean,name,this,bean,instance,bean,instance
NamedBeanHolder -> public NamedBeanHolder(String beanName, T beanInstance);1498780456;Create a new holder for the given bean name plus instance._@param beanName the name of the bean_@param beanInstance the corresponding bean instance;public NamedBeanHolder(String beanName, T beanInstance) {_		Assert.notNull(beanName, "Bean name must not be null")__		this.beanName = beanName__		this.beanInstance = beanInstance__	};create,a,new,holder,for,the,given,bean,name,plus,instance,param,bean,name,the,name,of,the,bean,param,bean,instance,the,corresponding,bean,instance;public,named,bean,holder,string,bean,name,t,bean,instance,assert,not,null,bean,name,bean,name,must,not,be,null,this,bean,name,bean,name,this,bean,instance,bean,instance
NamedBeanHolder -> public NamedBeanHolder(String beanName, T beanInstance);1530174524;Create a new holder for the given bean name plus instance._@param beanName the name of the bean_@param beanInstance the corresponding bean instance;public NamedBeanHolder(String beanName, T beanInstance) {_		Assert.notNull(beanName, "Bean name must not be null")__		this.beanName = beanName__		this.beanInstance = beanInstance__	};create,a,new,holder,for,the,given,bean,name,plus,instance,param,bean,name,the,name,of,the,bean,param,bean,instance,the,corresponding,bean,instance;public,named,bean,holder,string,bean,name,t,bean,instance,assert,not,null,bean,name,bean,name,must,not,be,null,this,bean,name,bean,name,this,bean,instance,bean,instance
NamedBeanHolder -> public T getBeanInstance();1470948126;Return the corresponding bean instance.;public T getBeanInstance() {_		return this.beanInstance__	};return,the,corresponding,bean,instance;public,t,get,bean,instance,return,this,bean,instance
NamedBeanHolder -> public T getBeanInstance();1472041785;Return the corresponding bean instance (can be {@code null}).;public T getBeanInstance() {_		return this.beanInstance__	};return,the,corresponding,bean,instance,can,be,code,null;public,t,get,bean,instance,return,this,bean,instance
NamedBeanHolder -> public T getBeanInstance();1496837955;Return the corresponding bean instance.;public T getBeanInstance() {_		return this.beanInstance__	};return,the,corresponding,bean,instance;public,t,get,bean,instance,return,this,bean,instance
NamedBeanHolder -> public T getBeanInstance();1498780456;Return the corresponding bean instance.;public T getBeanInstance() {_		return this.beanInstance__	};return,the,corresponding,bean,instance;public,t,get,bean,instance,return,this,bean,instance
NamedBeanHolder -> public T getBeanInstance();1530174524;Return the corresponding bean instance.;public T getBeanInstance() {_		return this.beanInstance__	};return,the,corresponding,bean,instance;public,t,get,bean,instance,return,this,bean,instance
NamedBeanHolder -> @Override 	public String getBeanName();1472041785;Return the name of the bean (never {@code null}).;@Override_	public String getBeanName() {_		return this.beanName__	};return,the,name,of,the,bean,never,code,null;override,public,string,get,bean,name,return,this,bean,name
NamedBeanHolder -> @Override 	public String getBeanName();1495868221;Return the name of the bean (never {@code null}).;@Override_	public String getBeanName() {_		return this.beanName__	};return,the,name,of,the,bean,never,code,null;override,public,string,get,bean,name,return,this,bean,name
NamedBeanHolder -> @Override 	public String getBeanName();1496837955;Return the name of the bean.;@Override_	public String getBeanName() {_		return this.beanName__	};return,the,name,of,the,bean;override,public,string,get,bean,name,return,this,bean,name
NamedBeanHolder -> @Override 	public String getBeanName();1498780456;Return the name of the bean.;@Override_	public String getBeanName() {_		return this.beanName__	};return,the,name,of,the,bean;override,public,string,get,bean,name,return,this,bean,name
NamedBeanHolder -> @Override 	public String getBeanName();1530174524;Return the name of the bean.;@Override_	public String getBeanName() {_		return this.beanName__	};return,the,name,of,the,bean;override,public,string,get,bean,name,return,this,bean,name
