# id;timestamp;commentText;codeText;commentWords;codeWords
NestedCheckedException -> @Override 	public String getMessage();1328020251;Return the detail message, including the message from the nested exception_if there is one.;@Override_	public String getMessage() {_		return NestedExceptionUtils.buildMessage(super.getMessage(), getCause())__	};return,the,detail,message,including,the,message,from,the,nested,exception,if,there,is,one;override,public,string,get,message,return,nested,exception,utils,build,message,super,get,message,get,cause
NestedCheckedException -> @Override 	public String getMessage();1356735495;Return the detail message, including the message from the nested exception_if there is one.;@Override_	public String getMessage() {_		return NestedExceptionUtils.buildMessage(super.getMessage(), getCause())__	};return,the,detail,message,including,the,message,from,the,nested,exception,if,there,is,one;override,public,string,get,message,return,nested,exception,utils,build,message,super,get,message,get,cause
NestedCheckedException -> @Override 	public String getMessage();1385412762;Return the detail message, including the message from the nested exception_if there is one.;@Override_	public String getMessage() {_		return NestedExceptionUtils.buildMessage(super.getMessage(), getCause())__	};return,the,detail,message,including,the,message,from,the,nested,exception,if,there,is,one;override,public,string,get,message,return,nested,exception,utils,build,message,super,get,message,get,cause
NestedCheckedException -> @Override 	public String getMessage();1493803888;Return the detail message, including the message from the nested exception_if there is one.;@Override_	public String getMessage() {_		return NestedExceptionUtils.buildMessage(super.getMessage(), getCause())__	};return,the,detail,message,including,the,message,from,the,nested,exception,if,there,is,one;override,public,string,get,message,return,nested,exception,utils,build,message,super,get,message,get,cause
NestedCheckedException -> @Override 	public String getMessage();1495868221;Return the detail message, including the message from the nested exception_if there is one.;@Override_	public String getMessage() {_		return NestedExceptionUtils.buildMessage(super.getMessage(), getCause())__	};return,the,detail,message,including,the,message,from,the,nested,exception,if,there,is,one;override,public,string,get,message,return,nested,exception,utils,build,message,super,get,message,get,cause
NestedCheckedException -> public boolean contains(Class exType);1328020251;Check whether this exception contains an exception of the given type:_either it is of the given class itself or it contains a nested cause_of the given type._@param exType the exception type to look for_@return whether there is a nested exception of the specified type;public boolean contains(Class exType) {_		if (exType == null) {_			return false__		}_		if (exType.isInstance(this)) {_			return true__		}_		Throwable cause = getCause()__		if (cause == this) {_			return false__		}_		if (cause instanceof NestedCheckedException) {_			return ((NestedCheckedException) cause).contains(exType)__		}_		else {_			while (cause != null) {_				if (exType.isInstance(cause)) {_					return true__				}_				if (cause.getCause() == cause) {_					break__				}_				cause = cause.getCause()__			}_			return false__		}_	};check,whether,this,exception,contains,an,exception,of,the,given,type,either,it,is,of,the,given,class,itself,or,it,contains,a,nested,cause,of,the,given,type,param,ex,type,the,exception,type,to,look,for,return,whether,there,is,a,nested,exception,of,the,specified,type;public,boolean,contains,class,ex,type,if,ex,type,null,return,false,if,ex,type,is,instance,this,return,true,throwable,cause,get,cause,if,cause,this,return,false,if,cause,instanceof,nested,checked,exception,return,nested,checked,exception,cause,contains,ex,type,else,while,cause,null,if,ex,type,is,instance,cause,return,true,if,cause,get,cause,cause,break,cause,cause,get,cause,return,false
NestedCheckedException -> public boolean contains(Class exType);1356735495;Check whether this exception contains an exception of the given type:_either it is of the given class itself or it contains a nested cause_of the given type._@param exType the exception type to look for_@return whether there is a nested exception of the specified type;public boolean contains(Class exType) {_		if (exType == null) {_			return false__		}_		if (exType.isInstance(this)) {_			return true__		}_		Throwable cause = getCause()__		if (cause == this) {_			return false__		}_		if (cause instanceof NestedCheckedException) {_			return ((NestedCheckedException) cause).contains(exType)__		}_		else {_			while (cause != null) {_				if (exType.isInstance(cause)) {_					return true__				}_				if (cause.getCause() == cause) {_					break__				}_				cause = cause.getCause()__			}_			return false__		}_	};check,whether,this,exception,contains,an,exception,of,the,given,type,either,it,is,of,the,given,class,itself,or,it,contains,a,nested,cause,of,the,given,type,param,ex,type,the,exception,type,to,look,for,return,whether,there,is,a,nested,exception,of,the,specified,type;public,boolean,contains,class,ex,type,if,ex,type,null,return,false,if,ex,type,is,instance,this,return,true,throwable,cause,get,cause,if,cause,this,return,false,if,cause,instanceof,nested,checked,exception,return,nested,checked,exception,cause,contains,ex,type,else,while,cause,null,if,ex,type,is,instance,cause,return,true,if,cause,get,cause,cause,break,cause,cause,get,cause,return,false
NestedCheckedException -> public NestedCheckedException(@Nullable String msg, @Nullable Throwable cause);1496837955;Construct a {@code NestedCheckedException} with the specified detail message_and nested exception._@param msg the detail message_@param cause the nested exception;public NestedCheckedException(@Nullable String msg, @Nullable Throwable cause) {_		super(msg, cause)__	};construct,a,code,nested,checked,exception,with,the,specified,detail,message,and,nested,exception,param,msg,the,detail,message,param,cause,the,nested,exception;public,nested,checked,exception,nullable,string,msg,nullable,throwable,cause,super,msg,cause
NestedCheckedException -> public NestedCheckedException(@Nullable String msg, @Nullable Throwable cause);1530174524;Construct a {@code NestedCheckedException} with the specified detail message_and nested exception._@param msg the detail message_@param cause the nested exception;public NestedCheckedException(@Nullable String msg, @Nullable Throwable cause) {_		super(msg, cause)__	};construct,a,code,nested,checked,exception,with,the,specified,detail,message,and,nested,exception,param,msg,the,detail,message,param,cause,the,nested,exception;public,nested,checked,exception,nullable,string,msg,nullable,throwable,cause,super,msg,cause
NestedCheckedException -> public NestedCheckedException(String msg);1328020251;Construct a <code>NestedCheckedException</code> with the specified detail message._@param msg the detail message;public NestedCheckedException(String msg) {_		super(msg)__	};construct,a,code,nested,checked,exception,code,with,the,specified,detail,message,param,msg,the,detail,message;public,nested,checked,exception,string,msg,super,msg
NestedCheckedException -> public NestedCheckedException(String msg);1356735495;Construct a {@code NestedCheckedException} with the specified detail message._@param msg the detail message;public NestedCheckedException(String msg) {_		super(msg)__	};construct,a,code,nested,checked,exception,with,the,specified,detail,message,param,msg,the,detail,message;public,nested,checked,exception,string,msg,super,msg
