# id;timestamp;commentText;codeText;commentWords;codeWords
TaskManager -> public Task getTask(long id);1524684173;Returns a task with given id, or null if the task is not found.;public Task getTask(long id) {_        Task task = tasks.get(id)__        if (task != null) {_            return task__        } else {_            return getCancellableTask(id)__        }_    };returns,a,task,with,given,id,or,null,if,the,task,is,not,found;public,task,get,task,long,id,task,task,tasks,get,id,if,task,null,return,task,else,return,get,cancellable,task,id
TaskManager -> public Task getTask(long id);1531179852;Returns a task with given id, or null if the task is not found.;public Task getTask(long id) {_        Task task = tasks.get(id)__        if (task != null) {_            return task__        } else {_            return getCancellableTask(id)__        }_    };returns,a,task,with,given,id,or,null,if,the,task,is,not,found;public,task,get,task,long,id,task,task,tasks,get,id,if,task,null,return,task,else,return,get,cancellable,task,id
TaskManager -> public Task getTask(long id);1541092382;Returns a task with given id, or null if the task is not found.;public Task getTask(long id) {_        Task task = tasks.get(id)__        if (task != null) {_            return task__        } else {_            return getCancellableTask(id)__        }_    };returns,a,task,with,given,id,or,null,if,the,task,is,not,found;public,task,get,task,long,id,task,task,tasks,get,id,if,task,null,return,task,else,return,get,cancellable,task,id
TaskManager -> public Task getTask(long id);1542402632;Returns a task with given id, or null if the task is not found.;public Task getTask(long id) {_        Task task = tasks.get(id)__        if (task != null) {_            return task__        } else {_            return getCancellableTask(id)__        }_    };returns,a,task,with,given,id,or,null,if,the,task,is,not,found;public,task,get,task,long,id,task,task,tasks,get,id,if,task,null,return,task,else,return,get,cancellable,task,id
TaskManager -> public <Response extends ActionResponse> void storeResult(Task task, Response response, ActionListener<Response> listener);1524684173;Stores the task result;public <Response extends ActionResponse> void storeResult(Task task, Response response, ActionListener<Response> listener) {_        DiscoveryNode localNode = lastDiscoveryNodes.getLocalNode()__        if (localNode == null) {_            _            logger.warn("couldn't store response {}, the node didn't join the cluster yet", response)__            listener.onResponse(response)__            return__        }_        final TaskResult taskResult__        try {_            taskResult = task.result(localNode, response)__        } catch (IOException ex) {_            logger.warn(() -> new ParameterizedMessage("couldn't store response {}", response), ex)__            listener.onFailure(ex)__            return__        }__        taskResultsService.storeResult(taskResult, new ActionListener<Void>() {_            @Override_            public void onResponse(Void aVoid) {_                listener.onResponse(response)__            }__            @Override_            public void onFailure(Exception e) {_                logger.warn(() -> new ParameterizedMessage("couldn't store response {}", response), e)__                listener.onFailure(e)__            }_        })__    };stores,the,task,result;public,response,extends,action,response,void,store,result,task,task,response,response,action,listener,response,listener,discovery,node,local,node,last,discovery,nodes,get,local,node,if,local,node,null,logger,warn,couldn,t,store,response,the,node,didn,t,join,the,cluster,yet,response,listener,on,response,response,return,final,task,result,task,result,try,task,result,task,result,local,node,response,catch,ioexception,ex,logger,warn,new,parameterized,message,couldn,t,store,response,response,ex,listener,on,failure,ex,return,task,results,service,store,result,task,result,new,action,listener,void,override,public,void,on,response,void,a,void,listener,on,response,response,override,public,void,on,failure,exception,e,logger,warn,new,parameterized,message,couldn,t,store,response,response,e,listener,on,failure,e
TaskManager -> public <Response extends ActionResponse> void storeResult(Task task, Response response, ActionListener<Response> listener);1531179852;Stores the task result;public <Response extends ActionResponse> void storeResult(Task task, Response response, ActionListener<Response> listener) {_        DiscoveryNode localNode = lastDiscoveryNodes.getLocalNode()__        if (localNode == null) {_            _            logger.warn("couldn't store response {}, the node didn't join the cluster yet", response)__            listener.onResponse(response)__            return__        }_        final TaskResult taskResult__        try {_            taskResult = task.result(localNode, response)__        } catch (IOException ex) {_            logger.warn(() -> new ParameterizedMessage("couldn't store response {}", response), ex)__            listener.onFailure(ex)__            return__        }__        taskResultsService.storeResult(taskResult, new ActionListener<Void>() {_            @Override_            public void onResponse(Void aVoid) {_                listener.onResponse(response)__            }__            @Override_            public void onFailure(Exception e) {_                logger.warn(() -> new ParameterizedMessage("couldn't store response {}", response), e)__                listener.onFailure(e)__            }_        })__    };stores,the,task,result;public,response,extends,action,response,void,store,result,task,task,response,response,action,listener,response,listener,discovery,node,local,node,last,discovery,nodes,get,local,node,if,local,node,null,logger,warn,couldn,t,store,response,the,node,didn,t,join,the,cluster,yet,response,listener,on,response,response,return,final,task,result,task,result,try,task,result,task,result,local,node,response,catch,ioexception,ex,logger,warn,new,parameterized,message,couldn,t,store,response,response,ex,listener,on,failure,ex,return,task,results,service,store,result,task,result,new,action,listener,void,override,public,void,on,response,void,a,void,listener,on,response,response,override,public,void,on,failure,exception,e,logger,warn,new,parameterized,message,couldn,t,store,response,response,e,listener,on,failure,e
TaskManager -> public <Response extends ActionResponse> void storeResult(Task task, Response response, ActionListener<Response> listener);1541092382;Stores the task result;public <Response extends ActionResponse> void storeResult(Task task, Response response, ActionListener<Response> listener) {_        DiscoveryNode localNode = lastDiscoveryNodes.getLocalNode()__        if (localNode == null) {_            _            logger.warn("couldn't store response {}, the node didn't join the cluster yet", response)__            listener.onResponse(response)__            return__        }_        final TaskResult taskResult__        try {_            taskResult = task.result(localNode, response)__        } catch (IOException ex) {_            logger.warn(() -> new ParameterizedMessage("couldn't store response {}", response), ex)__            listener.onFailure(ex)__            return__        }__        taskResultsService.storeResult(taskResult, new ActionListener<Void>() {_            @Override_            public void onResponse(Void aVoid) {_                listener.onResponse(response)__            }__            @Override_            public void onFailure(Exception e) {_                logger.warn(() -> new ParameterizedMessage("couldn't store response {}", response), e)__                listener.onFailure(e)__            }_        })__    };stores,the,task,result;public,response,extends,action,response,void,store,result,task,task,response,response,action,listener,response,listener,discovery,node,local,node,last,discovery,nodes,get,local,node,if,local,node,null,logger,warn,couldn,t,store,response,the,node,didn,t,join,the,cluster,yet,response,listener,on,response,response,return,final,task,result,task,result,try,task,result,task,result,local,node,response,catch,ioexception,ex,logger,warn,new,parameterized,message,couldn,t,store,response,response,ex,listener,on,failure,ex,return,task,results,service,store,result,task,result,new,action,listener,void,override,public,void,on,response,void,a,void,listener,on,response,response,override,public,void,on,failure,exception,e,logger,warn,new,parameterized,message,couldn,t,store,response,response,e,listener,on,failure,e
TaskManager -> public <Response extends ActionResponse> void storeResult(Task task, Response response, ActionListener<Response> listener);1542402632;Stores the task result;public <Response extends ActionResponse> void storeResult(Task task, Response response, ActionListener<Response> listener) {_        DiscoveryNode localNode = lastDiscoveryNodes.getLocalNode()__        if (localNode == null) {_            _            logger.warn("couldn't store response {}, the node didn't join the cluster yet", response)__            listener.onResponse(response)__            return__        }_        final TaskResult taskResult__        try {_            taskResult = task.result(localNode, response)__        } catch (IOException ex) {_            logger.warn(() -> new ParameterizedMessage("couldn't store response {}", response), ex)__            listener.onFailure(ex)__            return__        }__        taskResultsService.storeResult(taskResult, new ActionListener<Void>() {_            @Override_            public void onResponse(Void aVoid) {_                listener.onResponse(response)__            }__            @Override_            public void onFailure(Exception e) {_                logger.warn(() -> new ParameterizedMessage("couldn't store response {}", response), e)__                listener.onFailure(e)__            }_        })__    };stores,the,task,result;public,response,extends,action,response,void,store,result,task,task,response,response,action,listener,response,listener,discovery,node,local,node,last,discovery,nodes,get,local,node,if,local,node,null,logger,warn,couldn,t,store,response,the,node,didn,t,join,the,cluster,yet,response,listener,on,response,response,return,final,task,result,task,result,try,task,result,task,result,local,node,response,catch,ioexception,ex,logger,warn,new,parameterized,message,couldn,t,store,response,response,ex,listener,on,failure,ex,return,task,results,service,store,result,task,result,new,action,listener,void,override,public,void,on,response,void,a,void,listener,on,response,response,override,public,void,on,failure,exception,e,logger,warn,new,parameterized,message,couldn,t,store,response,response,e,listener,on,failure,e
TaskManager -> public CancellableTask getCancellableTask(long id);1524684173;Returns a cancellable task with given id, or null if the task is not found.;public CancellableTask getCancellableTask(long id) {_        CancellableTaskHolder holder = cancellableTasks.get(id)__        if (holder != null) {_            return holder.getTask()__        } else {_            return null__        }_    };returns,a,cancellable,task,with,given,id,or,null,if,the,task,is,not,found;public,cancellable,task,get,cancellable,task,long,id,cancellable,task,holder,holder,cancellable,tasks,get,id,if,holder,null,return,holder,get,task,else,return,null
TaskManager -> public CancellableTask getCancellableTask(long id);1531179852;Returns a cancellable task with given id, or null if the task is not found.;public CancellableTask getCancellableTask(long id) {_        CancellableTaskHolder holder = cancellableTasks.get(id)__        if (holder != null) {_            return holder.getTask()__        } else {_            return null__        }_    };returns,a,cancellable,task,with,given,id,or,null,if,the,task,is,not,found;public,cancellable,task,get,cancellable,task,long,id,cancellable,task,holder,holder,cancellable,tasks,get,id,if,holder,null,return,holder,get,task,else,return,null
TaskManager -> public CancellableTask getCancellableTask(long id);1541092382;Returns a cancellable task with given id, or null if the task is not found.;public CancellableTask getCancellableTask(long id) {_        CancellableTaskHolder holder = cancellableTasks.get(id)__        if (holder != null) {_            return holder.getTask()__        } else {_            return null__        }_    };returns,a,cancellable,task,with,given,id,or,null,if,the,task,is,not,found;public,cancellable,task,get,cancellable,task,long,id,cancellable,task,holder,holder,cancellable,tasks,get,id,if,holder,null,return,holder,get,task,else,return,null
