# id;timestamp;commentText;codeText;commentWords;codeWords
IOUtils -> public static void closeStream(final java.io.Closeable stream);1460741894;Closes the stream ignoring {@link IOException}. Must only be called in_cleaning up from exception handlers.__@param stream_the stream to close;public static void closeStream(final java.io.Closeable stream) {_		cleanup(null, stream)__	};closes,the,stream,ignoring,link,ioexception,must,only,be,called,in,cleaning,up,from,exception,handlers,param,stream,the,stream,to,close;public,static,void,close,stream,final,java,io,closeable,stream,cleanup,null,stream
IOUtils -> public static void closeStream(final java.io.Closeable stream);1479853012;Closes the stream ignoring {@link IOException}. Must only be called in_cleaning up from exception handlers.__@param stream_the stream to close;public static void closeStream(final java.io.Closeable stream) {_		cleanup(null, stream)__	};closes,the,stream,ignoring,link,ioexception,must,only,be,called,in,cleaning,up,from,exception,handlers,param,stream,the,stream,to,close;public,static,void,close,stream,final,java,io,closeable,stream,cleanup,null,stream
IOUtils -> public static void closeStream(final java.io.Closeable stream);1480678142;Closes the stream ignoring {@link IOException}. Must only be called in_cleaning up from exception handlers.__@param stream_the stream to close;public static void closeStream(final java.io.Closeable stream) {_		cleanup(null, stream)__	};closes,the,stream,ignoring,link,ioexception,must,only,be,called,in,cleaning,up,from,exception,handlers,param,stream,the,stream,to,close;public,static,void,close,stream,final,java,io,closeable,stream,cleanup,null,stream
IOUtils -> public static void closeStream(final java.io.Closeable stream);1485363344;Closes the stream ignoring {@link IOException}. Must only be called in_cleaning up from exception handlers.__@param stream_the stream to close;public static void closeStream(final java.io.Closeable stream) {_		cleanup(null, stream)__	};closes,the,stream,ignoring,link,ioexception,must,only,be,called,in,cleaning,up,from,exception,handlers,param,stream,the,stream,to,close;public,static,void,close,stream,final,java,io,closeable,stream,cleanup,null,stream
IOUtils -> public static void closeStream(final java.io.Closeable stream);1516295284;Closes the stream ignoring {@link IOException}. Must only be called in_cleaning up from exception handlers.__@param stream_the stream to close;public static void closeStream(final java.io.Closeable stream) {_		cleanup(null, stream)__	};closes,the,stream,ignoring,link,ioexception,must,only,be,called,in,cleaning,up,from,exception,handlers,param,stream,the,stream,to,close;public,static,void,close,stream,final,java,io,closeable,stream,cleanup,null,stream
IOUtils -> public static void closeAllQuietly(Iterable<? extends AutoCloseable> closeables);1485363344;Closes all elements in the iterable with closeQuietly().;public static void closeAllQuietly(Iterable<? extends AutoCloseable> closeables) {_		if (null != closeables) {_			for (AutoCloseable closeable : closeables) {_				closeQuietly(closeable)__			}_		}_	};closes,all,elements,in,the,iterable,with,close,quietly;public,static,void,close,all,quietly,iterable,extends,auto,closeable,closeables,if,null,closeables,for,auto,closeable,closeable,closeables,close,quietly,closeable
IOUtils -> public static void closeAllQuietly(Iterable<? extends AutoCloseable> closeables);1516295284;Closes all elements in the iterable with closeQuietly().;public static void closeAllQuietly(Iterable<? extends AutoCloseable> closeables) {_		if (null != closeables) {_			for (AutoCloseable closeable : closeables) {_				closeQuietly(closeable)__			}_		}_	};closes,all,elements,in,the,iterable,with,close,quietly;public,static,void,close,all,quietly,iterable,extends,auto,closeable,closeables,if,null,closeables,for,auto,closeable,closeable,closeables,close,quietly,closeable
IOUtils -> public static void copyBytes(final InputStream in, final OutputStream out, final boolean close) throws IOException;1460741894;Copies from one stream to another.__@param in_InputStream to read from_@param out_OutputStream to write to_@param close_whether or not close the InputStream and OutputStream at the_end. The streams are closed in the finally clause._@throws IOException_thrown if an I/O error occurs while copying;public static void copyBytes(final InputStream in, final OutputStream out, final boolean close) throws IOException {_		copyBytes(in, out, BLOCKSIZE, close)__	};copies,from,one,stream,to,another,param,in,input,stream,to,read,from,param,out,output,stream,to,write,to,param,close,whether,or,not,close,the,input,stream,and,output,stream,at,the,end,the,streams,are,closed,in,the,finally,clause,throws,ioexception,thrown,if,an,i,o,error,occurs,while,copying;public,static,void,copy,bytes,final,input,stream,in,final,output,stream,out,final,boolean,close,throws,ioexception,copy,bytes,in,out,blocksize,close
IOUtils -> public static void copyBytes(final InputStream in, final OutputStream out, final boolean close) throws IOException;1479853012;Copies from one stream to another.__@param in_InputStream to read from_@param out_OutputStream to write to_@param close_whether or not close the InputStream and OutputStream at the_end. The streams are closed in the finally clause._@throws IOException_thrown if an I/O error occurs while copying;public static void copyBytes(final InputStream in, final OutputStream out, final boolean close) throws IOException {_		copyBytes(in, out, BLOCKSIZE, close)__	};copies,from,one,stream,to,another,param,in,input,stream,to,read,from,param,out,output,stream,to,write,to,param,close,whether,or,not,close,the,input,stream,and,output,stream,at,the,end,the,streams,are,closed,in,the,finally,clause,throws,ioexception,thrown,if,an,i,o,error,occurs,while,copying;public,static,void,copy,bytes,final,input,stream,in,final,output,stream,out,final,boolean,close,throws,ioexception,copy,bytes,in,out,blocksize,close
IOUtils -> public static void copyBytes(final InputStream in, final OutputStream out, final boolean close) throws IOException;1480678142;Copies from one stream to another.__@param in_InputStream to read from_@param out_OutputStream to write to_@param close_whether or not close the InputStream and OutputStream at the_end. The streams are closed in the finally clause._@throws IOException_thrown if an I/O error occurs while copying;public static void copyBytes(final InputStream in, final OutputStream out, final boolean close) throws IOException {_		copyBytes(in, out, BLOCKSIZE, close)__	};copies,from,one,stream,to,another,param,in,input,stream,to,read,from,param,out,output,stream,to,write,to,param,close,whether,or,not,close,the,input,stream,and,output,stream,at,the,end,the,streams,are,closed,in,the,finally,clause,throws,ioexception,thrown,if,an,i,o,error,occurs,while,copying;public,static,void,copy,bytes,final,input,stream,in,final,output,stream,out,final,boolean,close,throws,ioexception,copy,bytes,in,out,blocksize,close
IOUtils -> public static void copyBytes(final InputStream in, final OutputStream out, final boolean close) throws IOException;1485363344;Copies from one stream to another.__@param in_InputStream to read from_@param out_OutputStream to write to_@param close_whether or not close the InputStream and OutputStream at the_end. The streams are closed in the finally clause._@throws IOException_thrown if an I/O error occurs while copying;public static void copyBytes(final InputStream in, final OutputStream out, final boolean close) throws IOException {_		copyBytes(in, out, BLOCKSIZE, close)__	};copies,from,one,stream,to,another,param,in,input,stream,to,read,from,param,out,output,stream,to,write,to,param,close,whether,or,not,close,the,input,stream,and,output,stream,at,the,end,the,streams,are,closed,in,the,finally,clause,throws,ioexception,thrown,if,an,i,o,error,occurs,while,copying;public,static,void,copy,bytes,final,input,stream,in,final,output,stream,out,final,boolean,close,throws,ioexception,copy,bytes,in,out,blocksize,close
IOUtils -> public static void copyBytes(final InputStream in, final OutputStream out, final boolean close) throws IOException;1516295284;Copies from one stream to another.__@param in_InputStream to read from_@param out_OutputStream to write to_@param close_whether or not close the InputStream and OutputStream at the_end. The streams are closed in the finally clause._@throws IOException_thrown if an I/O error occurs while copying;public static void copyBytes(final InputStream in, final OutputStream out, final boolean close) throws IOException {_		copyBytes(in, out, BLOCKSIZE, close)__	};copies,from,one,stream,to,another,param,in,input,stream,to,read,from,param,out,output,stream,to,write,to,param,close,whether,or,not,close,the,input,stream,and,output,stream,at,the,end,the,streams,are,closed,in,the,finally,clause,throws,ioexception,thrown,if,an,i,o,error,occurs,while,copying;public,static,void,copy,bytes,final,input,stream,in,final,output,stream,out,final,boolean,close,throws,ioexception,copy,bytes,in,out,blocksize,close
IOUtils -> public static void closeQuietly(AutoCloseable closeable);1485363344;<p><b>Important:</b> This method is expected to never throw an exception.;public static void closeQuietly(AutoCloseable closeable) {_		try {_			if (closeable != null) {_				closeable.close()__			}_		} catch (Throwable ignored) {}_	};p,b,important,b,this,method,is,expected,to,never,throw,an,exception;public,static,void,close,quietly,auto,closeable,closeable,try,if,closeable,null,closeable,close,catch,throwable,ignored
IOUtils -> public static void closeQuietly(AutoCloseable closeable);1516295284;Closes the given AutoCloseable.__<p><b>Important:</b> This method is expected to never throw an exception.;public static void closeQuietly(AutoCloseable closeable) {_		try {_			if (closeable != null) {_				closeable.close()__			}_		} catch (Throwable ignored) {}_	};closes,the,given,auto,closeable,p,b,important,b,this,method,is,expected,to,never,throw,an,exception;public,static,void,close,quietly,auto,closeable,closeable,try,if,closeable,null,closeable,close,catch,throwable,ignored
IOUtils -> public static void closeSocket(final Socket sock);1460741894;Closes the socket ignoring {@link IOException}.__@param sock_the socket to close;public static void closeSocket(final Socket sock) {_		_		if (sock != null) {_			try {_				sock.close()__			} catch (IOException ignored) {_			}_		}_	};closes,the,socket,ignoring,link,ioexception,param,sock,the,socket,to,close;public,static,void,close,socket,final,socket,sock,if,sock,null,try,sock,close,catch,ioexception,ignored
IOUtils -> public static void closeSocket(final Socket sock);1479853012;Closes the socket ignoring {@link IOException}.__@param sock_the socket to close;public static void closeSocket(final Socket sock) {_		_		if (sock != null) {_			try {_				sock.close()__			} catch (IOException ignored) {_			}_		}_	};closes,the,socket,ignoring,link,ioexception,param,sock,the,socket,to,close;public,static,void,close,socket,final,socket,sock,if,sock,null,try,sock,close,catch,ioexception,ignored
IOUtils -> public static void closeSocket(final Socket sock);1480678142;Closes the socket ignoring {@link IOException}.__@param sock_the socket to close;public static void closeSocket(final Socket sock) {_		_		if (sock != null) {_			try {_				sock.close()__			} catch (IOException ignored) {_			}_		}_	};closes,the,socket,ignoring,link,ioexception,param,sock,the,socket,to,close;public,static,void,close,socket,final,socket,sock,if,sock,null,try,sock,close,catch,ioexception,ignored
IOUtils -> public static void closeSocket(final Socket sock);1485363344;Closes the socket ignoring {@link IOException}.__@param sock_the socket to close;public static void closeSocket(final Socket sock) {_		_		if (sock != null) {_			try {_				sock.close()__			} catch (IOException ignored) {_			}_		}_	};closes,the,socket,ignoring,link,ioexception,param,sock,the,socket,to,close;public,static,void,close,socket,final,socket,sock,if,sock,null,try,sock,close,catch,ioexception,ignored
IOUtils -> public static void closeSocket(final Socket sock);1516295284;Closes the socket ignoring {@link IOException}.__@param sock_the socket to close;public static void closeSocket(final Socket sock) {_		_		if (sock != null) {_			try {_				sock.close()__			} catch (IOException ignored) {_			}_		}_	};closes,the,socket,ignoring,link,ioexception,param,sock,the,socket,to,close;public,static,void,close,socket,final,socket,sock,if,sock,null,try,sock,close,catch,ioexception,ignored
