# id;timestamp;commentText;codeText;commentWords;codeWords
LinkedOptionalMap -> public Set<String> keyNames();1550821416;Returns the key names added to this map.;public Set<String> keyNames() {_		return underlyingMap.keySet()__	};returns,the,key,names,added,to,this,map;public,set,string,key,names,return,underlying,map,key,set
LinkedOptionalMap -> public Set<String> keyNames();1550821416;Returns the key names added to this map.;public Set<String> keyNames() {_		return underlyingMap.keySet()__	};returns,the,key,names,added,to,this,map;public,set,string,key,names,return,underlying,map,key,set
LinkedOptionalMap -> public Set<String> keyNames();1550821417;Returns the key names added to this map.;public Set<String> keyNames() {_		return underlyingMap.keySet()__	};returns,the,key,names,added,to,this,map;public,set,string,key,names,return,underlying,map,key,set
LinkedOptionalMap -> public Set<String> keyNames();1550821418;Returns the key names added to this map.;public Set<String> keyNames() {_		return underlyingMap.keySet()__	};returns,the,key,names,added,to,this,map;public,set,string,key,names,return,underlying,map,key,set
LinkedOptionalMap -> MergeResult -> public boolean isOrderedSubset();1550821416;Returns {@code true} if keyNames present at @left, appearing in prefix order at @right.;public boolean isOrderedSubset() {_			return isOrderedSubset__		};returns,code,true,if,key,names,present,at,left,appearing,in,prefix,order,at,right;public,boolean,is,ordered,subset,return,is,ordered,subset
LinkedOptionalMap -> MergeResult -> public boolean isOrderedSubset();1550821416;Returns {@code true} if keyNames present at @left, appearing in prefix order at @right.;public boolean isOrderedSubset() {_			return isOrderedSubset__		};returns,code,true,if,key,names,present,at,left,appearing,in,prefix,order,at,right;public,boolean,is,ordered,subset,return,is,ordered,subset
LinkedOptionalMap -> MergeResult -> public boolean isOrderedSubset();1550821417;Returns {@code true} if keyNames present at @left, appearing in prefix order at @right.;public boolean isOrderedSubset() {_			return isOrderedSubset__		};returns,code,true,if,key,names,present,at,left,appearing,in,prefix,order,at,right;public,boolean,is,ordered,subset,return,is,ordered,subset
LinkedOptionalMap -> MergeResult -> public boolean isOrderedSubset();1550821418;Returns {@code true} if keyNames present at @left, appearing in prefix order at @right.;public boolean isOrderedSubset() {_			return isOrderedSubset__		};returns,code,true,if,key,names,present,at,left,appearing,in,prefix,order,at,right;public,boolean,is,ordered,subset,return,is,ordered,subset
LinkedOptionalMap -> public LinkedHashMap<K, V> unwrapOptionals();1550821416;Assuming all the entries of this map are present (keys and values) this method would return_a map with these key and values, stripped from their Optional wrappers._NOTE: please note that if any of the key or values are absent this method would throw an {@link IllegalStateException}.;public LinkedHashMap<K, V> unwrapOptionals() {_		final LinkedHashMap<K, V> unwrapped = new LinkedHashMap<>(underlyingMap.size())___		for (Entry<String, KeyValue<K, V>> entry : underlyingMap.entrySet()) {_			String namedKey = entry.getKey()__			KeyValue<K, V> kv = entry.getValue()__			if (kv.key == null) {_				throw new IllegalStateException("Missing key '" + namedKey + "'")__			}_			if (kv.value == null) {_				throw new IllegalStateException("Missing value for the key '" + namedKey + "'")__			}_			unwrapped.put(kv.key, kv.value)__		}__		return unwrapped__	};assuming,all,the,entries,of,this,map,are,present,keys,and,values,this,method,would,return,a,map,with,these,key,and,values,stripped,from,their,optional,wrappers,note,please,note,that,if,any,of,the,key,or,values,are,absent,this,method,would,throw,an,link,illegal,state,exception;public,linked,hash,map,k,v,unwrap,optionals,final,linked,hash,map,k,v,unwrapped,new,linked,hash,map,underlying,map,size,for,entry,string,key,value,k,v,entry,underlying,map,entry,set,string,named,key,entry,get,key,key,value,k,v,kv,entry,get,value,if,kv,key,null,throw,new,illegal,state,exception,missing,key,named,key,if,kv,value,null,throw,new,illegal,state,exception,missing,value,for,the,key,named,key,unwrapped,put,kv,key,kv,value,return,unwrapped
LinkedOptionalMap -> public LinkedHashMap<K, V> unwrapOptionals();1550821416;Assuming all the entries of this map are present (keys and values) this method would return_a map with these key and values, stripped from their Optional wrappers._NOTE: please note that if any of the key or values are absent this method would throw an {@link IllegalStateException}.;public LinkedHashMap<K, V> unwrapOptionals() {_		final LinkedHashMap<K, V> unwrapped = new LinkedHashMap<>(underlyingMap.size())___		for (Entry<String, KeyValue<K, V>> entry : underlyingMap.entrySet()) {_			String namedKey = entry.getKey()__			KeyValue<K, V> kv = entry.getValue()__			if (kv.key == null) {_				throw new IllegalStateException("Missing key '" + namedKey + "'")__			}_			if (kv.value == null) {_				throw new IllegalStateException("Missing value for the key '" + namedKey + "'")__			}_			unwrapped.put(kv.key, kv.value)__		}_		return unwrapped__	};assuming,all,the,entries,of,this,map,are,present,keys,and,values,this,method,would,return,a,map,with,these,key,and,values,stripped,from,their,optional,wrappers,note,please,note,that,if,any,of,the,key,or,values,are,absent,this,method,would,throw,an,link,illegal,state,exception;public,linked,hash,map,k,v,unwrap,optionals,final,linked,hash,map,k,v,unwrapped,new,linked,hash,map,underlying,map,size,for,entry,string,key,value,k,v,entry,underlying,map,entry,set,string,named,key,entry,get,key,key,value,k,v,kv,entry,get,value,if,kv,key,null,throw,new,illegal,state,exception,missing,key,named,key,if,kv,value,null,throw,new,illegal,state,exception,missing,value,for,the,key,named,key,unwrapped,put,kv,key,kv,value,return,unwrapped
LinkedOptionalMap -> public LinkedHashMap<K, V> unwrapOptionals();1550821417;Assuming all the entries of this map are present (keys and values) this method would return_a map with these key and values, stripped from their Optional wrappers._NOTE: please note that if any of the key or values are absent this method would throw an {@link IllegalStateException}.;public LinkedHashMap<K, V> unwrapOptionals() {_		final LinkedHashMap<K, V> unwrapped = new LinkedHashMap<>(underlyingMap.size())___		for (Entry<String, KeyValue<K, V>> entry : underlyingMap.entrySet()) {_			String namedKey = entry.getKey()__			KeyValue<K, V> kv = entry.getValue()__			if (kv.key == null) {_				throw new IllegalStateException("Missing key '" + namedKey + "'")__			}_			if (kv.value == null) {_				throw new IllegalStateException("Missing value for the key '" + namedKey + "'")__			}_			unwrapped.put(kv.key, kv.value)__		}_		return unwrapped__	};assuming,all,the,entries,of,this,map,are,present,keys,and,values,this,method,would,return,a,map,with,these,key,and,values,stripped,from,their,optional,wrappers,note,please,note,that,if,any,of,the,key,or,values,are,absent,this,method,would,throw,an,link,illegal,state,exception;public,linked,hash,map,k,v,unwrap,optionals,final,linked,hash,map,k,v,unwrapped,new,linked,hash,map,underlying,map,size,for,entry,string,key,value,k,v,entry,underlying,map,entry,set,string,named,key,entry,get,key,key,value,k,v,kv,entry,get,value,if,kv,key,null,throw,new,illegal,state,exception,missing,key,named,key,if,kv,value,null,throw,new,illegal,state,exception,missing,value,for,the,key,named,key,unwrapped,put,kv,key,kv,value,return,unwrapped
