# id;timestamp;commentText;codeText;commentWords;codeWords
ReplicationOperation -> Primary -> long localCheckpoint()_;1524684173;Returns the local checkpoint on the primary shard.__@return the local checkpoint;long localCheckpoint()_;returns,the,local,checkpoint,on,the,primary,shard,return,the,local,checkpoint;long,local,checkpoint
ReplicationOperation -> Primary -> long localCheckpoint()_;1528762805;Returns the local checkpoint on the primary shard.__@return the local checkpoint;long localCheckpoint()_;returns,the,local,checkpoint,on,the,primary,shard,return,the,local,checkpoint;long,local,checkpoint
ReplicationOperation -> Primary -> long localCheckpoint()_;1538067637;Returns the local checkpoint on the primary shard.__@return the local checkpoint;long localCheckpoint()_;returns,the,local,checkpoint,on,the,primary,shard,return,the,local,checkpoint;long,local,checkpoint
ReplicationOperation -> Primary -> long localCheckpoint()_;1550598745;Returns the local checkpoint on the primary shard.__@return the local checkpoint;long localCheckpoint()_;returns,the,local,checkpoint,on,the,primary,shard,return,the,local,checkpoint;long,local,checkpoint
ReplicationOperation -> protected String checkActiveShardCount();1524684173;Checks whether we can perform a write based on the required active shard count setting._Returns **null* if OK to proceed, or a string describing the reason to stop;protected String checkActiveShardCount() {_        final ShardId shardId = primary.routingEntry().shardId()__        final ActiveShardCount waitForActiveShards = request.waitForActiveShards()__        if (waitForActiveShards == ActiveShardCount.NONE) {_            return null_  _        }_        final IndexShardRoutingTable shardRoutingTable = primary.getReplicationGroup().getRoutingTable()__        if (waitForActiveShards.enoughShardsActive(shardRoutingTable)) {_            return null__        } else {_            final String resolvedShards = waitForActiveShards == ActiveShardCount.ALL ? Integer.toString(shardRoutingTable.shards().size())_                                              : waitForActiveShards.toString()__            logger.trace("[{}] not enough active copies to meet shard count of [{}] (have {}, needed {}), scheduling a retry. op [{}], " +_                         "request [{}]", shardId, waitForActiveShards, shardRoutingTable.activeShards().size(),_                         resolvedShards, opType, request)__            return "Not enough active copies to meet shard count of [" + waitForActiveShards + "] (have " +_                       shardRoutingTable.activeShards().size() + ", needed " + resolvedShards + ")."__        }_    };checks,whether,we,can,perform,a,write,based,on,the,required,active,shard,count,setting,returns,null,if,ok,to,proceed,or,a,string,describing,the,reason,to,stop;protected,string,check,active,shard,count,final,shard,id,shard,id,primary,routing,entry,shard,id,final,active,shard,count,wait,for,active,shards,request,wait,for,active,shards,if,wait,for,active,shards,active,shard,count,none,return,null,final,index,shard,routing,table,shard,routing,table,primary,get,replication,group,get,routing,table,if,wait,for,active,shards,enough,shards,active,shard,routing,table,return,null,else,final,string,resolved,shards,wait,for,active,shards,active,shard,count,all,integer,to,string,shard,routing,table,shards,size,wait,for,active,shards,to,string,logger,trace,not,enough,active,copies,to,meet,shard,count,of,have,needed,scheduling,a,retry,op,request,shard,id,wait,for,active,shards,shard,routing,table,active,shards,size,resolved,shards,op,type,request,return,not,enough,active,copies,to,meet,shard,count,of,wait,for,active,shards,have,shard,routing,table,active,shards,size,needed,resolved,shards
ReplicationOperation -> protected String checkActiveShardCount();1528762805;Checks whether we can perform a write based on the required active shard count setting._Returns **null* if OK to proceed, or a string describing the reason to stop;protected String checkActiveShardCount() {_        final ShardId shardId = primary.routingEntry().shardId()__        final ActiveShardCount waitForActiveShards = request.waitForActiveShards()__        if (waitForActiveShards == ActiveShardCount.NONE) {_            return null_  _        }_        final IndexShardRoutingTable shardRoutingTable = primary.getReplicationGroup().getRoutingTable()__        if (waitForActiveShards.enoughShardsActive(shardRoutingTable)) {_            return null__        } else {_            final String resolvedShards = waitForActiveShards == ActiveShardCount.ALL ? Integer.toString(shardRoutingTable.shards().size())_                                              : waitForActiveShards.toString()__            logger.trace("[{}] not enough active copies to meet shard count of [{}] (have {}, needed {}), scheduling a retry. op [{}], " +_                         "request [{}]", shardId, waitForActiveShards, shardRoutingTable.activeShards().size(),_                         resolvedShards, opType, request)__            return "Not enough active copies to meet shard count of [" + waitForActiveShards + "] (have " +_                       shardRoutingTable.activeShards().size() + ", needed " + resolvedShards + ")."__        }_    };checks,whether,we,can,perform,a,write,based,on,the,required,active,shard,count,setting,returns,null,if,ok,to,proceed,or,a,string,describing,the,reason,to,stop;protected,string,check,active,shard,count,final,shard,id,shard,id,primary,routing,entry,shard,id,final,active,shard,count,wait,for,active,shards,request,wait,for,active,shards,if,wait,for,active,shards,active,shard,count,none,return,null,final,index,shard,routing,table,shard,routing,table,primary,get,replication,group,get,routing,table,if,wait,for,active,shards,enough,shards,active,shard,routing,table,return,null,else,final,string,resolved,shards,wait,for,active,shards,active,shard,count,all,integer,to,string,shard,routing,table,shards,size,wait,for,active,shards,to,string,logger,trace,not,enough,active,copies,to,meet,shard,count,of,have,needed,scheduling,a,retry,op,request,shard,id,wait,for,active,shards,shard,routing,table,active,shards,size,resolved,shards,op,type,request,return,not,enough,active,copies,to,meet,shard,count,of,wait,for,active,shards,have,shard,routing,table,active,shards,size,needed,resolved,shards
ReplicationOperation -> protected String checkActiveShardCount();1538067637;Checks whether we can perform a write based on the required active shard count setting._Returns **null* if OK to proceed, or a string describing the reason to stop;protected String checkActiveShardCount() {_        final ShardId shardId = primary.routingEntry().shardId()__        final ActiveShardCount waitForActiveShards = request.waitForActiveShards()__        if (waitForActiveShards == ActiveShardCount.NONE) {_            return null_  _        }_        final IndexShardRoutingTable shardRoutingTable = primary.getReplicationGroup().getRoutingTable()__        if (waitForActiveShards.enoughShardsActive(shardRoutingTable)) {_            return null__        } else {_            final String resolvedShards = waitForActiveShards == ActiveShardCount.ALL ? Integer.toString(shardRoutingTable.shards().size())_                                              : waitForActiveShards.toString()__            logger.trace("[{}] not enough active copies to meet shard count of [{}] (have {}, needed {}), scheduling a retry. op [{}], " +_                         "request [{}]", shardId, waitForActiveShards, shardRoutingTable.activeShards().size(),_                         resolvedShards, opType, request)__            return "Not enough active copies to meet shard count of [" + waitForActiveShards + "] (have " +_                       shardRoutingTable.activeShards().size() + ", needed " + resolvedShards + ")."__        }_    };checks,whether,we,can,perform,a,write,based,on,the,required,active,shard,count,setting,returns,null,if,ok,to,proceed,or,a,string,describing,the,reason,to,stop;protected,string,check,active,shard,count,final,shard,id,shard,id,primary,routing,entry,shard,id,final,active,shard,count,wait,for,active,shards,request,wait,for,active,shards,if,wait,for,active,shards,active,shard,count,none,return,null,final,index,shard,routing,table,shard,routing,table,primary,get,replication,group,get,routing,table,if,wait,for,active,shards,enough,shards,active,shard,routing,table,return,null,else,final,string,resolved,shards,wait,for,active,shards,active,shard,count,all,integer,to,string,shard,routing,table,shards,size,wait,for,active,shards,to,string,logger,trace,not,enough,active,copies,to,meet,shard,count,of,have,needed,scheduling,a,retry,op,request,shard,id,wait,for,active,shards,shard,routing,table,active,shards,size,resolved,shards,op,type,request,return,not,enough,active,copies,to,meet,shard,count,of,wait,for,active,shards,have,shard,routing,table,active,shards,size,needed,resolved,shards
ReplicationOperation -> protected String checkActiveShardCount();1550598745;Checks whether we can perform a write based on the required active shard count setting._Returns **null* if OK to proceed, or a string describing the reason to stop;protected String checkActiveShardCount() {_        final ShardId shardId = primary.routingEntry().shardId()__        final ActiveShardCount waitForActiveShards = request.waitForActiveShards()__        if (waitForActiveShards == ActiveShardCount.NONE) {_            return null_  _        }_        final IndexShardRoutingTable shardRoutingTable = primary.getReplicationGroup().getRoutingTable()__        if (waitForActiveShards.enoughShardsActive(shardRoutingTable)) {_            return null__        } else {_            final String resolvedShards = waitForActiveShards == ActiveShardCount.ALL ? Integer.toString(shardRoutingTable.shards().size())_                                              : waitForActiveShards.toString()__            logger.trace("[{}] not enough active copies to meet shard count of [{}] (have {}, needed {}), scheduling a retry. op [{}], " +_                         "request [{}]", shardId, waitForActiveShards, shardRoutingTable.activeShards().size(),_                         resolvedShards, opType, request)__            return "Not enough active copies to meet shard count of [" + waitForActiveShards + "] (have " +_                       shardRoutingTable.activeShards().size() + ", needed " + resolvedShards + ")."__        }_    };checks,whether,we,can,perform,a,write,based,on,the,required,active,shard,count,setting,returns,null,if,ok,to,proceed,or,a,string,describing,the,reason,to,stop;protected,string,check,active,shard,count,final,shard,id,shard,id,primary,routing,entry,shard,id,final,active,shard,count,wait,for,active,shards,request,wait,for,active,shards,if,wait,for,active,shards,active,shard,count,none,return,null,final,index,shard,routing,table,shard,routing,table,primary,get,replication,group,get,routing,table,if,wait,for,active,shards,enough,shards,active,shard,routing,table,return,null,else,final,string,resolved,shards,wait,for,active,shards,active,shard,count,all,integer,to,string,shard,routing,table,shards,size,wait,for,active,shards,to,string,logger,trace,not,enough,active,copies,to,meet,shard,count,of,have,needed,scheduling,a,retry,op,request,shard,id,wait,for,active,shards,shard,routing,table,active,shards,size,resolved,shards,op,type,request,return,not,enough,active,copies,to,meet,shard,count,of,wait,for,active,shards,have,shard,routing,table,active,shards,size,needed,resolved,shards
ReplicationOperation -> Replicas -> void performOn(ShardRouting replica, RequestT replicaRequest, long globalCheckpoint,                        long maxSeqNoOfUpdatesOrDeletes, ActionListener<ReplicaResponse> listener)_;1538067637;Performs the specified request on the specified replica.__@param replica                    the shard this request should be executed on_@param replicaRequest             the operation to perform_@param globalCheckpoint           the global checkpoint on the primary_@param maxSeqNoOfUpdatesOrDeletes the max seq_no of updates (index operations overwriting Lucene) or deletes on primary_after this replication was executed on it._@param listener                   callback for handling the response or failure;void performOn(ShardRouting replica, RequestT replicaRequest, long globalCheckpoint,_                       long maxSeqNoOfUpdatesOrDeletes, ActionListener<ReplicaResponse> listener)_;performs,the,specified,request,on,the,specified,replica,param,replica,the,shard,this,request,should,be,executed,on,param,replica,request,the,operation,to,perform,param,global,checkpoint,the,global,checkpoint,on,the,primary,param,max,seq,no,of,updates,or,deletes,the,max,of,updates,index,operations,overwriting,lucene,or,deletes,on,primary,after,this,replication,was,executed,on,it,param,listener,callback,for,handling,the,response,or,failure;void,perform,on,shard,routing,replica,request,t,replica,request,long,global,checkpoint,long,max,seq,no,of,updates,or,deletes,action,listener,replica,response,listener
ReplicationOperation -> Replicas -> void performOn(ShardRouting replica, RequestT replicaRequest, long globalCheckpoint,                        long maxSeqNoOfUpdatesOrDeletes, ActionListener<ReplicaResponse> listener)_;1550598745;Performs the specified request on the specified replica.__@param replica                    the shard this request should be executed on_@param replicaRequest             the operation to perform_@param globalCheckpoint           the global checkpoint on the primary_@param maxSeqNoOfUpdatesOrDeletes the max seq_no of updates (index operations overwriting Lucene) or deletes on primary_after this replication was executed on it._@param listener                   callback for handling the response or failure;void performOn(ShardRouting replica, RequestT replicaRequest, long globalCheckpoint,_                       long maxSeqNoOfUpdatesOrDeletes, ActionListener<ReplicaResponse> listener)_;performs,the,specified,request,on,the,specified,replica,param,replica,the,shard,this,request,should,be,executed,on,param,replica,request,the,operation,to,perform,param,global,checkpoint,the,global,checkpoint,on,the,primary,param,max,seq,no,of,updates,or,deletes,the,max,of,updates,index,operations,overwriting,lucene,or,deletes,on,primary,after,this,replication,was,executed,on,it,param,listener,callback,for,handling,the,response,or,failure;void,perform,on,shard,routing,replica,request,t,replica,request,long,global,checkpoint,long,max,seq,no,of,updates,or,deletes,action,listener,replica,response,listener
ReplicationOperation -> PrimaryResult -> @Nullable RequestT replicaRequest()_;1524684173;@return null if no operation needs to be sent to a replica_(for example when the operation failed on the primary due to a parsing exception);@Nullable RequestT replicaRequest()_;return,null,if,no,operation,needs,to,be,sent,to,a,replica,for,example,when,the,operation,failed,on,the,primary,due,to,a,parsing,exception;nullable,request,t,replica,request
