# id;timestamp;commentText;codeText;commentWords;codeWords
ResultSetConversionStrategies -> public static ResultSetConversionStrategy all();1419330065;Retrieve all rows._Message body contains a big list of {@link Row}s;public static ResultSetConversionStrategy all() {_        return ALL__    };retrieve,all,rows,message,body,contains,a,big,list,of,link,row,s;public,static,result,set,conversion,strategy,all,return,all
ResultSetConversionStrategies -> public static ResultSetConversionStrategy all();1419331245;Retrieve all rows._Message body contains a big list of {@link Row}s;public static ResultSetConversionStrategy all() {_        return ALL__    };retrieve,all,rows,message,body,contains,a,big,list,of,link,row,s;public,static,result,set,conversion,strategy,all,return,all
ResultSetConversionStrategies -> public static ResultSetConversionStrategy all();1461916938;Retrieve all rows._Message body contains a big list of {@link Row}s;public static ResultSetConversionStrategy all() {_        return ALL__    };retrieve,all,rows,message,body,contains,a,big,list,of,link,row,s;public,static,result,set,conversion,strategy,all,return,all
ResultSetConversionStrategies -> public static ResultSetConversionStrategy all();1523968798;Retrieve all rows._Message body contains a big list of {@link Row}s;public static ResultSetConversionStrategy all() {_        return ALL__    };retrieve,all,rows,message,body,contains,a,big,list,of,link,row,s;public,static,result,set,conversion,strategy,all,return,all
ResultSetConversionStrategies -> public static ResultSetConversionStrategy limit(int rowMax);1419330065;Retrieve a limited list of rows._Message body contains a list of {@link Row} containing at most rowMax rows.;public static ResultSetConversionStrategy limit(int rowMax) {_        return new LimitResultSetConversionStrategy(rowMax)__    };retrieve,a,limited,list,of,rows,message,body,contains,a,list,of,link,row,containing,at,most,row,max,rows;public,static,result,set,conversion,strategy,limit,int,row,max,return,new,limit,result,set,conversion,strategy,row,max
ResultSetConversionStrategies -> public static ResultSetConversionStrategy limit(int rowMax);1419331245;Retrieve a limited list of rows._Message body contains a list of {@link Row} containing at most rowMax rows.;public static ResultSetConversionStrategy limit(int rowMax) {_        return new LimitResultSetConversionStrategy(rowMax)__    };retrieve,a,limited,list,of,rows,message,body,contains,a,list,of,link,row,containing,at,most,row,max,rows;public,static,result,set,conversion,strategy,limit,int,row,max,return,new,limit,result,set,conversion,strategy,row,max
ResultSetConversionStrategies -> public static ResultSetConversionStrategy limit(int rowMax);1461916938;Retrieve a limited list of rows._Message body contains a list of {@link Row} containing at most rowMax rows.;public static ResultSetConversionStrategy limit(int rowMax) {_        return new LimitResultSetConversionStrategy(rowMax)__    };retrieve,a,limited,list,of,rows,message,body,contains,a,list,of,link,row,containing,at,most,row,max,rows;public,static,result,set,conversion,strategy,limit,int,row,max,return,new,limit,result,set,conversion,strategy,row,max
ResultSetConversionStrategies -> public static ResultSetConversionStrategy limit(int rowMax);1523968798;Retrieve a limited list of rows._Message body contains a list of {@link Row} containing at most rowMax rows.;public static ResultSetConversionStrategy limit(int rowMax) {_        return new LimitResultSetConversionStrategy(rowMax)__    };retrieve,a,limited,list,of,rows,message,body,contains,a,list,of,link,row,containing,at,most,row,max,rows;public,static,result,set,conversion,strategy,limit,int,row,max,return,new,limit,result,set,conversion,strategy,row,max
ResultSetConversionStrategies -> public static ResultSetConversionStrategy fromName(String name);1419330065;Get {@link ResultSetConversionStrategy} from String;public static ResultSetConversionStrategy fromName(String name) {_        if (name == null) {_            return null__        }_        if (name.equals("ALL")) {_            return ResultSetConversionStrategies.all()__        }_        if (name.equals("ONE")) {_            return ResultSetConversionStrategies.one()__        }_        Matcher matcher = LIMIT_NAME_PATTERN.matcher(name)__        if (matcher.matches()) {_            int limit = Integer.parseInt(matcher.group(1))__            return limit(limit)__        }_        throw new IllegalArgumentException("Unknown conversion strategy "+name)__    };get,link,result,set,conversion,strategy,from,string;public,static,result,set,conversion,strategy,from,name,string,name,if,name,null,return,null,if,name,equals,all,return,result,set,conversion,strategies,all,if,name,equals,one,return,result,set,conversion,strategies,one,matcher,matcher,matcher,name,if,matcher,matches,int,limit,integer,parse,int,matcher,group,1,return,limit,limit,throw,new,illegal,argument,exception,unknown,conversion,strategy,name
ResultSetConversionStrategies -> public static ResultSetConversionStrategy fromName(String name);1419331245;Get {@link ResultSetConversionStrategy} from String;public static ResultSetConversionStrategy fromName(String name) {_        if (name == null) {_            return null__        }_        if (name.equals("ALL")) {_            return ResultSetConversionStrategies.all()__        }_        if (name.equals("ONE")) {_            return ResultSetConversionStrategies.one()__        }_        Matcher matcher = LIMIT_NAME_PATTERN.matcher(name)__        if (matcher.matches()) {_            int limit = Integer.parseInt(matcher.group(1))__            return limit(limit)__        }_        throw new IllegalArgumentException("Unknown conversion strategy " + name)__    };get,link,result,set,conversion,strategy,from,string;public,static,result,set,conversion,strategy,from,name,string,name,if,name,null,return,null,if,name,equals,all,return,result,set,conversion,strategies,all,if,name,equals,one,return,result,set,conversion,strategies,one,matcher,matcher,matcher,name,if,matcher,matches,int,limit,integer,parse,int,matcher,group,1,return,limit,limit,throw,new,illegal,argument,exception,unknown,conversion,strategy,name
ResultSetConversionStrategies -> public static ResultSetConversionStrategy fromName(String name);1461916938;Get {@link ResultSetConversionStrategy} from String;public static ResultSetConversionStrategy fromName(String name) {_        if (name == null) {_            return null__        }_        if (name.equals("ALL")) {_            return ResultSetConversionStrategies.all()__        }_        if (name.equals("ONE")) {_            return ResultSetConversionStrategies.one()__        }_        Matcher matcher = LIMIT_NAME_PATTERN.matcher(name)__        if (matcher.matches()) {_            int limit = Integer.parseInt(matcher.group(1))__            return limit(limit)__        }_        throw new IllegalArgumentException("Unknown conversion strategy " + name)__    };get,link,result,set,conversion,strategy,from,string;public,static,result,set,conversion,strategy,from,name,string,name,if,name,null,return,null,if,name,equals,all,return,result,set,conversion,strategies,all,if,name,equals,one,return,result,set,conversion,strategies,one,matcher,matcher,matcher,name,if,matcher,matches,int,limit,integer,parse,int,matcher,group,1,return,limit,limit,throw,new,illegal,argument,exception,unknown,conversion,strategy,name
ResultSetConversionStrategies -> public static ResultSetConversionStrategy fromName(String name);1523968798;Get {@link ResultSetConversionStrategy} from String;public static ResultSetConversionStrategy fromName(String name) {_        if (name == null) {_            return null__        }_        if (name.equals("ALL")) {_            return ResultSetConversionStrategies.all()__        }_        if (name.equals("ONE")) {_            return ResultSetConversionStrategies.one()__        }_        Matcher matcher = LIMIT_NAME_PATTERN.matcher(name)__        if (matcher.matches()) {_            int limit = Integer.parseInt(matcher.group(1))__            return limit(limit)__        }_        throw new IllegalArgumentException("Unknown conversion strategy " + name)__    };get,link,result,set,conversion,strategy,from,string;public,static,result,set,conversion,strategy,from,name,string,name,if,name,null,return,null,if,name,equals,all,return,result,set,conversion,strategies,all,if,name,equals,one,return,result,set,conversion,strategies,one,matcher,matcher,matcher,name,if,matcher,matches,int,limit,integer,parse,int,matcher,group,1,return,limit,limit,throw,new,illegal,argument,exception,unknown,conversion,strategy,name
ResultSetConversionStrategies -> public static ResultSetConversionStrategy one();1419330065;Retrieve a single row._Message body contains a single {@link Row};public static ResultSetConversionStrategy one() {_        return ONE__    };retrieve,a,single,row,message,body,contains,a,single,link,row;public,static,result,set,conversion,strategy,one,return,one
ResultSetConversionStrategies -> public static ResultSetConversionStrategy one();1419331245;Retrieve a single row._Message body contains a single {@link Row};public static ResultSetConversionStrategy one() {_        return ONE__    };retrieve,a,single,row,message,body,contains,a,single,link,row;public,static,result,set,conversion,strategy,one,return,one
ResultSetConversionStrategies -> public static ResultSetConversionStrategy one();1461916938;Retrieve a single row._Message body contains a single {@link Row};public static ResultSetConversionStrategy one() {_        return ONE__    };retrieve,a,single,row,message,body,contains,a,single,link,row;public,static,result,set,conversion,strategy,one,return,one
