# id;timestamp;commentText;codeText;commentWords;codeWords
RemoteStreamEnvironment -> public int getPort();1445418103;Gets the port of the master (JobManager), where the_program will be executed.__@return The port of the master;public int getPort() {_		return port__	};gets,the,port,of,the,master,job,manager,where,the,program,will,be,executed,return,the,port,of,the,master;public,int,get,port,return,port
RemoteStreamEnvironment -> public int getPort();1446400804;Gets the port of the master (JobManager), where the_program will be executed.__@return The port of the master;public int getPort() {_		return port__	};gets,the,port,of,the,master,job,manager,where,the,program,will,be,executed,return,the,port,of,the,master;public,int,get,port,return,port
RemoteStreamEnvironment -> public int getPort();1454679829;Gets the port of the master (JobManager), where the_program will be executed.__@return The port of the master;public int getPort() {_		return port__	};gets,the,port,of,the,master,job,manager,where,the,program,will,be,executed,return,the,port,of,the,master;public,int,get,port,return,port
RemoteStreamEnvironment -> public int getPort();1459946352;Gets the port of the master (JobManager), where the_program will be executed.__@return The port of the master;public int getPort() {_		return port__	};gets,the,port,of,the,master,job,manager,where,the,program,will,be,executed,return,the,port,of,the,master;public,int,get,port,return,port
RemoteStreamEnvironment -> public int getPort();1461599432;Gets the port of the master (JobManager), where the_program will be executed.__@return The port of the master;public int getPort() {_		return port__	};gets,the,port,of,the,master,job,manager,where,the,program,will,be,executed,return,the,port,of,the,master;public,int,get,port,return,port
RemoteStreamEnvironment -> public int getPort();1466152678;Gets the port of the master (JobManager), where the_program will be executed.__@return The port of the master;public int getPort() {_		return port__	};gets,the,port,of,the,master,job,manager,where,the,program,will,be,executed,return,the,port,of,the,master;public,int,get,port,return,port
RemoteStreamEnvironment -> public int getPort();1489782894;Gets the port of the master (JobManager), where the_program will be executed.__@return The port of the master;public int getPort() {_		return port__	};gets,the,port,of,the,master,job,manager,where,the,program,will,be,executed,return,the,port,of,the,master;public,int,get,port,return,port
RemoteStreamEnvironment -> public int getPort();1492530130;Gets the port of the master (JobManager), where the_program will be executed.__@return The port of the master;public int getPort() {_		return port__	};gets,the,port,of,the,master,job,manager,where,the,program,will,be,executed,return,the,port,of,the,master;public,int,get,port,return,port
RemoteStreamEnvironment -> public int getPort();1493195810;Gets the port of the master (JobManager), where the_program will be executed.__@return The port of the master;public int getPort() {_		return port__	};gets,the,port,of,the,master,job,manager,where,the,program,will,be,executed,return,the,port,of,the,master;public,int,get,port,return,port
RemoteStreamEnvironment -> public int getPort();1493195810;Gets the port of the master (JobManager), where the_program will be executed.__@return The port of the master;public int getPort() {_		return port__	};gets,the,port,of,the,master,job,manager,where,the,program,will,be,executed,return,the,port,of,the,master;public,int,get,port,return,port
RemoteStreamEnvironment -> public int getPort();1493975167;Gets the port of the master (JobManager), where the_program will be executed.__@return The port of the master;public int getPort() {_		return port__	};gets,the,port,of,the,master,job,manager,where,the,program,will,be,executed,return,the,port,of,the,master;public,int,get,port,return,port
RemoteStreamEnvironment -> public int getPort();1495484544;Gets the port of the master (JobManager), where the_program will be executed.__@return The port of the master;public int getPort() {_		return port__	};gets,the,port,of,the,master,job,manager,where,the,program,will,be,executed,return,the,port,of,the,master;public,int,get,port,return,port
RemoteStreamEnvironment -> public int getPort();1499683297;Gets the port of the master (JobManager), where the_program will be executed.__@return The port of the master;public int getPort() {_		return port__	};gets,the,port,of,the,master,job,manager,where,the,program,will,be,executed,return,the,port,of,the,master;public,int,get,port,return,port
RemoteStreamEnvironment -> public int getPort();1515770044;Gets the port of the master (JobManager), where the_program will be executed.__@return The port of the master;public int getPort() {_		return port__	};gets,the,port,of,the,master,job,manager,where,the,program,will,be,executed,return,the,port,of,the,master;public,int,get,port,return,port
RemoteStreamEnvironment -> public int getPort();1519249744;Gets the port of the master (JobManager), where the_program will be executed.__@return The port of the master;public int getPort() {_		return port__	};gets,the,port,of,the,master,job,manager,where,the,program,will,be,executed,return,the,port,of,the,master;public,int,get,port,return,port
RemoteStreamEnvironment -> public int getPort();1522681180;Gets the port of the master (JobManager), where the_program will be executed.__@return The port of the master;public int getPort() {_		return port__	};gets,the,port,of,the,master,job,manager,where,the,program,will,be,executed,return,the,port,of,the,master;public,int,get,port,return,port
RemoteStreamEnvironment -> public int getPort();1529046538;Gets the port of the master (JobManager), where the_program will be executed.__@return The port of the master;public int getPort() {_		return port__	};gets,the,port,of,the,master,job,manager,where,the,program,will,be,executed,return,the,port,of,the,master;public,int,get,port,return,port
RemoteStreamEnvironment -> public int getPort();1536322889;Gets the port of the master (JobManager), where the_program will be executed.__@return The port of the master;public int getPort() {_		return port__	};gets,the,port,of,the,master,job,manager,where,the,program,will,be,executed,return,the,port,of,the,master;public,int,get,port,return,port
RemoteStreamEnvironment -> public int getPort();1538135826;Gets the port of the master (JobManager), where the_program will be executed.__@return The port of the master;public int getPort() {_		return port__	};gets,the,port,of,the,master,job,manager,where,the,program,will,be,executed,return,the,port,of,the,master;public,int,get,port,return,port
RemoteStreamEnvironment -> public int getPort();1545345745;Gets the port of the master (JobManager), where the_program will be executed.__@return The port of the master;public int getPort() {_		return port__	};gets,the,port,of,the,master,job,manager,where,the,program,will,be,executed,return,the,port,of,the,master;public,int,get,port,return,port
RemoteStreamEnvironment -> public int getPort();1548267223;Gets the port of the master (JobManager), where the_program will be executed.__@return The port of the master;public int getPort() {_		return port__	};gets,the,port,of,the,master,job,manager,where,the,program,will,be,executed,return,the,port,of,the,master;public,int,get,port,return,port
