# id;timestamp;commentText;codeText;commentWords;codeWords
CollectionUtils -> public static boolean contains(Enumeration enumeration, Object element);1328020251;Check whether the given Enumeration contains the given element._@param enumeration the Enumeration to check_@param element the element to look for_@return <code>true</code> if found, <code>false</code> else;public static boolean contains(Enumeration enumeration, Object element) {_		if (enumeration != null) {_			while (enumeration.hasMoreElements()) {_				Object candidate = enumeration.nextElement()__				if (ObjectUtils.nullSafeEquals(candidate, element)) {_					return true__				}_			}_		}_		return false__	};check,whether,the,given,enumeration,contains,the,given,element,param,enumeration,the,enumeration,to,check,param,element,the,element,to,look,for,return,code,true,code,if,found,code,false,code,else;public,static,boolean,contains,enumeration,enumeration,object,element,if,enumeration,null,while,enumeration,has,more,elements,object,candidate,enumeration,next,element,if,object,utils,null,safe,equals,candidate,element,return,true,return,false
CollectionUtils -> public static boolean contains(Enumeration enumeration, Object element);1356735495;Check whether the given Enumeration contains the given element._@param enumeration the Enumeration to check_@param element the element to look for_@return {@code true} if found, {@code false} else;public static boolean contains(Enumeration enumeration, Object element) {_		if (enumeration != null) {_			while (enumeration.hasMoreElements()) {_				Object candidate = enumeration.nextElement()__				if (ObjectUtils.nullSafeEquals(candidate, element)) {_					return true__				}_			}_		}_		return false__	};check,whether,the,given,enumeration,contains,the,given,element,param,enumeration,the,enumeration,to,check,param,element,the,element,to,look,for,return,code,true,if,found,code,false,else;public,static,boolean,contains,enumeration,enumeration,object,element,if,enumeration,null,while,enumeration,has,more,elements,object,candidate,enumeration,next,element,if,object,utils,null,safe,equals,candidate,element,return,true,return,false
CollectionUtils -> public static boolean contains(Enumeration enumeration, Object element);1357119239;Check whether the given Enumeration contains the given element._@param enumeration the Enumeration to check_@param element the element to look for_@return {@code true} if found, {@code false} else;public static boolean contains(Enumeration enumeration, Object element) {_		if (enumeration != null) {_			while (enumeration.hasMoreElements()) {_				Object candidate = enumeration.nextElement()__				if (ObjectUtils.nullSafeEquals(candidate, element)) {_					return true__				}_			}_		}_		return false__	};check,whether,the,given,enumeration,contains,the,given,element,param,enumeration,the,enumeration,to,check,param,element,the,element,to,look,for,return,code,true,if,found,code,false,else;public,static,boolean,contains,enumeration,enumeration,object,element,if,enumeration,null,while,enumeration,has,more,elements,object,candidate,enumeration,next,element,if,object,utils,null,safe,equals,candidate,element,return,true,return,false
CollectionUtils -> public static boolean contains(Enumeration enumeration, Object element);1368482696;Check whether the given Enumeration contains the given element._@param enumeration the Enumeration to check_@param element the element to look for_@return {@code true} if found, {@code false} else;public static boolean contains(Enumeration enumeration, Object element) {_		if (enumeration != null) {_			while (enumeration.hasMoreElements()) {_				Object candidate = enumeration.nextElement()__				if (ObjectUtils.nullSafeEquals(candidate, element)) {_					return true__				}_			}_		}_		return false__	};check,whether,the,given,enumeration,contains,the,given,element,param,enumeration,the,enumeration,to,check,param,element,the,element,to,look,for,return,code,true,if,found,code,false,else;public,static,boolean,contains,enumeration,enumeration,object,element,if,enumeration,null,while,enumeration,has,more,elements,object,candidate,enumeration,next,element,if,object,utils,null,safe,equals,candidate,element,return,true,return,false
CollectionUtils -> @Nullable 	public static <T> T lastElement(@Nullable List<T> list);1515777832;Retrieve the last element of the given List, accessing the highest index._@param list the List to check (may be {@code null} or empty)_@return the last element, or {@code null} if none_@since 5.0.3;@Nullable_	public static <T> T lastElement(@Nullable List<T> list) {_		if (isEmpty(list)) {_			return null__		}_		return list.get(list.size() - 1)__	};retrieve,the,last,element,of,the,given,list,accessing,the,highest,index,param,list,the,list,to,check,may,be,code,null,or,empty,return,the,last,element,or,code,null,if,none,since,5,0,3;nullable,public,static,t,t,last,element,nullable,list,t,list,if,is,empty,list,return,null,return,list,get,list,size,1
CollectionUtils -> @Nullable 	public static <T> T lastElement(@Nullable List<T> list);1528737477;Retrieve the last element of the given List, accessing the highest index._@param list the List to check (may be {@code null} or empty)_@return the last element, or {@code null} if none_@since 5.0.3;@Nullable_	public static <T> T lastElement(@Nullable List<T> list) {_		if (isEmpty(list)) {_			return null__		}_		return list.get(list.size() - 1)__	};retrieve,the,last,element,of,the,given,list,accessing,the,highest,index,param,list,the,list,to,check,may,be,code,null,or,empty,return,the,last,element,or,code,null,if,none,since,5,0,3;nullable,public,static,t,t,last,element,nullable,list,t,list,if,is,empty,list,return,null,return,list,get,list,size,1
CollectionUtils -> @Nullable 	public static <T> T lastElement(@Nullable List<T> list);1530174524;Retrieve the last element of the given List, accessing the highest index._@param list the List to check (may be {@code null} or empty)_@return the last element, or {@code null} if none_@since 5.0.3;@Nullable_	public static <T> T lastElement(@Nullable List<T> list) {_		if (isEmpty(list)) {_			return null__		}_		return list.get(list.size() - 1)__	};retrieve,the,last,element,of,the,given,list,accessing,the,highest,index,param,list,the,list,to,check,may,be,code,null,or,empty,return,the,last,element,or,code,null,if,none,since,5,0,3;nullable,public,static,t,t,last,element,nullable,list,t,list,if,is,empty,list,return,null,return,list,get,list,size,1
CollectionUtils -> @SuppressWarnings("unchecked") 	public static void mergeArrayIntoCollection(Object array, Collection collection);1328020251;Merge the given array into the given Collection._@param array the array to merge (may be <code>null</code>)_@param collection the target Collection to merge the array into;@SuppressWarnings("unchecked")_	public static void mergeArrayIntoCollection(Object array, Collection collection) {_		if (collection == null) {_			throw new IllegalArgumentException("Collection must not be null")__		}_		Object[] arr = ObjectUtils.toObjectArray(array)__		for (Object elem : arr) {_			collection.add(elem)__		}_	};merge,the,given,array,into,the,given,collection,param,array,the,array,to,merge,may,be,code,null,code,param,collection,the,target,collection,to,merge,the,array,into;suppress,warnings,unchecked,public,static,void,merge,array,into,collection,object,array,collection,collection,if,collection,null,throw,new,illegal,argument,exception,collection,must,not,be,null,object,arr,object,utils,to,object,array,array,for,object,elem,arr,collection,add,elem
CollectionUtils -> @SuppressWarnings("unchecked") 	public static void mergeArrayIntoCollection(Object array, Collection collection);1356735495;Merge the given array into the given Collection._@param array the array to merge (may be {@code null})_@param collection the target Collection to merge the array into;@SuppressWarnings("unchecked")_	public static void mergeArrayIntoCollection(Object array, Collection collection) {_		if (collection == null) {_			throw new IllegalArgumentException("Collection must not be null")__		}_		Object[] arr = ObjectUtils.toObjectArray(array)__		for (Object elem : arr) {_			collection.add(elem)__		}_	};merge,the,given,array,into,the,given,collection,param,array,the,array,to,merge,may,be,code,null,param,collection,the,target,collection,to,merge,the,array,into;suppress,warnings,unchecked,public,static,void,merge,array,into,collection,object,array,collection,collection,if,collection,null,throw,new,illegal,argument,exception,collection,must,not,be,null,object,arr,object,utils,to,object,array,array,for,object,elem,arr,collection,add,elem
CollectionUtils -> @SuppressWarnings("unchecked") 	public static void mergeArrayIntoCollection(Object array, Collection collection);1357119239;Merge the given array into the given Collection._@param array the array to merge (may be {@code null})_@param collection the target Collection to merge the array into;@SuppressWarnings("unchecked")_	public static void mergeArrayIntoCollection(Object array, Collection collection) {_		if (collection == null) {_			throw new IllegalArgumentException("Collection must not be null")__		}_		Object[] arr = ObjectUtils.toObjectArray(array)__		for (Object elem : arr) {_			collection.add(elem)__		}_	};merge,the,given,array,into,the,given,collection,param,array,the,array,to,merge,may,be,code,null,param,collection,the,target,collection,to,merge,the,array,into;suppress,warnings,unchecked,public,static,void,merge,array,into,collection,object,array,collection,collection,if,collection,null,throw,new,illegal,argument,exception,collection,must,not,be,null,object,arr,object,utils,to,object,array,array,for,object,elem,arr,collection,add,elem
CollectionUtils -> @SuppressWarnings("unchecked") 	public static void mergeArrayIntoCollection(Object array, Collection collection);1368482696;Merge the given array into the given Collection._@param array the array to merge (may be {@code null})_@param collection the target Collection to merge the array into;@SuppressWarnings("unchecked")_	public static void mergeArrayIntoCollection(Object array, Collection collection) {_		if (collection == null) {_			throw new IllegalArgumentException("Collection must not be null")__		}_		Object[] arr = ObjectUtils.toObjectArray(array)__		for (Object elem : arr) {_			collection.add(elem)__		}_	};merge,the,given,array,into,the,given,collection,param,array,the,array,to,merge,may,be,code,null,param,collection,the,target,collection,to,merge,the,array,into;suppress,warnings,unchecked,public,static,void,merge,array,into,collection,object,array,collection,collection,if,collection,null,throw,new,illegal,argument,exception,collection,must,not,be,null,object,arr,object,utils,to,object,array,array,for,object,elem,arr,collection,add,elem
CollectionUtils -> public static Object findFirstMatch(Collection source, Collection candidates);1328020251;Return the first element in '<code>candidates</code>' that is contained in_'<code>source</code>'. If no element in '<code>candidates</code>' is present in_'<code>source</code>' returns <code>null</code>. Iteration order is_{@link Collection} implementation specific._@param source the source Collection_@param candidates the candidates to search for_@return the first present object, or <code>null</code> if not found;public static Object findFirstMatch(Collection source, Collection candidates) {_		if (isEmpty(source) || isEmpty(candidates)) {_			return null__		}_		for (Object candidate : candidates) {_			if (source.contains(candidate)) {_				return candidate__			}_		}_		return null__	};return,the,first,element,in,code,candidates,code,that,is,contained,in,code,source,code,if,no,element,in,code,candidates,code,is,present,in,code,source,code,returns,code,null,code,iteration,order,is,link,collection,implementation,specific,param,source,the,source,collection,param,candidates,the,candidates,to,search,for,return,the,first,present,object,or,code,null,code,if,not,found;public,static,object,find,first,match,collection,source,collection,candidates,if,is,empty,source,is,empty,candidates,return,null,for,object,candidate,candidates,if,source,contains,candidate,return,candidate,return,null
CollectionUtils -> public static Object findFirstMatch(Collection source, Collection candidates);1356735495;Return the first element in '{@code candidates}' that is contained in_'{@code source}'. If no element in '{@code candidates}' is present in_'{@code source}' returns {@code null}. Iteration order is_{@link Collection} implementation specific._@param source the source Collection_@param candidates the candidates to search for_@return the first present object, or {@code null} if not found;public static Object findFirstMatch(Collection source, Collection candidates) {_		if (isEmpty(source) || isEmpty(candidates)) {_			return null__		}_		for (Object candidate : candidates) {_			if (source.contains(candidate)) {_				return candidate__			}_		}_		return null__	};return,the,first,element,in,code,candidates,that,is,contained,in,code,source,if,no,element,in,code,candidates,is,present,in,code,source,returns,code,null,iteration,order,is,link,collection,implementation,specific,param,source,the,source,collection,param,candidates,the,candidates,to,search,for,return,the,first,present,object,or,code,null,if,not,found;public,static,object,find,first,match,collection,source,collection,candidates,if,is,empty,source,is,empty,candidates,return,null,for,object,candidate,candidates,if,source,contains,candidate,return,candidate,return,null
CollectionUtils -> public static Object findFirstMatch(Collection source, Collection candidates);1357119239;Return the first element in '{@code candidates}' that is contained in_'{@code source}'. If no element in '{@code candidates}' is present in_'{@code source}' returns {@code null}. Iteration order is_{@link Collection} implementation specific._@param source the source Collection_@param candidates the candidates to search for_@return the first present object, or {@code null} if not found;public static Object findFirstMatch(Collection source, Collection candidates) {_		if (isEmpty(source) || isEmpty(candidates)) {_			return null__		}_		for (Object candidate : candidates) {_			if (source.contains(candidate)) {_				return candidate__			}_		}_		return null__	};return,the,first,element,in,code,candidates,that,is,contained,in,code,source,if,no,element,in,code,candidates,is,present,in,code,source,returns,code,null,iteration,order,is,link,collection,implementation,specific,param,source,the,source,collection,param,candidates,the,candidates,to,search,for,return,the,first,present,object,or,code,null,if,not,found;public,static,object,find,first,match,collection,source,collection,candidates,if,is,empty,source,is,empty,candidates,return,null,for,object,candidate,candidates,if,source,contains,candidate,return,candidate,return,null
CollectionUtils -> public static Object findFirstMatch(Collection source, Collection candidates);1368482696;Return the first element in '{@code candidates}' that is contained in_'{@code source}'. If no element in '{@code candidates}' is present in_'{@code source}' returns {@code null}. Iteration order is_{@link Collection} implementation specific._@param source the source Collection_@param candidates the candidates to search for_@return the first present object, or {@code null} if not found;public static Object findFirstMatch(Collection source, Collection candidates) {_		if (isEmpty(source) || isEmpty(candidates)) {_			return null__		}_		for (Object candidate : candidates) {_			if (source.contains(candidate)) {_				return candidate__			}_		}_		return null__	};return,the,first,element,in,code,candidates,that,is,contained,in,code,source,if,no,element,in,code,candidates,is,present,in,code,source,returns,code,null,iteration,order,is,link,collection,implementation,specific,param,source,the,source,collection,param,candidates,the,candidates,to,search,for,return,the,first,present,object,or,code,null,if,not,found;public,static,object,find,first,match,collection,source,collection,candidates,if,is,empty,source,is,empty,candidates,return,null,for,object,candidate,candidates,if,source,contains,candidate,return,candidate,return,null
CollectionUtils -> @Nullable 	public static Object findValueOfType(Collection<?> collection, Class<?>[] types);1495868221;Find a single value of one of the given types in the given Collection:_searching the Collection for a value of the first type, then_searching for a value of the second type, etc._@param collection the collection to search_@param types the types to look for, in prioritized order_@return a value of one of the given types found if there is a clear match,_or {@code null} if none or more than one such value found;@Nullable_	public static Object findValueOfType(Collection<?> collection, Class<?>[] types) {_		if (isEmpty(collection) || ObjectUtils.isEmpty(types)) {_			return null__		}_		for (Class<?> type : types) {_			Object value = findValueOfType(collection, type)__			if (value != null) {_				return value__			}_		}_		return null__	};find,a,single,value,of,one,of,the,given,types,in,the,given,collection,searching,the,collection,for,a,value,of,the,first,type,then,searching,for,a,value,of,the,second,type,etc,param,collection,the,collection,to,search,param,types,the,types,to,look,for,in,prioritized,order,return,a,value,of,one,of,the,given,types,found,if,there,is,a,clear,match,or,code,null,if,none,or,more,than,one,such,value,found;nullable,public,static,object,find,value,of,type,collection,collection,class,types,if,is,empty,collection,object,utils,is,empty,types,return,null,for,class,type,types,object,value,find,value,of,type,collection,type,if,value,null,return,value,return,null
CollectionUtils -> @Nullable 	public static Object findValueOfType(Collection<?> collection, Class<?>[] types);1496259743;Find a single value of one of the given types in the given Collection:_searching the Collection for a value of the first type, then_searching for a value of the second type, etc._@param collection the collection to search_@param types the types to look for, in prioritized order_@return a value of one of the given types found if there is a clear match,_or {@code null} if none or more than one such value found;@Nullable_	public static Object findValueOfType(Collection<?> collection, Class<?>[] types) {_		if (isEmpty(collection) || ObjectUtils.isEmpty(types)) {_			return null__		}_		for (Class<?> type : types) {_			Object value = findValueOfType(collection, type)__			if (value != null) {_				return value__			}_		}_		return null__	};find,a,single,value,of,one,of,the,given,types,in,the,given,collection,searching,the,collection,for,a,value,of,the,first,type,then,searching,for,a,value,of,the,second,type,etc,param,collection,the,collection,to,search,param,types,the,types,to,look,for,in,prioritized,order,return,a,value,of,one,of,the,given,types,found,if,there,is,a,clear,match,or,code,null,if,none,or,more,than,one,such,value,found;nullable,public,static,object,find,value,of,type,collection,collection,class,types,if,is,empty,collection,object,utils,is,empty,types,return,null,for,class,type,types,object,value,find,value,of,type,collection,type,if,value,null,return,value,return,null
CollectionUtils -> @Nullable 	public static Object findValueOfType(Collection<?> collection, Class<?>[] types);1496837955;Find a single value of one of the given types in the given Collection:_searching the Collection for a value of the first type, then_searching for a value of the second type, etc._@param collection the collection to search_@param types the types to look for, in prioritized order_@return a value of one of the given types found if there is a clear match,_or {@code null} if none or more than one such value found;@Nullable_	public static Object findValueOfType(Collection<?> collection, Class<?>[] types) {_		if (isEmpty(collection) || ObjectUtils.isEmpty(types)) {_			return null__		}_		for (Class<?> type : types) {_			Object value = findValueOfType(collection, type)__			if (value != null) {_				return value__			}_		}_		return null__	};find,a,single,value,of,one,of,the,given,types,in,the,given,collection,searching,the,collection,for,a,value,of,the,first,type,then,searching,for,a,value,of,the,second,type,etc,param,collection,the,collection,to,search,param,types,the,types,to,look,for,in,prioritized,order,return,a,value,of,one,of,the,given,types,found,if,there,is,a,clear,match,or,code,null,if,none,or,more,than,one,such,value,found;nullable,public,static,object,find,value,of,type,collection,collection,class,types,if,is,empty,collection,object,utils,is,empty,types,return,null,for,class,type,types,object,value,find,value,of,type,collection,type,if,value,null,return,value,return,null
