# id;timestamp;commentText;codeText;commentWords;codeWords
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1405378164;Create a new AntPathMatcher._@param pathSeparator the path separator to use_@since 4.1;public AntPathMatcher(String pathSeparator) {_		if(pathSeparator != null) {_			this.pathSeparator = pathSeparator__		}_	};create,a,new,ant,path,matcher,param,path,separator,the,path,separator,to,use,since,4,1;public,ant,path,matcher,string,path,separator,if,path,separator,null,this,path,separator,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1405378165;A convenience alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenience,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1405696918;A convenience alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenience,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1409784938;A convenience alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenience,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1412083966;A convenience alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenience,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1412101078;A convenience alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenience,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1431086052;A convenient, alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenient,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1431178173;A convenient, alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenient,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1434572159;A convenient, alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenient,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1435239719;A convenient, alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenient,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
AntPathMatcher -> public AntPathMatcher(String pathSeparator);1438166321;A convenient, alternative constructor to use with a custom path separator._@param pathSeparator the path separator to use, must not be {@code null}._@since 4.1;public AntPathMatcher(String pathSeparator) {_		Assert.notNull(pathSeparator, "'pathSeparator' is required")__		this.pathSeparator = pathSeparator__		this.pathSeparatorPatternCache = new PathSeparatorPatternCache(pathSeparator)__	};a,convenient,alternative,constructor,to,use,with,a,custom,path,separator,param,path,separator,the,path,separator,to,use,must,not,be,code,null,since,4,1;public,ant,path,matcher,string,path,separator,assert,not,null,path,separator,path,separator,is,required,this,path,separator,path,separator,this,path,separator,pattern,cache,new,path,separator,pattern,cache,path,separator
