# id;timestamp;commentText;codeText;commentWords;codeWords
Trigger -> public void clear(W window, TriggerContext ctx) throws Exception;1455138931;Clears any state that the trigger might still hold for the given window. This is called_when a window is purged. Timers set using {@link TriggerContext#registerEventTimeTimer(long)}_and {@link TriggerContext#registerProcessingTimeTimer(long)} should be deleted here as_well as state acquired using {@link TriggerContext#getPartitionedState(StateDescriptor)}.__<p>By default, this method does nothing.;public void clear(W window, TriggerContext ctx) throws Exception {};clears,any,state,that,the,trigger,might,still,hold,for,the,given,window,this,is,called,when,a,window,is,purged,timers,set,using,link,trigger,context,register,event,time,timer,long,and,link,trigger,context,register,processing,time,timer,long,should,be,deleted,here,as,well,as,state,acquired,using,link,trigger,context,get,partitioned,state,state,descriptor,p,by,default,this,method,does,nothing;public,void,clear,w,window,trigger,context,ctx,throws,exception
Trigger -> public void clear(W window, TriggerContext ctx) throws Exception;1455486690;Clears any state that the trigger might still hold for the given window. This is called_when a window is purged. Timers set using {@link TriggerContext#registerEventTimeTimer(long)}_and {@link TriggerContext#registerProcessingTimeTimer(long)} should be deleted here as_well as state acquired using {@link TriggerContext#getPartitionedState(StateDescriptor)}.__<p>By default, this method does nothing.;public void clear(W window, TriggerContext ctx) throws Exception {};clears,any,state,that,the,trigger,might,still,hold,for,the,given,window,this,is,called,when,a,window,is,purged,timers,set,using,link,trigger,context,register,event,time,timer,long,and,link,trigger,context,register,processing,time,timer,long,should,be,deleted,here,as,well,as,state,acquired,using,link,trigger,context,get,partitioned,state,state,descriptor,p,by,default,this,method,does,nothing;public,void,clear,w,window,trigger,context,ctx,throws,exception
Trigger -> public void clear(W window, TriggerContext ctx) throws Exception;1456347674;Clears any state that the trigger might still hold for the given window. This is called_when a window is purged. Timers set using {@link TriggerContext#registerEventTimeTimer(long)}_and {@link TriggerContext#registerProcessingTimeTimer(long)} should be deleted here as_well as state acquired using {@link TriggerContext#getPartitionedState(StateDescriptor)}.__<p>By default, this method does nothing.;public void clear(W window, TriggerContext ctx) throws Exception {};clears,any,state,that,the,trigger,might,still,hold,for,the,given,window,this,is,called,when,a,window,is,purged,timers,set,using,link,trigger,context,register,event,time,timer,long,and,link,trigger,context,register,processing,time,timer,long,should,be,deleted,here,as,well,as,state,acquired,using,link,trigger,context,get,partitioned,state,state,descriptor,p,by,default,this,method,does,nothing;public,void,clear,w,window,trigger,context,ctx,throws,exception
Trigger -> public void clear(W window, TriggerContext ctx) throws Exception;1459869538;Clears any state that the trigger might still hold for the given window. This is called_when a window is purged. Timers set using {@link TriggerContext#registerEventTimeTimer(long)}_and {@link TriggerContext#registerProcessingTimeTimer(long)} should be deleted here as_well as state acquired using {@link TriggerContext#getPartitionedState(StateDescriptor)}.__<p>By default, this method does nothing.;public void clear(W window, TriggerContext ctx) throws Exception {};clears,any,state,that,the,trigger,might,still,hold,for,the,given,window,this,is,called,when,a,window,is,purged,timers,set,using,link,trigger,context,register,event,time,timer,long,and,link,trigger,context,register,processing,time,timer,long,should,be,deleted,here,as,well,as,state,acquired,using,link,trigger,context,get,partitioned,state,state,descriptor,p,by,default,this,method,does,nothing;public,void,clear,w,window,trigger,context,ctx,throws,exception
Trigger -> public void clear(W window, TriggerContext ctx) throws Exception;1466072007;Clears any state that the trigger might still hold for the given window. This is called_when a window is purged. Timers set using {@link TriggerContext#registerEventTimeTimer(long)}_and {@link TriggerContext#registerProcessingTimeTimer(long)} should be deleted here as_well as state acquired using {@link TriggerContext#getPartitionedState(StateDescriptor)}.__<p>By default, this method does nothing.;public void clear(W window, TriggerContext ctx) throws Exception {};clears,any,state,that,the,trigger,might,still,hold,for,the,given,window,this,is,called,when,a,window,is,purged,timers,set,using,link,trigger,context,register,event,time,timer,long,and,link,trigger,context,register,processing,time,timer,long,should,be,deleted,here,as,well,as,state,acquired,using,link,trigger,context,get,partitioned,state,state,descriptor,p,by,default,this,method,does,nothing;public,void,clear,w,window,trigger,context,ctx,throws,exception
Trigger -> public void clear(W window, TriggerContext ctx) throws Exception;1467040572;Clears any state that the trigger might still hold for the given window. This is called_when a window is purged. Timers set using {@link TriggerContext#registerEventTimeTimer(long)}_and {@link TriggerContext#registerProcessingTimeTimer(long)} should be deleted here as_well as state acquired using {@link TriggerContext#getPartitionedState(StateDescriptor)}.__<p>By default, this method does nothing.;public void clear(W window, TriggerContext ctx) throws Exception {};clears,any,state,that,the,trigger,might,still,hold,for,the,given,window,this,is,called,when,a,window,is,purged,timers,set,using,link,trigger,context,register,event,time,timer,long,and,link,trigger,context,register,processing,time,timer,long,should,be,deleted,here,as,well,as,state,acquired,using,link,trigger,context,get,partitioned,state,state,descriptor,p,by,default,this,method,does,nothing;public,void,clear,w,window,trigger,context,ctx,throws,exception
Trigger -> public void clear(W window, TriggerContext ctx) throws Exception;1474635666;Clears any state that the trigger might still hold for the given window. This is called_when a window is purged. Timers set using {@link TriggerContext#registerEventTimeTimer(long)}_and {@link TriggerContext#registerProcessingTimeTimer(long)} should be deleted here as_well as state acquired using {@link TriggerContext#getPartitionedState(StateDescriptor)}.__<p>By default, this method does nothing.;public void clear(W window, TriggerContext ctx) throws Exception {};clears,any,state,that,the,trigger,might,still,hold,for,the,given,window,this,is,called,when,a,window,is,purged,timers,set,using,link,trigger,context,register,event,time,timer,long,and,link,trigger,context,register,processing,time,timer,long,should,be,deleted,here,as,well,as,state,acquired,using,link,trigger,context,get,partitioned,state,state,descriptor,p,by,default,this,method,does,nothing;public,void,clear,w,window,trigger,context,ctx,throws,exception
Trigger -> public abstract TriggerResult onElement(T element, long timestamp, W window, TriggerContext ctx) throws Exception_;1455138931;Called for every element that gets added to a pane. The result of this will determine_whether the pane is evaluated to emit results.__@param element The element that arrived._@param timestamp The timestamp of the element that arrived._@param window The window to which this pane belongs._@param ctx A context object that can be used to register timer callbacks.;public abstract TriggerResult onElement(T element, long timestamp, W window, TriggerContext ctx) throws Exception_;called,for,every,element,that,gets,added,to,a,pane,the,result,of,this,will,determine,whether,the,pane,is,evaluated,to,emit,results,param,element,the,element,that,arrived,param,timestamp,the,timestamp,of,the,element,that,arrived,param,window,the,window,to,which,this,pane,belongs,param,ctx,a,context,object,that,can,be,used,to,register,timer,callbacks;public,abstract,trigger,result,on,element,t,element,long,timestamp,w,window,trigger,context,ctx,throws,exception
Trigger -> public abstract TriggerResult onElement(T element, long timestamp, W window, TriggerContext ctx) throws Exception_;1455486690;Called for every element that gets added to a pane. The result of this will determine_whether the pane is evaluated to emit results.__@param element The element that arrived._@param timestamp The timestamp of the element that arrived._@param window The window to which this pane belongs._@param ctx A context object that can be used to register timer callbacks.;public abstract TriggerResult onElement(T element, long timestamp, W window, TriggerContext ctx) throws Exception_;called,for,every,element,that,gets,added,to,a,pane,the,result,of,this,will,determine,whether,the,pane,is,evaluated,to,emit,results,param,element,the,element,that,arrived,param,timestamp,the,timestamp,of,the,element,that,arrived,param,window,the,window,to,which,this,pane,belongs,param,ctx,a,context,object,that,can,be,used,to,register,timer,callbacks;public,abstract,trigger,result,on,element,t,element,long,timestamp,w,window,trigger,context,ctx,throws,exception
Trigger -> public abstract TriggerResult onElement(T element, long timestamp, W window, TriggerContext ctx) throws Exception_;1456347674;Called for every element that gets added to a pane. The result of this will determine_whether the pane is evaluated to emit results.__@param element The element that arrived._@param timestamp The timestamp of the element that arrived._@param window The window to which this pane belongs._@param ctx A context object that can be used to register timer callbacks.;public abstract TriggerResult onElement(T element, long timestamp, W window, TriggerContext ctx) throws Exception_;called,for,every,element,that,gets,added,to,a,pane,the,result,of,this,will,determine,whether,the,pane,is,evaluated,to,emit,results,param,element,the,element,that,arrived,param,timestamp,the,timestamp,of,the,element,that,arrived,param,window,the,window,to,which,this,pane,belongs,param,ctx,a,context,object,that,can,be,used,to,register,timer,callbacks;public,abstract,trigger,result,on,element,t,element,long,timestamp,w,window,trigger,context,ctx,throws,exception
Trigger -> public abstract TriggerResult onElement(T element, long timestamp, W window, TriggerContext ctx) throws Exception_;1459869538;Called for every element that gets added to a pane. The result of this will determine_whether the pane is evaluated to emit results.__@param element The element that arrived._@param timestamp The timestamp of the element that arrived._@param window The window to which the element is being added._@param ctx A context object that can be used to register timer callbacks.;public abstract TriggerResult onElement(T element, long timestamp, W window, TriggerContext ctx) throws Exception_;called,for,every,element,that,gets,added,to,a,pane,the,result,of,this,will,determine,whether,the,pane,is,evaluated,to,emit,results,param,element,the,element,that,arrived,param,timestamp,the,timestamp,of,the,element,that,arrived,param,window,the,window,to,which,the,element,is,being,added,param,ctx,a,context,object,that,can,be,used,to,register,timer,callbacks;public,abstract,trigger,result,on,element,t,element,long,timestamp,w,window,trigger,context,ctx,throws,exception
