commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public String getFileId() {     return fileId. }
false;public;1;3;;public void setFileId(String fileId) {     this.fileId = fileId. }
false;public;0;3;;public Integer getWidth() {     return width. }
false;public;1;3;;public void setWidth(Integer width) {     this.width = width. }
false;public;0;3;;public Integer getHeight() {     return height. }
false;public;1;3;;public void setHeight(Integer height) {     this.height = height. }
false;public;0;3;;public Long getFileSize() {     return fileSize. }
false;public;1;3;;public void setFileSize(Long fileSize) {     this.fileSize = fileSize. }
false;public;0;3;;public Integer getDurationSeconds() {     return durationSeconds. }
false;public;1;3;;public void setDurationSeconds(Integer durationSeconds) {     this.durationSeconds = durationSeconds. }
false;public;0;3;;public IncomingPhotoSize getThumb() {     return thumb. }
false;public;1;3;;public void setThumb(IncomingPhotoSize thumb) {     this.thumb = thumb. }
false;public;0;3;;public String getMimeType() {     return mimeType. }
false;public;1;3;;public void setMimeType(String mimeType) {     this.mimeType = mimeType. }
false;public;0;13;;@Override public String toString() {     final StringBuilder sb = new StringBuilder("IncomingVideo{").     sb.append("fileId='").append(fileId).append('\'').     sb.append(", width=").append(width).     sb.append(", height=").append(height).     sb.append(", durationSeconds=").append(durationSeconds).     sb.append(", thumb=").append(thumb).     sb.append(", mimeType='").append(mimeType).append('\'').     sb.append(", fileSize=").append(fileSize).     sb.append('}').     return sb.toString(). }
