# id;timestamp;commentText;codeText;commentWords;codeWords
ParseException -> static String add_escapes(String str);1452335256;Used to convert raw characters to their escaped version_when these raw version cannot be used as part of an ASCII_string literal.;static String add_escapes(String str) {_      StringBuffer retval = new StringBuffer()__      char ch__      for (int i = 0_ i < str.length()_ i++) {_        switch (str.charAt(i))_        {_           case 0 :_              continue__           case '\b':_              retval.append("\\b")__              continue__           case '\t':_              retval.append("\\t")__              continue__           case '\n':_              retval.append("\\n")__              continue__           case '\f':_              retval.append("\\f")__              continue__           case '\r':_              retval.append("\\r")__              continue__           case '\"':_              retval.append("\\\"")__              continue__           case '\'':_              retval.append("\\\'")__              continue__           case '\\':_              retval.append("\\\\")__              continue__           default:_              if ((ch = str.charAt(i)) < 0x20 || ch > 0x7e) {_                 String s = "0000" + Integer.toString(ch, 16)__                 retval.append("\\u" + s.substring(s.length() - 4, s.length()))__              } else {_                 retval.append(ch)__              }_              continue__        }_      }_      return retval.toString()__   };used,to,convert,raw,characters,to,their,escaped,version,when,these,raw,version,cannot,be,used,as,part,of,an,ascii,string,literal;static,string,string,str,string,buffer,retval,new,string,buffer,char,ch,for,int,i,0,i,str,length,i,switch,str,char,at,i,case,0,continue,case,b,retval,append,b,continue,case,t,retval,append,t,continue,case,n,retval,append,n,continue,case,f,retval,append,f,continue,case,r,retval,append,r,continue,case,retval,append,continue,case,retval,append,continue,case,retval,append,continue,default,if,ch,str,char,at,i,0x20,ch,0x7e,string,s,0000,integer,to,string,ch,16,retval,append,u,s,substring,s,length,4,s,length,else,retval,append,ch,continue,return,retval,to,string
ParseException -> static String add_escapes(String str);1452789249;Used to convert raw characters to their escaped version_when these raw version cannot be used as part of an ASCII_string literal.;static String add_escapes(String str) {_        StringBuffer retval = new StringBuffer()__        char ch__        for (int i = 0_ i < str.length()_ i++) {_            switch (str.charAt(i)) {_                case 0:_                    continue__                case '\b':_                    retval.append("\\b")__                    continue__                case '\t':_                    retval.append("\\t")__                    continue__                case '\n':_                    retval.append("\\n")__                    continue__                case '\f':_                    retval.append("\\f")__                    continue__                case '\r':_                    retval.append("\\r")__                    continue__                case '\"':_                    retval.append("\\\"")__                    continue__                case '\'':_                    retval.append("\\\'")__                    continue__                case '\\':_                    retval.append("\\\\")__                    continue__                default:_                    if ((ch = str.charAt(i)) < 0x20 || ch > 0x7e) {_                        String s = "0000" + Integer.toString(ch, 16)__                        retval.append("\\u" + s.substring(s.length() - 4, s.length()))__                    } else {_                        retval.append(ch)__                    }_                    continue__            }_        }_        return retval.toString()__    };used,to,convert,raw,characters,to,their,escaped,version,when,these,raw,version,cannot,be,used,as,part,of,an,ascii,string,literal;static,string,string,str,string,buffer,retval,new,string,buffer,char,ch,for,int,i,0,i,str,length,i,switch,str,char,at,i,case,0,continue,case,b,retval,append,b,continue,case,t,retval,append,t,continue,case,n,retval,append,n,continue,case,f,retval,append,f,continue,case,r,retval,append,r,continue,case,retval,append,continue,case,retval,append,continue,case,retval,append,continue,default,if,ch,str,char,at,i,0x20,ch,0x7e,string,s,0000,integer,to,string,ch,16,retval,append,u,s,substring,s,length,4,s,length,else,retval,append,ch,continue,return,retval,to,string
ParseException -> static String add_escapes(String str);1482077787;Used to convert raw characters to their escaped version_when these raw version cannot be used as part of an ASCII_string literal.;static String add_escapes(String str) {_        StringBuffer retval = new StringBuffer()__        char ch__        for (int i = 0_ i < str.length()_ i++) {_            switch (str.charAt(i)) {_                case 0:_                    continue__                case '\b':_                    retval.append("\\b")__                    continue__                case '\t':_                    retval.append("\\t")__                    continue__                case '\n':_                    retval.append("\\n")__                    continue__                case '\f':_                    retval.append("\\f")__                    continue__                case '\r':_                    retval.append("\\r")__                    continue__                case '\"':_                    retval.append("\\\"")__                    continue__                case '\'':_                    retval.append("\\\'")__                    continue__                case '\\':_                    retval.append("\\\\")__                    continue__                default:_                    if ((ch = str.charAt(i)) < 0x20 || ch > 0x7e) {_                        String s = "0000" + Integer.toString(ch, 16)__                        retval.append("\\u" + s.substring(s.length() - 4, s.length()))__                    } else {_                        retval.append(ch)__                    }_                    continue__            }_        }_        return retval.toString()__    };used,to,convert,raw,characters,to,their,escaped,version,when,these,raw,version,cannot,be,used,as,part,of,an,ascii,string,literal;static,string,string,str,string,buffer,retval,new,string,buffer,char,ch,for,int,i,0,i,str,length,i,switch,str,char,at,i,case,0,continue,case,b,retval,append,b,continue,case,t,retval,append,t,continue,case,n,retval,append,n,continue,case,f,retval,append,f,continue,case,r,retval,append,r,continue,case,retval,append,continue,case,retval,append,continue,case,retval,append,continue,default,if,ch,str,char,at,i,0x20,ch,0x7e,string,s,0000,integer,to,string,ch,16,retval,append,u,s,substring,s,length,4,s,length,else,retval,append,ch,continue,return,retval,to,string
ParseException -> static String add_escapes(String str);1507796188;Used to convert raw characters to their escaped version_when these raw version cannot be used as part of an ASCII_string literal.;static String add_escapes(String str) {_        StringBuffer retval = new StringBuffer()__        char ch__        for (int i = 0_ i < str.length()_ i++) {_            switch (str.charAt(i)) {_                case 0:_                    continue__                case '\b':_                    retval.append("\\b")__                    continue__                case '\t':_                    retval.append("\\t")__                    continue__                case '\n':_                    retval.append("\\n")__                    continue__                case '\f':_                    retval.append("\\f")__                    continue__                case '\r':_                    retval.append("\\r")__                    continue__                case '\"':_                    retval.append("\\\"")__                    continue__                case '\'':_                    retval.append("\\\'")__                    continue__                case '\\':_                    retval.append("\\\\")__                    continue__                default:_                    if ((ch = str.charAt(i)) < 0x20 || ch > 0x7e) {_                        String s = "0000" + Integer.toString(ch, 16)__                        retval.append("\\u" + s.substring(s.length() - 4, s.length()))__                    } else {_                        retval.append(ch)__                    }_                    continue__            }_        }_        return retval.toString()__    };used,to,convert,raw,characters,to,their,escaped,version,when,these,raw,version,cannot,be,used,as,part,of,an,ascii,string,literal;static,string,string,str,string,buffer,retval,new,string,buffer,char,ch,for,int,i,0,i,str,length,i,switch,str,char,at,i,case,0,continue,case,b,retval,append,b,continue,case,t,retval,append,t,continue,case,n,retval,append,n,continue,case,f,retval,append,f,continue,case,r,retval,append,r,continue,case,retval,append,continue,case,retval,append,continue,case,retval,append,continue,default,if,ch,str,char,at,i,0x20,ch,0x7e,string,s,0000,integer,to,string,ch,16,retval,append,u,s,substring,s,length,4,s,length,else,retval,append,ch,continue,return,retval,to,string
ParseException -> static String add_escapes(String str);1518162420;Used to convert raw characters to their escaped version_when these raw version cannot be used as part of an ASCII_string literal.;static String add_escapes(String str) {_      StringBuffer retval = new StringBuffer()__      char ch__      for (int i = 0_ i < str.length()_ i++) {_        switch (str.charAt(i))_        {_           case 0 :_              continue__           case '\b':_              retval.append("\\b")__              continue__           case '\t':_              retval.append("\\t")__              continue__           case '\n':_              retval.append("\\n")__              continue__           case '\f':_              retval.append("\\f")__              continue__           case '\r':_              retval.append("\\r")__              continue__           case '\"':_              retval.append("\\\"")__              continue__           case '\'':_              retval.append("\\\'")__              continue__           case '\\':_              retval.append("\\\\")__              continue__           default:_              if ((ch = str.charAt(i)) < 0x20 || ch > 0x7e) {_                 String s = "0000" + Integer.toString(ch, 16)__                 retval.append("\\u" + s.substring(s.length() - 4, s.length()))__              } else {_                 retval.append(ch)__              }_              continue__        }_      }_      return retval.toString()__   };used,to,convert,raw,characters,to,their,escaped,version,when,these,raw,version,cannot,be,used,as,part,of,an,ascii,string,literal;static,string,string,str,string,buffer,retval,new,string,buffer,char,ch,for,int,i,0,i,str,length,i,switch,str,char,at,i,case,0,continue,case,b,retval,append,b,continue,case,t,retval,append,t,continue,case,n,retval,append,n,continue,case,f,retval,append,f,continue,case,r,retval,append,r,continue,case,retval,append,continue,case,retval,append,continue,case,retval,append,continue,default,if,ch,str,char,at,i,0x20,ch,0x7e,string,s,0000,integer,to,string,ch,16,retval,append,u,s,substring,s,length,4,s,length,else,retval,append,ch,continue,return,retval,to,string
ParseException -> static String add_escapes(String str);1524168259;Used to convert raw characters to their escaped version_when these raw version cannot be used as part of an ASCII_string literal.;static String add_escapes(String str) {_      StringBuffer retval = new StringBuffer()__      char ch__      for (int i = 0_ i < str.length()_ i++) {_        switch (str.charAt(i))_        {_           case 0 :_              continue__           case '\b':_              retval.append("\\b")__              continue__           case '\t':_              retval.append("\\t")__              continue__           case '\n':_              retval.append("\\n")__              continue__           case '\f':_              retval.append("\\f")__              continue__           case '\r':_              retval.append("\\r")__              continue__           case '\"':_              retval.append("\\\"")__              continue__           case '\'':_              retval.append("\\\'")__              continue__           case '\\':_              retval.append("\\\\")__              continue__           default:_              if ((ch = str.charAt(i)) < 0x20 || ch > 0x7e) {_                 String s = "0000" + Integer.toString(ch, 16)__                 retval.append("\\u" + s.substring(s.length() - 4, s.length()))__              } else {_                 retval.append(ch)__              }_              continue__        }_      }_      return retval.toString()__   };used,to,convert,raw,characters,to,their,escaped,version,when,these,raw,version,cannot,be,used,as,part,of,an,ascii,string,literal;static,string,string,str,string,buffer,retval,new,string,buffer,char,ch,for,int,i,0,i,str,length,i,switch,str,char,at,i,case,0,continue,case,b,retval,append,b,continue,case,t,retval,append,t,continue,case,n,retval,append,n,continue,case,f,retval,append,f,continue,case,r,retval,append,r,continue,case,retval,append,continue,case,retval,append,continue,case,retval,append,continue,default,if,ch,str,char,at,i,0x20,ch,0x7e,string,s,0000,integer,to,string,ch,16,retval,append,u,s,substring,s,length,4,s,length,else,retval,append,ch,continue,return,retval,to,string
ParseException -> public ParseException(Token currentTokenVal,                           int[][] expectedTokenSequencesVal,                           String[] tokenImageVal     );1452789249;This constructor is used by the method "generateParseException"_in the generated parser.  Calling this constructor generates_a new object of this type with the fields "currentToken",_"expectedTokenSequences", and "tokenImage" set.;public ParseException(Token currentTokenVal,_                          int[][] expectedTokenSequencesVal,_                          String[] tokenImageVal_    ) {_        super(initialise(currentTokenVal, expectedTokenSequencesVal, tokenImageVal))__        currentToken = currentTokenVal__        expectedTokenSequences = expectedTokenSequencesVal__        tokenImage = tokenImageVal__    };this,constructor,is,used,by,the,method,generate,parse,exception,in,the,generated,parser,calling,this,constructor,generates,a,new,object,of,this,type,with,the,fields,current,token,expected,token,sequences,and,token,image,set;public,parse,exception,token,current,token,val,int,expected,token,sequences,val,string,token,image,val,super,initialise,current,token,val,expected,token,sequences,val,token,image,val,current,token,current,token,val,expected,token,sequences,expected,token,sequences,val,token,image,token,image,val
ParseException -> public ParseException(Token currentTokenVal,                           int[][] expectedTokenSequencesVal,                           String[] tokenImageVal     );1482077787;This constructor is used by the method "generateParseException"_in the generated parser.  Calling this constructor generates_a new object of this type with the fields "currentToken",_"expectedTokenSequences", and "tokenImage" set.;public ParseException(Token currentTokenVal,_                          int[][] expectedTokenSequencesVal,_                          String[] tokenImageVal_    ) {_        super(initialise(currentTokenVal, expectedTokenSequencesVal, tokenImageVal))__        currentToken = currentTokenVal__        expectedTokenSequences = expectedTokenSequencesVal__        tokenImage = tokenImageVal__    };this,constructor,is,used,by,the,method,generate,parse,exception,in,the,generated,parser,calling,this,constructor,generates,a,new,object,of,this,type,with,the,fields,current,token,expected,token,sequences,and,token,image,set;public,parse,exception,token,current,token,val,int,expected,token,sequences,val,string,token,image,val,super,initialise,current,token,val,expected,token,sequences,val,token,image,val,current,token,current,token,val,expected,token,sequences,expected,token,sequences,val,token,image,token,image,val
ParseException -> public ParseException(Token currentTokenVal,                           int[][] expectedTokenSequencesVal,                           String[] tokenImageVal     );1507796188;This constructor is used by the method "generateParseException"_in the generated parser.  Calling this constructor generates_a new object of this type with the fields "currentToken",_"expectedTokenSequences", and "tokenImage" set.;public ParseException(Token currentTokenVal,_                          int[][] expectedTokenSequencesVal,_                          String[] tokenImageVal_    ) {_        super(initialise(currentTokenVal, expectedTokenSequencesVal, tokenImageVal))__        currentToken = currentTokenVal__        expectedTokenSequences = expectedTokenSequencesVal__        tokenImage = tokenImageVal__    };this,constructor,is,used,by,the,method,generate,parse,exception,in,the,generated,parser,calling,this,constructor,generates,a,new,object,of,this,type,with,the,fields,current,token,expected,token,sequences,and,token,image,set;public,parse,exception,token,current,token,val,int,expected,token,sequences,val,string,token,image,val,super,initialise,current,token,val,expected,token,sequences,val,token,image,val,current,token,current,token,val,expected,token,sequences,expected,token,sequences,val,token,image,token,image,val
ParseException -> public ParseException(Token currentTokenVal,                         int[][] expectedTokenSequencesVal,                         String[] tokenImageVal                        );1452335256;This constructor is used by the method "generateParseException"_in the generated parser.  Calling this constructor generates_a new object of this type with the fields "currentToken",_"expectedTokenSequences", and "tokenImage" set.;public ParseException(Token currentTokenVal,_                        int[][] expectedTokenSequencesVal,_                        String[] tokenImageVal_                       )_  {_    super(initialise(currentTokenVal, expectedTokenSequencesVal, tokenImageVal))__    currentToken = currentTokenVal__    expectedTokenSequences = expectedTokenSequencesVal__    tokenImage = tokenImageVal__  };this,constructor,is,used,by,the,method,generate,parse,exception,in,the,generated,parser,calling,this,constructor,generates,a,new,object,of,this,type,with,the,fields,current,token,expected,token,sequences,and,token,image,set;public,parse,exception,token,current,token,val,int,expected,token,sequences,val,string,token,image,val,super,initialise,current,token,val,expected,token,sequences,val,token,image,val,current,token,current,token,val,expected,token,sequences,expected,token,sequences,val,token,image,token,image,val
ParseException -> public ParseException(Token currentTokenVal,                         int[][] expectedTokenSequencesVal,                         String[] tokenImageVal                        );1518162420;This constructor is used by the method "generateParseException"_in the generated parser.  Calling this constructor generates_a new object of this type with the fields "currentToken",_"expectedTokenSequences", and "tokenImage" set.;public ParseException(Token currentTokenVal,_                        int[][] expectedTokenSequencesVal,_                        String[] tokenImageVal_                       )_  {_    super(initialise(currentTokenVal, expectedTokenSequencesVal, tokenImageVal))__    currentToken = currentTokenVal__    expectedTokenSequences = expectedTokenSequencesVal__    tokenImage = tokenImageVal__  };this,constructor,is,used,by,the,method,generate,parse,exception,in,the,generated,parser,calling,this,constructor,generates,a,new,object,of,this,type,with,the,fields,current,token,expected,token,sequences,and,token,image,set;public,parse,exception,token,current,token,val,int,expected,token,sequences,val,string,token,image,val,super,initialise,current,token,val,expected,token,sequences,val,token,image,val,current,token,current,token,val,expected,token,sequences,expected,token,sequences,val,token,image,token,image,val
