# id;timestamp;commentText;codeText;commentWords;codeWords
HttpAccessor -> public ClientHttpRequestFactory getRequestFactory();1328020251;Return the request factory that this accessor uses for obtaining {@link ClientHttpRequest HttpRequests}.;public ClientHttpRequestFactory getRequestFactory() {_		return this.requestFactory__	};return,the,request,factory,that,this,accessor,uses,for,obtaining,link,client,http,request,http,requests;public,client,http,request,factory,get,request,factory,return,this,request,factory
HttpAccessor -> public ClientHttpRequestFactory getRequestFactory();1413848647;Return the request factory that this accessor uses for obtaining {@link ClientHttpRequest HttpRequests}.;public ClientHttpRequestFactory getRequestFactory() {_		return this.requestFactory__	};return,the,request,factory,that,this,accessor,uses,for,obtaining,link,client,http,request,http,requests;public,client,http,request,factory,get,request,factory,return,this,request,factory
HttpAccessor -> public ClientHttpRequestFactory getRequestFactory();1440554606;Return the request factory that this accessor uses for obtaining {@link ClientHttpRequest HttpRequests}.;public ClientHttpRequestFactory getRequestFactory() {_		return this.requestFactory__	};return,the,request,factory,that,this,accessor,uses,for,obtaining,link,client,http,request,http,requests;public,client,http,request,factory,get,request,factory,return,this,request,factory
HttpAccessor -> public ClientHttpRequestFactory getRequestFactory();1482841963;Return the request factory that this accessor uses for obtaining client request handles.;public ClientHttpRequestFactory getRequestFactory() {_		return this.requestFactory__	};return,the,request,factory,that,this,accessor,uses,for,obtaining,client,request,handles;public,client,http,request,factory,get,request,factory,return,this,request,factory
HttpAccessor -> public ClientHttpRequestFactory getRequestFactory();1509464018;Return the request factory that this accessor uses for obtaining client request handles.;public ClientHttpRequestFactory getRequestFactory() {_		return this.requestFactory__	};return,the,request,factory,that,this,accessor,uses,for,obtaining,client,request,handles;public,client,http,request,factory,get,request,factory,return,this,request,factory
HttpAccessor -> public ClientHttpRequestFactory getRequestFactory();1529721864;Return the request factory that this accessor uses for obtaining client request handles.;public ClientHttpRequestFactory getRequestFactory() {_		return this.requestFactory__	};return,the,request,factory,that,this,accessor,uses,for,obtaining,client,request,handles;public,client,http,request,factory,get,request,factory,return,this,request,factory
HttpAccessor -> public ClientHttpRequestFactory getRequestFactory();1530174524;Return the request factory that this accessor uses for obtaining client request handles.;public ClientHttpRequestFactory getRequestFactory() {_		return this.requestFactory__	};return,the,request,factory,that,this,accessor,uses,for,obtaining,client,request,handles;public,client,http,request,factory,get,request,factory,return,this,request,factory
HttpAccessor -> public ClientHttpRequestFactory getRequestFactory();1531942370;Return the request factory that this accessor uses for obtaining client request handles.;public ClientHttpRequestFactory getRequestFactory() {_		return this.requestFactory__	};return,the,request,factory,that,this,accessor,uses,for,obtaining,client,request,handles;public,client,http,request,factory,get,request,factory,return,this,request,factory
HttpAccessor -> protected ClientHttpRequest createRequest(URI url, HttpMethod method) throws IOException;1328020251;Create a new {@link ClientHttpRequest} via this template's {@link ClientHttpRequestFactory}._@param url the URL to connect to_@param method the HTTP method to exectute (GET, POST, etc.)_@return the created request_@throws IOException in case of I/O errors;protected ClientHttpRequest createRequest(URI url, HttpMethod method) throws IOException {_		ClientHttpRequest request = getRequestFactory().createRequest(url, method)__		if (logger.isDebugEnabled()) {_			logger.debug("Created " + method.name() + " request for \"" + url + "\"")__		}_		return request__	};create,a,new,link,client,http,request,via,this,template,s,link,client,http,request,factory,param,url,the,url,to,connect,to,param,method,the,http,method,to,exectute,get,post,etc,return,the,created,request,throws,ioexception,in,case,of,i,o,errors;protected,client,http,request,create,request,uri,url,http,method,method,throws,ioexception,client,http,request,request,get,request,factory,create,request,url,method,if,logger,is,debug,enabled,logger,debug,created,method,name,request,for,url,return,request
HttpAccessor -> protected ClientHttpRequest createRequest(URI url, HttpMethod method) throws IOException;1413848647;Create a new {@link ClientHttpRequest} via this template's {@link ClientHttpRequestFactory}._@param url the URL to connect to_@param method the HTTP method to exectute (GET, POST, etc.)_@return the created request_@throws IOException in case of I/O errors;protected ClientHttpRequest createRequest(URI url, HttpMethod method) throws IOException {_		ClientHttpRequest request = getRequestFactory().createRequest(url, method)__		if (logger.isDebugEnabled()) {_			logger.debug("Created " + method.name() + " request for \"" + url + "\"")__		}_		return request__	};create,a,new,link,client,http,request,via,this,template,s,link,client,http,request,factory,param,url,the,url,to,connect,to,param,method,the,http,method,to,exectute,get,post,etc,return,the,created,request,throws,ioexception,in,case,of,i,o,errors;protected,client,http,request,create,request,uri,url,http,method,method,throws,ioexception,client,http,request,request,get,request,factory,create,request,url,method,if,logger,is,debug,enabled,logger,debug,created,method,name,request,for,url,return,request
HttpAccessor -> protected ClientHttpRequest createRequest(URI url, HttpMethod method) throws IOException;1440554606;Create a new {@link ClientHttpRequest} via this template's {@link ClientHttpRequestFactory}._@param url the URL to connect to_@param method the HTTP method to exectute (GET, POST, etc.)_@return the created request_@throws IOException in case of I/O errors;protected ClientHttpRequest createRequest(URI url, HttpMethod method) throws IOException {_		ClientHttpRequest request = getRequestFactory().createRequest(url, method)__		if (logger.isDebugEnabled()) {_			logger.debug("Created " + method.name() + " request for \"" + url + "\"")__		}_		return request__	};create,a,new,link,client,http,request,via,this,template,s,link,client,http,request,factory,param,url,the,url,to,connect,to,param,method,the,http,method,to,exectute,get,post,etc,return,the,created,request,throws,ioexception,in,case,of,i,o,errors;protected,client,http,request,create,request,uri,url,http,method,method,throws,ioexception,client,http,request,request,get,request,factory,create,request,url,method,if,logger,is,debug,enabled,logger,debug,created,method,name,request,for,url,return,request
