# id;timestamp;commentText;codeText;commentWords;codeWords
Frame -> private void pop(final int elements);1366718246;Pops the given number of types from the output frame stack.__@param elements_the number of types that must be popped.;private void pop(final int elements) {_        if (outputStackTop >= elements) {_            outputStackTop -= elements__        } else {_            _            _            _            owner.inputStackTop -= elements - outputStackTop__            outputStackTop = 0__        }_    };pops,the,given,number,of,types,from,the,output,frame,stack,param,elements,the,number,of,types,that,must,be,popped;private,void,pop,final,int,elements,if,output,stack,top,elements,output,stack,top,elements,else,owner,input,stack,top,elements,output,stack,top,output,stack,top,0
Frame -> private void pop(final int elements);1385423968;Pops the given number of types from the output frame stack.__@param elements_the number of types that must be popped.;private void pop(final int elements) {_        if (outputStackTop >= elements) {_            outputStackTop -= elements__        } else {_            _            _            _            owner.inputStackTop -= elements - outputStackTop__            outputStackTop = 0__        }_    };pops,the,given,number,of,types,from,the,output,frame,stack,param,elements,the,number,of,types,that,must,be,popped;private,void,pop,final,int,elements,if,output,stack,top,elements,output,stack,top,elements,else,owner,input,stack,top,elements,output,stack,top,output,stack,top,0
Frame -> private void pop(final int elements);1395273982;Pops the given number of types from the output frame stack.__@param elements_the number of types that must be popped.;private void pop(final int elements) {_        if (outputStackTop >= elements) {_            outputStackTop -= elements__        } else {_            _            _            _            owner.inputStackTop -= elements - outputStackTop__            outputStackTop = 0__        }_    };pops,the,given,number,of,types,from,the,output,frame,stack,param,elements,the,number,of,types,that,must,be,popped;private,void,pop,final,int,elements,if,output,stack,top,elements,output,stack,top,elements,else,owner,input,stack,top,elements,output,stack,top,output,stack,top,0
Frame -> private void pop(final int elements);1397644526;Pops the given number of types from the output frame stack.__@param elements_the number of types that must be popped.;private void pop(final int elements) {_        if (outputStackTop >= elements) {_            outputStackTop -= elements__        } else {_            _            _            _            owner.inputStackTop -= elements - outputStackTop__            outputStackTop = 0__        }_    };pops,the,given,number,of,types,from,the,output,frame,stack,param,elements,the,number,of,types,that,must,be,popped;private,void,pop,final,int,elements,if,output,stack,top,elements,output,stack,top,elements,else,owner,input,stack,top,elements,output,stack,top,output,stack,top,0
Frame -> private void pop(final int elements);1398255950;Pops the given number of types from the output frame stack.__@param elements_the number of types that must be popped.;private void pop(final int elements) {_        if (outputStackTop >= elements) {_            outputStackTop -= elements__        } else {_            _            _            _            owner.inputStackTop -= elements - outputStackTop__            outputStackTop = 0__        }_    };pops,the,given,number,of,types,from,the,output,frame,stack,param,elements,the,number,of,types,that,must,be,popped;private,void,pop,final,int,elements,if,output,stack,top,elements,output,stack,top,elements,else,owner,input,stack,top,elements,output,stack,top,output,stack,top,0
Frame -> private void pop(final int elements);1461047077;Pops the given number of types from the output frame stack.__@param elements_the number of types that must be popped.;private void pop(final int elements) {_        if (outputStackTop >= elements) {_            outputStackTop -= elements__        } else {_            _            _            _            owner.inputStackTop -= elements - outputStackTop__            outputStackTop = 0__        }_    };pops,the,given,number,of,types,from,the,output,frame,stack,param,elements,the,number,of,types,that,must,be,popped;private,void,pop,final,int,elements,if,output,stack,top,elements,output,stack,top,elements,else,owner,input,stack,top,elements,output,stack,top,output,stack,top,0
Frame -> private void pop(final int elements);1483093254;Pops the given number of types from the output frame stack.__@param elements_the number of types that must be popped.;private void pop(final int elements) {_        if (outputStackTop >= elements) {_            outputStackTop -= elements__        } else {_            _            _            _            owner.inputStackTop -= elements - outputStackTop__            outputStackTop = 0__        }_    };pops,the,given,number,of,types,from,the,output,frame,stack,param,elements,the,number,of,types,that,must,be,popped;private,void,pop,final,int,elements,if,output,stack,top,elements,output,stack,top,elements,else,owner,input,stack,top,elements,output,stack,top,output,stack,top,0
Frame -> private void pop(final int elements);1531241461;Pops the given number of abstract types from the output frame stack.__@param elements the number of abstract types that must be popped.;private void pop(final int elements) {_    if (outputStackTop >= elements) {_      outputStackTop -= elements__    } else {_      _      _      outputStackStart -= elements - outputStackTop__      outputStackTop = 0__    }_  };pops,the,given,number,of,abstract,types,from,the,output,frame,stack,param,elements,the,number,of,abstract,types,that,must,be,popped;private,void,pop,final,int,elements,if,output,stack,top,elements,output,stack,top,elements,else,output,stack,start,elements,output,stack,top,output,stack,top,0
Frame -> private void pop(final int elements);1536664245;Pops the given number of abstract types from the output frame stack.__@param elements the number of abstract types that must be popped.;private void pop(final int elements) {_    if (outputStackTop >= elements) {_      outputStackTop -= elements__    } else {_      _      _      outputStackStart -= elements - outputStackTop__      outputStackTop = 0__    }_  };pops,the,given,number,of,abstract,types,from,the,output,frame,stack,param,elements,the,number,of,abstract,types,that,must,be,popped;private,void,pop,final,int,elements,if,output,stack,top,elements,output,stack,top,elements,else,output,stack,start,elements,output,stack,top,output,stack,top,0
Frame -> private void pop(final int elements);1537204147;Pops the given number of abstract types from the output frame stack.__@param elements the number of abstract types that must be popped.;private void pop(final int elements) {_    if (outputStackTop >= elements) {_      outputStackTop -= elements__    } else {_      _      _      outputStackStart -= elements - outputStackTop__      outputStackTop = 0__    }_  };pops,the,given,number,of,abstract,types,from,the,output,frame,stack,param,elements,the,number,of,abstract,types,that,must,be,popped;private,void,pop,final,int,elements,if,output,stack,top,elements,output,stack,top,elements,else,output,stack,start,elements,output,stack,top,output,stack,top,0
Frame -> private void push(final SymbolTable symbolTable, final String descriptor);1531241461;Pushes the abstract type corresponding to the given descriptor on the output frame stack.__@param symbolTable the type table to use to lookup and store type {@link Symbol}._@param descriptor a type or method descriptor (in which case its return type is pushed).;private void push(final SymbolTable symbolTable, final String descriptor) {_    int typeDescriptorOffset = descriptor.charAt(0) == '(' ? descriptor.indexOf(')') + 1 : 0__    int abstractType = getAbstractTypeFromDescriptor(symbolTable, descriptor, typeDescriptorOffset)__    if (abstractType != 0) {_      push(abstractType)__      if (abstractType == LONG || abstractType == DOUBLE) {_        push(TOP)__      }_    }_  };pushes,the,abstract,type,corresponding,to,the,given,descriptor,on,the,output,frame,stack,param,symbol,table,the,type,table,to,use,to,lookup,and,store,type,link,symbol,param,descriptor,a,type,or,method,descriptor,in,which,case,its,return,type,is,pushed;private,void,push,final,symbol,table,symbol,table,final,string,descriptor,int,type,descriptor,offset,descriptor,char,at,0,descriptor,index,of,1,0,int,abstract,type,get,abstract,type,from,descriptor,symbol,table,descriptor,type,descriptor,offset,if,abstract,type,0,push,abstract,type,if,abstract,type,long,abstract,type,double,push,top
