# id;timestamp;commentText;codeText;commentWords;codeWords
MethodVisitor -> public void visitAttribute(Attribute attr);1366718246;Visits a non standard attribute of this method.__@param attr_an attribute.;public void visitAttribute(Attribute attr) {_        if (mv != null) {_            mv.visitAttribute(attr)__        }_    };visits,a,non,standard,attribute,of,this,method,param,attr,an,attribute;public,void,visit,attribute,attribute,attr,if,mv,null,mv,visit,attribute,attr
MethodVisitor -> public void visitAttribute(Attribute attr);1367955086;Visits a non standard attribute of this method.__@param attr_an attribute.;public void visitAttribute(Attribute attr) {_        if (mv != null) {_            mv.visitAttribute(attr)__        }_    };visits,a,non,standard,attribute,of,this,method,param,attr,an,attribute;public,void,visit,attribute,attribute,attr,if,mv,null,mv,visit,attribute,attr
MethodVisitor -> public void visitAttribute(Attribute attr);1395273982;Visits a non standard attribute of this method.__@param attr_an attribute.;public void visitAttribute(Attribute attr) {_        if (mv != null) {_            mv.visitAttribute(attr)__        }_    };visits,a,non,standard,attribute,of,this,method,param,attr,an,attribute;public,void,visit,attribute,attribute,attr,if,mv,null,mv,visit,attribute,attr
MethodVisitor -> public void visitAttribute(Attribute attr);1397644526;Visits a non standard attribute of this method.__@param attr_an attribute.;public void visitAttribute(Attribute attr) {_        if (mv != null) {_            mv.visitAttribute(attr)__        }_    };visits,a,non,standard,attribute,of,this,method,param,attr,an,attribute;public,void,visit,attribute,attribute,attr,if,mv,null,mv,visit,attribute,attr
MethodVisitor -> public void visitAttribute(Attribute attr);1483093254;Visits a non standard attribute of this method.__@param attr_an attribute.;public void visitAttribute(Attribute attr) {_        if (mv != null) {_            mv.visitAttribute(attr)__        }_    };visits,a,non,standard,attribute,of,this,method,param,attr,an,attribute;public,void,visit,attribute,attribute,attr,if,mv,null,mv,visit,attribute,attr
MethodVisitor -> public void visitAttribute(Attribute attr);1505821772;Visits a non standard attribute of this method.__@param attr_an attribute.;public void visitAttribute(Attribute attr) {_        if (mv != null) {_            mv.visitAttribute(attr)__        }_    };visits,a,non,standard,attribute,of,this,method,param,attr,an,attribute;public,void,visit,attribute,attribute,attr,if,mv,null,mv,visit,attribute,attr
MethodVisitor -> public void visitMultiANewArrayInsn(final String descriptor, final int numDimensions);1531241461;Visits a MULTIANEWARRAY instruction.__@param descriptor an array type descriptor (see {@link Type})._@param numDimensions the number of dimensions of the array to allocate.;public void visitMultiANewArrayInsn(final String descriptor, final int numDimensions) {_    if (mv != null) {_      mv.visitMultiANewArrayInsn(descriptor, numDimensions)__    }_  };visits,a,multianewarray,instruction,param,descriptor,an,array,type,descriptor,see,link,type,param,num,dimensions,the,number,of,dimensions,of,the,array,to,allocate;public,void,visit,multi,anew,array,insn,final,string,descriptor,final,int,num,dimensions,if,mv,null,mv,visit,multi,anew,array,insn,descriptor,num,dimensions
MethodVisitor -> public void visitMultiANewArrayInsn(final String descriptor, final int numDimensions);1533573221;Visits a MULTIANEWARRAY instruction.__@param descriptor an array type descriptor (see {@link Type})._@param numDimensions the number of dimensions of the array to allocate.;public void visitMultiANewArrayInsn(final String descriptor, final int numDimensions) {_    if (mv != null) {_      mv.visitMultiANewArrayInsn(descriptor, numDimensions)__    }_  };visits,a,multianewarray,instruction,param,descriptor,an,array,type,descriptor,see,link,type,param,num,dimensions,the,number,of,dimensions,of,the,array,to,allocate;public,void,visit,multi,anew,array,insn,final,string,descriptor,final,int,num,dimensions,if,mv,null,mv,visit,multi,anew,array,insn,descriptor,num,dimensions
MethodVisitor -> public void visitMultiANewArrayInsn(final String descriptor, final int numDimensions);1536664245;Visits a MULTIANEWARRAY instruction.__@param descriptor an array type descriptor (see {@link Type})._@param numDimensions the number of dimensions of the array to allocate.;public void visitMultiANewArrayInsn(final String descriptor, final int numDimensions) {_    if (mv != null) {_      mv.visitMultiANewArrayInsn(descriptor, numDimensions)__    }_  };visits,a,multianewarray,instruction,param,descriptor,an,array,type,descriptor,see,link,type,param,num,dimensions,the,number,of,dimensions,of,the,array,to,allocate;public,void,visit,multi,anew,array,insn,final,string,descriptor,final,int,num,dimensions,if,mv,null,mv,visit,multi,anew,array,insn,descriptor,num,dimensions
MethodVisitor -> public void visitMultiANewArrayInsn(final String descriptor, final int numDimensions);1537204147;Visits a MULTIANEWARRAY instruction.__@param descriptor an array type descriptor (see {@link Type})._@param numDimensions the number of dimensions of the array to allocate.;public void visitMultiANewArrayInsn(final String descriptor, final int numDimensions) {_    if (mv != null) {_      mv.visitMultiANewArrayInsn(descriptor, numDimensions)__    }_  };visits,a,multianewarray,instruction,param,descriptor,an,array,type,descriptor,see,link,type,param,num,dimensions,the,number,of,dimensions,of,the,array,to,allocate;public,void,visit,multi,anew,array,insn,final,string,descriptor,final,int,num,dimensions,if,mv,null,mv,visit,multi,anew,array,insn,descriptor,num,dimensions
MethodVisitor -> public void visitFrame(int type, int nLocal, Object[] local, int nStack,             Object[] stack);1366718246;Visits the current state of the local variables and operand stack_elements. This method must(*) be called <i>just before</i> any_instruction <b>i</b> that follows an unconditional branch instruction_such as GOTO or THROW, that is the target of a jump instruction, or that_starts an exception handler block. The visited types must describe the_values of the local variables and of the operand stack elements <i>just_before</i> <b>i</b> is executed.<br>_<br>_(*) this is mandatory only for classes whose version is greater than or_equal to {@link Opcodes#V1_6 V1_6}. <br>_<br>_The frames of a method must be given either in expanded form, or in_compressed form (all frames must use the same format, i.e. you must not_mix expanded and compressed frames within a single method):_<ul>_<li>In expanded form, all frames must have the F_NEW type.</li>_<li>In compressed form, frames are basically "deltas" from the state of_the previous frame:_<ul>_<li>{@link Opcodes#F_SAME} representing frame with exactly the same_locals as the previous frame and with the empty stack.</li>_<li>{@link Opcodes#F_SAME1} representing frame with exactly the same_locals as the previous frame and with single value on the stack (_<code>nStack</code> is 1 and <code>stack[0]</code> contains value for the_type of the stack item).</li>_<li>{@link Opcodes#F_APPEND} representing frame with current locals are_the same as the locals in the previous frame, except that additional_locals are defined (<code>nLocal</code> is 1, 2 or 3 and_<code>local</code> elements contains values representing added types).</li>_<li>{@link Opcodes#F_CHOP} representing frame with current locals are the_same as the locals in the previous frame, except that the last 1-3 locals_are absent and with the empty stack (<code>nLocals</code> is 1, 2 or 3).</li>_<li>{@link Opcodes#F_FULL} representing complete frame data.</li></li>_</ul>_</ul> <br>_In both cases the first frame, corresponding to the method's parameters_and access flags, is implicit and must not be visited. Also, it is_illegal to visit two or more frames for the same code location (i.e., at_least one instruction must be visited between two calls to visitFrame).__@param type_the type of this stack map frame. Must be_{@link Opcodes#F_NEW} for expanded frames, or_{@link Opcodes#F_FULL}, {@link Opcodes#F_APPEND},_{@link Opcodes#F_CHOP}, {@link Opcodes#F_SAME} or_{@link Opcodes#F_APPEND}, {@link Opcodes#F_SAME1} for_compressed frames._@param nLocal_the number of local variables in the visited frame._@param local_the local variable types in this frame. This array must not be_modified. Primitive types are represented by_{@link Opcodes#TOP}, {@link Opcodes#INTEGER},_{@link Opcodes#FLOAT}, {@link Opcodes#LONG},_{@link Opcodes#DOUBLE},{@link Opcodes#NULL} or_{@link Opcodes#UNINITIALIZED_THIS} (long and double are_represented by a single element). Reference types are_represented by String objects (representing internal names),_and uninitialized types by Label objects (this label_designates the NEW instruction that created this uninitialized_value)._@param nStack_the number of operand stack elements in the visited frame._@param stack_the operand stack types in this frame. This array must not be_modified. Its content has the same format as the "local"_array._@throws IllegalStateException_if a frame is visited just after another one, without any_instruction between the two (unless this frame is a_Opcodes#F_SAME frame, in which case it is silently ignored).;public void visitFrame(int type, int nLocal, Object[] local, int nStack,_            Object[] stack) {_        if (mv != null) {_            mv.visitFrame(type, nLocal, local, nStack, stack)__        }_    };visits,the,current,state,of,the,local,variables,and,operand,stack,elements,this,method,must,be,called,i,just,before,i,any,instruction,b,i,b,that,follows,an,unconditional,branch,instruction,such,as,goto,or,throw,that,is,the,target,of,a,jump,instruction,or,that,starts,an,exception,handler,block,the,visited,types,must,describe,the,values,of,the,local,variables,and,of,the,operand,stack,elements,i,just,before,i,b,i,b,is,executed,br,br,this,is,mandatory,only,for,classes,whose,version,is,greater,than,or,equal,to,link,opcodes,br,br,the,frames,of,a,method,must,be,given,either,in,expanded,form,or,in,compressed,form,all,frames,must,use,the,same,format,i,e,you,must,not,mix,expanded,and,compressed,frames,within,a,single,method,ul,li,in,expanded,form,all,frames,must,have,the,type,li,li,in,compressed,form,frames,are,basically,deltas,from,the,state,of,the,previous,frame,ul,li,link,opcodes,representing,frame,with,exactly,the,same,locals,as,the,previous,frame,and,with,the,empty,stack,li,li,link,opcodes,representing,frame,with,exactly,the,same,locals,as,the,previous,frame,and,with,single,value,on,the,stack,code,n,stack,code,is,1,and,code,stack,0,code,contains,value,for,the,type,of,the,stack,item,li,li,link,opcodes,representing,frame,with,current,locals,are,the,same,as,the,locals,in,the,previous,frame,except,that,additional,locals,are,defined,code,n,local,code,is,1,2,or,3,and,code,local,code,elements,contains,values,representing,added,types,li,li,link,opcodes,representing,frame,with,current,locals,are,the,same,as,the,locals,in,the,previous,frame,except,that,the,last,1,3,locals,are,absent,and,with,the,empty,stack,code,n,locals,code,is,1,2,or,3,li,li,link,opcodes,representing,complete,frame,data,li,li,ul,ul,br,in,both,cases,the,first,frame,corresponding,to,the,method,s,parameters,and,access,flags,is,implicit,and,must,not,be,visited,also,it,is,illegal,to,visit,two,or,more,frames,for,the,same,code,location,i,e,at,least,one,instruction,must,be,visited,between,two,calls,to,visit,frame,param,type,the,type,of,this,stack,map,frame,must,be,link,opcodes,for,expanded,frames,or,link,opcodes,link,opcodes,link,opcodes,link,opcodes,or,link,opcodes,link,opcodes,for,compressed,frames,param,n,local,the,number,of,local,variables,in,the,visited,frame,param,local,the,local,variable,types,in,this,frame,this,array,must,not,be,modified,primitive,types,are,represented,by,link,opcodes,top,link,opcodes,integer,link,opcodes,float,link,opcodes,long,link,opcodes,double,link,opcodes,null,or,link,opcodes,long,and,double,are,represented,by,a,single,element,reference,types,are,represented,by,string,objects,representing,internal,names,and,uninitialized,types,by,label,objects,this,label,designates,the,new,instruction,that,created,this,uninitialized,value,param,n,stack,the,number,of,operand,stack,elements,in,the,visited,frame,param,stack,the,operand,stack,types,in,this,frame,this,array,must,not,be,modified,its,content,has,the,same,format,as,the,local,array,throws,illegal,state,exception,if,a,frame,is,visited,just,after,another,one,without,any,instruction,between,the,two,unless,this,frame,is,a,opcodes,frame,in,which,case,it,is,silently,ignored;public,void,visit,frame,int,type,int,n,local,object,local,int,n,stack,object,stack,if,mv,null,mv,visit,frame,type,n,local,local,n,stack,stack
