# id;timestamp;commentText;codeText;commentWords;codeWords
ClassVisitor -> public ClassVisitor(final int api, final ClassVisitor cv);1366718246;Constructs a new {@link ClassVisitor}.__@param api_the ASM API version implemented by this visitor. Must be one_of {@link Opcodes#ASM4}._@param cv_the class visitor to which this visitor must delegate method_calls. May be null.;public ClassVisitor(final int api, final ClassVisitor cv) {_		_        this.api = api__        this.cv = cv__    };constructs,a,new,link,class,visitor,param,api,the,asm,api,version,implemented,by,this,visitor,must,be,one,of,link,opcodes,asm4,param,cv,the,class,visitor,to,which,this,visitor,must,delegate,method,calls,may,be,null;public,class,visitor,final,int,api,final,class,visitor,cv,this,api,api,this,cv,cv
ClassVisitor -> public ClassVisitor(final int api, final ClassVisitor cv);1395273982;Constructs a new {@link ClassVisitor}.__@param api_the ASM API version implemented by this visitor. Must be one_of {@link Opcodes#ASM4} or {@link Opcodes#ASM5}._@param cv_the class visitor to which this visitor must delegate method_calls. May be null.;public ClassVisitor(final int api, final ClassVisitor cv) {_        if (api != Opcodes.ASM4 && api != Opcodes.ASM5) {_            throw new IllegalArgumentException()__        }_        this.api = api__        this.cv = cv__    };constructs,a,new,link,class,visitor,param,api,the,asm,api,version,implemented,by,this,visitor,must,be,one,of,link,opcodes,asm4,or,link,opcodes,asm5,param,cv,the,class,visitor,to,which,this,visitor,must,delegate,method,calls,may,be,null;public,class,visitor,final,int,api,final,class,visitor,cv,if,api,opcodes,asm4,api,opcodes,asm5,throw,new,illegal,argument,exception,this,api,api,this,cv,cv
ClassVisitor -> public ClassVisitor(final int api, final ClassVisitor cv);1397644526;Constructs a new {@link ClassVisitor}.__@param api_the ASM API version implemented by this visitor. Must be one_of {@link Opcodes#ASM4} or {@link Opcodes#ASM5}._@param cv_the class visitor to which this visitor must delegate method_calls. May be null.;public ClassVisitor(final int api, final ClassVisitor cv) {_        if (api != Opcodes.ASM4 && api != Opcodes.ASM5) {_            throw new IllegalArgumentException()__        }_        this.api = api__        this.cv = cv__    };constructs,a,new,link,class,visitor,param,api,the,asm,api,version,implemented,by,this,visitor,must,be,one,of,link,opcodes,asm4,or,link,opcodes,asm5,param,cv,the,class,visitor,to,which,this,visitor,must,delegate,method,calls,may,be,null;public,class,visitor,final,int,api,final,class,visitor,cv,if,api,opcodes,asm4,api,opcodes,asm5,throw,new,illegal,argument,exception,this,api,api,this,cv,cv
ClassVisitor -> public ClassVisitor(final int api, final ClassVisitor cv);1505821772;Constructs a new {@link ClassVisitor}.__@param api_the ASM API version implemented by this visitor. Must be one_of {@link Opcodes#ASM4}, {@link Opcodes#ASM5} or {@link Opcodes#ASM6}._@param cv_the class visitor to which this visitor must delegate method_calls. May be null.;public ClassVisitor(final int api, final ClassVisitor cv) {_        if (api < Opcodes.ASM4 || api > Opcodes.ASM6) {_            throw new IllegalArgumentException()__        }_        this.api = api__        this.cv = cv__    };constructs,a,new,link,class,visitor,param,api,the,asm,api,version,implemented,by,this,visitor,must,be,one,of,link,opcodes,asm4,link,opcodes,asm5,or,link,opcodes,asm6,param,cv,the,class,visitor,to,which,this,visitor,must,delegate,method,calls,may,be,null;public,class,visitor,final,int,api,final,class,visitor,cv,if,api,opcodes,asm4,api,opcodes,asm6,throw,new,illegal,argument,exception,this,api,api,this,cv,cv
ClassVisitor -> public void visitOuterClass(String owner, String name, String desc);1366718246;Visits the enclosing class of the class. This method must be called only_if the class has an enclosing class.__@param owner_internal name of the enclosing class of the class._@param name_the name of the method that contains the class, or_<tt>null</tt> if the class is not enclosed in a method of its_enclosing class._@param desc_the descriptor of the method that contains the class, or_<tt>null</tt> if the class is not enclosed in a method of its_enclosing class.;public void visitOuterClass(String owner, String name, String desc) {_        if (cv != null) {_            cv.visitOuterClass(owner, name, desc)__        }_    };visits,the,enclosing,class,of,the,class,this,method,must,be,called,only,if,the,class,has,an,enclosing,class,param,owner,internal,name,of,the,enclosing,class,of,the,class,param,name,the,name,of,the,method,that,contains,the,class,or,tt,null,tt,if,the,class,is,not,enclosed,in,a,method,of,its,enclosing,class,param,desc,the,descriptor,of,the,method,that,contains,the,class,or,tt,null,tt,if,the,class,is,not,enclosed,in,a,method,of,its,enclosing,class;public,void,visit,outer,class,string,owner,string,name,string,desc,if,cv,null,cv,visit,outer,class,owner,name,desc
ClassVisitor -> public void visitOuterClass(String owner, String name, String desc);1395273982;Visits the enclosing class of the class. This method must be called only_if the class has an enclosing class.__@param owner_internal name of the enclosing class of the class._@param name_the name of the method that contains the class, or_<tt>null</tt> if the class is not enclosed in a method of its_enclosing class._@param desc_the descriptor of the method that contains the class, or_<tt>null</tt> if the class is not enclosed in a method of its_enclosing class.;public void visitOuterClass(String owner, String name, String desc) {_        if (cv != null) {_            cv.visitOuterClass(owner, name, desc)__        }_    };visits,the,enclosing,class,of,the,class,this,method,must,be,called,only,if,the,class,has,an,enclosing,class,param,owner,internal,name,of,the,enclosing,class,of,the,class,param,name,the,name,of,the,method,that,contains,the,class,or,tt,null,tt,if,the,class,is,not,enclosed,in,a,method,of,its,enclosing,class,param,desc,the,descriptor,of,the,method,that,contains,the,class,or,tt,null,tt,if,the,class,is,not,enclosed,in,a,method,of,its,enclosing,class;public,void,visit,outer,class,string,owner,string,name,string,desc,if,cv,null,cv,visit,outer,class,owner,name,desc
ClassVisitor -> public void visitOuterClass(String owner, String name, String desc);1397644526;Visits the enclosing class of the class. This method must be called only_if the class has an enclosing class.__@param owner_internal name of the enclosing class of the class._@param name_the name of the method that contains the class, or_<tt>null</tt> if the class is not enclosed in a method of its_enclosing class._@param desc_the descriptor of the method that contains the class, or_<tt>null</tt> if the class is not enclosed in a method of its_enclosing class.;public void visitOuterClass(String owner, String name, String desc) {_        if (cv != null) {_            cv.visitOuterClass(owner, name, desc)__        }_    };visits,the,enclosing,class,of,the,class,this,method,must,be,called,only,if,the,class,has,an,enclosing,class,param,owner,internal,name,of,the,enclosing,class,of,the,class,param,name,the,name,of,the,method,that,contains,the,class,or,tt,null,tt,if,the,class,is,not,enclosed,in,a,method,of,its,enclosing,class,param,desc,the,descriptor,of,the,method,that,contains,the,class,or,tt,null,tt,if,the,class,is,not,enclosed,in,a,method,of,its,enclosing,class;public,void,visit,outer,class,string,owner,string,name,string,desc,if,cv,null,cv,visit,outer,class,owner,name,desc
ClassVisitor -> public void visitOuterClass(String owner, String name, String desc);1505821772;Visits the enclosing class of the class. This method must be called only_if the class has an enclosing class.__@param owner_internal name of the enclosing class of the class._@param name_the name of the method that contains the class, or_<tt>null</tt> if the class is not enclosed in a method of its_enclosing class._@param desc_the descriptor of the method that contains the class, or_<tt>null</tt> if the class is not enclosed in a method of its_enclosing class.;public void visitOuterClass(String owner, String name, String desc) {_        if (cv != null) {_            cv.visitOuterClass(owner, name, desc)__        }_    };visits,the,enclosing,class,of,the,class,this,method,must,be,called,only,if,the,class,has,an,enclosing,class,param,owner,internal,name,of,the,enclosing,class,of,the,class,param,name,the,name,of,the,method,that,contains,the,class,or,tt,null,tt,if,the,class,is,not,enclosed,in,a,method,of,its,enclosing,class,param,desc,the,descriptor,of,the,method,that,contains,the,class,or,tt,null,tt,if,the,class,is,not,enclosed,in,a,method,of,its,enclosing,class;public,void,visit,outer,class,string,owner,string,name,string,desc,if,cv,null,cv,visit,outer,class,owner,name,desc
ClassVisitor -> public ClassVisitor(final int api);1366718246;Constructs a new {@link ClassVisitor}.__@param api_the ASM API version implemented by this visitor. Must be one_of {@link Opcodes#ASM4}.;public ClassVisitor(final int api) {_        this(api, null)__    };constructs,a,new,link,class,visitor,param,api,the,asm,api,version,implemented,by,this,visitor,must,be,one,of,link,opcodes,asm4;public,class,visitor,final,int,api,this,api,null
ClassVisitor -> public ClassVisitor(final int api);1395273982;Constructs a new {@link ClassVisitor}.__@param api_the ASM API version implemented by this visitor. Must be one_of {@link Opcodes#ASM4} or {@link Opcodes#ASM5}.;public ClassVisitor(final int api) {_        this(api, null)__    };constructs,a,new,link,class,visitor,param,api,the,asm,api,version,implemented,by,this,visitor,must,be,one,of,link,opcodes,asm4,or,link,opcodes,asm5;public,class,visitor,final,int,api,this,api,null
ClassVisitor -> public ClassVisitor(final int api);1397644526;Constructs a new {@link ClassVisitor}.__@param api_the ASM API version implemented by this visitor. Must be one_of {@link Opcodes#ASM4} or {@link Opcodes#ASM5}.;public ClassVisitor(final int api) {_        this(api, null)__    };constructs,a,new,link,class,visitor,param,api,the,asm,api,version,implemented,by,this,visitor,must,be,one,of,link,opcodes,asm4,or,link,opcodes,asm5;public,class,visitor,final,int,api,this,api,null
