# id;timestamp;commentText;codeText;commentWords;codeWords
AnnotationWriter -> int getSize();1366718246;Returns the size of this annotation writer list.__@return the size of this annotation writer list.;int getSize() {_        int size = 0__        AnnotationWriter aw = this__        while (aw != null) {_            size += aw.bv.length__            aw = aw.next__        }_        return size__    };returns,the,size,of,this,annotation,writer,list,return,the,size,of,this,annotation,writer,list;int,get,size,int,size,0,annotation,writer,aw,this,while,aw,null,size,aw,bv,length,aw,aw,next,return,size
AnnotationWriter -> int getSize();1395273982;Returns the size of this annotation writer list.__@return the size of this annotation writer list.;int getSize() {_        int size = 0__        AnnotationWriter aw = this__        while (aw != null) {_            size += aw.bv.length__            aw = aw.next__        }_        return size__    };returns,the,size,of,this,annotation,writer,list,return,the,size,of,this,annotation,writer,list;int,get,size,int,size,0,annotation,writer,aw,this,while,aw,null,size,aw,bv,length,aw,aw,next,return,size
AnnotationWriter -> int getSize();1505821772;Returns the size of this annotation writer list.__@return the size of this annotation writer list.;int getSize() {_        int size = 0__        AnnotationWriter aw = this__        while (aw != null) {_            size += aw.bv.length__            aw = aw.next__        }_        return size__    };returns,the,size,of,this,annotation,writer,list,return,the,size,of,this,annotation,writer,list;int,get,size,int,size,0,annotation,writer,aw,this,while,aw,null,size,aw,bv,length,aw,aw,next,return,size
AnnotationWriter -> void putAnnotations(final int attributeNameIndex, final ByteVector output);1531241461;Puts a Runtime[In]Visible[Type]Annotations attribute containing this annotations and all its_<i>predecessors</i> (see {@link #previousAnnotation} in the given ByteVector. Annotations are_put in the same order they have been visited.__@param attributeNameIndex the constant pool index of the attribute name (one of_"Runtime[In]Visible[Type]Annotations")._@param output where the attribute must be put.;void putAnnotations(final int attributeNameIndex, final ByteVector output) {_    int attributeLength = 2_ _    int numAnnotations = 0__    AnnotationWriter annotationWriter = this__    AnnotationWriter firstAnnotation = null__    while (annotationWriter != null) {_      _      annotationWriter.visitEnd()__      attributeLength += annotationWriter.annotation.length__      numAnnotations++__      firstAnnotation = annotationWriter__      annotationWriter = annotationWriter.previousAnnotation__    }_    output.putShort(attributeNameIndex)__    output.putInt(attributeLength)__    output.putShort(numAnnotations)__    annotationWriter = firstAnnotation__    while (annotationWriter != null) {_      output.putByteArray(annotationWriter.annotation.data, 0, annotationWriter.annotation.length)__      annotationWriter = annotationWriter.nextAnnotation__    }_  };puts,a,runtime,in,visible,type,annotations,attribute,containing,this,annotations,and,all,its,i,predecessors,i,see,link,previous,annotation,in,the,given,byte,vector,annotations,are,put,in,the,same,order,they,have,been,visited,param,attribute,name,index,the,constant,pool,index,of,the,attribute,name,one,of,runtime,in,visible,type,annotations,param,output,where,the,attribute,must,be,put;void,put,annotations,final,int,attribute,name,index,final,byte,vector,output,int,attribute,length,2,int,num,annotations,0,annotation,writer,annotation,writer,this,annotation,writer,first,annotation,null,while,annotation,writer,null,annotation,writer,visit,end,attribute,length,annotation,writer,annotation,length,num,annotations,first,annotation,annotation,writer,annotation,writer,annotation,writer,previous,annotation,output,put,short,attribute,name,index,output,put,int,attribute,length,output,put,short,num,annotations,annotation,writer,first,annotation,while,annotation,writer,null,output,put,byte,array,annotation,writer,annotation,data,0,annotation,writer,annotation,length,annotation,writer,annotation,writer,next,annotation
AnnotationWriter -> void putAnnotations(final int attributeNameIndex, final ByteVector output);1536664245;Puts a Runtime[In]Visible[Type]Annotations attribute containing this annotations and all its_<i>predecessors</i> (see {@link #previousAnnotation} in the given ByteVector. Annotations are_put in the same order they have been visited.__@param attributeNameIndex the constant pool index of the attribute name (one of_"Runtime[In]Visible[Type]Annotations")._@param output where the attribute must be put.;void putAnnotations(final int attributeNameIndex, final ByteVector output) {_    int attributeLength = 2_ _    int numAnnotations = 0__    AnnotationWriter annotationWriter = this__    AnnotationWriter firstAnnotation = null__    while (annotationWriter != null) {_      _      annotationWriter.visitEnd()__      attributeLength += annotationWriter.annotation.length__      numAnnotations++__      firstAnnotation = annotationWriter__      annotationWriter = annotationWriter.previousAnnotation__    }_    output.putShort(attributeNameIndex)__    output.putInt(attributeLength)__    output.putShort(numAnnotations)__    annotationWriter = firstAnnotation__    while (annotationWriter != null) {_      output.putByteArray(annotationWriter.annotation.data, 0, annotationWriter.annotation.length)__      annotationWriter = annotationWriter.nextAnnotation__    }_  };puts,a,runtime,in,visible,type,annotations,attribute,containing,this,annotations,and,all,its,i,predecessors,i,see,link,previous,annotation,in,the,given,byte,vector,annotations,are,put,in,the,same,order,they,have,been,visited,param,attribute,name,index,the,constant,pool,index,of,the,attribute,name,one,of,runtime,in,visible,type,annotations,param,output,where,the,attribute,must,be,put;void,put,annotations,final,int,attribute,name,index,final,byte,vector,output,int,attribute,length,2,int,num,annotations,0,annotation,writer,annotation,writer,this,annotation,writer,first,annotation,null,while,annotation,writer,null,annotation,writer,visit,end,attribute,length,annotation,writer,annotation,length,num,annotations,first,annotation,annotation,writer,annotation,writer,annotation,writer,previous,annotation,output,put,short,attribute,name,index,output,put,int,attribute,length,output,put,short,num,annotations,annotation,writer,first,annotation,while,annotation,writer,null,output,put,byte,array,annotation,writer,annotation,data,0,annotation,writer,annotation,length,annotation,writer,annotation,writer,next,annotation
AnnotationWriter -> AnnotationWriter(final ClassWriter cw, final boolean named,             final ByteVector bv, final ByteVector parent, final int offset);1366718246;Constructs a new {@link AnnotationWriter}.__@param cw_the class writer to which this annotation must be added._@param named_<tt>true<tt> if values are named, <tt>false</tt> otherwise._@param bv_where the annotation values must be stored._@param parent_where the number of annotation values must be stored._@param offset_where in <tt>parent</tt> the number of annotation values must_be stored.;AnnotationWriter(final ClassWriter cw, final boolean named,_            final ByteVector bv, final ByteVector parent, final int offset) {_        super(Opcodes.ASM4)__        this.cw = cw__        this.named = named__        this.bv = bv__        this.parent = parent__        this.offset = offset__    };constructs,a,new,link,annotation,writer,param,cw,the,class,writer,to,which,this,annotation,must,be,added,param,named,tt,true,tt,if,values,are,named,tt,false,tt,otherwise,param,bv,where,the,annotation,values,must,be,stored,param,parent,where,the,number,of,annotation,values,must,be,stored,param,offset,where,in,tt,parent,tt,the,number,of,annotation,values,must,be,stored;annotation,writer,final,class,writer,cw,final,boolean,named,final,byte,vector,bv,final,byte,vector,parent,final,int,offset,super,opcodes,asm4,this,cw,cw,this,named,named,this,bv,bv,this,parent,parent,this,offset,offset
AnnotationWriter -> AnnotationWriter(final ClassWriter cw, final boolean named,             final ByteVector bv, final ByteVector parent, final int offset);1395273982;Constructs a new {@link AnnotationWriter}.__@param cw_the class writer to which this annotation must be added._@param named_<tt>true<tt> if values are named, <tt>false</tt> otherwise._@param bv_where the annotation values must be stored._@param parent_where the number of annotation values must be stored._@param offset_where in <tt>parent</tt> the number of annotation values must_be stored.;AnnotationWriter(final ClassWriter cw, final boolean named,_            final ByteVector bv, final ByteVector parent, final int offset) {_        super(Opcodes.ASM5)__        this.cw = cw__        this.named = named__        this.bv = bv__        this.parent = parent__        this.offset = offset__    };constructs,a,new,link,annotation,writer,param,cw,the,class,writer,to,which,this,annotation,must,be,added,param,named,tt,true,tt,if,values,are,named,tt,false,tt,otherwise,param,bv,where,the,annotation,values,must,be,stored,param,parent,where,the,number,of,annotation,values,must,be,stored,param,offset,where,in,tt,parent,tt,the,number,of,annotation,values,must,be,stored;annotation,writer,final,class,writer,cw,final,boolean,named,final,byte,vector,bv,final,byte,vector,parent,final,int,offset,super,opcodes,asm5,this,cw,cw,this,named,named,this,bv,bv,this,parent,parent,this,offset,offset
AnnotationWriter -> AnnotationWriter(final ClassWriter cw, final boolean named,             final ByteVector bv, final ByteVector parent, final int offset);1505821772;Constructs a new {@link AnnotationWriter}.__@param cw_the class writer to which this annotation must be added._@param named_<tt>true<tt> if values are named, <tt>false</tt> otherwise._@param bv_where the annotation values must be stored._@param parent_where the number of annotation values must be stored._@param offset_where in <tt>parent</tt> the number of annotation values must_be stored.;AnnotationWriter(final ClassWriter cw, final boolean named,_            final ByteVector bv, final ByteVector parent, final int offset) {_        super(Opcodes.ASM6)__        this.cw = cw__        this.named = named__        this.bv = bv__        this.parent = parent__        this.offset = offset__    };constructs,a,new,link,annotation,writer,param,cw,the,class,writer,to,which,this,annotation,must,be,added,param,named,tt,true,tt,if,values,are,named,tt,false,tt,otherwise,param,bv,where,the,annotation,values,must,be,stored,param,parent,where,the,number,of,annotation,values,must,be,stored,param,offset,where,in,tt,parent,tt,the,number,of,annotation,values,must,be,stored;annotation,writer,final,class,writer,cw,final,boolean,named,final,byte,vector,bv,final,byte,vector,parent,final,int,offset,super,opcodes,asm6,this,cw,cw,this,named,named,this,bv,bv,this,parent,parent,this,offset,offset
AnnotationWriter -> AnnotationWriter(       final SymbolTable symbolTable,       final ByteVector annotation,       final AnnotationWriter previousAnnotation);1531241461;Constructs a new {@link AnnotationWriter} using named values.__@param symbolTable where the constants used in this AnnotationWriter must be stored._@param annotation where the 'annotation' or 'type_annotation' JVMS structure corresponding to_the visited content must be stored. This ByteVector must already contain all the fields of_the structure except the last one (the element_value_pairs array)._@param previousAnnotation the previously visited annotation of the_Runtime[In]Visible[Type]Annotations attribute to which this annotation belongs, or null in_other cases (e.g. nested or array annotations).;AnnotationWriter(_      final SymbolTable symbolTable,_      final ByteVector annotation,_      final AnnotationWriter previousAnnotation) {_    this(symbolTable,  true, annotation, previousAnnotation)__  };constructs,a,new,link,annotation,writer,using,named,values,param,symbol,table,where,the,constants,used,in,this,annotation,writer,must,be,stored,param,annotation,where,the,annotation,or,jvms,structure,corresponding,to,the,visited,content,must,be,stored,this,byte,vector,must,already,contain,all,the,fields,of,the,structure,except,the,last,one,the,array,param,previous,annotation,the,previously,visited,annotation,of,the,runtime,in,visible,type,annotations,attribute,to,which,this,annotation,belongs,or,null,in,other,cases,e,g,nested,or,array,annotations;annotation,writer,final,symbol,table,symbol,table,final,byte,vector,annotation,final,annotation,writer,previous,annotation,this,symbol,table,true,annotation,previous,annotation
AnnotationWriter -> AnnotationWriter(       final SymbolTable symbolTable,       final ByteVector annotation,       final AnnotationWriter previousAnnotation);1536664245;Constructs a new {@link AnnotationWriter} using named values.__@param symbolTable where the constants used in this AnnotationWriter must be stored._@param annotation where the 'annotation' or 'type_annotation' JVMS structure corresponding to_the visited content must be stored. This ByteVector must already contain all the fields of_the structure except the last one (the element_value_pairs array)._@param previousAnnotation the previously visited annotation of the_Runtime[In]Visible[Type]Annotations attribute to which this annotation belongs, or null in_other cases (e.g. nested or array annotations).;AnnotationWriter(_      final SymbolTable symbolTable,_      final ByteVector annotation,_      final AnnotationWriter previousAnnotation) {_    this(symbolTable,  true, annotation, previousAnnotation)__  };constructs,a,new,link,annotation,writer,using,named,values,param,symbol,table,where,the,constants,used,in,this,annotation,writer,must,be,stored,param,annotation,where,the,annotation,or,jvms,structure,corresponding,to,the,visited,content,must,be,stored,this,byte,vector,must,already,contain,all,the,fields,of,the,structure,except,the,last,one,the,array,param,previous,annotation,the,previously,visited,annotation,of,the,runtime,in,visible,type,annotations,attribute,to,which,this,annotation,belongs,or,null,in,other,cases,e,g,nested,or,array,annotations;annotation,writer,final,symbol,table,symbol,table,final,byte,vector,annotation,final,annotation,writer,previous,annotation,this,symbol,table,true,annotation,previous,annotation
AnnotationWriter -> int computeAnnotationsSize(final String attributeName);1531241461;Returns the size of a Runtime[In]Visible[Type]Annotations attribute containing this annotation_and all its <i>predecessors</i> (see {@link #previousAnnotation}. Also adds the attribute name_to the constant pool of the class (if not null).__@param attributeName one of "Runtime[In]Visible[Type]Annotations", or null._@return the size in bytes of a Runtime[In]Visible[Type]Annotations attribute containing this_annotation and all its predecessors. This includes the size of the attribute_name_index and_attribute_length fields.;int computeAnnotationsSize(final String attributeName) {_    if (attributeName != null) {_      symbolTable.addConstantUtf8(attributeName)__    }_    _    int attributeSize = 8__    AnnotationWriter annotationWriter = this__    while (annotationWriter != null) {_      attributeSize += annotationWriter.annotation.length__      annotationWriter = annotationWriter.previousAnnotation__    }_    return attributeSize__  };returns,the,size,of,a,runtime,in,visible,type,annotations,attribute,containing,this,annotation,and,all,its,i,predecessors,i,see,link,previous,annotation,also,adds,the,attribute,name,to,the,constant,pool,of,the,class,if,not,null,param,attribute,name,one,of,runtime,in,visible,type,annotations,or,null,return,the,size,in,bytes,of,a,runtime,in,visible,type,annotations,attribute,containing,this,annotation,and,all,its,predecessors,this,includes,the,size,of,the,and,fields;int,compute,annotations,size,final,string,attribute,name,if,attribute,name,null,symbol,table,add,constant,utf8,attribute,name,int,attribute,size,8,annotation,writer,annotation,writer,this,while,annotation,writer,null,attribute,size,annotation,writer,annotation,length,annotation,writer,annotation,writer,previous,annotation,return,attribute,size
