commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public ZendeskConfigurationNestedConfiguration getConfiguration() {     return configuration. }
false;public;1;4;;public void setConfiguration(ZendeskConfigurationNestedConfiguration configuration) {     this.configuration = configuration. }
false;public;0;3;;public String getZendesk() {     return zendesk. }
false;public;1;3;;public void setZendesk(String zendesk) {     this.zendesk = zendesk. }
false;public;0;3;;public Boolean getResolvePropertyPlaceholders() {     return resolvePropertyPlaceholders. }
false;public;1;4;;public void setResolvePropertyPlaceholders(Boolean resolvePropertyPlaceholders) {     this.resolvePropertyPlaceholders = resolvePropertyPlaceholders. }
false;public;0;3;;public String getMethodName() {     return methodName. }
false;public;1;3;;public void setMethodName(String methodName) {     this.methodName = methodName. }
false;public;0;3;;public String getServerUrl() {     return serverUrl. }
false;public;1;3;;public void setServerUrl(String serverUrl) {     this.serverUrl = serverUrl. }
false;public;0;3;;public String getUsername() {     return username. }
false;public;1;3;;public void setUsername(String username) {     this.username = username. }
false;public;0;3;;public String getToken() {     return token. }
false;public;1;3;;public void setToken(String token) {     this.token = token. }
false;public;0;3;;public String getOauthToken() {     return oauthToken. }
false;public;1;3;;public void setOauthToken(String oauthToken) {     this.oauthToken = oauthToken. }
false;public;0;3;;public String getPassword() {     return password. }
false;public;1;3;;public void setPassword(String password) {     this.password = password. }
