# id;timestamp;commentText;codeText;commentWords;codeWords
ConnectedStreams -> public TypeInformation<IN2> getType2();1445418103;Gets the type of the second input__@return The type of the second input;public TypeInformation<IN2> getType2() {_		return inputStream2.getType()__	};gets,the,type,of,the,second,input,return,the,type,of,the,second,input;public,type,information,in2,get,type2,return,input,stream2,get,type
ConnectedStreams -> public TypeInformation<IN2> getType2();1454527671;Gets the type of the second input__@return The type of the second input;public TypeInformation<IN2> getType2() {_		return inputStream2.getType()__	};gets,the,type,of,the,second,input,return,the,type,of,the,second,input;public,type,information,in2,get,type2,return,input,stream2,get,type
ConnectedStreams -> public TypeInformation<IN2> getType2();1454679829;Gets the type of the second input__@return The type of the second input;public TypeInformation<IN2> getType2() {_		return inputStream2.getType()__	};gets,the,type,of,the,second,input,return,the,type,of,the,second,input;public,type,information,in2,get,type2,return,input,stream2,get,type
ConnectedStreams -> public TypeInformation<IN2> getType2();1455101486;Gets the type of the second input__@return The type of the second input;public TypeInformation<IN2> getType2() {_		return inputStream2.getType()__	};gets,the,type,of,the,second,input,return,the,type,of,the,second,input;public,type,information,in2,get,type2,return,input,stream2,get,type
ConnectedStreams -> public TypeInformation<IN2> getType2();1455718153;Gets the type of the second input__@return The type of the second input;public TypeInformation<IN2> getType2() {_		return inputStream2.getType()__	};gets,the,type,of,the,second,input,return,the,type,of,the,second,input;public,type,information,in2,get,type2,return,input,stream2,get,type
ConnectedStreams -> public TypeInformation<IN2> getType2();1455718153;Gets the type of the second input__@return The type of the second input;public TypeInformation<IN2> getType2() {_		return inputStream2.getType()__	};gets,the,type,of,the,second,input,return,the,type,of,the,second,input;public,type,information,in2,get,type2,return,input,stream2,get,type
ConnectedStreams -> public TypeInformation<IN2> getType2();1456778239;Gets the type of the second input__@return The type of the second input;public TypeInformation<IN2> getType2() {_		return inputStream2.getType()__	};gets,the,type,of,the,second,input,return,the,type,of,the,second,input;public,type,information,in2,get,type2,return,input,stream2,get,type
ConnectedStreams -> public TypeInformation<IN2> getType2();1478532357;Gets the type of the second input__@return The type of the second input;public TypeInformation<IN2> getType2() {_		return inputStream2.getType()__	};gets,the,type,of,the,second,input,return,the,type,of,the,second,input;public,type,information,in2,get,type2,return,input,stream2,get,type
ConnectedStreams -> public TypeInformation<IN2> getType2();1480354709;Gets the type of the second input__@return The type of the second input;public TypeInformation<IN2> getType2() {_		return inputStream2.getType()__	};gets,the,type,of,the,second,input,return,the,type,of,the,second,input;public,type,information,in2,get,type2,return,input,stream2,get,type
ConnectedStreams -> public TypeInformation<IN2> getType2();1488799576;Gets the type of the second input__@return The type of the second input;public TypeInformation<IN2> getType2() {_		return inputStream2.getType()__	};gets,the,type,of,the,second,input,return,the,type,of,the,second,input;public,type,information,in2,get,type2,return,input,stream2,get,type
ConnectedStreams -> public TypeInformation<IN2> getType2();1488799576;Gets the type of the second input__@return The type of the second input;public TypeInformation<IN2> getType2() {_		return inputStream2.getType()__	};gets,the,type,of,the,second,input,return,the,type,of,the,second,input;public,type,information,in2,get,type2,return,input,stream2,get,type
