# id;timestamp;commentText;codeText;commentWords;codeWords
ListableBeanFactory -> String[] getBeanNamesForAnnotation(Class<? extends Annotation> annotationType)_;1384527851;Find all beans whose {@code Class} has the supplied {@link Annotation} type,_without creating any bean instances yet._@param annotationType the type of annotation to look for_@return the names of all matching beans_@since 4.0;String[] getBeanNamesForAnnotation(Class<? extends Annotation> annotationType)_;find,all,beans,whose,code,class,has,the,supplied,link,annotation,type,without,creating,any,bean,instances,yet,param,annotation,type,the,type,of,annotation,to,look,for,return,the,names,of,all,matching,beans,since,4,0;string,get,bean,names,for,annotation,class,extends,annotation,annotation,type
ListableBeanFactory -> String[] getBeanNamesForAnnotation(Class<? extends Annotation> annotationType)_;1384700387;Find all names of beans whose {@code Class} has the supplied {@link Annotation}_type, without creating any bean instances yet._@param annotationType the type of annotation to look for_@return the names of all matching beans_@since 4.0;String[] getBeanNamesForAnnotation(Class<? extends Annotation> annotationType)_;find,all,names,of,beans,whose,code,class,has,the,supplied,link,annotation,type,without,creating,any,bean,instances,yet,param,annotation,type,the,type,of,annotation,to,look,for,return,the,names,of,all,matching,beans,since,4,0;string,get,bean,names,for,annotation,class,extends,annotation,annotation,type
ListableBeanFactory -> String[] getBeanNamesForAnnotation(Class<? extends Annotation> annotationType)_;1401909456;Find all names of beans whose {@code Class} has the supplied {@link Annotation}_type, without creating any bean instances yet._@param annotationType the type of annotation to look for_@return the names of all matching beans_@since 4.0;String[] getBeanNamesForAnnotation(Class<? extends Annotation> annotationType)_;find,all,names,of,beans,whose,code,class,has,the,supplied,link,annotation,type,without,creating,any,bean,instances,yet,param,annotation,type,the,type,of,annotation,to,look,for,return,the,names,of,all,matching,beans,since,4,0;string,get,bean,names,for,annotation,class,extends,annotation,annotation,type
ListableBeanFactory -> String[] getBeanNamesForAnnotation(Class<? extends Annotation> annotationType)_;1426716313;Find all names of beans whose {@code Class} has the supplied {@link Annotation}_type, without creating any bean instances yet._@param annotationType the type of annotation to look for_@return the names of all matching beans_@since 4.0;String[] getBeanNamesForAnnotation(Class<? extends Annotation> annotationType)_;find,all,names,of,beans,whose,code,class,has,the,supplied,link,annotation,type,without,creating,any,bean,instances,yet,param,annotation,type,the,type,of,annotation,to,look,for,return,the,names,of,all,matching,beans,since,4,0;string,get,bean,names,for,annotation,class,extends,annotation,annotation,type
ListableBeanFactory -> String[] getBeanNamesForAnnotation(Class<? extends Annotation> annotationType)_;1459774710;Find all names of beans whose {@code Class} has the supplied {@link Annotation}_type, without creating any bean instances yet._@param annotationType the type of annotation to look for_@return the names of all matching beans_@since 4.0;String[] getBeanNamesForAnnotation(Class<? extends Annotation> annotationType)_;find,all,names,of,beans,whose,code,class,has,the,supplied,link,annotation,type,without,creating,any,bean,instances,yet,param,annotation,type,the,type,of,annotation,to,look,for,return,the,names,of,all,matching,beans,since,4,0;string,get,bean,names,for,annotation,class,extends,annotation,annotation,type
ListableBeanFactory -> String[] getBeanNamesForAnnotation(Class<? extends Annotation> annotationType)_;1495868221;Find all names of beans whose {@code Class} has the supplied {@link Annotation}_type, without creating any bean instances yet._@param annotationType the type of annotation to look for_@return the names of all matching beans_@since 4.0;String[] getBeanNamesForAnnotation(Class<? extends Annotation> annotationType)_;find,all,names,of,beans,whose,code,class,has,the,supplied,link,annotation,type,without,creating,any,bean,instances,yet,param,annotation,type,the,type,of,annotation,to,look,for,return,the,names,of,all,matching,beans,since,4,0;string,get,bean,names,for,annotation,class,extends,annotation,annotation,type
ListableBeanFactory -> String[] getBeanNamesForAnnotation(Class<? extends Annotation> annotationType)_;1496837955;Find all names of beans whose {@code Class} has the supplied {@link Annotation}_type, without creating any bean instances yet._@param annotationType the type of annotation to look for_@return the names of all matching beans_@since 4.0;String[] getBeanNamesForAnnotation(Class<? extends Annotation> annotationType)_;find,all,names,of,beans,whose,code,class,has,the,supplied,link,annotation,type,without,creating,any,bean,instances,yet,param,annotation,type,the,type,of,annotation,to,look,for,return,the,names,of,all,matching,beans,since,4,0;string,get,bean,names,for,annotation,class,extends,annotation,annotation,type
ListableBeanFactory -> String[] getBeanNamesForAnnotation(Class<? extends Annotation> annotationType)_;1539878644;Find all names of beans whose {@code Class} has the supplied {@link Annotation}_type, without creating corresponding bean instances yet._<p>Note that this method considers objects created by FactoryBeans, which means_that FactoryBeans will get initialized in order to determine their object type._@param annotationType the type of annotation to look for_@return the names of all matching beans_@since 4.0;String[] getBeanNamesForAnnotation(Class<? extends Annotation> annotationType)_;find,all,names,of,beans,whose,code,class,has,the,supplied,link,annotation,type,without,creating,corresponding,bean,instances,yet,p,note,that,this,method,considers,objects,created,by,factory,beans,which,means,that,factory,beans,will,get,initialized,in,order,to,determine,their,object,type,param,annotation,type,the,type,of,annotation,to,look,for,return,the,names,of,all,matching,beans,since,4,0;string,get,bean,names,for,annotation,class,extends,annotation,annotation,type
ListableBeanFactory -> int getBeanDefinitionCount()_;1328020251;Return the number of beans defined in the factory._<p>Does not consider any hierarchy this factory may participate in,_and ignores any singleton beans that have been registered by_other means than bean definitions._@return the number of beans defined in the factory;int getBeanDefinitionCount()_;return,the,number,of,beans,defined,in,the,factory,p,does,not,consider,any,hierarchy,this,factory,may,participate,in,and,ignores,any,singleton,beans,that,have,been,registered,by,other,means,than,bean,definitions,return,the,number,of,beans,defined,in,the,factory;int,get,bean,definition,count
ListableBeanFactory -> int getBeanDefinitionCount()_;1356735495;Return the number of beans defined in the factory._<p>Does not consider any hierarchy this factory may participate in,_and ignores any singleton beans that have been registered by_other means than bean definitions._@return the number of beans defined in the factory;int getBeanDefinitionCount()_;return,the,number,of,beans,defined,in,the,factory,p,does,not,consider,any,hierarchy,this,factory,may,participate,in,and,ignores,any,singleton,beans,that,have,been,registered,by,other,means,than,bean,definitions,return,the,number,of,beans,defined,in,the,factory;int,get,bean,definition,count
ListableBeanFactory -> int getBeanDefinitionCount()_;1384527851;Return the number of beans defined in the factory._<p>Does not consider any hierarchy this factory may participate in,_and ignores any singleton beans that have been registered by_other means than bean definitions._@return the number of beans defined in the factory;int getBeanDefinitionCount()_;return,the,number,of,beans,defined,in,the,factory,p,does,not,consider,any,hierarchy,this,factory,may,participate,in,and,ignores,any,singleton,beans,that,have,been,registered,by,other,means,than,bean,definitions,return,the,number,of,beans,defined,in,the,factory;int,get,bean,definition,count
ListableBeanFactory -> int getBeanDefinitionCount()_;1384700387;Return the number of beans defined in the factory._<p>Does not consider any hierarchy this factory may participate in,_and ignores any singleton beans that have been registered by_other means than bean definitions._@return the number of beans defined in the factory;int getBeanDefinitionCount()_;return,the,number,of,beans,defined,in,the,factory,p,does,not,consider,any,hierarchy,this,factory,may,participate,in,and,ignores,any,singleton,beans,that,have,been,registered,by,other,means,than,bean,definitions,return,the,number,of,beans,defined,in,the,factory;int,get,bean,definition,count
ListableBeanFactory -> int getBeanDefinitionCount()_;1401909456;Return the number of beans defined in the factory._<p>Does not consider any hierarchy this factory may participate in,_and ignores any singleton beans that have been registered by_other means than bean definitions._@return the number of beans defined in the factory;int getBeanDefinitionCount()_;return,the,number,of,beans,defined,in,the,factory,p,does,not,consider,any,hierarchy,this,factory,may,participate,in,and,ignores,any,singleton,beans,that,have,been,registered,by,other,means,than,bean,definitions,return,the,number,of,beans,defined,in,the,factory;int,get,bean,definition,count
ListableBeanFactory -> int getBeanDefinitionCount()_;1426716313;Return the number of beans defined in the factory._<p>Does not consider any hierarchy this factory may participate in,_and ignores any singleton beans that have been registered by_other means than bean definitions._@return the number of beans defined in the factory;int getBeanDefinitionCount()_;return,the,number,of,beans,defined,in,the,factory,p,does,not,consider,any,hierarchy,this,factory,may,participate,in,and,ignores,any,singleton,beans,that,have,been,registered,by,other,means,than,bean,definitions,return,the,number,of,beans,defined,in,the,factory;int,get,bean,definition,count
ListableBeanFactory -> int getBeanDefinitionCount()_;1459774710;Return the number of beans defined in the factory._<p>Does not consider any hierarchy this factory may participate in,_and ignores any singleton beans that have been registered by_other means than bean definitions._@return the number of beans defined in the factory;int getBeanDefinitionCount()_;return,the,number,of,beans,defined,in,the,factory,p,does,not,consider,any,hierarchy,this,factory,may,participate,in,and,ignores,any,singleton,beans,that,have,been,registered,by,other,means,than,bean,definitions,return,the,number,of,beans,defined,in,the,factory;int,get,bean,definition,count
