# id;timestamp;commentText;codeText;commentWords;codeWords
AbstractYarnClusterDescriptor -> protected abstract Class<?> getApplicationMasterClass()_;1466152678;The class to bootstrap the application master of the Yarn cluster (runs main method).;protected abstract Class<?> getApplicationMasterClass()_;the,class,to,bootstrap,the,application,master,of,the,yarn,cluster,runs,main,method;protected,abstract,class,get,application,master,class
AbstractYarnClusterDescriptor -> protected abstract Class<?> getApplicationMasterClass()_;1466152678;The class to bootstrap the application master of the Yarn cluster (runs main method).;protected abstract Class<?> getApplicationMasterClass()_;the,class,to,bootstrap,the,application,master,of,the,yarn,cluster,runs,main,method;protected,abstract,class,get,application,master,class
AbstractYarnClusterDescriptor -> protected abstract Class<?> getApplicationMasterClass()_;1466152678;The class to bootstrap the application master of the Yarn cluster (runs main method).;protected abstract Class<?> getApplicationMasterClass()_;the,class,to,bootstrap,the,application,master,of,the,yarn,cluster,runs,main,method;protected,abstract,class,get,application,master,class
AbstractYarnClusterDescriptor -> protected abstract Class<?> getApplicationMasterClass()_;1466780434;The class to bootstrap the application master of the Yarn cluster (runs main method).;protected abstract Class<?> getApplicationMasterClass()_;the,class,to,bootstrap,the,application,master,of,the,yarn,cluster,runs,main,method;protected,abstract,class,get,application,master,class
AbstractYarnClusterDescriptor -> protected abstract Class<?> getApplicationMasterClass()_;1467379351;The class to bootstrap the application master of the Yarn cluster (runs main method).;protected abstract Class<?> getApplicationMasterClass()_;the,class,to,bootstrap,the,application,master,of,the,yarn,cluster,runs,main,method;protected,abstract,class,get,application,master,class
AbstractYarnClusterDescriptor -> protected abstract Class<?> getApplicationMasterClass()_;1467394749;The class to bootstrap the application master of the Yarn cluster (runs main method).;protected abstract Class<?> getApplicationMasterClass()_;the,class,to,bootstrap,the,application,master,of,the,yarn,cluster,runs,main,method;protected,abstract,class,get,application,master,class
AbstractYarnClusterDescriptor -> protected abstract Class<?> getApplicationMasterClass()_;1467396766;The class to bootstrap the application master of the Yarn cluster (runs main method).;protected abstract Class<?> getApplicationMasterClass()_;the,class,to,bootstrap,the,application,master,of,the,yarn,cluster,runs,main,method;protected,abstract,class,get,application,master,class
AbstractYarnClusterDescriptor -> protected abstract Class<?> getApplicationMasterClass()_;1468944021;The class to bootstrap the application master of the Yarn cluster (runs main method).;protected abstract Class<?> getApplicationMasterClass()_;the,class,to,bootstrap,the,application,master,of,the,yarn,cluster,runs,main,method;protected,abstract,class,get,application,master,class
AbstractYarnClusterDescriptor -> protected abstract Class<?> getApplicationMasterClass()_;1469630409;The class to bootstrap the application master of the Yarn cluster (runs main method).;protected abstract Class<?> getApplicationMasterClass()_;the,class,to,bootstrap,the,application,master,of,the,yarn,cluster,runs,main,method;protected,abstract,class,get,application,master,class
AbstractYarnClusterDescriptor -> protected abstract Class<?> getApplicationMasterClass()_;1472033364;The class to bootstrap the application master of the Yarn cluster (runs main method).;protected abstract Class<?> getApplicationMasterClass()_;the,class,to,bootstrap,the,application,master,of,the,yarn,cluster,runs,main,method;protected,abstract,class,get,application,master,class
AbstractYarnClusterDescriptor -> protected abstract Class<?> getApplicationMasterClass()_;1474401809;The class to bootstrap the application master of the Yarn cluster (runs main method).;protected abstract Class<?> getApplicationMasterClass()_;the,class,to,bootstrap,the,application,master,of,the,yarn,cluster,runs,main,method;protected,abstract,class,get,application,master,class
AbstractYarnClusterDescriptor -> protected abstract Class<?> getApplicationMasterClass()_;1476095826;The class to bootstrap the application master of the Yarn cluster (runs main method).;protected abstract Class<?> getApplicationMasterClass()_;the,class,to,bootstrap,the,application,master,of,the,yarn,cluster,runs,main,method;protected,abstract,class,get,application,master,class
AbstractYarnClusterDescriptor -> protected abstract Class<?> getApplicationMasterClass()_;1477570902;The class to bootstrap the application master of the Yarn cluster (runs main method).;protected abstract Class<?> getApplicationMasterClass()_;the,class,to,bootstrap,the,application,master,of,the,yarn,cluster,runs,main,method;protected,abstract,class,get,application,master,class
