# id;timestamp;commentText;codeText;commentWords;codeWords
UnsortedGrouping -> public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer);1406821655;Applies a GroupReduce transformation on a grouped {@link DataSet}.<br/>_The transformation calls a {@link org.apache.flink.api.java.functions.RichGroupReduceFunction} for each group of the DataSet._A GroupReduceFunction can iterate over all elements of a group and emit any_number of output elements including none.__@param reducer The GroupReduceFunction that is applied on each group of the DataSet._@return A GroupReduceOperator that represents the reduced DataSet.__@see org.apache.flink.api.java.functions.RichGroupReduceFunction_@see GroupReduceOperator_@see DataSet;public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer) {_		if (reducer == null) {_			throw new NullPointerException("GroupReduce function must not be null.")__		}_		if (FunctionUtils.isSerializedLambdaFunction(reducer)) {_			throw new UnsupportedLambdaExpressionException()__		}_		return new GroupReduceOperator<T, R>(this, reducer)__	};applies,a,group,reduce,transformation,on,a,grouped,link,data,set,br,the,transformation,calls,a,link,org,apache,flink,api,java,functions,rich,group,reduce,function,for,each,group,of,the,data,set,a,group,reduce,function,can,iterate,over,all,elements,of,a,group,and,emit,any,number,of,output,elements,including,none,param,reducer,the,group,reduce,function,that,is,applied,on,each,group,of,the,data,set,return,a,group,reduce,operator,that,represents,the,reduced,data,set,see,org,apache,flink,api,java,functions,rich,group,reduce,function,see,group,reduce,operator,see,data,set;public,r,group,reduce,operator,t,r,reduce,group,group,reduce,function,t,r,reducer,if,reducer,null,throw,new,null,pointer,exception,group,reduce,function,must,not,be,null,if,function,utils,is,serialized,lambda,function,reducer,throw,new,unsupported,lambda,expression,exception,return,new,group,reduce,operator,t,r,this,reducer
UnsortedGrouping -> public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer);1406830680;Applies a GroupReduce transformation on a grouped {@link DataSet}.<br/>_The transformation calls a {@link org.apache.flink.api.java.functions.RichGroupReduceFunction} for each group of the DataSet._A GroupReduceFunction can iterate over all elements of a group and emit any_number of output elements including none.__@param reducer The GroupReduceFunction that is applied on each group of the DataSet._@return A GroupReduceOperator that represents the reduced DataSet.__@see org.apache.flink.api.java.functions.RichGroupReduceFunction_@see GroupReduceOperator_@see DataSet;public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer) {_		if (reducer == null) {_			throw new NullPointerException("GroupReduce function must not be null.")__		}_		if (FunctionUtils.isLambdaFunction(reducer)) {_			throw new UnsupportedLambdaExpressionException()__		}_		return new GroupReduceOperator<T, R>(this, reducer)__	};applies,a,group,reduce,transformation,on,a,grouped,link,data,set,br,the,transformation,calls,a,link,org,apache,flink,api,java,functions,rich,group,reduce,function,for,each,group,of,the,data,set,a,group,reduce,function,can,iterate,over,all,elements,of,a,group,and,emit,any,number,of,output,elements,including,none,param,reducer,the,group,reduce,function,that,is,applied,on,each,group,of,the,data,set,return,a,group,reduce,operator,that,represents,the,reduced,data,set,see,org,apache,flink,api,java,functions,rich,group,reduce,function,see,group,reduce,operator,see,data,set;public,r,group,reduce,operator,t,r,reduce,group,group,reduce,function,t,r,reducer,if,reducer,null,throw,new,null,pointer,exception,group,reduce,function,must,not,be,null,if,function,utils,is,lambda,function,reducer,throw,new,unsupported,lambda,expression,exception,return,new,group,reduce,operator,t,r,this,reducer
UnsortedGrouping -> public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer);1409655585;Applies a GroupReduce transformation on a grouped {@link DataSet}.<br/>_The transformation calls a {@link org.apache.flink.api.java.functions.RichGroupReduceFunction} for each group of the DataSet._A GroupReduceFunction can iterate over all elements of a group and emit any_number of output elements including none.__@param reducer The GroupReduceFunction that is applied on each group of the DataSet._@return A GroupReduceOperator that represents the reduced DataSet.__@see org.apache.flink.api.java.functions.RichGroupReduceFunction_@see GroupReduceOperator_@see DataSet;public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer) {_		if (reducer == null) {_			throw new NullPointerException("GroupReduce function must not be null.")__		}_		if (FunctionUtils.isLambdaFunction(reducer)) {_			throw new UnsupportedLambdaExpressionException()__		}_		return new GroupReduceOperator<T, R>(this, reducer)__	};applies,a,group,reduce,transformation,on,a,grouped,link,data,set,br,the,transformation,calls,a,link,org,apache,flink,api,java,functions,rich,group,reduce,function,for,each,group,of,the,data,set,a,group,reduce,function,can,iterate,over,all,elements,of,a,group,and,emit,any,number,of,output,elements,including,none,param,reducer,the,group,reduce,function,that,is,applied,on,each,group,of,the,data,set,return,a,group,reduce,operator,that,represents,the,reduced,data,set,see,org,apache,flink,api,java,functions,rich,group,reduce,function,see,group,reduce,operator,see,data,set;public,r,group,reduce,operator,t,r,reduce,group,group,reduce,function,t,r,reducer,if,reducer,null,throw,new,null,pointer,exception,group,reduce,function,must,not,be,null,if,function,utils,is,lambda,function,reducer,throw,new,unsupported,lambda,expression,exception,return,new,group,reduce,operator,t,r,this,reducer
UnsortedGrouping -> public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer);1411372797;Applies a GroupReduce transformation on a grouped {@link DataSet}.<br/>_The transformation calls a {@link org.apache.flink.api.java.functions.RichGroupReduceFunction} for each group of the DataSet._A GroupReduceFunction can iterate over all elements of a group and emit any_number of output elements including none.__@param reducer The GroupReduceFunction that is applied on each group of the DataSet._@return A GroupReduceOperator that represents the reduced DataSet.__@see org.apache.flink.api.java.functions.RichGroupReduceFunction_@see GroupReduceOperator_@see DataSet;public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer) {_		if (reducer == null) {_			throw new NullPointerException("GroupReduce function must not be null.")__		}_		if (FunctionUtils.isLambdaFunction(reducer)) {_			throw new UnsupportedLambdaExpressionException()__		}_		TypeInformation<R> resultType = TypeExtractor.getGroupReduceReturnTypes(reducer, this.getDataSet().getType())___		return new GroupReduceOperator<T, R>(this, resultType, reducer)__	};applies,a,group,reduce,transformation,on,a,grouped,link,data,set,br,the,transformation,calls,a,link,org,apache,flink,api,java,functions,rich,group,reduce,function,for,each,group,of,the,data,set,a,group,reduce,function,can,iterate,over,all,elements,of,a,group,and,emit,any,number,of,output,elements,including,none,param,reducer,the,group,reduce,function,that,is,applied,on,each,group,of,the,data,set,return,a,group,reduce,operator,that,represents,the,reduced,data,set,see,org,apache,flink,api,java,functions,rich,group,reduce,function,see,group,reduce,operator,see,data,set;public,r,group,reduce,operator,t,r,reduce,group,group,reduce,function,t,r,reducer,if,reducer,null,throw,new,null,pointer,exception,group,reduce,function,must,not,be,null,if,function,utils,is,lambda,function,reducer,throw,new,unsupported,lambda,expression,exception,type,information,r,result,type,type,extractor,get,group,reduce,return,types,reducer,this,get,data,set,get,type,return,new,group,reduce,operator,t,r,this,result,type,reducer
UnsortedGrouping -> public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer);1411372797;Applies a GroupReduce transformation on a grouped {@link DataSet}.<br/>_The transformation calls a {@link org.apache.flink.api.common.functions.RichGroupReduceFunction} for each group of the DataSet._A GroupReduceFunction can iterate over all elements of a group and emit any_number of output elements including none.__@param reducer The GroupReduceFunction that is applied on each group of the DataSet._@return A GroupReduceOperator that represents the reduced DataSet.__@see org.apache.flink.api.common.functions.RichGroupReduceFunction_@see GroupReduceOperator_@see DataSet;public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer) {_		if (reducer == null) {_			throw new NullPointerException("GroupReduce function must not be null.")__		}_		if (FunctionUtils.isLambdaFunction(reducer)) {_			throw new UnsupportedLambdaExpressionException()__		}_		TypeInformation<R> resultType = TypeExtractor.getGroupReduceReturnTypes(reducer, this.getDataSet().getType())___		return new GroupReduceOperator<T, R>(this, resultType, reducer)__	};applies,a,group,reduce,transformation,on,a,grouped,link,data,set,br,the,transformation,calls,a,link,org,apache,flink,api,common,functions,rich,group,reduce,function,for,each,group,of,the,data,set,a,group,reduce,function,can,iterate,over,all,elements,of,a,group,and,emit,any,number,of,output,elements,including,none,param,reducer,the,group,reduce,function,that,is,applied,on,each,group,of,the,data,set,return,a,group,reduce,operator,that,represents,the,reduced,data,set,see,org,apache,flink,api,common,functions,rich,group,reduce,function,see,group,reduce,operator,see,data,set;public,r,group,reduce,operator,t,r,reduce,group,group,reduce,function,t,r,reducer,if,reducer,null,throw,new,null,pointer,exception,group,reduce,function,must,not,be,null,if,function,utils,is,lambda,function,reducer,throw,new,unsupported,lambda,expression,exception,type,information,r,result,type,type,extractor,get,group,reduce,return,types,reducer,this,get,data,set,get,type,return,new,group,reduce,operator,t,r,this,result,type,reducer
UnsortedGrouping -> public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer);1411399886;Applies a GroupReduce transformation on a grouped {@link DataSet}.<br/>_The transformation calls a {@link org.apache.flink.api.common.functions.RichGroupReduceFunction} for each group of the DataSet._A GroupReduceFunction can iterate over all elements of a group and emit any_number of output elements including none.__@param reducer The GroupReduceFunction that is applied on each group of the DataSet._@return A GroupReduceOperator that represents the reduced DataSet.__@see org.apache.flink.api.common.functions.RichGroupReduceFunction_@see GroupReduceOperator_@see DataSet;public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer) {_		if (reducer == null) {_			throw new NullPointerException("GroupReduce function must not be null.")__		}_		if (FunctionUtils.isLambdaFunction(reducer)) {_			throw new UnsupportedLambdaExpressionException()__		}_		TypeInformation<R> resultType = TypeExtractor.getGroupReduceReturnTypes(reducer, this.getDataSet().getType())___		return new GroupReduceOperator<T, R>(this, resultType, reducer)__	};applies,a,group,reduce,transformation,on,a,grouped,link,data,set,br,the,transformation,calls,a,link,org,apache,flink,api,common,functions,rich,group,reduce,function,for,each,group,of,the,data,set,a,group,reduce,function,can,iterate,over,all,elements,of,a,group,and,emit,any,number,of,output,elements,including,none,param,reducer,the,group,reduce,function,that,is,applied,on,each,group,of,the,data,set,return,a,group,reduce,operator,that,represents,the,reduced,data,set,see,org,apache,flink,api,common,functions,rich,group,reduce,function,see,group,reduce,operator,see,data,set;public,r,group,reduce,operator,t,r,reduce,group,group,reduce,function,t,r,reducer,if,reducer,null,throw,new,null,pointer,exception,group,reduce,function,must,not,be,null,if,function,utils,is,lambda,function,reducer,throw,new,unsupported,lambda,expression,exception,type,information,r,result,type,type,extractor,get,group,reduce,return,types,reducer,this,get,data,set,get,type,return,new,group,reduce,operator,t,r,this,result,type,reducer
UnsortedGrouping -> public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer);1411473593;Applies a GroupReduce transformation on a grouped {@link DataSet}.<br/>_The transformation calls a {@link org.apache.flink.api.common.functions.RichGroupReduceFunction} for each group of the DataSet._A GroupReduceFunction can iterate over all elements of a group and emit any_number of output elements including none.__@param reducer The GroupReduceFunction that is applied on each group of the DataSet._@return A GroupReduceOperator that represents the reduced DataSet.__@see org.apache.flink.api.common.functions.RichGroupReduceFunction_@see GroupReduceOperator_@see DataSet;public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer) {_		if (reducer == null) {_			throw new NullPointerException("GroupReduce function must not be null.")__		}_		if (FunctionUtils.isLambdaFunction(reducer)) {_			throw new UnsupportedLambdaExpressionException()__		}_		TypeInformation<R> resultType = TypeExtractor.getGroupReduceReturnTypes(reducer, this.getDataSet().getType())___		return new GroupReduceOperator<T, R>(this, resultType, reducer)__	};applies,a,group,reduce,transformation,on,a,grouped,link,data,set,br,the,transformation,calls,a,link,org,apache,flink,api,common,functions,rich,group,reduce,function,for,each,group,of,the,data,set,a,group,reduce,function,can,iterate,over,all,elements,of,a,group,and,emit,any,number,of,output,elements,including,none,param,reducer,the,group,reduce,function,that,is,applied,on,each,group,of,the,data,set,return,a,group,reduce,operator,that,represents,the,reduced,data,set,see,org,apache,flink,api,common,functions,rich,group,reduce,function,see,group,reduce,operator,see,data,set;public,r,group,reduce,operator,t,r,reduce,group,group,reduce,function,t,r,reducer,if,reducer,null,throw,new,null,pointer,exception,group,reduce,function,must,not,be,null,if,function,utils,is,lambda,function,reducer,throw,new,unsupported,lambda,expression,exception,type,information,r,result,type,type,extractor,get,group,reduce,return,types,reducer,this,get,data,set,get,type,return,new,group,reduce,operator,t,r,this,result,type,reducer
UnsortedGrouping -> public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer);1411555453;Applies a GroupReduce transformation on a grouped {@link DataSet}.<br/>_The transformation calls a {@link org.apache.flink.api.common.functions.RichGroupReduceFunction} for each group of the DataSet._A GroupReduceFunction can iterate over all elements of a group and emit any_number of output elements including none.__@param reducer The GroupReduceFunction that is applied on each group of the DataSet._@return A GroupReduceOperator that represents the reduced DataSet.__@see org.apache.flink.api.common.functions.RichGroupReduceFunction_@see GroupReduceOperator_@see DataSet;public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer) {_		if (reducer == null) {_			throw new NullPointerException("GroupReduce function must not be null.")__		}_		if (FunctionUtils.isLambdaFunction(reducer)) {_			throw new UnsupportedLambdaExpressionException()__		}_		TypeInformation<R> resultType = TypeExtractor.getGroupReduceReturnTypes(reducer, this.getDataSet().getType())___		return new GroupReduceOperator<T, R>(this, resultType, reducer)__	};applies,a,group,reduce,transformation,on,a,grouped,link,data,set,br,the,transformation,calls,a,link,org,apache,flink,api,common,functions,rich,group,reduce,function,for,each,group,of,the,data,set,a,group,reduce,function,can,iterate,over,all,elements,of,a,group,and,emit,any,number,of,output,elements,including,none,param,reducer,the,group,reduce,function,that,is,applied,on,each,group,of,the,data,set,return,a,group,reduce,operator,that,represents,the,reduced,data,set,see,org,apache,flink,api,common,functions,rich,group,reduce,function,see,group,reduce,operator,see,data,set;public,r,group,reduce,operator,t,r,reduce,group,group,reduce,function,t,r,reducer,if,reducer,null,throw,new,null,pointer,exception,group,reduce,function,must,not,be,null,if,function,utils,is,lambda,function,reducer,throw,new,unsupported,lambda,expression,exception,type,information,r,result,type,type,extractor,get,group,reduce,return,types,reducer,this,get,data,set,get,type,return,new,group,reduce,operator,t,r,this,result,type,reducer
UnsortedGrouping -> public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer);1411575674;Applies a GroupReduce transformation on a grouped {@link DataSet}.<br/>_The transformation calls a {@link org.apache.flink.api.common.functions.RichGroupReduceFunction} for each group of the DataSet._A GroupReduceFunction can iterate over all elements of a group and emit any_number of output elements including none.__@param reducer The GroupReduceFunction that is applied on each group of the DataSet._@return A GroupReduceOperator that represents the reduced DataSet.__@see org.apache.flink.api.common.functions.RichGroupReduceFunction_@see GroupReduceOperator_@see DataSet;public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer) {_		if (reducer == null) {_			throw new NullPointerException("GroupReduce function must not be null.")__		}_		if (FunctionUtils.isLambdaFunction(reducer)) {_			throw new UnsupportedLambdaExpressionException()__		}_		TypeInformation<R> resultType = TypeExtractor.getGroupReduceReturnTypes(reducer, this.getDataSet().getType())___		return new GroupReduceOperator<T, R>(this, resultType, reducer)__	};applies,a,group,reduce,transformation,on,a,grouped,link,data,set,br,the,transformation,calls,a,link,org,apache,flink,api,common,functions,rich,group,reduce,function,for,each,group,of,the,data,set,a,group,reduce,function,can,iterate,over,all,elements,of,a,group,and,emit,any,number,of,output,elements,including,none,param,reducer,the,group,reduce,function,that,is,applied,on,each,group,of,the,data,set,return,a,group,reduce,operator,that,represents,the,reduced,data,set,see,org,apache,flink,api,common,functions,rich,group,reduce,function,see,group,reduce,operator,see,data,set;public,r,group,reduce,operator,t,r,reduce,group,group,reduce,function,t,r,reducer,if,reducer,null,throw,new,null,pointer,exception,group,reduce,function,must,not,be,null,if,function,utils,is,lambda,function,reducer,throw,new,unsupported,lambda,expression,exception,type,information,r,result,type,type,extractor,get,group,reduce,return,types,reducer,this,get,data,set,get,type,return,new,group,reduce,operator,t,r,this,result,type,reducer
UnsortedGrouping -> public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer);1411718446;Applies a GroupReduce transformation on a grouped {@link DataSet}.<br/>_The transformation calls a {@link org.apache.flink.api.common.functions.RichGroupReduceFunction} for each group of the DataSet._A GroupReduceFunction can iterate over all elements of a group and emit any_number of output elements including none.__@param reducer The GroupReduceFunction that is applied on each group of the DataSet._@return A GroupReduceOperator that represents the reduced DataSet.__@see org.apache.flink.api.common.functions.RichGroupReduceFunction_@see GroupReduceOperator_@see DataSet;public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer) {_		if (reducer == null) {_			throw new NullPointerException("GroupReduce function must not be null.")__		}_		TypeInformation<R> resultType = TypeExtractor.getGroupReduceReturnTypes(reducer, this.getDataSet().getType())___		return new GroupReduceOperator<T, R>(this, resultType, reducer)__	};applies,a,group,reduce,transformation,on,a,grouped,link,data,set,br,the,transformation,calls,a,link,org,apache,flink,api,common,functions,rich,group,reduce,function,for,each,group,of,the,data,set,a,group,reduce,function,can,iterate,over,all,elements,of,a,group,and,emit,any,number,of,output,elements,including,none,param,reducer,the,group,reduce,function,that,is,applied,on,each,group,of,the,data,set,return,a,group,reduce,operator,that,represents,the,reduced,data,set,see,org,apache,flink,api,common,functions,rich,group,reduce,function,see,group,reduce,operator,see,data,set;public,r,group,reduce,operator,t,r,reduce,group,group,reduce,function,t,r,reducer,if,reducer,null,throw,new,null,pointer,exception,group,reduce,function,must,not,be,null,type,information,r,result,type,type,extractor,get,group,reduce,return,types,reducer,this,get,data,set,get,type,return,new,group,reduce,operator,t,r,this,result,type,reducer
UnsortedGrouping -> public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer);1412761141;Applies a GroupReduce transformation on a grouped {@link DataSet}.<br/>_The transformation calls a {@link org.apache.flink.api.common.functions.RichGroupReduceFunction} for each group of the DataSet._A GroupReduceFunction can iterate over all elements of a group and emit any_number of output elements including none.__@param reducer The GroupReduceFunction that is applied on each group of the DataSet._@return A GroupReduceOperator that represents the reduced DataSet.__@see org.apache.flink.api.common.functions.RichGroupReduceFunction_@see GroupReduceOperator_@see DataSet;public <R> GroupReduceOperator<T, R> reduceGroup(GroupReduceFunction<T, R> reducer) {_		if (reducer == null) {_			throw new NullPointerException("GroupReduce function must not be null.")__		}_		TypeInformation<R> resultType = TypeExtractor.getGroupReduceReturnTypes(reducer, this.getDataSet().getType())___		return new GroupReduceOperator<T, R>(this, resultType, reducer)__	};applies,a,group,reduce,transformation,on,a,grouped,link,data,set,br,the,transformation,calls,a,link,org,apache,flink,api,common,functions,rich,group,reduce,function,for,each,group,of,the,data,set,a,group,reduce,function,can,iterate,over,all,elements,of,a,group,and,emit,any,number,of,output,elements,including,none,param,reducer,the,group,reduce,function,that,is,applied,on,each,group,of,the,data,set,return,a,group,reduce,operator,that,represents,the,reduced,data,set,see,org,apache,flink,api,common,functions,rich,group,reduce,function,see,group,reduce,operator,see,data,set;public,r,group,reduce,operator,t,r,reduce,group,group,reduce,function,t,r,reducer,if,reducer,null,throw,new,null,pointer,exception,group,reduce,function,must,not,be,null,type,information,r,result,type,type,extractor,get,group,reduce,return,types,reducer,this,get,data,set,get,type,return,new,group,reduce,operator,t,r,this,result,type,reducer
