# id;timestamp;commentText;codeText;commentWords;codeWords
HandlerMethodReturnValueHandlerComposite -> private HandlerMethodReturnValueHandler getReturnValueHandler(MethodParameter returnType);1328020251;Find a registered {@link HandlerMethodReturnValueHandler} that supports the given return type.;private HandlerMethodReturnValueHandler getReturnValueHandler(MethodParameter returnType) {_		HandlerMethodReturnValueHandler result = this.returnValueHandlerCache.get(returnType)__		if (result == null) {_			for (HandlerMethodReturnValueHandler returnValueHandler : returnValueHandlers) {_				if (logger.isTraceEnabled()) {_					logger.trace("Testing if return value handler [" + returnValueHandler + "] supports [" +_							returnType.getGenericParameterType() + "]")__				}_				if (returnValueHandler.supportsReturnType(returnType)) {_					result = returnValueHandler__					this.returnValueHandlerCache.put(returnType, returnValueHandler)__					break__				}_			}_		}_		return result__	};find,a,registered,link,handler,method,return,value,handler,that,supports,the,given,return,type;private,handler,method,return,value,handler,get,return,value,handler,method,parameter,return,type,handler,method,return,value,handler,result,this,return,value,handler,cache,get,return,type,if,result,null,for,handler,method,return,value,handler,return,value,handler,return,value,handlers,if,logger,is,trace,enabled,logger,trace,testing,if,return,value,handler,return,value,handler,supports,return,type,get,generic,parameter,type,if,return,value,handler,supports,return,type,return,type,result,return,value,handler,this,return,value,handler,cache,put,return,type,return,value,handler,break,return,result
HandlerMethodReturnValueHandlerComposite -> private HandlerMethodReturnValueHandler getReturnValueHandler(MethodParameter returnType);1333745422;Find a registered {@link HandlerMethodReturnValueHandler} that supports the given return type.;private HandlerMethodReturnValueHandler getReturnValueHandler(MethodParameter returnType) {_		for (HandlerMethodReturnValueHandler returnValueHandler : returnValueHandlers) {_			if (logger.isTraceEnabled()) {_				logger.trace("Testing if return value handler [" + returnValueHandler + "] supports [" +_						returnType.getGenericParameterType() + "]")__			}_			if (returnValueHandler.supportsReturnType(returnType)) {_				return returnValueHandler__			}_		}_		return null__	};find,a,registered,link,handler,method,return,value,handler,that,supports,the,given,return,type;private,handler,method,return,value,handler,get,return,value,handler,method,parameter,return,type,for,handler,method,return,value,handler,return,value,handler,return,value,handlers,if,logger,is,trace,enabled,logger,trace,testing,if,return,value,handler,return,value,handler,supports,return,type,get,generic,parameter,type,if,return,value,handler,supports,return,type,return,type,return,return,value,handler,return,null
HandlerMethodReturnValueHandlerComposite -> private HandlerMethodReturnValueHandler getReturnValueHandler(MethodParameter returnType);1356735495;Find a registered {@link HandlerMethodReturnValueHandler} that supports the given return type.;private HandlerMethodReturnValueHandler getReturnValueHandler(MethodParameter returnType) {_		for (HandlerMethodReturnValueHandler returnValueHandler : returnValueHandlers) {_			if (logger.isTraceEnabled()) {_				logger.trace("Testing if return value handler [" + returnValueHandler + "] supports [" +_						returnType.getGenericParameterType() + "]")__			}_			if (returnValueHandler.supportsReturnType(returnType)) {_				return returnValueHandler__			}_		}_		return null__	};find,a,registered,link,handler,method,return,value,handler,that,supports,the,given,return,type;private,handler,method,return,value,handler,get,return,value,handler,method,parameter,return,type,for,handler,method,return,value,handler,return,value,handler,return,value,handlers,if,logger,is,trace,enabled,logger,trace,testing,if,return,value,handler,return,value,handler,supports,return,type,get,generic,parameter,type,if,return,value,handler,supports,return,type,return,type,return,return,value,handler,return,null
HandlerMethodReturnValueHandlerComposite -> private HandlerMethodReturnValueHandler getReturnValueHandler(MethodParameter returnType);1357119239;Find a registered {@link HandlerMethodReturnValueHandler} that supports the given return type.;private HandlerMethodReturnValueHandler getReturnValueHandler(MethodParameter returnType) {_		for (HandlerMethodReturnValueHandler returnValueHandler : returnValueHandlers) {_			if (logger.isTraceEnabled()) {_				logger.trace("Testing if return value handler [" + returnValueHandler + "] supports [" +_						returnType.getGenericParameterType() + "]")__			}_			if (returnValueHandler.supportsReturnType(returnType)) {_				return returnValueHandler__			}_		}_		return null__	};find,a,registered,link,handler,method,return,value,handler,that,supports,the,given,return,type;private,handler,method,return,value,handler,get,return,value,handler,method,parameter,return,type,for,handler,method,return,value,handler,return,value,handler,return,value,handlers,if,logger,is,trace,enabled,logger,trace,testing,if,return,value,handler,return,value,handler,supports,return,type,get,generic,parameter,type,if,return,value,handler,supports,return,type,return,type,return,return,value,handler,return,null
HandlerMethodReturnValueHandlerComposite -> private HandlerMethodReturnValueHandler getReturnValueHandler(MethodParameter returnType);1368482696;Find a registered {@link HandlerMethodReturnValueHandler} that supports the given return type.;private HandlerMethodReturnValueHandler getReturnValueHandler(MethodParameter returnType) {_		for (HandlerMethodReturnValueHandler returnValueHandler : returnValueHandlers) {_			if (logger.isTraceEnabled()) {_				logger.trace("Testing if return value handler [" + returnValueHandler + "] supports [" +_						returnType.getGenericParameterType() + "]")__			}_			if (returnValueHandler.supportsReturnType(returnType)) {_				return returnValueHandler__			}_		}_		return null__	};find,a,registered,link,handler,method,return,value,handler,that,supports,the,given,return,type;private,handler,method,return,value,handler,get,return,value,handler,method,parameter,return,type,for,handler,method,return,value,handler,return,value,handler,return,value,handlers,if,logger,is,trace,enabled,logger,trace,testing,if,return,value,handler,return,value,handler,supports,return,type,get,generic,parameter,type,if,return,value,handler,supports,return,type,return,type,return,return,value,handler,return,null
HandlerMethodReturnValueHandlerComposite -> private HandlerMethodReturnValueHandler getReturnValueHandler(MethodParameter returnType);1411657245;Find a registered {@link HandlerMethodReturnValueHandler} that supports the given return type.;private HandlerMethodReturnValueHandler getReturnValueHandler(MethodParameter returnType) {_		for (HandlerMethodReturnValueHandler returnValueHandler : returnValueHandlers) {_			if (logger.isTraceEnabled()) {_				logger.trace("Testing if return value handler [" + returnValueHandler + "] supports [" +_						returnType.getGenericParameterType() + "]")__			}_			if (returnValueHandler.supportsReturnType(returnType)) {_				return returnValueHandler__			}_		}_		return null__	};find,a,registered,link,handler,method,return,value,handler,that,supports,the,given,return,type;private,handler,method,return,value,handler,get,return,value,handler,method,parameter,return,type,for,handler,method,return,value,handler,return,value,handler,return,value,handlers,if,logger,is,trace,enabled,logger,trace,testing,if,return,value,handler,return,value,handler,supports,return,type,get,generic,parameter,type,if,return,value,handler,supports,return,type,return,type,return,return,value,handler,return,null
HandlerMethodReturnValueHandlerComposite -> public HandlerMethodReturnValueHandlerComposite addHandlers( 			List<? extends HandlerMethodReturnValueHandler> returnValueHandlers);1328020251;Add the given {@link HandlerMethodReturnValueHandler}s.;public HandlerMethodReturnValueHandlerComposite addHandlers(_			List<? extends HandlerMethodReturnValueHandler> returnValueHandlers) {_		if (returnValueHandlers != null) {_			for (HandlerMethodReturnValueHandler handler : returnValueHandlers) {_				this.returnValueHandlers.add(handler)__			}_		}_		return this__	};add,the,given,link,handler,method,return,value,handler,s;public,handler,method,return,value,handler,composite,add,handlers,list,extends,handler,method,return,value,handler,return,value,handlers,if,return,value,handlers,null,for,handler,method,return,value,handler,handler,return,value,handlers,this,return,value,handlers,add,handler,return,this
HandlerMethodReturnValueHandlerComposite -> public HandlerMethodReturnValueHandlerComposite addHandlers( 			List<? extends HandlerMethodReturnValueHandler> returnValueHandlers);1333745422;Add the given {@link HandlerMethodReturnValueHandler}s.;public HandlerMethodReturnValueHandlerComposite addHandlers(_			List<? extends HandlerMethodReturnValueHandler> returnValueHandlers) {_		if (returnValueHandlers != null) {_			for (HandlerMethodReturnValueHandler handler : returnValueHandlers) {_				this.returnValueHandlers.add(handler)__			}_		}_		return this__	};add,the,given,link,handler,method,return,value,handler,s;public,handler,method,return,value,handler,composite,add,handlers,list,extends,handler,method,return,value,handler,return,value,handlers,if,return,value,handlers,null,for,handler,method,return,value,handler,handler,return,value,handlers,this,return,value,handlers,add,handler,return,this
HandlerMethodReturnValueHandlerComposite -> public HandlerMethodReturnValueHandlerComposite addHandlers( 			List<? extends HandlerMethodReturnValueHandler> returnValueHandlers);1356735495;Add the given {@link HandlerMethodReturnValueHandler}s.;public HandlerMethodReturnValueHandlerComposite addHandlers(_			List<? extends HandlerMethodReturnValueHandler> returnValueHandlers) {_		if (returnValueHandlers != null) {_			for (HandlerMethodReturnValueHandler handler : returnValueHandlers) {_				this.returnValueHandlers.add(handler)__			}_		}_		return this__	};add,the,given,link,handler,method,return,value,handler,s;public,handler,method,return,value,handler,composite,add,handlers,list,extends,handler,method,return,value,handler,return,value,handlers,if,return,value,handlers,null,for,handler,method,return,value,handler,handler,return,value,handlers,this,return,value,handlers,add,handler,return,this
HandlerMethodReturnValueHandlerComposite -> public HandlerMethodReturnValueHandlerComposite addHandlers( 			List<? extends HandlerMethodReturnValueHandler> returnValueHandlers);1357119239;Add the given {@link HandlerMethodReturnValueHandler}s.;public HandlerMethodReturnValueHandlerComposite addHandlers(_			List<? extends HandlerMethodReturnValueHandler> returnValueHandlers) {_		if (returnValueHandlers != null) {_			for (HandlerMethodReturnValueHandler handler : returnValueHandlers) {_				this.returnValueHandlers.add(handler)__			}_		}_		return this__	};add,the,given,link,handler,method,return,value,handler,s;public,handler,method,return,value,handler,composite,add,handlers,list,extends,handler,method,return,value,handler,return,value,handlers,if,return,value,handlers,null,for,handler,method,return,value,handler,handler,return,value,handlers,this,return,value,handlers,add,handler,return,this
HandlerMethodReturnValueHandlerComposite -> public HandlerMethodReturnValueHandlerComposite addHandlers( 			List<? extends HandlerMethodReturnValueHandler> returnValueHandlers);1368482696;Add the given {@link HandlerMethodReturnValueHandler}s.;public HandlerMethodReturnValueHandlerComposite addHandlers(_			List<? extends HandlerMethodReturnValueHandler> returnValueHandlers) {_		if (returnValueHandlers != null) {_			for (HandlerMethodReturnValueHandler handler : returnValueHandlers) {_				this.returnValueHandlers.add(handler)__			}_		}_		return this__	};add,the,given,link,handler,method,return,value,handler,s;public,handler,method,return,value,handler,composite,add,handlers,list,extends,handler,method,return,value,handler,return,value,handlers,if,return,value,handlers,null,for,handler,method,return,value,handler,handler,return,value,handlers,this,return,value,handlers,add,handler,return,this
