# id;timestamp;commentText;codeText;commentWords;codeWords
AzureRepository -> @Override     protected BlobStore blobStore();1524684173;{@inheritDoc};@Override_    protected BlobStore blobStore() {_        return blobStore__    };inherit,doc;override,protected,blob,store,blob,store,return,blob,store
AzureRepository -> @Override     protected BlobStore blobStore();1529341607;{@inheritDoc};@Override_    protected BlobStore blobStore() {_        return blobStore__    };inherit,doc;override,protected,blob,store,blob,store,return,blob,store
AzureRepository -> @Override     protected ByteSizeValue chunkSize();1524684173;{@inheritDoc};@Override_    protected ByteSizeValue chunkSize() {_        return chunkSize__    };inherit,doc;override,protected,byte,size,value,chunk,size,return,chunk,size
AzureRepository -> @Override     protected ByteSizeValue chunkSize();1529341607;{@inheritDoc};@Override_    protected ByteSizeValue chunkSize() {_        return chunkSize__    };inherit,doc;override,protected,byte,size,value,chunk,size,return,chunk,size
AzureRepository -> @Override     protected ByteSizeValue chunkSize();1531729807;{@inheritDoc};@Override_    protected ByteSizeValue chunkSize() {_        return chunkSize__    };inherit,doc;override,protected,byte,size,value,chunk,size,return,chunk,size
AzureRepository -> @Override     protected ByteSizeValue chunkSize();1541092382;{@inheritDoc};@Override_    protected ByteSizeValue chunkSize() {_        return chunkSize__    };inherit,doc;override,protected,byte,size,value,chunk,size,return,chunk,size
AzureRepository -> @Override     protected ByteSizeValue chunkSize();1542646292;{@inheritDoc};@Override_    protected ByteSizeValue chunkSize() {_        return chunkSize__    };inherit,doc;override,protected,byte,size,value,chunk,size,return,chunk,size
AzureRepository -> @Override     protected ByteSizeValue chunkSize();1550647627;{@inheritDoc};@Override_    protected ByteSizeValue chunkSize() {_        return chunkSize__    };inherit,doc;override,protected,byte,size,value,chunk,size,return,chunk,size
AzureRepository -> @Override     protected AzureBlobStore createBlobStore() throws URISyntaxException, StorageException;1531729807;{@inheritDoc};@Override_    protected AzureBlobStore createBlobStore() throws URISyntaxException, StorageException {_        final AzureBlobStore blobStore = new AzureBlobStore(metadata, environment.settings(), storageService)___        logger.debug((org.apache.logging.log4j.util.Supplier<?>) () -> new ParameterizedMessage(_            "using container [{}], chunk_size [{}], compress [{}], base_path [{}]",_            blobStore, chunkSize, compress, basePath))__        return blobStore__    };inherit,doc;override,protected,azure,blob,store,create,blob,store,throws,urisyntax,exception,storage,exception,final,azure,blob,store,blob,store,new,azure,blob,store,metadata,environment,settings,storage,service,logger,debug,org,apache,logging,log4j,util,supplier,new,parameterized,message,using,container,compress,blob,store,chunk,size,compress,base,path,return,blob,store
AzureRepository -> @Override     protected AzureBlobStore createBlobStore() throws URISyntaxException, StorageException;1541092382;{@inheritDoc};@Override_    protected AzureBlobStore createBlobStore() throws URISyntaxException, StorageException {_        final AzureBlobStore blobStore = new AzureBlobStore(metadata, storageService)___        logger.debug((org.apache.logging.log4j.util.Supplier<?>) () -> new ParameterizedMessage(_            "using container [{}], chunk_size [{}], compress [{}], base_path [{}]",_            blobStore, chunkSize, compress, basePath))__        return blobStore__    };inherit,doc;override,protected,azure,blob,store,create,blob,store,throws,urisyntax,exception,storage,exception,final,azure,blob,store,blob,store,new,azure,blob,store,metadata,storage,service,logger,debug,org,apache,logging,log4j,util,supplier,new,parameterized,message,using,container,compress,blob,store,chunk,size,compress,base,path,return,blob,store
AzureRepository -> @Override     protected AzureBlobStore createBlobStore() throws URISyntaxException, StorageException;1542646292;{@inheritDoc};@Override_    protected AzureBlobStore createBlobStore() throws URISyntaxException, StorageException {_        final AzureBlobStore blobStore = new AzureBlobStore(metadata, storageService)___        logger.debug((org.apache.logging.log4j.util.Supplier<?>) () -> new ParameterizedMessage(_            "using container [{}], chunk_size [{}], compress [{}], base_path [{}]",_            blobStore, chunkSize, compress, basePath))__        return blobStore__    };inherit,doc;override,protected,azure,blob,store,create,blob,store,throws,urisyntax,exception,storage,exception,final,azure,blob,store,blob,store,new,azure,blob,store,metadata,storage,service,logger,debug,org,apache,logging,log4j,util,supplier,new,parameterized,message,using,container,compress,blob,store,chunk,size,compress,base,path,return,blob,store
