# id;timestamp;commentText;codeText;commentWords;codeWords
TokenFilterFactory -> default TokenStream normalize(TokenStream tokenStream);1542897779;Normalize a tokenStream for use in multi-term queries__The default implementation is a no-op;default TokenStream normalize(TokenStream tokenStream) {_        return tokenStream__    };normalize,a,token,stream,for,use,in,multi,term,queries,the,default,implementation,is,a,no,op;default,token,stream,normalize,token,stream,token,stream,return,token,stream
TokenFilterFactory -> default TokenStream normalize(TokenStream tokenStream);1543487738;Normalize a tokenStream for use in multi-term queries__The default implementation is a no-op;default TokenStream normalize(TokenStream tokenStream) {_        return tokenStream__    };normalize,a,token,stream,for,use,in,multi,term,queries,the,default,implementation,is,a,no,op;default,token,stream,normalize,token,stream,token,stream,return,token,stream
TokenFilterFactory -> default TokenFilterFactory getSynonymFilter();1537371806;Return a version of this TokenFilterFactory appropriate for synonym parsing__Filters that should not be applied to synonyms (for example, those that produce_multiple tokens) can return {@link #IDENTITY_FILTER};default TokenFilterFactory getSynonymFilter() {_        return this__    };return,a,version,of,this,token,filter,factory,appropriate,for,synonym,parsing,filters,that,should,not,be,applied,to,synonyms,for,example,those,that,produce,multiple,tokens,can,return,link;default,token,filter,factory,get,synonym,filter,return,this
TokenFilterFactory -> default TokenFilterFactory getSynonymFilter();1542897779;Return a version of this TokenFilterFactory appropriate for synonym parsing__Filters that should not be applied to synonyms (for example, those that produce_multiple tokens) can return {@link #IDENTITY_FILTER};default TokenFilterFactory getSynonymFilter() {_        return this__    };return,a,version,of,this,token,filter,factory,appropriate,for,synonym,parsing,filters,that,should,not,be,applied,to,synonyms,for,example,those,that,produce,multiple,tokens,can,return,link;default,token,filter,factory,get,synonym,filter,return,this
TokenFilterFactory -> default TokenFilterFactory getSynonymFilter();1543487738;Return a version of this TokenFilterFactory appropriate for synonym parsing__Filters that should not be applied to synonyms (for example, those that produce_multiple tokens) should throw an exception;default TokenFilterFactory getSynonymFilter() {_        return this__    };return,a,version,of,this,token,filter,factory,appropriate,for,synonym,parsing,filters,that,should,not,be,applied,to,synonyms,for,example,those,that,produce,multiple,tokens,should,throw,an,exception;default,token,filter,factory,get,synonym,filter,return,this
TokenFilterFactory -> default TokenFilterFactory getChainAwareTokenFilterFactory(TokenizerFactory tokenizer, List<CharFilterFactory> charFilters,                                                                List<TokenFilterFactory> previousTokenFilters,                                                                Function<String, TokenFilterFactory> allFilters);1537371806;Rewrite the TokenFilterFactory to take into account the preceding analysis chain, or refer_to other TokenFilterFactories_@param tokenizer             the TokenizerFactory for the preceding chain_@param charFilters           any CharFilterFactories for the preceding chain_@param previousTokenFilters  a list of TokenFilterFactories in the preceding chain_@param allFilters            access to previously defined TokenFilterFactories;default TokenFilterFactory getChainAwareTokenFilterFactory(TokenizerFactory tokenizer, List<CharFilterFactory> charFilters,_                                                               List<TokenFilterFactory> previousTokenFilters,_                                                               Function<String, TokenFilterFactory> allFilters) {_        return this__    };rewrite,the,token,filter,factory,to,take,into,account,the,preceding,analysis,chain,or,refer,to,other,token,filter,factories,param,tokenizer,the,tokenizer,factory,for,the,preceding,chain,param,char,filters,any,char,filter,factories,for,the,preceding,chain,param,previous,token,filters,a,list,of,token,filter,factories,in,the,preceding,chain,param,all,filters,access,to,previously,defined,token,filter,factories;default,token,filter,factory,get,chain,aware,token,filter,factory,tokenizer,factory,tokenizer,list,char,filter,factory,char,filters,list,token,filter,factory,previous,token,filters,function,string,token,filter,factory,all,filters,return,this
TokenFilterFactory -> default TokenFilterFactory getChainAwareTokenFilterFactory(TokenizerFactory tokenizer, List<CharFilterFactory> charFilters,                                                                List<TokenFilterFactory> previousTokenFilters,                                                                Function<String, TokenFilterFactory> allFilters);1542897779;Rewrite the TokenFilterFactory to take into account the preceding analysis chain, or refer_to other TokenFilterFactories_@param tokenizer             the TokenizerFactory for the preceding chain_@param charFilters           any CharFilterFactories for the preceding chain_@param previousTokenFilters  a list of TokenFilterFactories in the preceding chain_@param allFilters            access to previously defined TokenFilterFactories;default TokenFilterFactory getChainAwareTokenFilterFactory(TokenizerFactory tokenizer, List<CharFilterFactory> charFilters,_                                                               List<TokenFilterFactory> previousTokenFilters,_                                                               Function<String, TokenFilterFactory> allFilters) {_        return this__    };rewrite,the,token,filter,factory,to,take,into,account,the,preceding,analysis,chain,or,refer,to,other,token,filter,factories,param,tokenizer,the,tokenizer,factory,for,the,preceding,chain,param,char,filters,any,char,filter,factories,for,the,preceding,chain,param,previous,token,filters,a,list,of,token,filter,factories,in,the,preceding,chain,param,all,filters,access,to,previously,defined,token,filter,factories;default,token,filter,factory,get,chain,aware,token,filter,factory,tokenizer,factory,tokenizer,list,char,filter,factory,char,filters,list,token,filter,factory,previous,token,filters,function,string,token,filter,factory,all,filters,return,this
TokenFilterFactory -> default TokenFilterFactory getChainAwareTokenFilterFactory(TokenizerFactory tokenizer, List<CharFilterFactory> charFilters,                                                                List<TokenFilterFactory> previousTokenFilters,                                                                Function<String, TokenFilterFactory> allFilters);1543487738;Rewrite the TokenFilterFactory to take into account the preceding analysis chain, or refer_to other TokenFilterFactories_@param tokenizer             the TokenizerFactory for the preceding chain_@param charFilters           any CharFilterFactories for the preceding chain_@param previousTokenFilters  a list of TokenFilterFactories in the preceding chain_@param allFilters            access to previously defined TokenFilterFactories;default TokenFilterFactory getChainAwareTokenFilterFactory(TokenizerFactory tokenizer, List<CharFilterFactory> charFilters,_                                                               List<TokenFilterFactory> previousTokenFilters,_                                                               Function<String, TokenFilterFactory> allFilters) {_        return this__    };rewrite,the,token,filter,factory,to,take,into,account,the,preceding,analysis,chain,or,refer,to,other,token,filter,factories,param,tokenizer,the,tokenizer,factory,for,the,preceding,chain,param,char,filters,any,char,filter,factories,for,the,preceding,chain,param,previous,token,filters,a,list,of,token,filter,factories,in,the,preceding,chain,param,all,filters,access,to,previously,defined,token,filter,factories;default,token,filter,factory,get,chain,aware,token,filter,factory,tokenizer,factory,tokenizer,list,char,filter,factory,char,filters,list,token,filter,factory,previous,token,filters,function,string,token,filter,factory,all,filters,return,this
TokenFilterFactory -> default boolean breaksFastVectorHighlighter();1524684173;Does this analyzer mess up the {@link OffsetAttribute}s in such as way as to break the_{@link FastVectorHighlighter}? If this is {@code true} then the_{@linkplain FastVectorHighlighter} will attempt to work around the broken offsets.;default boolean breaksFastVectorHighlighter() {_        return false__    };does,this,analyzer,mess,up,the,link,offset,attribute,s,in,such,as,way,as,to,break,the,link,fast,vector,highlighter,if,this,is,code,true,then,the,linkplain,fast,vector,highlighter,will,attempt,to,work,around,the,broken,offsets;default,boolean,breaks,fast,vector,highlighter,return,false
TokenFilterFactory -> default boolean breaksFastVectorHighlighter();1537371806;Does this analyzer mess up the {@link OffsetAttribute}s in such as way as to break the_{@link FastVectorHighlighter}? If this is {@code true} then the_{@linkplain FastVectorHighlighter} will attempt to work around the broken offsets.;default boolean breaksFastVectorHighlighter() {_        return false__    };does,this,analyzer,mess,up,the,link,offset,attribute,s,in,such,as,way,as,to,break,the,link,fast,vector,highlighter,if,this,is,code,true,then,the,linkplain,fast,vector,highlighter,will,attempt,to,work,around,the,broken,offsets;default,boolean,breaks,fast,vector,highlighter,return,false
TokenFilterFactory -> default boolean breaksFastVectorHighlighter();1542897779;Does this analyzer mess up the {@link OffsetAttribute}s in such as way as to break the_{@link FastVectorHighlighter}? If this is {@code true} then the_{@linkplain FastVectorHighlighter} will attempt to work around the broken offsets.;default boolean breaksFastVectorHighlighter() {_        return false__    };does,this,analyzer,mess,up,the,link,offset,attribute,s,in,such,as,way,as,to,break,the,link,fast,vector,highlighter,if,this,is,code,true,then,the,linkplain,fast,vector,highlighter,will,attempt,to,work,around,the,broken,offsets;default,boolean,breaks,fast,vector,highlighter,return,false
