# id;timestamp;commentText;codeText;commentWords;codeWords
RequestBodyAdvice -> @Nullable 	Object handleEmptyBody(@Nullable Object body, HttpInputMessage inputMessage, MethodParameter parameter, 			Type targetType, Class<? extends HttpMessageConverter<?>> converterType)_;1495868221;Invoked second (and last) if the body is empty._@param body set to {@code null} before the first advice is called_@param inputMessage the request_@param parameter the method parameter_@param targetType the target type, not necessarily the same as the method_parameter type, e.g. for {@code HttpEntity<String>}._@param converterType the selected converter type_@return the value to use or {@code null} which may then raise an_{@code HttpMessageNotReadableException} if the argument is required.;@Nullable_	Object handleEmptyBody(@Nullable Object body, HttpInputMessage inputMessage, MethodParameter parameter,_			Type targetType, Class<? extends HttpMessageConverter<?>> converterType)_;invoked,second,and,last,if,the,body,is,empty,param,body,set,to,code,null,before,the,first,advice,is,called,param,input,message,the,request,param,parameter,the,method,parameter,param,target,type,the,target,type,not,necessarily,the,same,as,the,method,parameter,type,e,g,for,code,http,entity,string,param,converter,type,the,selected,converter,type,return,the,value,to,use,or,code,null,which,may,then,raise,an,code,http,message,not,readable,exception,if,the,argument,is,required;nullable,object,handle,empty,body,nullable,object,body,http,input,message,input,message,method,parameter,parameter,type,target,type,class,extends,http,message,converter,converter,type
RequestBodyAdvice -> @Nullable 	Object handleEmptyBody(@Nullable Object body, HttpInputMessage inputMessage, MethodParameter parameter, 			Type targetType, Class<? extends HttpMessageConverter<?>> converterType)_;1496837955;Invoked second (and last) if the body is empty._@param body usually set to {@code null} before the first advice is called_@param inputMessage the request_@param parameter the method parameter_@param targetType the target type, not necessarily the same as the method_parameter type, e.g. for {@code HttpEntity<String>}._@param converterType the selected converter type_@return the value to use or {@code null} which may then raise an_{@code HttpMessageNotReadableException} if the argument is required.;@Nullable_	Object handleEmptyBody(@Nullable Object body, HttpInputMessage inputMessage, MethodParameter parameter,_			Type targetType, Class<? extends HttpMessageConverter<?>> converterType)_;invoked,second,and,last,if,the,body,is,empty,param,body,usually,set,to,code,null,before,the,first,advice,is,called,param,input,message,the,request,param,parameter,the,method,parameter,param,target,type,the,target,type,not,necessarily,the,same,as,the,method,parameter,type,e,g,for,code,http,entity,string,param,converter,type,the,selected,converter,type,return,the,value,to,use,or,code,null,which,may,then,raise,an,code,http,message,not,readable,exception,if,the,argument,is,required;nullable,object,handle,empty,body,nullable,object,body,http,input,message,input,message,method,parameter,parameter,type,target,type,class,extends,http,message,converter,converter,type
RequestBodyAdvice -> Object afterBodyRead(Object body, HttpInputMessage inputMessage, MethodParameter parameter, 			Type targetType, Class<? extends HttpMessageConverter<?>> converterType)_;1427679734;Invoked third (and last) after the request body is converted to an Object._@param body set to the converter Object before the 1st advice is called_@param inputMessage the request_@param parameter the target method parameter_@param targetType the target type, not necessarily the same as the method_parameter type, e.g. for {@code HttpEntity<String>}._@param converterType the converter used to deserialize the body_@return the same body or a new instance;Object afterBodyRead(Object body, HttpInputMessage inputMessage, MethodParameter parameter,_			Type targetType, Class<? extends HttpMessageConverter<?>> converterType)_;invoked,third,and,last,after,the,request,body,is,converted,to,an,object,param,body,set,to,the,converter,object,before,the,1st,advice,is,called,param,input,message,the,request,param,parameter,the,target,method,parameter,param,target,type,the,target,type,not,necessarily,the,same,as,the,method,parameter,type,e,g,for,code,http,entity,string,param,converter,type,the,converter,used,to,deserialize,the,body,return,the,same,body,or,a,new,instance;object,after,body,read,object,body,http,input,message,input,message,method,parameter,parameter,type,target,type,class,extends,http,message,converter,converter,type
RequestBodyAdvice -> Object afterBodyRead(Object body, HttpInputMessage inputMessage, MethodParameter parameter, 			Type targetType, Class<? extends HttpMessageConverter<?>> converterType)_;1427920036;Invoked third (and last) after the request body is converted to an Object._@param body set to the converter Object before the 1st advice is called_@param inputMessage the request_@param parameter the target method parameter_@param targetType the target type, not necessarily the same as the method_parameter type, e.g. for {@code HttpEntity<String>}._@param converterType the converter used to deserialize the body_@return the same body or a new instance;Object afterBodyRead(Object body, HttpInputMessage inputMessage, MethodParameter parameter,_			Type targetType, Class<? extends HttpMessageConverter<?>> converterType)_;invoked,third,and,last,after,the,request,body,is,converted,to,an,object,param,body,set,to,the,converter,object,before,the,1st,advice,is,called,param,input,message,the,request,param,parameter,the,target,method,parameter,param,target,type,the,target,type,not,necessarily,the,same,as,the,method,parameter,type,e,g,for,code,http,entity,string,param,converter,type,the,converter,used,to,deserialize,the,body,return,the,same,body,or,a,new,instance;object,after,body,read,object,body,http,input,message,input,message,method,parameter,parameter,type,target,type,class,extends,http,message,converter,converter,type
RequestBodyAdvice -> Object afterBodyRead(Object body, HttpInputMessage inputMessage, MethodParameter parameter, 			Type targetType, Class<? extends HttpMessageConverter<?>> converterType)_;1444116924;Invoked third (and last) after the request body is converted to an Object._@param body set to the converter Object before the 1st advice is called_@param inputMessage the request_@param parameter the target method parameter_@param targetType the target type, not necessarily the same as the method_parameter type, e.g. for {@code HttpEntity<String>}._@param converterType the converter used to deserialize the body_@return the same body or a new instance;Object afterBodyRead(Object body, HttpInputMessage inputMessage, MethodParameter parameter,_			Type targetType, Class<? extends HttpMessageConverter<?>> converterType)_;invoked,third,and,last,after,the,request,body,is,converted,to,an,object,param,body,set,to,the,converter,object,before,the,1st,advice,is,called,param,input,message,the,request,param,parameter,the,target,method,parameter,param,target,type,the,target,type,not,necessarily,the,same,as,the,method,parameter,type,e,g,for,code,http,entity,string,param,converter,type,the,converter,used,to,deserialize,the,body,return,the,same,body,or,a,new,instance;object,after,body,read,object,body,http,input,message,input,message,method,parameter,parameter,type,target,type,class,extends,http,message,converter,converter,type
RequestBodyAdvice -> Object afterBodyRead(Object body, HttpInputMessage inputMessage, MethodParameter parameter, 			Type targetType, Class<? extends HttpMessageConverter<?>> converterType)_;1495868221;Invoked third (and last) after the request body is converted to an Object._@param body set to the converter Object before the 1st advice is called_@param inputMessage the request_@param parameter the target method parameter_@param targetType the target type, not necessarily the same as the method_parameter type, e.g. for {@code HttpEntity<String>}._@param converterType the converter used to deserialize the body_@return the same body or a new instance;Object afterBodyRead(Object body, HttpInputMessage inputMessage, MethodParameter parameter,_			Type targetType, Class<? extends HttpMessageConverter<?>> converterType)_;invoked,third,and,last,after,the,request,body,is,converted,to,an,object,param,body,set,to,the,converter,object,before,the,1st,advice,is,called,param,input,message,the,request,param,parameter,the,target,method,parameter,param,target,type,the,target,type,not,necessarily,the,same,as,the,method,parameter,type,e,g,for,code,http,entity,string,param,converter,type,the,converter,used,to,deserialize,the,body,return,the,same,body,or,a,new,instance;object,after,body,read,object,body,http,input,message,input,message,method,parameter,parameter,type,target,type,class,extends,http,message,converter,converter,type
RequestBodyAdvice -> Object afterBodyRead(Object body, HttpInputMessage inputMessage, MethodParameter parameter, 			Type targetType, Class<? extends HttpMessageConverter<?>> converterType)_;1496837955;Invoked third (and last) after the request body is converted to an Object._@param body set to the converter Object before the first advice is called_@param inputMessage the request_@param parameter the target method parameter_@param targetType the target type, not necessarily the same as the method_parameter type, e.g. for {@code HttpEntity<String>}._@param converterType the converter used to deserialize the body_@return the same body or a new instance;Object afterBodyRead(Object body, HttpInputMessage inputMessage, MethodParameter parameter,_			Type targetType, Class<? extends HttpMessageConverter<?>> converterType)_;invoked,third,and,last,after,the,request,body,is,converted,to,an,object,param,body,set,to,the,converter,object,before,the,first,advice,is,called,param,input,message,the,request,param,parameter,the,target,method,parameter,param,target,type,the,target,type,not,necessarily,the,same,as,the,method,parameter,type,e,g,for,code,http,entity,string,param,converter,type,the,converter,used,to,deserialize,the,body,return,the,same,body,or,a,new,instance;object,after,body,read,object,body,http,input,message,input,message,method,parameter,parameter,type,target,type,class,extends,http,message,converter,converter,type
RequestBodyAdvice -> boolean supports(MethodParameter methodParameter, Type targetType, 			Class<? extends HttpMessageConverter<?>> converterType)_;1427679734;Invoked first to determine if this interceptor applies._@param methodParameter the method parameter_@param targetType the target type, not necessarily the same as the method_parameter type, e.g. for {@code HttpEntity<String>}._@param converterType the selected converter type_@return whether this interceptor should be invoked or not;boolean supports(MethodParameter methodParameter, Type targetType,_			Class<? extends HttpMessageConverter<?>> converterType)_;invoked,first,to,determine,if,this,interceptor,applies,param,method,parameter,the,method,parameter,param,target,type,the,target,type,not,necessarily,the,same,as,the,method,parameter,type,e,g,for,code,http,entity,string,param,converter,type,the,selected,converter,type,return,whether,this,interceptor,should,be,invoked,or,not;boolean,supports,method,parameter,method,parameter,type,target,type,class,extends,http,message,converter,converter,type
RequestBodyAdvice -> boolean supports(MethodParameter methodParameter, Type targetType, 			Class<? extends HttpMessageConverter<?>> converterType)_;1427920036;Invoked first to determine if this interceptor applies._@param methodParameter the method parameter_@param targetType the target type, not necessarily the same as the method_parameter type, e.g. for {@code HttpEntity<String>}._@param converterType the selected converter type_@return whether this interceptor should be invoked or not;boolean supports(MethodParameter methodParameter, Type targetType,_			Class<? extends HttpMessageConverter<?>> converterType)_;invoked,first,to,determine,if,this,interceptor,applies,param,method,parameter,the,method,parameter,param,target,type,the,target,type,not,necessarily,the,same,as,the,method,parameter,type,e,g,for,code,http,entity,string,param,converter,type,the,selected,converter,type,return,whether,this,interceptor,should,be,invoked,or,not;boolean,supports,method,parameter,method,parameter,type,target,type,class,extends,http,message,converter,converter,type
RequestBodyAdvice -> boolean supports(MethodParameter methodParameter, Type targetType, 			Class<? extends HttpMessageConverter<?>> converterType)_;1444116924;Invoked first to determine if this interceptor applies._@param methodParameter the method parameter_@param targetType the target type, not necessarily the same as the method_parameter type, e.g. for {@code HttpEntity<String>}._@param converterType the selected converter type_@return whether this interceptor should be invoked or not;boolean supports(MethodParameter methodParameter, Type targetType,_			Class<? extends HttpMessageConverter<?>> converterType)_;invoked,first,to,determine,if,this,interceptor,applies,param,method,parameter,the,method,parameter,param,target,type,the,target,type,not,necessarily,the,same,as,the,method,parameter,type,e,g,for,code,http,entity,string,param,converter,type,the,selected,converter,type,return,whether,this,interceptor,should,be,invoked,or,not;boolean,supports,method,parameter,method,parameter,type,target,type,class,extends,http,message,converter,converter,type
RequestBodyAdvice -> boolean supports(MethodParameter methodParameter, Type targetType, 			Class<? extends HttpMessageConverter<?>> converterType)_;1495868221;Invoked first to determine if this interceptor applies._@param methodParameter the method parameter_@param targetType the target type, not necessarily the same as the method_parameter type, e.g. for {@code HttpEntity<String>}._@param converterType the selected converter type_@return whether this interceptor should be invoked or not;boolean supports(MethodParameter methodParameter, Type targetType,_			Class<? extends HttpMessageConverter<?>> converterType)_;invoked,first,to,determine,if,this,interceptor,applies,param,method,parameter,the,method,parameter,param,target,type,the,target,type,not,necessarily,the,same,as,the,method,parameter,type,e,g,for,code,http,entity,string,param,converter,type,the,selected,converter,type,return,whether,this,interceptor,should,be,invoked,or,not;boolean,supports,method,parameter,method,parameter,type,target,type,class,extends,http,message,converter,converter,type
RequestBodyAdvice -> boolean supports(MethodParameter methodParameter, Type targetType, 			Class<? extends HttpMessageConverter<?>> converterType)_;1496837955;Invoked first to determine if this interceptor applies._@param methodParameter the method parameter_@param targetType the target type, not necessarily the same as the method_parameter type, e.g. for {@code HttpEntity<String>}._@param converterType the selected converter type_@return whether this interceptor should be invoked or not;boolean supports(MethodParameter methodParameter, Type targetType,_			Class<? extends HttpMessageConverter<?>> converterType)_;invoked,first,to,determine,if,this,interceptor,applies,param,method,parameter,the,method,parameter,param,target,type,the,target,type,not,necessarily,the,same,as,the,method,parameter,type,e,g,for,code,http,entity,string,param,converter,type,the,selected,converter,type,return,whether,this,interceptor,should,be,invoked,or,not;boolean,supports,method,parameter,method,parameter,type,target,type,class,extends,http,message,converter,converter,type
