# id;timestamp;commentText;codeText;commentWords;codeWords
LumberjackComponent -> public void setUseGlobalSslContextParameters(boolean useGlobalSslContextParameters);1491919259;Enable usage of Camel global SSL parameters;public void setUseGlobalSslContextParameters(boolean useGlobalSslContextParameters) {_        this.useGlobalSslContextParameters = useGlobalSslContextParameters__    };enable,usage,of,camel,global,ssl,parameters;public,void,set,use,global,ssl,context,parameters,boolean,use,global,ssl,context,parameters,this,use,global,ssl,context,parameters,use,global,ssl,context,parameters
LumberjackComponent -> public void setUseGlobalSslContextParameters(boolean useGlobalSslContextParameters);1491919462;Enable usage of Camel global SSL parameters;public void setUseGlobalSslContextParameters(boolean useGlobalSslContextParameters) {_        this.useGlobalSslContextParameters = useGlobalSslContextParameters__    };enable,usage,of,camel,global,ssl,parameters;public,void,set,use,global,ssl,context,parameters,boolean,use,global,ssl,context,parameters,this,use,global,ssl,context,parameters,use,global,ssl,context,parameters
LumberjackComponent -> @Override     public void setUseGlobalSslContextParameters(boolean useGlobalSslContextParameters);1491919462;Enable usage of global SSL context parameters.;@Override_    public void setUseGlobalSslContextParameters(boolean useGlobalSslContextParameters) {_        this.useGlobalSslContextParameters = useGlobalSslContextParameters__    };enable,usage,of,global,ssl,context,parameters;override,public,void,set,use,global,ssl,context,parameters,boolean,use,global,ssl,context,parameters,this,use,global,ssl,context,parameters,use,global,ssl,context,parameters
LumberjackComponent -> @Override     public void setUseGlobalSslContextParameters(boolean useGlobalSslContextParameters);1540108158;Enable usage of global SSL context parameters.;@Override_    public void setUseGlobalSslContextParameters(boolean useGlobalSslContextParameters) {_        this.useGlobalSslContextParameters = useGlobalSslContextParameters__    };enable,usage,of,global,ssl,context,parameters;override,public,void,set,use,global,ssl,context,parameters,boolean,use,global,ssl,context,parameters,this,use,global,ssl,context,parameters,use,global,ssl,context,parameters
LumberjackComponent -> @Override     public void setUseGlobalSslContextParameters(boolean useGlobalSslContextParameters);1540108163;Enable usage of global SSL context parameters.;@Override_    public void setUseGlobalSslContextParameters(boolean useGlobalSslContextParameters) {_        this.useGlobalSslContextParameters = useGlobalSslContextParameters__    };enable,usage,of,global,ssl,context,parameters;override,public,void,set,use,global,ssl,context,parameters,boolean,use,global,ssl,context,parameters,this,use,global,ssl,context,parameters,use,global,ssl,context,parameters
LumberjackComponent -> @Override     public void setUseGlobalSslContextParameters(boolean useGlobalSslContextParameters);1547241305;Enable usage of global SSL context parameters.;@Override_    public void setUseGlobalSslContextParameters(boolean useGlobalSslContextParameters) {_        this.useGlobalSslContextParameters = useGlobalSslContextParameters__    };enable,usage,of,global,ssl,context,parameters;override,public,void,set,use,global,ssl,context,parameters,boolean,use,global,ssl,context,parameters,this,use,global,ssl,context,parameters,use,global,ssl,context,parameters
LumberjackComponent -> @Override     public void setUseGlobalSslContextParameters(boolean useGlobalSslContextParameters);1548160484;Enable usage of global SSL context parameters.;@Override_    public void setUseGlobalSslContextParameters(boolean useGlobalSslContextParameters) {_        this.useGlobalSslContextParameters = useGlobalSslContextParameters__    };enable,usage,of,global,ssl,context,parameters;override,public,void,set,use,global,ssl,context,parameters,boolean,use,global,ssl,context,parameters,this,use,global,ssl,context,parameters,use,global,ssl,context,parameters
LumberjackComponent -> public void setSslContextParameters(SSLContextParameters sslContextParameters);1468595067;Sets the default SSL configuration to use for all the endpoints. You can also configure it directly at_the endpoint level.;public void setSslContextParameters(SSLContextParameters sslContextParameters) {_        this.sslContextParameters = sslContextParameters__    };sets,the,default,ssl,configuration,to,use,for,all,the,endpoints,you,can,also,configure,it,directly,at,the,endpoint,level;public,void,set,ssl,context,parameters,sslcontext,parameters,ssl,context,parameters,this,ssl,context,parameters,ssl,context,parameters
LumberjackComponent -> public void setSslContextParameters(SSLContextParameters sslContextParameters);1482328198;Sets the default SSL configuration to use for all the endpoints. You can also configure it directly at_the endpoint level.;public void setSslContextParameters(SSLContextParameters sslContextParameters) {_        this.sslContextParameters = sslContextParameters__    };sets,the,default,ssl,configuration,to,use,for,all,the,endpoints,you,can,also,configure,it,directly,at,the,endpoint,level;public,void,set,ssl,context,parameters,sslcontext,parameters,ssl,context,parameters,this,ssl,context,parameters,ssl,context,parameters
LumberjackComponent -> public void setSslContextParameters(SSLContextParameters sslContextParameters);1491919259;Sets the default SSL configuration to use for all the endpoints. You can also configure it directly at_the endpoint level.;public void setSslContextParameters(SSLContextParameters sslContextParameters) {_        this.sslContextParameters = sslContextParameters__    };sets,the,default,ssl,configuration,to,use,for,all,the,endpoints,you,can,also,configure,it,directly,at,the,endpoint,level;public,void,set,ssl,context,parameters,sslcontext,parameters,ssl,context,parameters,this,ssl,context,parameters,ssl,context,parameters
LumberjackComponent -> public void setSslContextParameters(SSLContextParameters sslContextParameters);1491919462;Sets the default SSL configuration to use for all the endpoints. You can also configure it directly at_the endpoint level.;public void setSslContextParameters(SSLContextParameters sslContextParameters) {_        this.sslContextParameters = sslContextParameters__    };sets,the,default,ssl,configuration,to,use,for,all,the,endpoints,you,can,also,configure,it,directly,at,the,endpoint,level;public,void,set,ssl,context,parameters,sslcontext,parameters,ssl,context,parameters,this,ssl,context,parameters,ssl,context,parameters
LumberjackComponent -> public void setSslContextParameters(SSLContextParameters sslContextParameters);1491919462;Sets the default SSL configuration to use for all the endpoints. You can also configure it directly at_the endpoint level.;public void setSslContextParameters(SSLContextParameters sslContextParameters) {_        this.sslContextParameters = sslContextParameters__    };sets,the,default,ssl,configuration,to,use,for,all,the,endpoints,you,can,also,configure,it,directly,at,the,endpoint,level;public,void,set,ssl,context,parameters,sslcontext,parameters,ssl,context,parameters,this,ssl,context,parameters,ssl,context,parameters
LumberjackComponent -> public void setSslContextParameters(SSLContextParameters sslContextParameters);1491919462;Sets the default SSL configuration to use for all the endpoints. You can also configure it directly at_the endpoint level.;public void setSslContextParameters(SSLContextParameters sslContextParameters) {_        this.sslContextParameters = sslContextParameters__    };sets,the,default,ssl,configuration,to,use,for,all,the,endpoints,you,can,also,configure,it,directly,at,the,endpoint,level;public,void,set,ssl,context,parameters,sslcontext,parameters,ssl,context,parameters,this,ssl,context,parameters,ssl,context,parameters
LumberjackComponent -> public void setSslContextParameters(SSLContextParameters sslContextParameters);1540108158;Sets the default SSL configuration to use for all the endpoints. You can also configure it directly at_the endpoint level.;public void setSslContextParameters(SSLContextParameters sslContextParameters) {_        this.sslContextParameters = sslContextParameters__    };sets,the,default,ssl,configuration,to,use,for,all,the,endpoints,you,can,also,configure,it,directly,at,the,endpoint,level;public,void,set,ssl,context,parameters,sslcontext,parameters,ssl,context,parameters,this,ssl,context,parameters,ssl,context,parameters
