# id;timestamp;commentText;codeText;commentWords;codeWords
StreamInput -> public abstract void readBytes(byte[] b, int offset, int len) throws IOException_;1524684173;Reads a specified number of bytes into an array at the specified offset.__@param b      the array to read bytes into_@param offset the offset in the array to start storing bytes_@param len    the number of bytes to read;public abstract void readBytes(byte[] b, int offset, int len) throws IOException_;reads,a,specified,number,of,bytes,into,an,array,at,the,specified,offset,param,b,the,array,to,read,bytes,into,param,offset,the,offset,in,the,array,to,start,storing,bytes,param,len,the,number,of,bytes,to,read;public,abstract,void,read,bytes,byte,b,int,offset,int,len,throws,ioexception
StreamInput -> public abstract void readBytes(byte[] b, int offset, int len) throws IOException_;1526449283;Reads a specified number of bytes into an array at the specified offset.__@param b      the array to read bytes into_@param offset the offset in the array to start storing bytes_@param len    the number of bytes to read;public abstract void readBytes(byte[] b, int offset, int len) throws IOException_;reads,a,specified,number,of,bytes,into,an,array,at,the,specified,offset,param,b,the,array,to,read,bytes,into,param,offset,the,offset,in,the,array,to,start,storing,bytes,param,len,the,number,of,bytes,to,read;public,abstract,void,read,bytes,byte,b,int,offset,int,len,throws,ioexception
StreamInput -> public abstract void readBytes(byte[] b, int offset, int len) throws IOException_;1532353780;Reads a specified number of bytes into an array at the specified offset.__@param b      the array to read bytes into_@param offset the offset in the array to start storing bytes_@param len    the number of bytes to read;public abstract void readBytes(byte[] b, int offset, int len) throws IOException_;reads,a,specified,number,of,bytes,into,an,array,at,the,specified,offset,param,b,the,array,to,read,bytes,into,param,offset,the,offset,in,the,array,to,start,storing,bytes,param,len,the,number,of,bytes,to,read;public,abstract,void,read,bytes,byte,b,int,offset,int,len,throws,ioexception
StreamInput -> public abstract void readBytes(byte[] b, int offset, int len) throws IOException_;1532456624;Reads a specified number of bytes into an array at the specified offset.__@param b      the array to read bytes into_@param offset the offset in the array to start storing bytes_@param len    the number of bytes to read;public abstract void readBytes(byte[] b, int offset, int len) throws IOException_;reads,a,specified,number,of,bytes,into,an,array,at,the,specified,offset,param,b,the,array,to,read,bytes,into,param,offset,the,offset,in,the,array,to,start,storing,bytes,param,len,the,number,of,bytes,to,read;public,abstract,void,read,bytes,byte,b,int,offset,int,len,throws,ioexception
StreamInput -> public abstract void readBytes(byte[] b, int offset, int len) throws IOException_;1548236405;Reads a specified number of bytes into an array at the specified offset.__@param b      the array to read bytes into_@param offset the offset in the array to start storing bytes_@param len    the number of bytes to read;public abstract void readBytes(byte[] b, int offset, int len) throws IOException_;reads,a,specified,number,of,bytes,into,an,array,at,the,specified,offset,param,b,the,array,to,read,bytes,into,param,offset,the,offset,in,the,array,to,start,storing,bytes,param,len,the,number,of,bytes,to,read;public,abstract,void,read,bytes,byte,b,int,offset,int,len,throws,ioexception
StreamInput -> public abstract void readBytes(byte[] b, int offset, int len) throws IOException_;1548265937;Reads a specified number of bytes into an array at the specified offset.__@param b      the array to read bytes into_@param offset the offset in the array to start storing bytes_@param len    the number of bytes to read;public abstract void readBytes(byte[] b, int offset, int len) throws IOException_;reads,a,specified,number,of,bytes,into,an,array,at,the,specified,offset,param,b,the,array,to,read,bytes,into,param,offset,the,offset,in,the,array,to,start,storing,bytes,param,len,the,number,of,bytes,to,read;public,abstract,void,read,bytes,byte,b,int,offset,int,len,throws,ioexception
StreamInput -> public abstract void readBytes(byte[] b, int offset, int len) throws IOException_;1548420339;Reads a specified number of bytes into an array at the specified offset.__@param b      the array to read bytes into_@param offset the offset in the array to start storing bytes_@param len    the number of bytes to read;public abstract void readBytes(byte[] b, int offset, int len) throws IOException_;reads,a,specified,number,of,bytes,into,an,array,at,the,specified,offset,param,b,the,array,to,read,bytes,into,param,offset,the,offset,in,the,array,to,start,storing,bytes,param,len,the,number,of,bytes,to,read;public,abstract,void,read,bytes,byte,b,int,offset,int,len,throws,ioexception
StreamInput -> public abstract void readBytes(byte[] b, int offset, int len) throws IOException_;1548943934;Reads a specified number of bytes into an array at the specified offset.__@param b      the array to read bytes into_@param offset the offset in the array to start storing bytes_@param len    the number of bytes to read;public abstract void readBytes(byte[] b, int offset, int len) throws IOException_;reads,a,specified,number,of,bytes,into,an,array,at,the,specified,offset,param,b,the,array,to,read,bytes,into,param,offset,the,offset,in,the,array,to,start,storing,bytes,param,len,the,number,of,bytes,to,read;public,abstract,void,read,bytes,byte,b,int,offset,int,len,throws,ioexception
StreamInput -> public abstract void readBytes(byte[] b, int offset, int len) throws IOException_;1549336917;Reads a specified number of bytes into an array at the specified offset.__@param b      the array to read bytes into_@param offset the offset in the array to start storing bytes_@param len    the number of bytes to read;public abstract void readBytes(byte[] b, int offset, int len) throws IOException_;reads,a,specified,number,of,bytes,into,an,array,at,the,specified,offset,param,b,the,array,to,read,bytes,into,param,offset,the,offset,in,the,array,to,start,storing,bytes,param,len,the,number,of,bytes,to,read;public,abstract,void,read,bytes,byte,b,int,offset,int,len,throws,ioexception
StreamInput -> private int readArraySize() throws IOException;1524684173;Reads a vint via {@link #readVInt()} and applies basic checks to ensure the read array size is sane._This method uses {@link #ensureCanReadBytes(int)} to ensure this stream has enough bytes to read for the read array size.;private int readArraySize() throws IOException {_        final int arraySize = readVInt()__        if (arraySize > ArrayUtil.MAX_ARRAY_LENGTH) {_            throw new IllegalStateException("array length must be <= to " + ArrayUtil.MAX_ARRAY_LENGTH  + " but was: " + arraySize)__        }_        if (arraySize < 0) {_            throw new NegativeArraySizeException("array size must be positive but was: " + arraySize)__        }_        _        _        _        ensureCanReadBytes(arraySize)__        return arraySize__    };reads,a,vint,via,link,read,vint,and,applies,basic,checks,to,ensure,the,read,array,size,is,sane,this,method,uses,link,ensure,can,read,bytes,int,to,ensure,this,stream,has,enough,bytes,to,read,for,the,read,array,size;private,int,read,array,size,throws,ioexception,final,int,array,size,read,vint,if,array,size,array,util,throw,new,illegal,state,exception,array,length,must,be,to,array,util,but,was,array,size,if,array,size,0,throw,new,negative,array,size,exception,array,size,must,be,positive,but,was,array,size,ensure,can,read,bytes,array,size,return,array,size
StreamInput -> private int readArraySize() throws IOException;1526449283;Reads a vint via {@link #readVInt()} and applies basic checks to ensure the read array size is sane._This method uses {@link #ensureCanReadBytes(int)} to ensure this stream has enough bytes to read for the read array size.;private int readArraySize() throws IOException {_        final int arraySize = readVInt()__        if (arraySize > ArrayUtil.MAX_ARRAY_LENGTH) {_            throw new IllegalStateException("array length must be <= to " + ArrayUtil.MAX_ARRAY_LENGTH  + " but was: " + arraySize)__        }_        if (arraySize < 0) {_            throw new NegativeArraySizeException("array size must be positive but was: " + arraySize)__        }_        _        _        _        ensureCanReadBytes(arraySize)__        return arraySize__    };reads,a,vint,via,link,read,vint,and,applies,basic,checks,to,ensure,the,read,array,size,is,sane,this,method,uses,link,ensure,can,read,bytes,int,to,ensure,this,stream,has,enough,bytes,to,read,for,the,read,array,size;private,int,read,array,size,throws,ioexception,final,int,array,size,read,vint,if,array,size,array,util,throw,new,illegal,state,exception,array,length,must,be,to,array,util,but,was,array,size,if,array,size,0,throw,new,negative,array,size,exception,array,size,must,be,positive,but,was,array,size,ensure,can,read,bytes,array,size,return,array,size
