# id;timestamp;commentText;codeText;commentWords;codeWords
FixedBackOff -> public void setMaxAttempts(long maxAttempts);1404935612;Set the maximal number of attempts in milliseconds.;public void setMaxAttempts(long maxAttempts) {_		this.maxAttempts = maxAttempts__	};set,the,maximal,number,of,attempts,in,milliseconds;public,void,set,max,attempts,long,max,attempts,this,max,attempts,max,attempts
FixedBackOff -> public void setMaxAttempts(long maxAttempts);1411910790;Set the maximum number of attempts in milliseconds.;public void setMaxAttempts(long maxAttempts) {_		this.maxAttempts = maxAttempts__	};set,the,maximum,number,of,attempts,in,milliseconds;public,void,set,max,attempts,long,max,attempts,this,max,attempts,max,attempts
FixedBackOff -> public void setMaxAttempts(long maxAttempts);1454612400;Set the maximum number of attempts in milliseconds.;public void setMaxAttempts(long maxAttempts) {_		this.maxAttempts = maxAttempts__	};set,the,maximum,number,of,attempts,in,milliseconds;public,void,set,max,attempts,long,max,attempts,this,max,attempts,max,attempts
FixedBackOff -> public void setMaxAttempts(long maxAttempts);1530174524;Set the maximum number of attempts in milliseconds.;public void setMaxAttempts(long maxAttempts) {_		this.maxAttempts = maxAttempts__	};set,the,maximum,number,of,attempts,in,milliseconds;public,void,set,max,attempts,long,max,attempts,this,max,attempts,max,attempts
FixedBackOff -> public long getMaxAttempts();1404935612;Return the maximal number of attempts in milliseconds.;public long getMaxAttempts() {_		return maxAttempts__	};return,the,maximal,number,of,attempts,in,milliseconds;public,long,get,max,attempts,return,max,attempts
FixedBackOff -> public long getMaxAttempts();1411910790;Return the maximum number of attempts in milliseconds.;public long getMaxAttempts() {_		return maxAttempts__	};return,the,maximum,number,of,attempts,in,milliseconds;public,long,get,max,attempts,return,max,attempts
FixedBackOff -> public long getMaxAttempts();1454612400;Return the maximum number of attempts in milliseconds.;public long getMaxAttempts() {_		return maxAttempts__	};return,the,maximum,number,of,attempts,in,milliseconds;public,long,get,max,attempts,return,max,attempts
FixedBackOff -> public long getMaxAttempts();1530174524;Return the maximum number of attempts in milliseconds.;public long getMaxAttempts() {_		return this.maxAttempts__	};return,the,maximum,number,of,attempts,in,milliseconds;public,long,get,max,attempts,return,this,max,attempts
FixedBackOff -> public FixedBackOff();1404935612;Create an instance with an interval of {@value #DEFAULT_INTERVAL}_ms and an unlimited number of attempts.;public FixedBackOff() {_	};create,an,instance,with,an,interval,of,value,ms,and,an,unlimited,number,of,attempts;public,fixed,back,off
FixedBackOff -> public FixedBackOff();1411910790;Create an instance with an interval of {@value #DEFAULT_INTERVAL}_ms and an unlimited number of attempts.;public FixedBackOff() {_	};create,an,instance,with,an,interval,of,value,ms,and,an,unlimited,number,of,attempts;public,fixed,back,off
FixedBackOff -> public FixedBackOff();1454612400;Create an instance with an interval of {@value #DEFAULT_INTERVAL}_ms and an unlimited number of attempts.;public FixedBackOff() {_	};create,an,instance,with,an,interval,of,value,ms,and,an,unlimited,number,of,attempts;public,fixed,back,off
FixedBackOff -> public FixedBackOff();1530174524;Create an instance with an interval of {@value #DEFAULT_INTERVAL}_ms and an unlimited number of attempts.;public FixedBackOff() {_	};create,an,instance,with,an,interval,of,value,ms,and,an,unlimited,number,of,attempts;public,fixed,back,off
FixedBackOff -> public FixedBackOff(long interval, long maxAttempts);1404935612;Create an instance._@param interval the interval between two attempts_@param maxAttempts the maximal number of attempts;public FixedBackOff(long interval, long maxAttempts) {_		this.interval = interval__		this.maxAttempts = maxAttempts__	};create,an,instance,param,interval,the,interval,between,two,attempts,param,max,attempts,the,maximal,number,of,attempts;public,fixed,back,off,long,interval,long,max,attempts,this,interval,interval,this,max,attempts,max,attempts
