# id;timestamp;commentText;codeText;commentWords;codeWords
MockEndpoint -> public void expectedHeaderReceived(final String name, final Object value);1549264559;Sets an expectation that the given header name & value are received by this endpoint_<p/>_You can set multiple expectations for different header names._If you set a value of <tt>null</tt> that means we accept either the header is absent, or its value is <tt>null</tt>_<p/>_<b>Important:</b> This overrides any previous set value using {@link #expectedMessageCount(int)};public void expectedHeaderReceived(final String name, final Object value) {_        if (expectedMinimumCount == -1) {_            expectedMinimumMessageCount(1)__        }_        if (expectedHeaderValues == null) {_            expectedHeaderValues = getCamelContext().getHeadersMapFactory().newMap()__            _            expects(new Runnable() {_                public void run() {_                    for (int i = 0_ i < getReceivedExchanges().size()_ i++) {_                        Exchange exchange = getReceivedExchange(i)__                        for (Map.Entry<String, Object> entry : expectedHeaderValues.entrySet()) {_                            String key = entry.getKey()__                            Object expectedValue = entry.getValue()___                            _                            if (expectedValue != null) {_                                assertTrue("Exchange " + i + " has no headers", exchange.getIn().hasHeaders())__                                boolean hasKey = exchange.getIn().getHeaders().containsKey(key)__                                assertTrue("No header with name " + key + " found for message: " + i, hasKey)__                            }__                            Object actualValue = exchange.getIn().getHeader(key)__                            actualValue = extractActualValue(exchange, actualValue, expectedValue)___                            assertEquals("Header with name " + key + " for message: " + i, expectedValue, actualValue)__                        }_                    }_                }_            })__        }_        expectedHeaderValues.put(name, value)__    };sets,an,expectation,that,the,given,header,name,value,are,received,by,this,endpoint,p,you,can,set,multiple,expectations,for,different,header,names,if,you,set,a,value,of,tt,null,tt,that,means,we,accept,either,the,header,is,absent,or,its,value,is,tt,null,tt,p,b,important,b,this,overrides,any,previous,set,value,using,link,expected,message,count,int;public,void,expected,header,received,final,string,name,final,object,value,if,expected,minimum,count,1,expected,minimum,message,count,1,if,expected,header,values,null,expected,header,values,get,camel,context,get,headers,map,factory,new,map,expects,new,runnable,public,void,run,for,int,i,0,i,get,received,exchanges,size,i,exchange,exchange,get,received,exchange,i,for,map,entry,string,object,entry,expected,header,values,entry,set,string,key,entry,get,key,object,expected,value,entry,get,value,if,expected,value,null,assert,true,exchange,i,has,no,headers,exchange,get,in,has,headers,boolean,has,key,exchange,get,in,get,headers,contains,key,key,assert,true,no,header,with,name,key,found,for,message,i,has,key,object,actual,value,exchange,get,in,get,header,key,actual,value,extract,actual,value,exchange,actual,value,expected,value,assert,equals,header,with,name,key,for,message,i,expected,value,actual,value,expected,header,values,put,name,value
MockEndpoint -> public void expectedHeaderReceived(final String name, final Object value);1549433221;Sets an expectation that the given header name & value are received by this endpoint_<p/>_You can set multiple expectations for different header names._If you set a value of <tt>null</tt> that means we accept either the header is absent, or its value is <tt>null</tt>;public void expectedHeaderReceived(final String name, final Object value) {_        if (expectedMinimumCount == -1 && expectedCount <= 0) {_            expectedMinimumMessageCount(1)__        }_        if (expectedHeaderValues == null) {_            expectedHeaderValues = getCamelContext().getHeadersMapFactory().newMap()__            _            expects(new Runnable() {_                public void run() {_                    for (int i = 0_ i < getReceivedExchanges().size()_ i++) {_                        Exchange exchange = getReceivedExchange(i)__                        for (Map.Entry<String, Object> entry : expectedHeaderValues.entrySet()) {_                            String key = entry.getKey()__                            Object expectedValue = entry.getValue()___                            _                            if (expectedValue != null) {_                                assertTrue("Exchange " + i + " has no headers", exchange.getIn().hasHeaders())__                                boolean hasKey = exchange.getIn().getHeaders().containsKey(key)__                                assertTrue("No header with name " + key + " found for message: " + i, hasKey)__                            }__                            Object actualValue = exchange.getIn().getHeader(key)__                            actualValue = extractActualValue(exchange, actualValue, expectedValue)___                            assertEquals("Header with name " + key + " for message: " + i, expectedValue, actualValue)__                        }_                    }_                }_            })__        }_        expectedHeaderValues.put(name, value)__    };sets,an,expectation,that,the,given,header,name,value,are,received,by,this,endpoint,p,you,can,set,multiple,expectations,for,different,header,names,if,you,set,a,value,of,tt,null,tt,that,means,we,accept,either,the,header,is,absent,or,its,value,is,tt,null,tt;public,void,expected,header,received,final,string,name,final,object,value,if,expected,minimum,count,1,expected,count,0,expected,minimum,message,count,1,if,expected,header,values,null,expected,header,values,get,camel,context,get,headers,map,factory,new,map,expects,new,runnable,public,void,run,for,int,i,0,i,get,received,exchanges,size,i,exchange,exchange,get,received,exchange,i,for,map,entry,string,object,entry,expected,header,values,entry,set,string,key,entry,get,key,object,expected,value,entry,get,value,if,expected,value,null,assert,true,exchange,i,has,no,headers,exchange,get,in,has,headers,boolean,has,key,exchange,get,in,get,headers,contains,key,key,assert,true,no,header,with,name,key,found,for,message,i,has,key,object,actual,value,exchange,get,in,get,header,key,actual,value,extract,actual,value,exchange,actual,value,expected,value,assert,equals,header,with,name,key,for,message,i,expected,value,actual,value,expected,header,values,put,name,value
MockEndpoint -> public void expectedHeaderReceived(final String name, final Object value);1550749310;Sets an expectation that the given header name & value are received by this endpoint_<p/>_You can set multiple expectations for different header names._If you set a value of <tt>null</tt> that means we accept either the header is absent, or its value is <tt>null</tt>;public void expectedHeaderReceived(final String name, final Object value) {_        if (expectedMinimumCount == -1 && expectedCount <= 0) {_            expectedMinimumMessageCount(1)__        }_        if (expectedHeaderValues == null) {_            expectedHeaderValues = getCamelContext().getHeadersMapFactory().newMap()__            _            expects(new Runnable() {_                public void run() {_                    for (int i = 0_ i < getReceivedExchanges().size()_ i++) {_                        Exchange exchange = getReceivedExchange(i)__                        for (Map.Entry<String, Object> entry : expectedHeaderValues.entrySet()) {_                            String key = entry.getKey()__                            Object expectedValue = entry.getValue()___                            _                            if (expectedValue != null) {_                                assertTrue("Exchange " + i + " has no headers", exchange.getIn().hasHeaders())__                                boolean hasKey = exchange.getIn().getHeaders().containsKey(key)__                                assertTrue("No header with name " + key + " found for message: " + i, hasKey)__                            }__                            Object actualValue = exchange.getIn().getHeader(key)__                            actualValue = extractActualValue(exchange, actualValue, expectedValue)___                            assertEquals("Header with name " + key + " for message: " + i, expectedValue, actualValue)__                        }_                    }_                }_            })__        }_        expectedHeaderValues.put(name, value)__    };sets,an,expectation,that,the,given,header,name,value,are,received,by,this,endpoint,p,you,can,set,multiple,expectations,for,different,header,names,if,you,set,a,value,of,tt,null,tt,that,means,we,accept,either,the,header,is,absent,or,its,value,is,tt,null,tt;public,void,expected,header,received,final,string,name,final,object,value,if,expected,minimum,count,1,expected,count,0,expected,minimum,message,count,1,if,expected,header,values,null,expected,header,values,get,camel,context,get,headers,map,factory,new,map,expects,new,runnable,public,void,run,for,int,i,0,i,get,received,exchanges,size,i,exchange,exchange,get,received,exchange,i,for,map,entry,string,object,entry,expected,header,values,entry,set,string,key,entry,get,key,object,expected,value,entry,get,value,if,expected,value,null,assert,true,exchange,i,has,no,headers,exchange,get,in,has,headers,boolean,has,key,exchange,get,in,get,headers,contains,key,key,assert,true,no,header,with,name,key,found,for,message,i,has,key,object,actual,value,exchange,get,in,get,header,key,actual,value,extract,actual,value,exchange,actual,value,expected,value,assert,equals,header,with,name,key,for,message,i,expected,value,actual,value,expected,header,values,put,name,value
MockEndpoint -> public void setExpectedMessageCount(int expectedCount);1549264559;@see #setExpectedCount(int);public void setExpectedMessageCount(int expectedCount) {_        this.expectedCount = expectedCount__        if (expectedCount <= 0) {_            latch = null__        } else {_            latch = new CountDownLatch(expectedCount)__        }_    };see,set,expected,count,int;public,void,set,expected,message,count,int,expected,count,this,expected,count,expected,count,if,expected,count,0,latch,null,else,latch,new,count,down,latch,expected,count
MockEndpoint -> public void setExpectedMessageCount(int expectedCount);1549433221;@see #setExpectedCount(int);public void setExpectedMessageCount(int expectedCount) {_        this.expectedCount = expectedCount__        if (expectedCount <= 0) {_            latch = null__        } else {_            latch = new CountDownLatch(expectedCount)__        }_    };see,set,expected,count,int;public,void,set,expected,message,count,int,expected,count,this,expected,count,expected,count,if,expected,count,0,latch,null,else,latch,new,count,down,latch,expected,count
MockEndpoint -> public void setExpectedMessageCount(int expectedCount);1550749310;@see #setExpectedCount(int);public void setExpectedMessageCount(int expectedCount) {_        this.expectedCount = expectedCount__        if (expectedCount <= 0) {_            latch = null__        } else {_            latch = new CountDownLatch(expectedCount)__        }_    };see,set,expected,count,int;public,void,set,expected,message,count,int,expected,count,this,expected,count,expected,count,if,expected,count,0,latch,null,else,latch,new,count,down,latch,expected,count
MockEndpoint -> public void expects(Runnable runnable);1549264559;Adds the expectation which will be invoked when enough messages are received;public void expects(Runnable runnable) {_        tests.add(runnable)__    };adds,the,expectation,which,will,be,invoked,when,enough,messages,are,received;public,void,expects,runnable,runnable,tests,add,runnable
MockEndpoint -> public void expects(Runnable runnable);1549433221;Adds the expectation which will be invoked when enough messages are received;public void expects(Runnable runnable) {_        tests.add(runnable)__    };adds,the,expectation,which,will,be,invoked,when,enough,messages,are,received;public,void,expects,runnable,runnable,tests,add,runnable
MockEndpoint -> public void expects(Runnable runnable);1550749310;Adds the expectation which will be invoked when enough messages are received;public void expects(Runnable runnable) {_        tests.add(runnable)__    };adds,the,expectation,which,will,be,invoked,when,enough,messages,are,received;public,void,expects,runnable,runnable,tests,add,runnable
MockEndpoint -> protected void addReceivedExchange(Exchange copy);1549264559;Adds the received exchange.__@param copy  a copy of the received exchange;protected void addReceivedExchange(Exchange copy) {_        if (retainFirst == 0 && retainLast == 0) {_            _        } else if (retainFirst < 0 && retainLast < 0) {_            _            receivedExchanges.add(copy)__        } else {_            _            if (retainFirst > 0 && counter < retainFirst) {_                _                receivedExchanges.add(copy)__            } else if (retainLast > 0) {_                _                int index = receivedExchanges.size() - retainLast__                if (index >= 0) {_                    _                    _                    if (retainFirst <= 0 || retainFirst <= index) {_                        receivedExchanges.remove(index)__                    }_                }_                _                receivedExchanges.add(copy)__            }_        }_    };adds,the,received,exchange,param,copy,a,copy,of,the,received,exchange;protected,void,add,received,exchange,exchange,copy,if,retain,first,0,retain,last,0,else,if,retain,first,0,retain,last,0,received,exchanges,add,copy,else,if,retain,first,0,counter,retain,first,received,exchanges,add,copy,else,if,retain,last,0,int,index,received,exchanges,size,retain,last,if,index,0,if,retain,first,0,retain,first,index,received,exchanges,remove,index,received,exchanges,add,copy
MockEndpoint -> protected void addReceivedExchange(Exchange copy);1549433221;Adds the received exchange.__@param copy  a copy of the received exchange;protected void addReceivedExchange(Exchange copy) {_        if (retainFirst == 0 && retainLast == 0) {_            _        } else if (retainFirst < 0 && retainLast < 0) {_            _            receivedExchanges.add(copy)__        } else {_            _            if (retainFirst > 0 && counter < retainFirst) {_                _                receivedExchanges.add(copy)__            } else if (retainLast > 0) {_                _                int index = receivedExchanges.size() - retainLast__                if (index >= 0) {_                    _                    _                    if (retainFirst <= 0 || retainFirst <= index) {_                        receivedExchanges.remove(index)__                    }_                }_                _                receivedExchanges.add(copy)__            }_        }_    };adds,the,received,exchange,param,copy,a,copy,of,the,received,exchange;protected,void,add,received,exchange,exchange,copy,if,retain,first,0,retain,last,0,else,if,retain,first,0,retain,last,0,received,exchanges,add,copy,else,if,retain,first,0,counter,retain,first,received,exchanges,add,copy,else,if,retain,last,0,int,index,received,exchanges,size,retain,last,if,index,0,if,retain,first,0,retain,first,index,received,exchanges,remove,index,received,exchanges,add,copy
