# id;timestamp;commentText;codeText;commentWords;codeWords
MultipartFileResource -> @Override 	public boolean isOpen();1526303073;This implementation always returns {@code true}.;@Override_	public boolean isOpen() {_		return true__	};this,implementation,always,returns,code,true;override,public,boolean,is,open,return,true
MultipartFileResource -> @Override 	public boolean isOpen();1528929756;This implementation always returns {@code true}.;@Override_	public boolean isOpen() {_		return true__	};this,implementation,always,returns,code,true;override,public,boolean,is,open,return,true
MultipartFileResource -> @Override 	public boolean isOpen();1530190293;This implementation always returns {@code true}.;@Override_	public boolean isOpen() {_		return true__	};this,implementation,always,returns,code,true;override,public,boolean,is,open,return,true
MultipartFileResource -> @Override 	public String getDescription();1526303073;This implementation returns a description that has the Multipart name.;@Override_	public String getDescription() {_		return "MultipartFile resource [" + this.multipartFile.getName() + "]"__	};this,implementation,returns,a,description,that,has,the,multipart,name;override,public,string,get,description,return,multipart,file,resource,this,multipart,file,get,name
MultipartFileResource -> @Override 	public String getDescription();1528929756;This implementation returns a description that has the Multipart name.;@Override_	public String getDescription() {_		return "MultipartFile resource [" + this.multipartFile.getName() + "]"__	};this,implementation,returns,a,description,that,has,the,multipart,name;override,public,string,get,description,return,multipart,file,resource,this,multipart,file,get,name
MultipartFileResource -> @Override 	public String getDescription();1530190293;This implementation returns a description that has the Multipart name.;@Override_	public String getDescription() {_		return "MultipartFile resource [" + this.multipartFile.getName() + "]"__	};this,implementation,returns,a,description,that,has,the,multipart,name;override,public,string,get,description,return,multipart,file,resource,this,multipart,file,get,name
MultipartFileResource -> @Override 	public InputStream getInputStream() throws IOException, IllegalStateException;1526303073;This implementation throws IllegalStateException if attempting to_read the underlying stream multiple times.;@Override_	public InputStream getInputStream() throws IOException, IllegalStateException {_		return this.multipartFile.getInputStream()__	};this,implementation,throws,illegal,state,exception,if,attempting,to,read,the,underlying,stream,multiple,times;override,public,input,stream,get,input,stream,throws,ioexception,illegal,state,exception,return,this,multipart,file,get,input,stream
MultipartFileResource -> @Override 	public InputStream getInputStream() throws IOException, IllegalStateException;1528929756;This implementation throws IllegalStateException if attempting to_read the underlying stream multiple times.;@Override_	public InputStream getInputStream() throws IOException, IllegalStateException {_		return this.multipartFile.getInputStream()__	};this,implementation,throws,illegal,state,exception,if,attempting,to,read,the,underlying,stream,multiple,times;override,public,input,stream,get,input,stream,throws,ioexception,illegal,state,exception,return,this,multipart,file,get,input,stream
MultipartFileResource -> @Override 	public InputStream getInputStream() throws IOException, IllegalStateException;1530190293;This implementation throws IllegalStateException if attempting to_read the underlying stream multiple times.;@Override_	public InputStream getInputStream() throws IOException, IllegalStateException {_		return this.multipartFile.getInputStream()__	};this,implementation,throws,illegal,state,exception,if,attempting,to,read,the,underlying,stream,multiple,times;override,public,input,stream,get,input,stream,throws,ioexception,illegal,state,exception,return,this,multipart,file,get,input,stream
MultipartFileResource -> @Override 	public boolean exists();1526303073;This implementation always returns {@code true}.;@Override_	public boolean exists() {_		return true__	};this,implementation,always,returns,code,true;override,public,boolean,exists,return,true
MultipartFileResource -> @Override 	public boolean exists();1528929756;This implementation always returns {@code true}.;@Override_	public boolean exists() {_		return true__	};this,implementation,always,returns,code,true;override,public,boolean,exists,return,true
MultipartFileResource -> @Override 	public boolean exists();1530190293;This implementation always returns {@code true}.;@Override_	public boolean exists() {_		return true__	};this,implementation,always,returns,code,true;override,public,boolean,exists,return,true
