# id;timestamp;commentText;codeText;commentWords;codeWords
TypeMismatchException -> @Override 	public Object getValue();1328020251;Return the offending value (may be <code>null</code>);@Override_	public Object getValue() {_		return this.value__	};return,the,offending,value,may,be,code,null,code;override,public,object,get,value,return,this,value
TypeMismatchException -> @Override 	public Object getValue();1356735495;Return the offending value (may be {@code null});@Override_	public Object getValue() {_		return this.value__	};return,the,offending,value,may,be,code,null;override,public,object,get,value,return,this,value
TypeMismatchException -> @Override 	public Object getValue();1357119239;Return the offending value (may be {@code null});@Override_	public Object getValue() {_		return this.value__	};return,the,offending,value,may,be,code,null;override,public,object,get,value,return,this,value
TypeMismatchException -> @Override 	public Object getValue();1368482696;Return the offending value (may be {@code null});@Override_	public Object getValue() {_		return this.value__	};return,the,offending,value,may,be,code,null;override,public,object,get,value,return,this,value
TypeMismatchException -> @Override 	public Object getValue();1385412762;Return the offending value (may be {@code null});@Override_	public Object getValue() {_		return this.value__	};return,the,offending,value,may,be,code,null;override,public,object,get,value,return,this,value
TypeMismatchException -> @Override 	public Object getValue();1448982611;Return the offending value (may be {@code null}).;@Override_	public Object getValue() {_		return this.value__	};return,the,offending,value,may,be,code,null;override,public,object,get,value,return,this,value
TypeMismatchException -> @Override 	public Object getValue();1477690745;Return the offending value (may be {@code null}).;@Override_	public Object getValue() {_		return this.value__	};return,the,offending,value,may,be,code,null;override,public,object,get,value,return,this,value
TypeMismatchException -> @Override 	public Object getValue();1495868221;Return the offending value (may be {@code null}).;@Override_	public Object getValue() {_		return this.value__	};return,the,offending,value,may,be,code,null;override,public,object,get,value,return,this,value
TypeMismatchException -> @Override 	public Object getValue();1496837955;Return the offending value (may be {@code null}).;@Override_	public Object getValue() {_		return this.value__	};return,the,offending,value,may,be,code,null;override,public,object,get,value,return,this,value
TypeMismatchException -> public TypeMismatchException(PropertyChangeEvent propertyChangeEvent, Class requiredType);1328020251;Create a new TypeMismatchException._@param propertyChangeEvent the PropertyChangeEvent that resulted in the problem_@param requiredType the required target type;public TypeMismatchException(PropertyChangeEvent propertyChangeEvent, Class requiredType) {_		this(propertyChangeEvent, requiredType, null)__	};create,a,new,type,mismatch,exception,param,property,change,event,the,property,change,event,that,resulted,in,the,problem,param,required,type,the,required,target,type;public,type,mismatch,exception,property,change,event,property,change,event,class,required,type,this,property,change,event,required,type,null
TypeMismatchException -> public TypeMismatchException(PropertyChangeEvent propertyChangeEvent, Class requiredType);1356735495;Create a new TypeMismatchException._@param propertyChangeEvent the PropertyChangeEvent that resulted in the problem_@param requiredType the required target type;public TypeMismatchException(PropertyChangeEvent propertyChangeEvent, Class requiredType) {_		this(propertyChangeEvent, requiredType, null)__	};create,a,new,type,mismatch,exception,param,property,change,event,the,property,change,event,that,resulted,in,the,problem,param,required,type,the,required,target,type;public,type,mismatch,exception,property,change,event,property,change,event,class,required,type,this,property,change,event,required,type,null
