# id;timestamp;commentText;codeText;commentWords;codeWords
StaticScriptSource -> public StaticScriptSource(String script);1328020251;Create a new StaticScriptSource for the given script._@param script the script String;public StaticScriptSource(String script) {_		setScript(script)__	};create,a,new,static,script,source,for,the,given,script,param,script,the,script,string;public,static,script,source,string,script,set,script,script
StaticScriptSource -> public StaticScriptSource(String script);1356735495;Create a new StaticScriptSource for the given script._@param script the script String;public StaticScriptSource(String script) {_		setScript(script)__	};create,a,new,static,script,source,for,the,given,script,param,script,the,script,string;public,static,script,source,string,script,set,script,script
StaticScriptSource -> public StaticScriptSource(String script);1357119239;Create a new StaticScriptSource for the given script._@param script the script String;public StaticScriptSource(String script) {_		setScript(script)__	};create,a,new,static,script,source,for,the,given,script,param,script,the,script,string;public,static,script,source,string,script,set,script,script
StaticScriptSource -> public StaticScriptSource(String script);1368482696;Create a new StaticScriptSource for the given script._@param script the script String;public StaticScriptSource(String script) {_		setScript(script)__	};create,a,new,static,script,source,for,the,given,script,param,script,the,script,string;public,static,script,source,string,script,set,script,script
StaticScriptSource -> public StaticScriptSource(String script);1495868221;Create a new StaticScriptSource for the given script._@param script the script String;public StaticScriptSource(String script) {_		setScript(script)__	};create,a,new,static,script,source,for,the,given,script,param,script,the,script,string;public,static,script,source,string,script,set,script,script
StaticScriptSource -> public StaticScriptSource(String script);1498780456;Create a new StaticScriptSource for the given script._@param script the script String;public StaticScriptSource(String script) {_		setScript(script)__	};create,a,new,static,script,source,for,the,given,script,param,script,the,script,string;public,static,script,source,string,script,set,script,script
StaticScriptSource -> public StaticScriptSource(String script);1502974979;Create a new StaticScriptSource for the given script._@param script the script String;public StaticScriptSource(String script) {_		setScript(script)__	};create,a,new,static,script,source,for,the,given,script,param,script,the,script,string;public,static,script,source,string,script,set,script,script
StaticScriptSource -> public StaticScriptSource(String script, @Nullable String className);1495868221;Create a new StaticScriptSource for the given script._@param script the script String_@param className the suggested class name for the script_(may be {@code null});public StaticScriptSource(String script, @Nullable String className) {_		setScript(script)__		this.className = className__	};create,a,new,static,script,source,for,the,given,script,param,script,the,script,string,param,class,name,the,suggested,class,name,for,the,script,may,be,code,null;public,static,script,source,string,script,nullable,string,class,name,set,script,script,this,class,name,class,name
StaticScriptSource -> public StaticScriptSource(String script, @Nullable String className);1498780456;Create a new StaticScriptSource for the given script._@param script the script String_@param className the suggested class name for the script_(may be {@code null});public StaticScriptSource(String script, @Nullable String className) {_		setScript(script)__		this.className = className__	};create,a,new,static,script,source,for,the,given,script,param,script,the,script,string,param,class,name,the,suggested,class,name,for,the,script,may,be,code,null;public,static,script,source,string,script,nullable,string,class,name,set,script,script,this,class,name,class,name
StaticScriptSource -> public StaticScriptSource(String script, @Nullable String className);1502974979;Create a new StaticScriptSource for the given script._@param script the script String_@param className the suggested class name for the script_(may be {@code null});public StaticScriptSource(String script, @Nullable String className) {_		setScript(script)__		this.className = className__	};create,a,new,static,script,source,for,the,given,script,param,script,the,script,string,param,class,name,the,suggested,class,name,for,the,script,may,be,code,null;public,static,script,source,string,script,nullable,string,class,name,set,script,script,this,class,name,class,name
StaticScriptSource -> public StaticScriptSource(String script, String className);1328020251;Create a new StaticScriptSource for the given script._@param script the script String_@param className the suggested class name for the script_(may be <code>null</code>);public StaticScriptSource(String script, String className) {_		setScript(script)__		this.className = className__	};create,a,new,static,script,source,for,the,given,script,param,script,the,script,string,param,class,name,the,suggested,class,name,for,the,script,may,be,code,null,code;public,static,script,source,string,script,string,class,name,set,script,script,this,class,name,class,name
StaticScriptSource -> public StaticScriptSource(String script, String className);1356735495;Create a new StaticScriptSource for the given script._@param script the script String_@param className the suggested class name for the script_(may be {@code null});public StaticScriptSource(String script, String className) {_		setScript(script)__		this.className = className__	};create,a,new,static,script,source,for,the,given,script,param,script,the,script,string,param,class,name,the,suggested,class,name,for,the,script,may,be,code,null;public,static,script,source,string,script,string,class,name,set,script,script,this,class,name,class,name
StaticScriptSource -> public StaticScriptSource(String script, String className);1357119239;Create a new StaticScriptSource for the given script._@param script the script String_@param className the suggested class name for the script_(may be {@code null});public StaticScriptSource(String script, String className) {_		setScript(script)__		this.className = className__	};create,a,new,static,script,source,for,the,given,script,param,script,the,script,string,param,class,name,the,suggested,class,name,for,the,script,may,be,code,null;public,static,script,source,string,script,string,class,name,set,script,script,this,class,name,class,name
StaticScriptSource -> public StaticScriptSource(String script, String className);1368482696;Create a new StaticScriptSource for the given script._@param script the script String_@param className the suggested class name for the script_(may be {@code null});public StaticScriptSource(String script, String className) {_		setScript(script)__		this.className = className__	};create,a,new,static,script,source,for,the,given,script,param,script,the,script,string,param,class,name,the,suggested,class,name,for,the,script,may,be,code,null;public,static,script,source,string,script,string,class,name,set,script,script,this,class,name,class,name
StaticScriptSource -> public synchronized void setScript(String script);1328020251;Set a fresh script String, overriding the previous script._@param script the script String;public synchronized void setScript(String script) {_		Assert.hasText(script, "Script must not be empty")__		this.modified = !script.equals(this.script)__		this.script = script__	};set,a,fresh,script,string,overriding,the,previous,script,param,script,the,script,string;public,synchronized,void,set,script,string,script,assert,has,text,script,script,must,not,be,empty,this,modified,script,equals,this,script,this,script,script
StaticScriptSource -> public synchronized void setScript(String script);1356735495;Set a fresh script String, overriding the previous script._@param script the script String;public synchronized void setScript(String script) {_		Assert.hasText(script, "Script must not be empty")__		this.modified = !script.equals(this.script)__		this.script = script__	};set,a,fresh,script,string,overriding,the,previous,script,param,script,the,script,string;public,synchronized,void,set,script,string,script,assert,has,text,script,script,must,not,be,empty,this,modified,script,equals,this,script,this,script,script
StaticScriptSource -> public synchronized void setScript(String script);1357119239;Set a fresh script String, overriding the previous script._@param script the script String;public synchronized void setScript(String script) {_		Assert.hasText(script, "Script must not be empty")__		this.modified = !script.equals(this.script)__		this.script = script__	};set,a,fresh,script,string,overriding,the,previous,script,param,script,the,script,string;public,synchronized,void,set,script,string,script,assert,has,text,script,script,must,not,be,empty,this,modified,script,equals,this,script,this,script,script
StaticScriptSource -> public synchronized void setScript(String script);1368482696;Set a fresh script String, overriding the previous script._@param script the script String;public synchronized void setScript(String script) {_		Assert.hasText(script, "Script must not be empty")__		this.modified = !script.equals(this.script)__		this.script = script__	};set,a,fresh,script,string,overriding,the,previous,script,param,script,the,script,string;public,synchronized,void,set,script,string,script,assert,has,text,script,script,must,not,be,empty,this,modified,script,equals,this,script,this,script,script
StaticScriptSource -> public synchronized void setScript(String script);1495868221;Set a fresh script String, overriding the previous script._@param script the script String;public synchronized void setScript(String script) {_		Assert.hasText(script, "Script must not be empty")__		this.modified = !script.equals(this.script)__		this.script = script__	};set,a,fresh,script,string,overriding,the,previous,script,param,script,the,script,string;public,synchronized,void,set,script,string,script,assert,has,text,script,script,must,not,be,empty,this,modified,script,equals,this,script,this,script,script
StaticScriptSource -> public synchronized void setScript(String script);1498780456;Set a fresh script String, overriding the previous script._@param script the script String;public synchronized void setScript(String script) {_		Assert.hasText(script, "Script must not be empty")__		this.modified = !script.equals(this.script)__		this.script = script__	};set,a,fresh,script,string,overriding,the,previous,script,param,script,the,script,string;public,synchronized,void,set,script,string,script,assert,has,text,script,script,must,not,be,empty,this,modified,script,equals,this,script,this,script,script
StaticScriptSource -> public synchronized void setScript(String script);1502974979;Set a fresh script String, overriding the previous script._@param script the script String;public synchronized void setScript(String script) {_		Assert.hasText(script, "Script must not be empty")__		this.modified = !script.equals(this.script)__		this.script = script__	};set,a,fresh,script,string,overriding,the,previous,script,param,script,the,script,string;public,synchronized,void,set,script,string,script,assert,has,text,script,script,must,not,be,empty,this,modified,script,equals,this,script,this,script,script
