# id;timestamp;commentText;codeText;commentWords;codeWords
ResourceScriptSource -> public final Resource getResource();1328020251;Return the {@link org.springframework.core.io.Resource} to load the_script from.;public final Resource getResource() {_		return this.resource__	};return,the,link,org,springframework,core,io,resource,to,load,the,script,from;public,final,resource,get,resource,return,this,resource
ResourceScriptSource -> public final Resource getResource();1356735495;Return the {@link org.springframework.core.io.Resource} to load the_script from.;public final Resource getResource() {_		return this.resource__	};return,the,link,org,springframework,core,io,resource,to,load,the,script,from;public,final,resource,get,resource,return,this,resource
ResourceScriptSource -> public final Resource getResource();1357119239;Return the {@link org.springframework.core.io.Resource} to load the_script from.;public final Resource getResource() {_		return this.resource__	};return,the,link,org,springframework,core,io,resource,to,load,the,script,from;public,final,resource,get,resource,return,this,resource
ResourceScriptSource -> public final Resource getResource();1362408075;Return the {@link org.springframework.core.io.Resource} to load the_script from.;public final Resource getResource() {_		return this.resource__	};return,the,link,org,springframework,core,io,resource,to,load,the,script,from;public,final,resource,get,resource,return,this,resource
ResourceScriptSource -> public final Resource getResource();1368482696;Return the {@link org.springframework.core.io.Resource} to load the_script from.;public final Resource getResource() {_		return this.resource__	};return,the,link,org,springframework,core,io,resource,to,load,the,script,from;public,final,resource,get,resource,return,this,resource
ResourceScriptSource -> public final Resource getResource();1382746895;Return the {@link org.springframework.core.io.Resource} to load the_script from.;public final Resource getResource() {_		return this.resource.getResource()__	};return,the,link,org,springframework,core,io,resource,to,load,the,script,from;public,final,resource,get,resource,return,this,resource,get,resource
ResourceScriptSource -> public final Resource getResource();1384168190;Return the {@link org.springframework.core.io.Resource} to load the_script from.;public final Resource getResource() {_		return this.resource.getResource()__	};return,the,link,org,springframework,core,io,resource,to,load,the,script,from;public,final,resource,get,resource,return,this,resource,get,resource
ResourceScriptSource -> public final Resource getResource();1495868221;Return the {@link org.springframework.core.io.Resource} to load the_script from.;public final Resource getResource() {_		return this.resource.getResource()__	};return,the,link,org,springframework,core,io,resource,to,load,the,script,from;public,final,resource,get,resource,return,this,resource,get,resource
ResourceScriptSource -> public final Resource getResource();1496837955;Return the {@link org.springframework.core.io.Resource} to load the_script from.;public final Resource getResource() {_		return this.resource.getResource()__	};return,the,link,org,springframework,core,io,resource,to,load,the,script,from;public,final,resource,get,resource,return,this,resource,get,resource
ResourceScriptSource -> public final Resource getResource();1502974979;Return the {@link org.springframework.core.io.Resource} to load the_script from.;public final Resource getResource() {_		return this.resource.getResource()__	};return,the,link,org,springframework,core,io,resource,to,load,the,script,from;public,final,resource,get,resource,return,this,resource,get,resource
ResourceScriptSource -> public final Resource getResource();1530174524;Return the {@link org.springframework.core.io.Resource} to load the_script from.;public final Resource getResource() {_		return this.resource.getResource()__	};return,the,link,org,springframework,core,io,resource,to,load,the,script,from;public,final,resource,get,resource,return,this,resource,get,resource
ResourceScriptSource -> public void setEncoding(@Nullable String encoding);1495868221;Set the encoding used for reading the script resource._<p>The default value for regular Resources is "UTF-8"._A {@code null} value implies the platform default.;public void setEncoding(@Nullable String encoding) {_		this.resource = new EncodedResource(this.resource.getResource(), encoding)__	};set,the,encoding,used,for,reading,the,script,resource,p,the,default,value,for,regular,resources,is,utf,8,a,code,null,value,implies,the,platform,default;public,void,set,encoding,nullable,string,encoding,this,resource,new,encoded,resource,this,resource,get,resource,encoding
ResourceScriptSource -> public void setEncoding(@Nullable String encoding);1496837955;Set the encoding used for reading the script resource._<p>The default value for regular Resources is "UTF-8"._A {@code null} value implies the platform default.;public void setEncoding(@Nullable String encoding) {_		this.resource = new EncodedResource(this.resource.getResource(), encoding)__	};set,the,encoding,used,for,reading,the,script,resource,p,the,default,value,for,regular,resources,is,utf,8,a,code,null,value,implies,the,platform,default;public,void,set,encoding,nullable,string,encoding,this,resource,new,encoded,resource,this,resource,get,resource,encoding
ResourceScriptSource -> public void setEncoding(@Nullable String encoding);1502974979;Set the encoding used for reading the script resource._<p>The default value for regular Resources is "UTF-8"._A {@code null} value implies the platform default.;public void setEncoding(@Nullable String encoding) {_		this.resource = new EncodedResource(this.resource.getResource(), encoding)__	};set,the,encoding,used,for,reading,the,script,resource,p,the,default,value,for,regular,resources,is,utf,8,a,code,null,value,implies,the,platform,default;public,void,set,encoding,nullable,string,encoding,this,resource,new,encoded,resource,this,resource,get,resource,encoding
ResourceScriptSource -> public void setEncoding(@Nullable String encoding);1530174524;Set the encoding used for reading the script resource._<p>The default value for regular Resources is "UTF-8"._A {@code null} value implies the platform default.;public void setEncoding(@Nullable String encoding) {_		this.resource = new EncodedResource(this.resource.getResource(), encoding)__	};set,the,encoding,used,for,reading,the,script,resource,p,the,default,value,for,regular,resources,is,utf,8,a,code,null,value,implies,the,platform,default;public,void,set,encoding,nullable,string,encoding,this,resource,new,encoded,resource,this,resource,get,resource,encoding
ResourceScriptSource -> public ResourceScriptSource(Resource resource);1328020251;Create a new ResourceScriptSource for the given resource._@param resource the Resource to load the script from;public ResourceScriptSource(Resource resource) {_		Assert.notNull(resource, "Resource must not be null")__		this.resource = resource__	};create,a,new,resource,script,source,for,the,given,resource,param,resource,the,resource,to,load,the,script,from;public,resource,script,source,resource,resource,assert,not,null,resource,resource,must,not,be,null,this,resource,resource
ResourceScriptSource -> public ResourceScriptSource(Resource resource);1356735495;Create a new ResourceScriptSource for the given resource._@param resource the Resource to load the script from;public ResourceScriptSource(Resource resource) {_		Assert.notNull(resource, "Resource must not be null")__		this.resource = resource__	};create,a,new,resource,script,source,for,the,given,resource,param,resource,the,resource,to,load,the,script,from;public,resource,script,source,resource,resource,assert,not,null,resource,resource,must,not,be,null,this,resource,resource
ResourceScriptSource -> public ResourceScriptSource(Resource resource);1357119239;Create a new ResourceScriptSource for the given resource._@param resource the Resource to load the script from;public ResourceScriptSource(Resource resource) {_		Assert.notNull(resource, "Resource must not be null")__		this.resource = resource__	};create,a,new,resource,script,source,for,the,given,resource,param,resource,the,resource,to,load,the,script,from;public,resource,script,source,resource,resource,assert,not,null,resource,resource,must,not,be,null,this,resource,resource
ResourceScriptSource -> public ResourceScriptSource(Resource resource);1362408075;Create a new ResourceScriptSource for the given resource._@param resource the Resource to load the script from;public ResourceScriptSource(Resource resource) {_		Assert.notNull(resource, "Resource must not be null")__		this.resource = resource__	};create,a,new,resource,script,source,for,the,given,resource,param,resource,the,resource,to,load,the,script,from;public,resource,script,source,resource,resource,assert,not,null,resource,resource,must,not,be,null,this,resource,resource
ResourceScriptSource -> public ResourceScriptSource(Resource resource);1368482696;Create a new ResourceScriptSource for the given resource._@param resource the Resource to load the script from;public ResourceScriptSource(Resource resource) {_		Assert.notNull(resource, "Resource must not be null")__		this.resource = resource__	};create,a,new,resource,script,source,for,the,given,resource,param,resource,the,resource,to,load,the,script,from;public,resource,script,source,resource,resource,assert,not,null,resource,resource,must,not,be,null,this,resource,resource
ResourceScriptSource -> public ResourceScriptSource(Resource resource);1382746895;Create a new ResourceScriptSource for the given resource._@param resource the Resource to load the script from (using UTF-8 encoding);public ResourceScriptSource(Resource resource) {_		Assert.notNull(resource, "Resource must not be null")__		this.resource = new EncodedResource(resource, "UTF-8")__	};create,a,new,resource,script,source,for,the,given,resource,param,resource,the,resource,to,load,the,script,from,using,utf,8,encoding;public,resource,script,source,resource,resource,assert,not,null,resource,resource,must,not,be,null,this,resource,new,encoded,resource,resource,utf,8
ResourceScriptSource -> public ResourceScriptSource(Resource resource);1384168190;Create a new ResourceScriptSource for the given resource._@param resource the Resource to load the script from (using UTF-8 encoding);public ResourceScriptSource(Resource resource) {_		Assert.notNull(resource, "Resource must not be null")__		this.resource = new EncodedResource(resource, "UTF-8")__	};create,a,new,resource,script,source,for,the,given,resource,param,resource,the,resource,to,load,the,script,from,using,utf,8,encoding;public,resource,script,source,resource,resource,assert,not,null,resource,resource,must,not,be,null,this,resource,new,encoded,resource,resource,utf,8
ResourceScriptSource -> public ResourceScriptSource(Resource resource);1495868221;Create a new ResourceScriptSource for the given resource._@param resource the Resource to load the script from (using UTF-8 encoding);public ResourceScriptSource(Resource resource) {_		Assert.notNull(resource, "Resource must not be null")__		this.resource = new EncodedResource(resource, "UTF-8")__	};create,a,new,resource,script,source,for,the,given,resource,param,resource,the,resource,to,load,the,script,from,using,utf,8,encoding;public,resource,script,source,resource,resource,assert,not,null,resource,resource,must,not,be,null,this,resource,new,encoded,resource,resource,utf,8
ResourceScriptSource -> public ResourceScriptSource(Resource resource);1496837955;Create a new ResourceScriptSource for the given resource._@param resource the Resource to load the script from (using UTF-8 encoding);public ResourceScriptSource(Resource resource) {_		Assert.notNull(resource, "Resource must not be null")__		this.resource = new EncodedResource(resource, "UTF-8")__	};create,a,new,resource,script,source,for,the,given,resource,param,resource,the,resource,to,load,the,script,from,using,utf,8,encoding;public,resource,script,source,resource,resource,assert,not,null,resource,resource,must,not,be,null,this,resource,new,encoded,resource,resource,utf,8
ResourceScriptSource -> public ResourceScriptSource(Resource resource);1502974979;Create a new ResourceScriptSource for the given resource._@param resource the Resource to load the script from (using UTF-8 encoding);public ResourceScriptSource(Resource resource) {_		Assert.notNull(resource, "Resource must not be null")__		this.resource = new EncodedResource(resource, "UTF-8")__	};create,a,new,resource,script,source,for,the,given,resource,param,resource,the,resource,to,load,the,script,from,using,utf,8,encoding;public,resource,script,source,resource,resource,assert,not,null,resource,resource,must,not,be,null,this,resource,new,encoded,resource,resource,utf,8
ResourceScriptSource -> public ResourceScriptSource(Resource resource);1530174524;Create a new ResourceScriptSource for the given resource._@param resource the Resource to load the script from (using UTF-8 encoding);public ResourceScriptSource(Resource resource) {_		Assert.notNull(resource, "Resource must not be null")__		this.resource = new EncodedResource(resource, "UTF-8")__	};create,a,new,resource,script,source,for,the,given,resource,param,resource,the,resource,to,load,the,script,from,using,utf,8,encoding;public,resource,script,source,resource,resource,assert,not,null,resource,resource,must,not,be,null,this,resource,new,encoded,resource,resource,utf,8
ResourceScriptSource -> protected long retrieveLastModifiedTime();1328020251;Retrieve the current last-modified timestamp of the underlying resource._@return the current timestamp, or 0 if not determinable;protected long retrieveLastModifiedTime() {_		try {_			return getResource().lastModified()__		} catch (IOException ex) {_			if (logger.isDebugEnabled()) {_				logger.debug(getResource() + " could not be resolved in the file system - "_						+ "current timestamp not available for script modification check", ex)__			}_			return 0__		}_	};retrieve,the,current,last,modified,timestamp,of,the,underlying,resource,return,the,current,timestamp,or,0,if,not,determinable;protected,long,retrieve,last,modified,time,try,return,get,resource,last,modified,catch,ioexception,ex,if,logger,is,debug,enabled,logger,debug,get,resource,could,not,be,resolved,in,the,file,system,current,timestamp,not,available,for,script,modification,check,ex,return,0
ResourceScriptSource -> protected long retrieveLastModifiedTime();1356735495;Retrieve the current last-modified timestamp of the underlying resource._@return the current timestamp, or 0 if not determinable;protected long retrieveLastModifiedTime() {_		try {_			return getResource().lastModified()__		} catch (IOException ex) {_			if (logger.isDebugEnabled()) {_				logger.debug(getResource() + " could not be resolved in the file system - "_						+ "current timestamp not available for script modification check", ex)__			}_			return 0__		}_	};retrieve,the,current,last,modified,timestamp,of,the,underlying,resource,return,the,current,timestamp,or,0,if,not,determinable;protected,long,retrieve,last,modified,time,try,return,get,resource,last,modified,catch,ioexception,ex,if,logger,is,debug,enabled,logger,debug,get,resource,could,not,be,resolved,in,the,file,system,current,timestamp,not,available,for,script,modification,check,ex,return,0
