commented;modifiers;parameterAmount;loc;comment;code
false;public;0;4;;@Override public ServerOptions copy() {     return new ServerOptions(this). }
false;public;1;5;;public void setDataModuleOptions(final DataModuleOptions dataModuleOptions) {     Objects.requireNonNull(dataModuleOptions).     this.dataModuleOptions = new DataModuleOptions.Builder(dataModuleOptions). }
false;public;1;3;;public void setBufferingPeriod(final Integer bufferingPeriod) {     this.bufferingPeriod = bufferingPeriod. }
false;public;0;3;;public Integer getBufferingPeriod() {     return this.bufferingPeriod. }
false;public;0;3;;// wrapper methods - DataModuleOptions public DataModuleOptions getDataModuleOptions() {     return this.dataModuleOptions.build(). }
false;public;1;3;;public void setBooleansWithTimestamp(final boolean booleansWithTimestamp) {     this.dataModuleOptions.setBooleansWithTimestamp(booleansWithTimestamp). }
false;public;0;3;;public boolean isBooleansWithTimestamp() {     return this.dataModuleOptions.isBooleansWithTimestamp(). }
false;public;1;3;;public void setFloatsWithTimestamp(final boolean floatsWithTimestamp) {     this.dataModuleOptions.setFloatsWithTimestamp(floatsWithTimestamp). }
false;public;0;3;;public boolean isFloatsWithTimestamp() {     return this.dataModuleOptions.isFloatsWithTimestamp(). }
false;public;1;3;;public void setSpontaneousDuplicates(final int spontaneousDuplicates) {     this.dataModuleOptions.setSpontaneousDuplicates(spontaneousDuplicates). }
false;public;0;3;;public int getSpontaneousDuplicates() {     return this.dataModuleOptions.getSpontaneousDuplicates(). }
false;public;1;3;;public void setBackgroundScanPeriod(final int backgroundScanPeriod) {     this.dataModuleOptions.setBackgroundScanPeriod(backgroundScanPeriod). }
false;public;0;3;;public int getBackgroundScanPeriod() {     return this.dataModuleOptions.getBackgroundScanPeriod(). }
