# id;timestamp;commentText;codeText;commentWords;codeWords
Processor -> IngestDocument execute(IngestDocument ingestDocument) throws Exception_;1536177418;Introspect and potentially modify the incoming data.;IngestDocument execute(IngestDocument ingestDocument) throws Exception_;introspect,and,potentially,modify,the,incoming,data;ingest,document,execute,ingest,document,ingest,document,throws,exception
Processor -> IngestDocument execute(IngestDocument ingestDocument) throws Exception_;1548953505;Introspect and potentially modify the incoming data.;IngestDocument execute(IngestDocument ingestDocument) throws Exception_;introspect,and,potentially,modify,the,incoming,data;ingest,document,execute,ingest,document,ingest,document,throws,exception
Processor -> String getTag()_;1524684173;Gets the tag of a processor.;String getTag()_;gets,the,tag,of,a,processor;string,get,tag
Processor -> String getTag()_;1528804324;Gets the tag of a processor.;String getTag()_;gets,the,tag,of,a,processor;string,get,tag
Processor -> String getTag()_;1535552903;Gets the tag of a processor.;String getTag()_;gets,the,tag,of,a,processor;string,get,tag
Processor -> String getTag()_;1536177418;Gets the tag of a processor.;String getTag()_;gets,the,tag,of,a,processor;string,get,tag
Processor -> String getTag()_;1548953505;Gets the tag of a processor.;String getTag()_;gets,the,tag,of,a,processor;string,get,tag
Processor -> Factory -> Processor create(Map<String, Processor.Factory> processorFactories, String tag,                          Map<String, Object> config) throws Exception_;1524684173;Creates a processor based on the specified map of maps config.__@param processorFactories Other processors which may be created inside this processor_@param tag The tag for the processor_@param config The configuration for the processor__<b>Note:</b> Implementations are responsible for removing the used configuration keys, so that after_creating a pipeline ingest can verify if all configurations settings have been used.;Processor create(Map<String, Processor.Factory> processorFactories, String tag,_                         Map<String, Object> config) throws Exception_;creates,a,processor,based,on,the,specified,map,of,maps,config,param,processor,factories,other,processors,which,may,be,created,inside,this,processor,param,tag,the,tag,for,the,processor,param,config,the,configuration,for,the,processor,b,note,b,implementations,are,responsible,for,removing,the,used,configuration,keys,so,that,after,creating,a,pipeline,ingest,can,verify,if,all,configurations,settings,have,been,used;processor,create,map,string,processor,factory,processor,factories,string,tag,map,string,object,config,throws,exception
Processor -> Factory -> Processor create(Map<String, Processor.Factory> processorFactories, String tag,                          Map<String, Object> config) throws Exception_;1528804324;Creates a processor based on the specified map of maps config.__@param processorFactories Other processors which may be created inside this processor_@param tag The tag for the processor_@param config The configuration for the processor__<b>Note:</b> Implementations are responsible for removing the used configuration keys, so that after_creating a pipeline ingest can verify if all configurations settings have been used.;Processor create(Map<String, Processor.Factory> processorFactories, String tag,_                         Map<String, Object> config) throws Exception_;creates,a,processor,based,on,the,specified,map,of,maps,config,param,processor,factories,other,processors,which,may,be,created,inside,this,processor,param,tag,the,tag,for,the,processor,param,config,the,configuration,for,the,processor,b,note,b,implementations,are,responsible,for,removing,the,used,configuration,keys,so,that,after,creating,a,pipeline,ingest,can,verify,if,all,configurations,settings,have,been,used;processor,create,map,string,processor,factory,processor,factories,string,tag,map,string,object,config,throws,exception
Processor -> Factory -> Processor create(Map<String, Processor.Factory> processorFactories, String tag,                          Map<String, Object> config) throws Exception_;1535552903;Creates a processor based on the specified map of maps config.__@param processorFactories Other processors which may be created inside this processor_@param tag The tag for the processor_@param config The configuration for the processor__<b>Note:</b> Implementations are responsible for removing the used configuration keys, so that after_creating a pipeline ingest can verify if all configurations settings have been used.;Processor create(Map<String, Processor.Factory> processorFactories, String tag,_                         Map<String, Object> config) throws Exception_;creates,a,processor,based,on,the,specified,map,of,maps,config,param,processor,factories,other,processors,which,may,be,created,inside,this,processor,param,tag,the,tag,for,the,processor,param,config,the,configuration,for,the,processor,b,note,b,implementations,are,responsible,for,removing,the,used,configuration,keys,so,that,after,creating,a,pipeline,ingest,can,verify,if,all,configurations,settings,have,been,used;processor,create,map,string,processor,factory,processor,factories,string,tag,map,string,object,config,throws,exception
Processor -> Factory -> Processor create(Map<String, Processor.Factory> processorFactories, String tag,                          Map<String, Object> config) throws Exception_;1536177418;Creates a processor based on the specified map of maps config.__@param processorFactories Other processors which may be created inside this processor_@param tag The tag for the processor_@param config The configuration for the processor__<b>Note:</b> Implementations are responsible for removing the used configuration keys, so that after_creating a pipeline ingest can verify if all configurations settings have been used.;Processor create(Map<String, Processor.Factory> processorFactories, String tag,_                         Map<String, Object> config) throws Exception_;creates,a,processor,based,on,the,specified,map,of,maps,config,param,processor,factories,other,processors,which,may,be,created,inside,this,processor,param,tag,the,tag,for,the,processor,param,config,the,configuration,for,the,processor,b,note,b,implementations,are,responsible,for,removing,the,used,configuration,keys,so,that,after,creating,a,pipeline,ingest,can,verify,if,all,configurations,settings,have,been,used;processor,create,map,string,processor,factory,processor,factories,string,tag,map,string,object,config,throws,exception
