# id;timestamp;commentText;codeText;commentWords;codeWords
AbstractIgniteComponent -> public Ignite getIgnite();1492766412;Returns the {@link Ignite} instance.;public Ignite getIgnite() {_        return ignite__    };returns,the,link,ignite,instance;public,ignite,get,ignite,return,ignite
AbstractIgniteComponent -> public Ignite getIgnite();1492766412;Returns the {@link Ignite} instance.;public Ignite getIgnite() {_        return ignite__    };returns,the,link,ignite,instance;public,ignite,get,ignite,return,ignite
AbstractIgniteComponent -> public Ignite getIgnite();1496824348;Returns the {@link Ignite} instance.;public Ignite getIgnite() {_        return ignite__    };returns,the,link,ignite,instance;public,ignite,get,ignite,return,ignite
AbstractIgniteComponent -> public Ignite getIgnite();1540108163;Returns the {@link Ignite} instance.;public Ignite getIgnite() {_        return ignite__    };returns,the,link,ignite,instance;public,ignite,get,ignite,return,ignite
AbstractIgniteComponent -> public void setIgnite(Ignite ignite);1492766412;Sets the {@link Ignite} instance.;public void setIgnite(Ignite ignite) {_        this.ignite = ignite__    };sets,the,link,ignite,instance;public,void,set,ignite,ignite,ignite,this,ignite,ignite
AbstractIgniteComponent -> public void setIgnite(Ignite ignite);1492766412;Sets the {@link Ignite} instance.;public void setIgnite(Ignite ignite) {_        this.ignite = ignite__    };sets,the,link,ignite,instance;public,void,set,ignite,ignite,ignite,this,ignite,ignite
AbstractIgniteComponent -> public void setIgnite(Ignite ignite);1496824348;Sets the {@link Ignite} instance.;public void setIgnite(Ignite ignite) {_        this.ignite = ignite__        lifecycleMode = IgniteLifecycleMode.USER_MANAGED__    };sets,the,link,ignite,instance;public,void,set,ignite,ignite,ignite,this,ignite,ignite,lifecycle,mode,ignite,lifecycle,mode
AbstractIgniteComponent -> public void setIgnite(Ignite ignite);1540108163;Sets the {@link Ignite} instance.;public void setIgnite(Ignite ignite) {_        this.ignite = ignite__        lifecycleMode = IgniteLifecycleMode.USER_MANAGED__    };sets,the,link,ignite,instance;public,void,set,ignite,ignite,ignite,this,ignite,ignite,lifecycle,mode,ignite,lifecycle,mode
AbstractIgniteComponent -> public IgniteConfiguration getIgniteConfiguration();1492766412;Gets the {@link IgniteConfiguration} if the user set it explicitly.;public IgniteConfiguration getIgniteConfiguration() {_        return igniteConfiguration__    };gets,the,link,ignite,configuration,if,the,user,set,it,explicitly;public,ignite,configuration,get,ignite,configuration,return,ignite,configuration
AbstractIgniteComponent -> public IgniteConfiguration getIgniteConfiguration();1492766412;Gets the {@link IgniteConfiguration} if the user set it explicitly.;public IgniteConfiguration getIgniteConfiguration() {_        return igniteConfiguration__    };gets,the,link,ignite,configuration,if,the,user,set,it,explicitly;public,ignite,configuration,get,ignite,configuration,return,ignite,configuration
AbstractIgniteComponent -> public IgniteConfiguration getIgniteConfiguration();1496824348;Gets the {@link IgniteConfiguration} if the user set it explicitly.;public IgniteConfiguration getIgniteConfiguration() {_        return igniteConfiguration__    };gets,the,link,ignite,configuration,if,the,user,set,it,explicitly;public,ignite,configuration,get,ignite,configuration,return,ignite,configuration
AbstractIgniteComponent -> public IgniteConfiguration getIgniteConfiguration();1540108163;Gets the {@link IgniteConfiguration} if the user set it explicitly.;public IgniteConfiguration getIgniteConfiguration() {_        return igniteConfiguration__    };gets,the,link,ignite,configuration,if,the,user,set,it,explicitly;public,ignite,configuration,get,ignite,configuration,return,ignite,configuration
AbstractIgniteComponent -> public void setIgniteConfiguration(IgniteConfiguration igniteConfiguration);1492766412;Allows the user to set a programmatic {@link IgniteConfiguration}.;public void setIgniteConfiguration(IgniteConfiguration igniteConfiguration) {_        this.igniteConfiguration = igniteConfiguration__    };allows,the,user,to,set,a,programmatic,link,ignite,configuration;public,void,set,ignite,configuration,ignite,configuration,ignite,configuration,this,ignite,configuration,ignite,configuration
AbstractIgniteComponent -> public void setIgniteConfiguration(IgniteConfiguration igniteConfiguration);1492766412;Allows the user to set a programmatic {@link IgniteConfiguration}.;public void setIgniteConfiguration(IgniteConfiguration igniteConfiguration) {_        this.igniteConfiguration = igniteConfiguration__    };allows,the,user,to,set,a,programmatic,link,ignite,configuration;public,void,set,ignite,configuration,ignite,configuration,ignite,configuration,this,ignite,configuration,ignite,configuration
AbstractIgniteComponent -> public void setIgniteConfiguration(IgniteConfiguration igniteConfiguration);1496824348;Allows the user to set a programmatic {@link IgniteConfiguration}.;public void setIgniteConfiguration(IgniteConfiguration igniteConfiguration) {_        this.igniteConfiguration = igniteConfiguration__    };allows,the,user,to,set,a,programmatic,link,ignite,configuration;public,void,set,ignite,configuration,ignite,configuration,ignite,configuration,this,ignite,configuration,ignite,configuration
AbstractIgniteComponent -> public void setIgniteConfiguration(IgniteConfiguration igniteConfiguration);1540108163;Allows the user to set a programmatic {@link IgniteConfiguration}.;public void setIgniteConfiguration(IgniteConfiguration igniteConfiguration) {_        this.igniteConfiguration = igniteConfiguration__    };allows,the,user,to,set,a,programmatic,link,ignite,configuration;public,void,set,ignite,configuration,ignite,configuration,ignite,configuration,this,ignite,configuration,ignite,configuration
AbstractIgniteComponent -> public void setConfigurationResource(Object configurationResource);1492766412;Sets the resource from where to load the configuration. It can be a: {@link URI}, {@link String} (URI)_or an {@link InputStream}.;public void setConfigurationResource(Object configurationResource) {_        this.configurationResource = configurationResource__    };sets,the,resource,from,where,to,load,the,configuration,it,can,be,a,link,uri,link,string,uri,or,an,link,input,stream;public,void,set,configuration,resource,object,configuration,resource,this,configuration,resource,configuration,resource
AbstractIgniteComponent -> public void setConfigurationResource(Object configurationResource);1492766412;Sets the resource from where to load the configuration. It can be a: {@link URI}, {@link String} (URI)_or an {@link InputStream}.;public void setConfigurationResource(Object configurationResource) {_        this.configurationResource = configurationResource__    };sets,the,resource,from,where,to,load,the,configuration,it,can,be,a,link,uri,link,string,uri,or,an,link,input,stream;public,void,set,configuration,resource,object,configuration,resource,this,configuration,resource,configuration,resource
AbstractIgniteComponent -> public void setConfigurationResource(Object configurationResource);1496824348;Sets the resource from where to load the configuration. It can be a: {@link URI}, {@link String} (URI)_or an {@link InputStream}.;public void setConfigurationResource(Object configurationResource) {_        this.configurationResource = configurationResource__    };sets,the,resource,from,where,to,load,the,configuration,it,can,be,a,link,uri,link,string,uri,or,an,link,input,stream;public,void,set,configuration,resource,object,configuration,resource,this,configuration,resource,configuration,resource
AbstractIgniteComponent -> public void setConfigurationResource(Object configurationResource);1540108163;Sets the resource from where to load the configuration. It can be a: {@link URI}, {@link String} (URI)_or an {@link InputStream}.;public void setConfigurationResource(Object configurationResource) {_        this.configurationResource = configurationResource__    };sets,the,resource,from,where,to,load,the,configuration,it,can,be,a,link,uri,link,string,uri,or,an,link,input,stream;public,void,set,configuration,resource,object,configuration,resource,this,configuration,resource,configuration,resource
AbstractIgniteComponent -> public Object getConfigurationResource();1492766412;Gets the resource from where to load the configuration. It can be a: {@link URI}, {@link String} (URI)_or an {@link InputStream}.;public Object getConfigurationResource() {_        return configurationResource__    };gets,the,resource,from,where,to,load,the,configuration,it,can,be,a,link,uri,link,string,uri,or,an,link,input,stream;public,object,get,configuration,resource,return,configuration,resource
AbstractIgniteComponent -> public Object getConfigurationResource();1492766412;Gets the resource from where to load the configuration. It can be a: {@link URI}, {@link String} (URI)_or an {@link InputStream}.;public Object getConfigurationResource() {_        return configurationResource__    };gets,the,resource,from,where,to,load,the,configuration,it,can,be,a,link,uri,link,string,uri,or,an,link,input,stream;public,object,get,configuration,resource,return,configuration,resource
AbstractIgniteComponent -> public Object getConfigurationResource();1496824348;Gets the resource from where to load the configuration. It can be a: {@link URI}, {@link String} (URI)_or an {@link InputStream}.;public Object getConfigurationResource() {_        return configurationResource__    };gets,the,resource,from,where,to,load,the,configuration,it,can,be,a,link,uri,link,string,uri,or,an,link,input,stream;public,object,get,configuration,resource,return,configuration,resource
AbstractIgniteComponent -> public Object getConfigurationResource();1540108163;Gets the resource from where to load the configuration. It can be a: {@link URI}, {@link String} (URI)_or an {@link InputStream}.;public Object getConfigurationResource() {_        return configurationResource__    };gets,the,resource,from,where,to,load,the,configuration,it,can,be,a,link,uri,link,string,uri,or,an,link,input,stream;public,object,get,configuration,resource,return,configuration,resource
