# id;timestamp;commentText;codeText;commentWords;codeWords
ComputeFunction -> public final void sendMessageToAllNeighbors(Message m);1458583829;Sends the given message to all vertices that are targets of an edge of the changed vertex._This method is mutually exclusive to the method {@link #getEdges()} and may be called only once.__@param m The message to send.;public final void sendMessageToAllNeighbors(Message m) {_		if (edgesUsed) {_			throw new IllegalStateException("Can use either 'getEdges()' or 'sendMessageToAllNeighbors()'"_					+ "exactly once.")__		}_		_		edgesUsed = true___		outMsg.setField(m, 1)__		_		while (edges.hasNext()) {_			Tuple next = (Tuple) edges.next()__			outMsg.setField(next.getField(1), 0)__			out.collect(Either.Right(outMsg))__		}_	};sends,the,given,message,to,all,vertices,that,are,targets,of,an,edge,of,the,changed,vertex,this,method,is,mutually,exclusive,to,the,method,link,get,edges,and,may,be,called,only,once,param,m,the,message,to,send;public,final,void,send,message,to,all,neighbors,message,m,if,edges,used,throw,new,illegal,state,exception,can,use,either,get,edges,or,send,message,to,all,neighbors,exactly,once,edges,used,true,out,msg,set,field,m,1,while,edges,has,next,tuple,next,tuple,edges,next,out,msg,set,field,next,get,field,1,0,out,collect,either,right,out,msg
ComputeFunction -> public final void sendMessageToAllNeighbors(Message m);1458583829;Sends the given message to all vertices that adjacent to the changed vertex._This method is mutually exclusive to the method {@link #getEdges()} and may be called only once.__@param m The message to send.;public final void sendMessageToAllNeighbors(Message m) {_		verifyEdgeUsage()__		outMsg.setField(m, 1)__		while (edges.hasNext()) {_			Tuple next = (Tuple) edges.next()__			outMsg.setField(next.getField(1), 0)__			out.collect(Either.Right(outMsg))__		}_	};sends,the,given,message,to,all,vertices,that,adjacent,to,the,changed,vertex,this,method,is,mutually,exclusive,to,the,method,link,get,edges,and,may,be,called,only,once,param,m,the,message,to,send;public,final,void,send,message,to,all,neighbors,message,m,verify,edge,usage,out,msg,set,field,m,1,while,edges,has,next,tuple,next,tuple,edges,next,out,msg,set,field,next,get,field,1,0,out,collect,either,right,out,msg
ComputeFunction -> public final void sendMessageToAllNeighbors(Message m);1475684776;Sends the given message to all vertices that adjacent to the changed vertex._This method is mutually exclusive to the method {@link #getEdges()} and may be called only once.__@param m The message to send.;public final void sendMessageToAllNeighbors(Message m) {_		verifyEdgeUsage()__		outMsg.setField(m, 1)__		while (edges.hasNext()) {_			Tuple next = edges.next()__			outMsg.setField(next.getField(1), 0)__			out.collect(Either.Right(outMsg))__		}_	};sends,the,given,message,to,all,vertices,that,adjacent,to,the,changed,vertex,this,method,is,mutually,exclusive,to,the,method,link,get,edges,and,may,be,called,only,once,param,m,the,message,to,send;public,final,void,send,message,to,all,neighbors,message,m,verify,edge,usage,out,msg,set,field,m,1,while,edges,has,next,tuple,next,edges,next,out,msg,set,field,next,get,field,1,0,out,collect,either,right,out,msg
ComputeFunction -> public final void sendMessageToAllNeighbors(Message m);1475685606;Sends the given message to all vertices that adjacent to the changed vertex._This method is mutually exclusive to the method {@link #getEdges()} and may be called only once.__@param m The message to send.;public final void sendMessageToAllNeighbors(Message m) {_		verifyEdgeUsage()__		outMsg.f1 = m__		while (edges.hasNext()) {_			Tuple next = edges.next()__			outMsg.f0 = next.getField(1)__			out.collect(Either.Right(outMsg))__		}_	};sends,the,given,message,to,all,vertices,that,adjacent,to,the,changed,vertex,this,method,is,mutually,exclusive,to,the,method,link,get,edges,and,may,be,called,only,once,param,m,the,message,to,send;public,final,void,send,message,to,all,neighbors,message,m,verify,edge,usage,out,msg,f1,m,while,edges,has,next,tuple,next,edges,next,out,msg,f0,next,get,field,1,out,collect,either,right,out,msg
ComputeFunction -> public final void sendMessageToAllNeighbors(Message m);1495819075;Sends the given message to all vertices that adjacent to the changed vertex._This method is mutually exclusive to the method {@link #getEdges()} and may be called only once.__@param m The message to send.;public final void sendMessageToAllNeighbors(Message m) {_		verifyEdgeUsage()__		outMsg.f1 = m__		while (edges.hasNext()) {_			Tuple next = edges.next()__			outMsg.f0 = next.getField(1)__			out.collect(Either.Right(outMsg))__		}_	};sends,the,given,message,to,all,vertices,that,adjacent,to,the,changed,vertex,this,method,is,mutually,exclusive,to,the,method,link,get,edges,and,may,be,called,only,once,param,m,the,message,to,send;public,final,void,send,message,to,all,neighbors,message,m,verify,edge,usage,out,msg,f1,m,while,edges,has,next,tuple,next,edges,next,out,msg,f0,next,get,field,1,out,collect,either,right,out,msg
ComputeFunction -> public final <T extends Aggregator<?>> T getIterationAggregator(String name);1458583829;Gets the iteration aggregator registered under the given name. The iteration aggregator combines_all aggregates globally once per superstep and makes them available in the next superstep.__@param name The name of the aggregator._@return The aggregator registered under this name, or null, if no aggregator was registered.;public final <T extends Aggregator<?>> T getIterationAggregator(String name) {_		return this.runtimeContext.<T>getIterationAggregator(name)__	};gets,the,iteration,aggregator,registered,under,the,given,name,the,iteration,aggregator,combines,all,aggregates,globally,once,per,superstep,and,makes,them,available,in,the,next,superstep,param,name,the,name,of,the,aggregator,return,the,aggregator,registered,under,this,name,or,null,if,no,aggregator,was,registered;public,final,t,extends,aggregator,t,get,iteration,aggregator,string,name,return,this,runtime,context,t,get,iteration,aggregator,name
ComputeFunction -> public final <T extends Aggregator<?>> T getIterationAggregator(String name);1458583829;Gets the iteration aggregator registered under the given name. The iteration aggregator combines_all aggregates globally once per superstep and makes them available in the next superstep.__@param name The name of the aggregator._@return The aggregator registered under this name, or {@code null}, if no aggregator was registered.;public final <T extends Aggregator<?>> T getIterationAggregator(String name) {_		return this.runtimeContext.<T>getIterationAggregator(name)__	};gets,the,iteration,aggregator,registered,under,the,given,name,the,iteration,aggregator,combines,all,aggregates,globally,once,per,superstep,and,makes,them,available,in,the,next,superstep,param,name,the,name,of,the,aggregator,return,the,aggregator,registered,under,this,name,or,code,null,if,no,aggregator,was,registered;public,final,t,extends,aggregator,t,get,iteration,aggregator,string,name,return,this,runtime,context,t,get,iteration,aggregator,name
ComputeFunction -> public final <T extends Aggregator<?>> T getIterationAggregator(String name);1475684776;Gets the iteration aggregator registered under the given name. The iteration aggregator combines_all aggregates globally once per superstep and makes them available in the next superstep.__@param name The name of the aggregator._@return The aggregator registered under this name, or {@code null}, if no aggregator was registered.;public final <T extends Aggregator<?>> T getIterationAggregator(String name) {_		return this.runtimeContext.getIterationAggregator(name)__	};gets,the,iteration,aggregator,registered,under,the,given,name,the,iteration,aggregator,combines,all,aggregates,globally,once,per,superstep,and,makes,them,available,in,the,next,superstep,param,name,the,name,of,the,aggregator,return,the,aggregator,registered,under,this,name,or,code,null,if,no,aggregator,was,registered;public,final,t,extends,aggregator,t,get,iteration,aggregator,string,name,return,this,runtime,context,get,iteration,aggregator,name
ComputeFunction -> public final <T extends Aggregator<?>> T getIterationAggregator(String name);1475685606;Gets the iteration aggregator registered under the given name. The iteration aggregator combines_all aggregates globally once per superstep and makes them available in the next superstep.__@param name The name of the aggregator._@return The aggregator registered under this name, or {@code null}, if no aggregator was registered.;public final <T extends Aggregator<?>> T getIterationAggregator(String name) {_		return this.runtimeContext.getIterationAggregator(name)__	};gets,the,iteration,aggregator,registered,under,the,given,name,the,iteration,aggregator,combines,all,aggregates,globally,once,per,superstep,and,makes,them,available,in,the,next,superstep,param,name,the,name,of,the,aggregator,return,the,aggregator,registered,under,this,name,or,code,null,if,no,aggregator,was,registered;public,final,t,extends,aggregator,t,get,iteration,aggregator,string,name,return,this,runtime,context,get,iteration,aggregator,name
ComputeFunction -> public final <T extends Aggregator<?>> T getIterationAggregator(String name);1495819075;Gets the iteration aggregator registered under the given name. The iteration aggregator combines_all aggregates globally once per superstep and makes them available in the next superstep.__@param name The name of the aggregator._@return The aggregator registered under this name, or {@code null}, if no aggregator was registered.;public final <T extends Aggregator<?>> T getIterationAggregator(String name) {_		return this.runtimeContext.getIterationAggregator(name)__	};gets,the,iteration,aggregator,registered,under,the,given,name,the,iteration,aggregator,combines,all,aggregates,globally,once,per,superstep,and,makes,them,available,in,the,next,superstep,param,name,the,name,of,the,aggregator,return,the,aggregator,registered,under,this,name,or,code,null,if,no,aggregator,was,registered;public,final,t,extends,aggregator,t,get,iteration,aggregator,string,name,return,this,runtime,context,get,iteration,aggregator,name
ComputeFunction -> public void postSuperstep() throws Exception;1458583829;This method is executed once per superstep after the vertex update function has been invoked for each vertex.__@throws Exception Exceptions in the post-superstep phase cause the superstep to fail.;public void postSuperstep() throws Exception {};this,method,is,executed,once,per,superstep,after,the,vertex,update,function,has,been,invoked,for,each,vertex,throws,exception,exceptions,in,the,post,superstep,phase,cause,the,superstep,to,fail;public,void,post,superstep,throws,exception
