# id;timestamp;commentText;codeText;commentWords;codeWords
AbstractAtomixClientComponent -> public void setNodes(List<Address> nodes);1497627475;The nodes the AtomixClient should connect to;public void setNodes(List<Address> nodes) {_        configuration.setNodes(nodes)__    };the,nodes,the,atomix,client,should,connect,to;public,void,set,nodes,list,address,nodes,configuration,set,nodes,nodes
AbstractAtomixClientComponent -> public void setNodes(List<Address> nodes);1497689412;The nodes the AtomixClient should connect to;public void setNodes(List<Address> nodes) {_        getComponentConfiguration().setNodes(nodes)__    };the,nodes,the,atomix,client,should,connect,to;public,void,set,nodes,list,address,nodes,get,component,configuration,set,nodes,nodes
AbstractAtomixClientComponent -> public void setNodes(List<Address> nodes);1498062395;The nodes the AtomixClient should connect to;public void setNodes(List<Address> nodes) {_        getComponentConfiguration().setNodes(nodes)__    };the,nodes,the,atomix,client,should,connect,to;public,void,set,nodes,list,address,nodes,get,component,configuration,set,nodes,nodes
AbstractAtomixClientComponent -> public void setNodes(List<Address> nodes);1540108163;The nodes the AtomixClient should connect to;public void setNodes(List<Address> nodes) {_        getComponentConfiguration().setNodes(nodes)__    };the,nodes,the,atomix,client,should,connect,to;public,void,set,nodes,list,address,nodes,get,component,configuration,set,nodes,nodes
AbstractAtomixClientComponent -> public void setAtomix(AtomixClient client);1497627475;The shared AtomixClient instance;public void setAtomix(AtomixClient client) {_        configuration.setAtomix(client)__    };the,shared,atomix,client,instance;public,void,set,atomix,atomix,client,client,configuration,set,atomix,client
AbstractAtomixClientComponent -> public void setAtomix(AtomixClient client);1497689412;The shared AtomixClient instance;public void setAtomix(AtomixClient client) {_        getComponentConfiguration().setAtomix(client)__    };the,shared,atomix,client,instance;public,void,set,atomix,atomix,client,client,get,component,configuration,set,atomix,client
AbstractAtomixClientComponent -> public void setAtomix(AtomixClient client);1498062395;The shared AtomixClient instance;public void setAtomix(AtomixClient client) {_        getComponentConfiguration().setAtomix(client)__    };the,shared,atomix,client,instance;public,void,set,atomix,atomix,client,client,get,component,configuration,set,atomix,client
AbstractAtomixClientComponent -> public void setAtomix(AtomixClient client);1540108163;The shared AtomixClient instance;public void setAtomix(AtomixClient client) {_        getComponentConfiguration().setAtomix(client)__    };the,shared,atomix,client,instance;public,void,set,atomix,atomix,client,client,get,component,configuration,set,atomix,client
AbstractAtomixClientComponent -> public void setConfigurationUri(String configurationUri);1497627475;The path to the AtomixClient configuration;public void setConfigurationUri(String configurationUri) {_        configuration.setConfigurationUri(configurationUri)__    };the,path,to,the,atomix,client,configuration;public,void,set,configuration,uri,string,configuration,uri,configuration,set,configuration,uri,configuration,uri
AbstractAtomixClientComponent -> public void setConfigurationUri(String configurationUri);1497689412;The path to the AtomixClient configuration;public void setConfigurationUri(String configurationUri) {_        getComponentConfiguration().setConfigurationUri(configurationUri)__    };the,path,to,the,atomix,client,configuration;public,void,set,configuration,uri,string,configuration,uri,get,component,configuration,set,configuration,uri,configuration,uri
AbstractAtomixClientComponent -> public void setConfigurationUri(String configurationUri);1498062395;The path to the AtomixClient configuration;public void setConfigurationUri(String configurationUri) {_        getComponentConfiguration().setConfigurationUri(configurationUri)__    };the,path,to,the,atomix,client,configuration;public,void,set,configuration,uri,string,configuration,uri,get,component,configuration,set,configuration,uri,configuration,uri
AbstractAtomixClientComponent -> public void setConfigurationUri(String configurationUri);1540108163;The path to the AtomixClient configuration;public void setConfigurationUri(String configurationUri) {_        getComponentConfiguration().setConfigurationUri(configurationUri)__    };the,path,to,the,atomix,client,configuration;public,void,set,configuration,uri,string,configuration,uri,get,component,configuration,set,configuration,uri,configuration,uri
