# id;timestamp;commentText;codeText;commentWords;codeWords
ApplicationContextRequestMatcher -> protected void initialized(C context);1515542796;Called once the context has been initialized._@param context the initialized context;protected void initialized(C context) {_	};called,once,the,context,has,been,initialized,param,context,the,initialized,context;protected,void,initialized,c,context
ApplicationContextRequestMatcher -> protected void initialized(C context);1516346511;Called once the context has been initialized._@param context the initialized context;protected void initialized(C context) {_	};called,once,the,context,has,been,initialized,param,context,the,initialized,context;protected,void,initialized,c,context
ApplicationContextRequestMatcher -> protected void initialized(C context);1516633579;Called once the context has been initialized._@param context the initialized context;protected void initialized(C context) {_	};called,once,the,context,has,been,initialized,param,context,the,initialized,context;protected,void,initialized,c,context
ApplicationContextRequestMatcher -> protected abstract boolean matches(HttpServletRequest request, Supplier<C> context)_;1519777754;Decides whether the rule implemented by the strategy matches the supplied request._@param request the source request_@param context a supplier for the initialized context (may throw an exception)_@return if the request matches;protected abstract boolean matches(HttpServletRequest request, Supplier<C> context)_;decides,whether,the,rule,implemented,by,the,strategy,matches,the,supplied,request,param,request,the,source,request,param,context,a,supplier,for,the,initialized,context,may,throw,an,exception,return,if,the,request,matches;protected,abstract,boolean,matches,http,servlet,request,request,supplier,c,context
ApplicationContextRequestMatcher -> protected abstract boolean matches(HttpServletRequest request, Supplier<C> context)_;1520422621;Decides whether the rule implemented by the strategy matches the supplied request._@param request the source request_@param context a supplier for the initialized context (may throw an exception)_@return if the request matches;protected abstract boolean matches(HttpServletRequest request, Supplier<C> context)_;decides,whether,the,rule,implemented,by,the,strategy,matches,the,supplied,request,param,request,the,source,request,param,context,a,supplier,for,the,initialized,context,may,throw,an,exception,return,if,the,request,matches;protected,abstract,boolean,matches,http,servlet,request,request,supplier,c,context
ApplicationContextRequestMatcher -> protected abstract boolean matches(HttpServletRequest request, Supplier<C> context)_;1532738143;Decides whether the rule implemented by the strategy matches the supplied request._@param request the source request_@param context a supplier for the initialized context (may throw an exception)_@return if the request matches;protected abstract boolean matches(HttpServletRequest request, Supplier<C> context)_;decides,whether,the,rule,implemented,by,the,strategy,matches,the,supplied,request,param,request,the,source,request,param,context,a,supplier,for,the,initialized,context,may,throw,an,exception,return,if,the,request,matches;protected,abstract,boolean,matches,http,servlet,request,request,supplier,c,context
ApplicationContextRequestMatcher -> protected void initialized(Supplier<C> context);1519777754;Called once the context has been initialized._@param context a supplier for the initialized context (may throw an exception);protected void initialized(Supplier<C> context) {_	};called,once,the,context,has,been,initialized,param,context,a,supplier,for,the,initialized,context,may,throw,an,exception;protected,void,initialized,supplier,c,context
ApplicationContextRequestMatcher -> protected void initialized(Supplier<C> context);1520422621;Called once the context has been initialized._@param context a supplier for the initialized context (may throw an exception);protected void initialized(Supplier<C> context) {_	};called,once,the,context,has,been,initialized,param,context,a,supplier,for,the,initialized,context,may,throw,an,exception;protected,void,initialized,supplier,c,context
ApplicationContextRequestMatcher -> protected void initialized(Supplier<C> context);1532738143;Called once the context has been initialized._@param context a supplier for the initialized context (may throw an exception);protected void initialized(Supplier<C> context) {_	};called,once,the,context,has,been,initialized,param,context,a,supplier,for,the,initialized,context,may,throw,an,exception;protected,void,initialized,supplier,c,context
ApplicationContextRequestMatcher -> protected abstract boolean matches(HttpServletRequest request, C context)_;1515542796;Decides whether the rule implemented by the strategy matches the supplied request._@param request the source request_@param context the context instance_@return if the request matches;protected abstract boolean matches(HttpServletRequest request, C context)_;decides,whether,the,rule,implemented,by,the,strategy,matches,the,supplied,request,param,request,the,source,request,param,context,the,context,instance,return,if,the,request,matches;protected,abstract,boolean,matches,http,servlet,request,request,c,context
ApplicationContextRequestMatcher -> protected abstract boolean matches(HttpServletRequest request, C context)_;1516346511;Decides whether the rule implemented by the strategy matches the supplied request._@param request the source request_@param context the context instance_@return if the request matches;protected abstract boolean matches(HttpServletRequest request, C context)_;decides,whether,the,rule,implemented,by,the,strategy,matches,the,supplied,request,param,request,the,source,request,param,context,the,context,instance,return,if,the,request,matches;protected,abstract,boolean,matches,http,servlet,request,request,c,context
ApplicationContextRequestMatcher -> protected abstract boolean matches(HttpServletRequest request, C context)_;1516633579;Decides whether the rule implemented by the strategy matches the supplied request._@param request the source request_@param context the context instance_@return if the request matches;protected abstract boolean matches(HttpServletRequest request, C context)_;decides,whether,the,rule,implemented,by,the,strategy,matches,the,supplied,request,param,request,the,source,request,param,context,the,context,instance,return,if,the,request,matches;protected,abstract,boolean,matches,http,servlet,request,request,c,context
