# id;timestamp;commentText;codeText;commentWords;codeWords
TransactionDefinition -> int getPropagationBehavior()_;1328020251;Return the propagation behavior._<p>Must return one of the <code>PROPAGATION_XXX</code> constants_defined on {@link TransactionDefinition this interface}._@return the propagation behavior_@see #PROPAGATION_REQUIRED_@see org.springframework.transaction.support.TransactionSynchronizationManager#isActualTransactionActive();int getPropagationBehavior()_;return,the,propagation,behavior,p,must,return,one,of,the,code,code,constants,defined,on,link,transaction,definition,this,interface,return,the,propagation,behavior,see,see,org,springframework,transaction,support,transaction,synchronization,manager,is,actual,transaction,active;int,get,propagation,behavior
TransactionDefinition -> int getPropagationBehavior()_;1356735495;Return the propagation behavior._<p>Must return one of the {@code PROPAGATION_XXX} constants_defined on {@link TransactionDefinition this interface}._@return the propagation behavior_@see #PROPAGATION_REQUIRED_@see org.springframework.transaction.support.TransactionSynchronizationManager#isActualTransactionActive();int getPropagationBehavior()_;return,the,propagation,behavior,p,must,return,one,of,the,code,constants,defined,on,link,transaction,definition,this,interface,return,the,propagation,behavior,see,see,org,springframework,transaction,support,transaction,synchronization,manager,is,actual,transaction,active;int,get,propagation,behavior
TransactionDefinition -> int getPropagationBehavior()_;1438003976;Return the propagation behavior._<p>Must return one of the {@code PROPAGATION_XXX} constants_defined on {@link TransactionDefinition this interface}._@return the propagation behavior_@see #PROPAGATION_REQUIRED_@see org.springframework.transaction.support.TransactionSynchronizationManager#isActualTransactionActive();int getPropagationBehavior()_;return,the,propagation,behavior,p,must,return,one,of,the,code,constants,defined,on,link,transaction,definition,this,interface,return,the,propagation,behavior,see,see,org,springframework,transaction,support,transaction,synchronization,manager,is,actual,transaction,active;int,get,propagation,behavior
TransactionDefinition -> int getPropagationBehavior()_;1488529786;Return the propagation behavior._<p>Must return one of the {@code PROPAGATION_XXX} constants_defined on {@link TransactionDefinition this interface}._@return the propagation behavior_@see #PROPAGATION_REQUIRED_@see org.springframework.transaction.support.TransactionSynchronizationManager#isActualTransactionActive();int getPropagationBehavior()_;return,the,propagation,behavior,p,must,return,one,of,the,code,constants,defined,on,link,transaction,definition,this,interface,return,the,propagation,behavior,see,see,org,springframework,transaction,support,transaction,synchronization,manager,is,actual,transaction,active;int,get,propagation,behavior
TransactionDefinition -> int getPropagationBehavior()_;1495868221;Return the propagation behavior._<p>Must return one of the {@code PROPAGATION_XXX} constants_defined on {@link TransactionDefinition this interface}._@return the propagation behavior_@see #PROPAGATION_REQUIRED_@see org.springframework.transaction.support.TransactionSynchronizationManager#isActualTransactionActive();int getPropagationBehavior()_;return,the,propagation,behavior,p,must,return,one,of,the,code,constants,defined,on,link,transaction,definition,this,interface,return,the,propagation,behavior,see,see,org,springframework,transaction,support,transaction,synchronization,manager,is,actual,transaction,active;int,get,propagation,behavior
TransactionDefinition -> int getPropagationBehavior()_;1517867503;Return the propagation behavior._<p>Must return one of the {@code PROPAGATION_XXX} constants_defined on {@link TransactionDefinition this interface}._@return the propagation behavior_@see #PROPAGATION_REQUIRED_@see org.springframework.transaction.support.TransactionSynchronizationManager#isActualTransactionActive();int getPropagationBehavior()_;return,the,propagation,behavior,p,must,return,one,of,the,code,constants,defined,on,link,transaction,definition,this,interface,return,the,propagation,behavior,see,see,org,springframework,transaction,support,transaction,synchronization,manager,is,actual,transaction,active;int,get,propagation,behavior
TransactionDefinition -> int getPropagationBehavior()_;1528737477;Return the propagation behavior._<p>Must return one of the {@code PROPAGATION_XXX} constants_defined on {@link TransactionDefinition this interface}._@return the propagation behavior_@see #PROPAGATION_REQUIRED_@see org.springframework.transaction.support.TransactionSynchronizationManager#isActualTransactionActive();int getPropagationBehavior()_;return,the,propagation,behavior,p,must,return,one,of,the,code,constants,defined,on,link,transaction,definition,this,interface,return,the,propagation,behavior,see,see,org,springframework,transaction,support,transaction,synchronization,manager,is,actual,transaction,active;int,get,propagation,behavior
TransactionDefinition -> int getPropagationBehavior()_;1548712211;Return the propagation behavior._<p>Must return one of the {@code PROPAGATION_XXX} constants_defined on {@link TransactionDefinition this interface}._@return the propagation behavior_@see #PROPAGATION_REQUIRED_@see org.springframework.transaction.support.TransactionSynchronizationManager#isActualTransactionActive();int getPropagationBehavior()_;return,the,propagation,behavior,p,must,return,one,of,the,code,constants,defined,on,link,transaction,definition,this,interface,return,the,propagation,behavior,see,see,org,springframework,transaction,support,transaction,synchronization,manager,is,actual,transaction,active;int,get,propagation,behavior
TransactionDefinition -> @Nullable 	String getName()_;1495868221;Return the name of this transaction. Can be {@code null}._<p>This will be used as the transaction name to be shown in a_transaction monitor, if applicable (for example, WebLogic's)._<p>In case of Spring's declarative transactions, the exposed name will be_the {@code fully-qualified class name + "." + method name} (by default)._@return the name of this transaction_@see org.springframework.transaction.interceptor.TransactionAspectSupport_@see org.springframework.transaction.support.TransactionSynchronizationManager#getCurrentTransactionName();@Nullable_	String getName()_;return,the,name,of,this,transaction,can,be,code,null,p,this,will,be,used,as,the,transaction,name,to,be,shown,in,a,transaction,monitor,if,applicable,for,example,web,logic,s,p,in,case,of,spring,s,declarative,transactions,the,exposed,name,will,be,the,code,fully,qualified,class,name,method,name,by,default,return,the,name,of,this,transaction,see,org,springframework,transaction,interceptor,transaction,aspect,support,see,org,springframework,transaction,support,transaction,synchronization,manager,get,current,transaction,name;nullable,string,get,name
TransactionDefinition -> @Nullable 	String getName()_;1517867503;Return the name of this transaction. Can be {@code null}._<p>This will be used as the transaction name to be shown in a_transaction monitor, if applicable (for example, WebLogic's)._<p>In case of Spring's declarative transactions, the exposed name will be_the {@code fully-qualified class name + "." + method name} (by default)._@return the name of this transaction_@see org.springframework.transaction.interceptor.TransactionAspectSupport_@see org.springframework.transaction.support.TransactionSynchronizationManager#getCurrentTransactionName();@Nullable_	String getName()_;return,the,name,of,this,transaction,can,be,code,null,p,this,will,be,used,as,the,transaction,name,to,be,shown,in,a,transaction,monitor,if,applicable,for,example,web,logic,s,p,in,case,of,spring,s,declarative,transactions,the,exposed,name,will,be,the,code,fully,qualified,class,name,method,name,by,default,return,the,name,of,this,transaction,see,org,springframework,transaction,interceptor,transaction,aspect,support,see,org,springframework,transaction,support,transaction,synchronization,manager,get,current,transaction,name;nullable,string,get,name
TransactionDefinition -> @Nullable 	String getName()_;1528737477;Return the name of this transaction. Can be {@code null}._<p>This will be used as the transaction name to be shown in a_transaction monitor, if applicable (for example, WebLogic's)._<p>In case of Spring's declarative transactions, the exposed name will be_the {@code fully-qualified class name + "." + method name} (by default)._@return the name of this transaction_@see org.springframework.transaction.interceptor.TransactionAspectSupport_@see org.springframework.transaction.support.TransactionSynchronizationManager#getCurrentTransactionName();@Nullable_	String getName()_;return,the,name,of,this,transaction,can,be,code,null,p,this,will,be,used,as,the,transaction,name,to,be,shown,in,a,transaction,monitor,if,applicable,for,example,web,logic,s,p,in,case,of,spring,s,declarative,transactions,the,exposed,name,will,be,the,code,fully,qualified,class,name,method,name,by,default,return,the,name,of,this,transaction,see,org,springframework,transaction,interceptor,transaction,aspect,support,see,org,springframework,transaction,support,transaction,synchronization,manager,get,current,transaction,name;nullable,string,get,name
