# id;timestamp;commentText;codeText;commentWords;codeWords
JmsUtils -> public static void closeMessageConsumer(MessageConsumer consumer);1328020251;Close the given JMS MessageConsumer and ignore any thrown exception._This is useful for typical <code>finally</code> blocks in manual JMS code._@param consumer the JMS MessageConsumer to close (may be <code>null</code>);public static void closeMessageConsumer(MessageConsumer consumer) {_		if (consumer != null) {_			_			_			boolean wasInterrupted = Thread.interrupted()__			try {_				consumer.close()__			}_			catch (JMSException ex) {_				logger.trace("Could not close JMS MessageConsumer", ex)__			}_			catch (Throwable ex) {_				_				logger.trace("Unexpected exception on closing JMS MessageConsumer", ex)__			}_			finally {_				if (wasInterrupted) {_					_					Thread.currentThread().interrupt()__				}_			}_		}_	};close,the,given,jms,message,consumer,and,ignore,any,thrown,exception,this,is,useful,for,typical,code,finally,code,blocks,in,manual,jms,code,param,consumer,the,jms,message,consumer,to,close,may,be,code,null,code;public,static,void,close,message,consumer,message,consumer,consumer,if,consumer,null,boolean,was,interrupted,thread,interrupted,try,consumer,close,catch,jmsexception,ex,logger,trace,could,not,close,jms,message,consumer,ex,catch,throwable,ex,logger,trace,unexpected,exception,on,closing,jms,message,consumer,ex,finally,if,was,interrupted,thread,current,thread,interrupt
JmsUtils -> public static void closeMessageConsumer(MessageConsumer consumer);1356735495;Close the given JMS MessageConsumer and ignore any thrown exception._This is useful for typical {@code finally} blocks in manual JMS code._@param consumer the JMS MessageConsumer to close (may be {@code null});public static void closeMessageConsumer(MessageConsumer consumer) {_		if (consumer != null) {_			_			_			boolean wasInterrupted = Thread.interrupted()__			try {_				consumer.close()__			}_			catch (JMSException ex) {_				logger.trace("Could not close JMS MessageConsumer", ex)__			}_			catch (Throwable ex) {_				_				logger.trace("Unexpected exception on closing JMS MessageConsumer", ex)__			}_			finally {_				if (wasInterrupted) {_					_					Thread.currentThread().interrupt()__				}_			}_		}_	};close,the,given,jms,message,consumer,and,ignore,any,thrown,exception,this,is,useful,for,typical,code,finally,blocks,in,manual,jms,code,param,consumer,the,jms,message,consumer,to,close,may,be,code,null;public,static,void,close,message,consumer,message,consumer,consumer,if,consumer,null,boolean,was,interrupted,thread,interrupted,try,consumer,close,catch,jmsexception,ex,logger,trace,could,not,close,jms,message,consumer,ex,catch,throwable,ex,logger,trace,unexpected,exception,on,closing,jms,message,consumer,ex,finally,if,was,interrupted,thread,current,thread,interrupt
JmsUtils -> public static void closeMessageProducer(@Nullable MessageProducer producer);1495868221;Close the given JMS MessageProducer and ignore any thrown exception._This is useful for typical {@code finally} blocks in manual JMS code._@param producer the JMS MessageProducer to close (may be {@code null});public static void closeMessageProducer(@Nullable MessageProducer producer) {_		if (producer != null) {_			try {_				producer.close()__			}_			catch (JMSException ex) {_				logger.trace("Could not close JMS MessageProducer", ex)__			}_			catch (Throwable ex) {_				_				logger.trace("Unexpected exception on closing JMS MessageProducer", ex)__			}_		}_	};close,the,given,jms,message,producer,and,ignore,any,thrown,exception,this,is,useful,for,typical,code,finally,blocks,in,manual,jms,code,param,producer,the,jms,message,producer,to,close,may,be,code,null;public,static,void,close,message,producer,nullable,message,producer,producer,if,producer,null,try,producer,close,catch,jmsexception,ex,logger,trace,could,not,close,jms,message,producer,ex,catch,throwable,ex,logger,trace,unexpected,exception,on,closing,jms,message,producer,ex
JmsUtils -> public static void closeMessageProducer(@Nullable MessageProducer producer);1519732288;Close the given JMS MessageProducer and ignore any thrown exception._This is useful for typical {@code finally} blocks in manual JMS code._@param producer the JMS MessageProducer to close (may be {@code null});public static void closeMessageProducer(@Nullable MessageProducer producer) {_		if (producer != null) {_			try {_				producer.close()__			}_			catch (JMSException ex) {_				logger.trace("Could not close JMS MessageProducer", ex)__			}_			catch (Throwable ex) {_				_				logger.trace("Unexpected exception on closing JMS MessageProducer", ex)__			}_		}_	};close,the,given,jms,message,producer,and,ignore,any,thrown,exception,this,is,useful,for,typical,code,finally,blocks,in,manual,jms,code,param,producer,the,jms,message,producer,to,close,may,be,code,null;public,static,void,close,message,producer,nullable,message,producer,producer,if,producer,null,try,producer,close,catch,jmsexception,ex,logger,trace,could,not,close,jms,message,producer,ex,catch,throwable,ex,logger,trace,unexpected,exception,on,closing,jms,message,producer,ex
JmsUtils -> public static void closeMessageConsumer(@Nullable MessageConsumer consumer);1495868221;Close the given JMS MessageConsumer and ignore any thrown exception._This is useful for typical {@code finally} blocks in manual JMS code._@param consumer the JMS MessageConsumer to close (may be {@code null});public static void closeMessageConsumer(@Nullable MessageConsumer consumer) {_		if (consumer != null) {_			_			_			boolean wasInterrupted = Thread.interrupted()__			try {_				consumer.close()__			}_			catch (JMSException ex) {_				logger.trace("Could not close JMS MessageConsumer", ex)__			}_			catch (Throwable ex) {_				_				logger.trace("Unexpected exception on closing JMS MessageConsumer", ex)__			}_			finally {_				if (wasInterrupted) {_					_					Thread.currentThread().interrupt()__				}_			}_		}_	};close,the,given,jms,message,consumer,and,ignore,any,thrown,exception,this,is,useful,for,typical,code,finally,blocks,in,manual,jms,code,param,consumer,the,jms,message,consumer,to,close,may,be,code,null;public,static,void,close,message,consumer,nullable,message,consumer,consumer,if,consumer,null,boolean,was,interrupted,thread,interrupted,try,consumer,close,catch,jmsexception,ex,logger,trace,could,not,close,jms,message,consumer,ex,catch,throwable,ex,logger,trace,unexpected,exception,on,closing,jms,message,consumer,ex,finally,if,was,interrupted,thread,current,thread,interrupt
JmsUtils -> public static void closeMessageConsumer(@Nullable MessageConsumer consumer);1519732288;Close the given JMS MessageConsumer and ignore any thrown exception._This is useful for typical {@code finally} blocks in manual JMS code._@param consumer the JMS MessageConsumer to close (may be {@code null});public static void closeMessageConsumer(@Nullable MessageConsumer consumer) {_		if (consumer != null) {_			_			_			boolean wasInterrupted = Thread.interrupted()__			try {_				consumer.close()__			}_			catch (JMSException ex) {_				logger.trace("Could not close JMS MessageConsumer", ex)__			}_			catch (Throwable ex) {_				_				logger.trace("Unexpected exception on closing JMS MessageConsumer", ex)__			}_			finally {_				if (wasInterrupted) {_					_					Thread.currentThread().interrupt()__				}_			}_		}_	};close,the,given,jms,message,consumer,and,ignore,any,thrown,exception,this,is,useful,for,typical,code,finally,blocks,in,manual,jms,code,param,consumer,the,jms,message,consumer,to,close,may,be,code,null;public,static,void,close,message,consumer,nullable,message,consumer,consumer,if,consumer,null,boolean,was,interrupted,thread,interrupted,try,consumer,close,catch,jmsexception,ex,logger,trace,could,not,close,jms,message,consumer,ex,catch,throwable,ex,logger,trace,unexpected,exception,on,closing,jms,message,consumer,ex,finally,if,was,interrupted,thread,current,thread,interrupt
JmsUtils -> public static void commitIfNecessary(Session session) throws JMSException;1328020251;Commit the Session if not within a JTA transaction._@param session the JMS Session to commit_@throws JMSException if committing failed;public static void commitIfNecessary(Session session) throws JMSException {_		Assert.notNull(session, "Session must not be null")__		try {_			session.commit()__		}_		catch (javax.jms.TransactionInProgressException ex) {_			_		}_		catch (javax.jms.IllegalStateException ex) {_			_		}_	};commit,the,session,if,not,within,a,jta,transaction,param,session,the,jms,session,to,commit,throws,jmsexception,if,committing,failed;public,static,void,commit,if,necessary,session,session,throws,jmsexception,assert,not,null,session,session,must,not,be,null,try,session,commit,catch,javax,jms,transaction,in,progress,exception,ex,catch,javax,jms,illegal,state,exception,ex
JmsUtils -> public static void commitIfNecessary(Session session) throws JMSException;1356735495;Commit the Session if not within a JTA transaction._@param session the JMS Session to commit_@throws JMSException if committing failed;public static void commitIfNecessary(Session session) throws JMSException {_		Assert.notNull(session, "Session must not be null")__		try {_			session.commit()__		}_		catch (javax.jms.TransactionInProgressException ex) {_			_		}_		catch (javax.jms.IllegalStateException ex) {_			_		}_	};commit,the,session,if,not,within,a,jta,transaction,param,session,the,jms,session,to,commit,throws,jmsexception,if,committing,failed;public,static,void,commit,if,necessary,session,session,throws,jmsexception,assert,not,null,session,session,must,not,be,null,try,session,commit,catch,javax,jms,transaction,in,progress,exception,ex,catch,javax,jms,illegal,state,exception,ex
JmsUtils -> public static void commitIfNecessary(Session session) throws JMSException;1495868221;Commit the Session if not within a JTA transaction._@param session the JMS Session to commit_@throws JMSException if committing failed;public static void commitIfNecessary(Session session) throws JMSException {_		Assert.notNull(session, "Session must not be null")__		try {_			session.commit()__		}_		catch (javax.jms.TransactionInProgressException ex) {_			_		}_		catch (javax.jms.IllegalStateException ex) {_			_		}_	};commit,the,session,if,not,within,a,jta,transaction,param,session,the,jms,session,to,commit,throws,jmsexception,if,committing,failed;public,static,void,commit,if,necessary,session,session,throws,jmsexception,assert,not,null,session,session,must,not,be,null,try,session,commit,catch,javax,jms,transaction,in,progress,exception,ex,catch,javax,jms,illegal,state,exception,ex
JmsUtils -> public static void commitIfNecessary(Session session) throws JMSException;1519732288;Commit the Session if not within a JTA transaction._@param session the JMS Session to commit_@throws JMSException if committing failed;public static void commitIfNecessary(Session session) throws JMSException {_		Assert.notNull(session, "Session must not be null")__		try {_			session.commit()__		}_		catch (javax.jms.TransactionInProgressException | javax.jms.IllegalStateException ex) {_			_		}_	};commit,the,session,if,not,within,a,jta,transaction,param,session,the,jms,session,to,commit,throws,jmsexception,if,committing,failed;public,static,void,commit,if,necessary,session,session,throws,jmsexception,assert,not,null,session,session,must,not,be,null,try,session,commit,catch,javax,jms,transaction,in,progress,exception,javax,jms,illegal,state,exception,ex
JmsUtils -> public static void closeSession(Session session);1328020251;Close the given JMS Session and ignore any thrown exception._This is useful for typical <code>finally</code> blocks in manual JMS code._@param session the JMS Session to close (may be <code>null</code>);public static void closeSession(Session session) {_		if (session != null) {_			try {_				session.close()__			}_			catch (JMSException ex) {_				logger.trace("Could not close JMS Session", ex)__			}_			catch (Throwable ex) {_				_				logger.trace("Unexpected exception on closing JMS Session", ex)__			}_		}_	};close,the,given,jms,session,and,ignore,any,thrown,exception,this,is,useful,for,typical,code,finally,code,blocks,in,manual,jms,code,param,session,the,jms,session,to,close,may,be,code,null,code;public,static,void,close,session,session,session,if,session,null,try,session,close,catch,jmsexception,ex,logger,trace,could,not,close,jms,session,ex,catch,throwable,ex,logger,trace,unexpected,exception,on,closing,jms,session,ex
JmsUtils -> public static void closeSession(Session session);1356735495;Close the given JMS Session and ignore any thrown exception._This is useful for typical {@code finally} blocks in manual JMS code._@param session the JMS Session to close (may be {@code null});public static void closeSession(Session session) {_		if (session != null) {_			try {_				session.close()__			}_			catch (JMSException ex) {_				logger.trace("Could not close JMS Session", ex)__			}_			catch (Throwable ex) {_				_				logger.trace("Unexpected exception on closing JMS Session", ex)__			}_		}_	};close,the,given,jms,session,and,ignore,any,thrown,exception,this,is,useful,for,typical,code,finally,blocks,in,manual,jms,code,param,session,the,jms,session,to,close,may,be,code,null;public,static,void,close,session,session,session,if,session,null,try,session,close,catch,jmsexception,ex,logger,trace,could,not,close,jms,session,ex,catch,throwable,ex,logger,trace,unexpected,exception,on,closing,jms,session,ex
JmsUtils -> public static void closeMessageProducer(MessageProducer producer);1328020251;Close the given JMS MessageProducer and ignore any thrown exception._This is useful for typical <code>finally</code> blocks in manual JMS code._@param producer the JMS MessageProducer to close (may be <code>null</code>);public static void closeMessageProducer(MessageProducer producer) {_		if (producer != null) {_			try {_				producer.close()__			}_			catch (JMSException ex) {_				logger.trace("Could not close JMS MessageProducer", ex)__			}_			catch (Throwable ex) {_				_				logger.trace("Unexpected exception on closing JMS MessageProducer", ex)__			}_		}_	};close,the,given,jms,message,producer,and,ignore,any,thrown,exception,this,is,useful,for,typical,code,finally,code,blocks,in,manual,jms,code,param,producer,the,jms,message,producer,to,close,may,be,code,null,code;public,static,void,close,message,producer,message,producer,producer,if,producer,null,try,producer,close,catch,jmsexception,ex,logger,trace,could,not,close,jms,message,producer,ex,catch,throwable,ex,logger,trace,unexpected,exception,on,closing,jms,message,producer,ex
JmsUtils -> public static void closeMessageProducer(MessageProducer producer);1356735495;Close the given JMS MessageProducer and ignore any thrown exception._This is useful for typical {@code finally} blocks in manual JMS code._@param producer the JMS MessageProducer to close (may be {@code null});public static void closeMessageProducer(MessageProducer producer) {_		if (producer != null) {_			try {_				producer.close()__			}_			catch (JMSException ex) {_				logger.trace("Could not close JMS MessageProducer", ex)__			}_			catch (Throwable ex) {_				_				logger.trace("Unexpected exception on closing JMS MessageProducer", ex)__			}_		}_	};close,the,given,jms,message,producer,and,ignore,any,thrown,exception,this,is,useful,for,typical,code,finally,blocks,in,manual,jms,code,param,producer,the,jms,message,producer,to,close,may,be,code,null;public,static,void,close,message,producer,message,producer,producer,if,producer,null,try,producer,close,catch,jmsexception,ex,logger,trace,could,not,close,jms,message,producer,ex,catch,throwable,ex,logger,trace,unexpected,exception,on,closing,jms,message,producer,ex
