# id;timestamp;commentText;codeText;commentWords;codeWords
CurrencyStyleFormatter -> public void setPattern(String pattern);1426272000;Sets the pattern to use to format number values._If not specified, the default DecimalFormat pattern is used._@see java.text.DecimalFormat#applyPattern(String);public void setPattern(String pattern) {_		this.pattern = pattern__	};sets,the,pattern,to,use,to,format,number,values,if,not,specified,the,default,decimal,format,pattern,is,used,see,java,text,decimal,format,apply,pattern,string;public,void,set,pattern,string,pattern,this,pattern,pattern
CurrencyStyleFormatter -> public void setPattern(String pattern);1496837955;Specify the pattern to use to format number values._If not specified, the default DecimalFormat pattern is used._@see java.text.DecimalFormat#applyPattern(String);public void setPattern(String pattern) {_		this.pattern = pattern__	};specify,the,pattern,to,use,to,format,number,values,if,not,specified,the,default,decimal,format,pattern,is,used,see,java,text,decimal,format,apply,pattern,string;public,void,set,pattern,string,pattern,this,pattern,pattern
CurrencyStyleFormatter -> public void setPattern(String pattern);1498780456;Specify the pattern to use to format number values._If not specified, the default DecimalFormat pattern is used._@see java.text.DecimalFormat#applyPattern(String);public void setPattern(String pattern) {_		this.pattern = pattern__	};specify,the,pattern,to,use,to,format,number,values,if,not,specified,the,default,decimal,format,pattern,is,used,see,java,text,decimal,format,apply,pattern,string;public,void,set,pattern,string,pattern,this,pattern,pattern
CurrencyStyleFormatter -> public void setFractionDigits(int fractionDigits);1426272000;Specify the desired number of fraction digits._Default is 2.;public void setFractionDigits(int fractionDigits) {_		this.fractionDigits = fractionDigits__	};specify,the,desired,number,of,fraction,digits,default,is,2;public,void,set,fraction,digits,int,fraction,digits,this,fraction,digits,fraction,digits
CurrencyStyleFormatter -> public void setFractionDigits(int fractionDigits);1496837955;Specify the desired number of fraction digits._Default is 2.;public void setFractionDigits(int fractionDigits) {_		this.fractionDigits = fractionDigits__	};specify,the,desired,number,of,fraction,digits,default,is,2;public,void,set,fraction,digits,int,fraction,digits,this,fraction,digits,fraction,digits
CurrencyStyleFormatter -> public void setFractionDigits(int fractionDigits);1498780456;Specify the desired number of fraction digits._Default is 2.;public void setFractionDigits(int fractionDigits) {_		this.fractionDigits = fractionDigits__	};specify,the,desired,number,of,fraction,digits,default,is,2;public,void,set,fraction,digits,int,fraction,digits,this,fraction,digits,fraction,digits
CurrencyStyleFormatter -> public void setCurrency(Currency currency);1426272000;Specify the currency, if known.;public void setCurrency(Currency currency) {_		this.currency = currency__	};specify,the,currency,if,known;public,void,set,currency,currency,currency,this,currency,currency
CurrencyStyleFormatter -> public void setCurrency(Currency currency);1496837955;Specify the currency, if known.;public void setCurrency(Currency currency) {_		this.currency = currency__	};specify,the,currency,if,known;public,void,set,currency,currency,currency,this,currency,currency
CurrencyStyleFormatter -> public void setCurrency(Currency currency);1498780456;Specify the currency, if known.;public void setCurrency(Currency currency) {_		this.currency = currency__	};specify,the,currency,if,known;public,void,set,currency,currency,currency,this,currency,currency
CurrencyStyleFormatter -> public void setRoundingMode(RoundingMode roundingMode);1426272000;Specify the rounding mode to use for decimal parsing._Default is {@link java.math.RoundingMode#UNNECESSARY}.;public void setRoundingMode(RoundingMode roundingMode) {_		this.roundingMode = roundingMode__	};specify,the,rounding,mode,to,use,for,decimal,parsing,default,is,link,java,math,rounding,mode,unnecessary;public,void,set,rounding,mode,rounding,mode,rounding,mode,this,rounding,mode,rounding,mode
CurrencyStyleFormatter -> public void setRoundingMode(RoundingMode roundingMode);1496837955;Specify the rounding mode to use for decimal parsing._Default is {@link java.math.RoundingMode#UNNECESSARY}.;public void setRoundingMode(RoundingMode roundingMode) {_		this.roundingMode = roundingMode__	};specify,the,rounding,mode,to,use,for,decimal,parsing,default,is,link,java,math,rounding,mode,unnecessary;public,void,set,rounding,mode,rounding,mode,rounding,mode,this,rounding,mode,rounding,mode
CurrencyStyleFormatter -> public void setRoundingMode(RoundingMode roundingMode);1498780456;Specify the rounding mode to use for decimal parsing._Default is {@link java.math.RoundingMode#UNNECESSARY}.;public void setRoundingMode(RoundingMode roundingMode) {_		this.roundingMode = roundingMode__	};specify,the,rounding,mode,to,use,for,decimal,parsing,default,is,link,java,math,rounding,mode,unnecessary;public,void,set,rounding,mode,rounding,mode,rounding,mode,this,rounding,mode,rounding,mode
