commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public UriType getUriType() {     return uriType. }
false;public;0;4;;@Override public EdmEntityContainer getEntityContainer() {     return uriInfo.getEntityContainer(). }
false;public;0;4;;@Override public EdmEntitySet getStartEntitySet() {     return uriInfo.getStartEntitySet(). }
false;public;0;4;;@Override public EdmEntitySet getTargetEntitySet() {     return uriInfo.getTargetEntitySet(). }
false;public;0;4;;@Override public EdmFunctionImport getFunctionImport() {     return uriInfo.getFunctionImport(). }
false;public;0;4;;@Override public EdmType getTargetType() {     return uriInfo.getTargetType(). }
false;public;0;4;;@Override public List<KeyPredicate> getKeyPredicates() {     return uriInfo.getKeyPredicates(). }
false;public;0;4;;@Override public List<KeyPredicate> getTargetKeyPredicates() {     return uriInfo.getTargetKeyPredicates(). }
false;public;0;4;;@Override public List<NavigationSegment> getNavigationSegments() {     return uriInfo.getNavigationSegments(). }
false;public;0;4;;@Override public List<EdmProperty> getPropertyPath() {     return uriInfo.getPropertyPath(). }
false;public;0;4;;@Override public boolean isCount() {     return uriInfo.isCount(). }
false;public;0;4;;@Override public boolean isValue() {     return uriInfo.isValue(). }
false;public;0;4;;@Override public boolean isLinks() {     return uriInfo.isLinks(). }
false;public;0;4;;@Override public String getFormat() {     return uriInfo.getFormat(). }
false;public;0;4;;@Override public FilterExpression getFilter() {     return uriInfo.getFilter(). }
false;public;0;4;;@Override public InlineCount getInlineCount() {     return uriInfo.getInlineCount(). }
false;public;0;4;;@Override public OrderByExpression getOrderBy() {     return uriInfo.getOrderBy(). }
false;public;0;4;;@Override public String getSkipToken() {     return uriInfo.getSkipToken(). }
false;public;0;4;;@Override public Integer getSkip() {     return uriInfo.getSkip(). }
false;public;0;4;;@Override public Integer getTop() {     return uriInfo.getTop(). }
false;public;0;4;;@Override public List<ArrayList<NavigationPropertySegment>> getExpand() {     return uriInfo.getExpand(). }
false;public;0;4;;@Override public List<SelectItem> getSelect() {     return uriInfo.getSelect(). }
false;public;0;4;;@Override public Map<String, EdmLiteral> getFunctionImportParameters() {     return uriInfo.getFunctionImportParameters(). }
false;public;0;4;;@Override public Map<String, String> getCustomQueryOptions() {     return uriInfo.getCustomQueryOptions(). }
