# id;timestamp;commentText;codeText;commentWords;codeWords
AdamicAdar -> Result -> public Result();1464173021;No-args constructor.;public Result() {_			f2 = new FloatValue()__		};no,args,constructor;public,result,f2,new,float,value
AdamicAdar -> Result -> public Result();1466714907;No-args constructor.;public Result() {_			f2 = new FloatValue()__		};no,args,constructor;public,result,f2,new,float,value
AdamicAdar -> Result -> public Result();1469452167;No-args constructor.;public Result() {_			f2 = new FloatValue()__		};no,args,constructor;public,result,f2,new,float,value
AdamicAdar -> Result -> public Result();1472831588;No-args constructor.;public Result() {_			f2 = new FloatValue()__		};no,args,constructor;public,result,f2,new,float,value
AdamicAdar -> Result -> public Result();1477509530;No-args constructor.;public Result() {_			f2 = new FloatValue()__		};no,args,constructor;public,result,f2,new,float,value
AdamicAdar -> Result -> public Result();1487885205;No-args constructor.;public Result() {_			f2 = new FloatValue()__		};no,args,constructor;public,result,f2,new,float,value
AdamicAdar -> Result -> public Result();1488305420;No-args constructor.;public Result() {_			f2 = new FloatValue()__		};no,args,constructor;public,result,f2,new,float,value
AdamicAdar -> Result -> public Result();1492096511;No-args constructor.;public Result() {_			f2 = new FloatValue()__		};no,args,constructor;public,result,f2,new,float,value
AdamicAdar -> Result -> public Result();1495653033;No-args constructor.;public Result() {_			f2 = new FloatValue()__		};no,args,constructor;public,result,f2,new,float,value
AdamicAdar -> public AdamicAdar<K, VV, EV> setMinimumScore(float score);1464173021;Filter out Adamic-Adar scores less than the given minimum.__@param score minimum score_@return this;public AdamicAdar<K, VV, EV> setMinimumScore(float score) {_		Preconditions.checkArgument(score >= 0, "Minimum score must be non-negative")___		this.minimumScore = score___		return this__	};filter,out,adamic,adar,scores,less,than,the,given,minimum,param,score,minimum,score,return,this;public,adamic,adar,k,vv,ev,set,minimum,score,float,score,preconditions,check,argument,score,0,minimum,score,must,be,non,negative,this,minimum,score,score,return,this
AdamicAdar -> public AdamicAdar<K, VV, EV> setMinimumScore(float score);1466714907;Filter out Adamic-Adar scores less than the given minimum.__@param score minimum score_@return this;public AdamicAdar<K, VV, EV> setMinimumScore(float score) {_		Preconditions.checkArgument(score >= 0, "Minimum score must be non-negative")___		this.minimumScore = score___		return this__	};filter,out,adamic,adar,scores,less,than,the,given,minimum,param,score,minimum,score,return,this;public,adamic,adar,k,vv,ev,set,minimum,score,float,score,preconditions,check,argument,score,0,minimum,score,must,be,non,negative,this,minimum,score,score,return,this
