# id;timestamp;commentText;codeText;commentWords;codeWords
QueryableStateClient -> public ExecutionConfig getExecutionConfig();1509037054;Gets the {@link ExecutionConfig}.;public ExecutionConfig getExecutionConfig() {_		return executionConfig__	};gets,the,link,execution,config;public,execution,config,get,execution,config,return,execution,config
QueryableStateClient -> public ExecutionConfig getExecutionConfig();1510911968;Gets the {@link ExecutionConfig}.;public ExecutionConfig getExecutionConfig() {_		return executionConfig__	};gets,the,link,execution,config;public,execution,config,get,execution,config,return,execution,config
QueryableStateClient -> public ExecutionConfig getExecutionConfig();1510928926;Gets the {@link ExecutionConfig}.;public ExecutionConfig getExecutionConfig() {_		return executionConfig__	};gets,the,link,execution,config;public,execution,config,get,execution,config,return,execution,config
QueryableStateClient -> public ExecutionConfig getExecutionConfig();1512567196;Gets the {@link ExecutionConfig}.;public ExecutionConfig getExecutionConfig() {_		return executionConfig__	};gets,the,link,execution,config;public,execution,config,get,execution,config,return,execution,config
QueryableStateClient -> public ExecutionConfig getExecutionConfig();1518635591;Gets the {@link ExecutionConfig}.;public ExecutionConfig getExecutionConfig() {_		return executionConfig__	};gets,the,link,execution,config;public,execution,config,get,execution,config,return,execution,config
QueryableStateClient -> public ExecutionConfig getExecutionConfig();1529325710;Gets the {@link ExecutionConfig}.;public ExecutionConfig getExecutionConfig() {_		return executionConfig__	};gets,the,link,execution,config;public,execution,config,get,execution,config,return,execution,config
QueryableStateClient -> public void shutdown();1509037054;Shuts down the client.;public void shutdown() {_		client.shutdown()__	};shuts,down,the,client;public,void,shutdown,client,shutdown
QueryableStateClient -> public void shutdown();1510911968;Shuts down the client.;public void shutdown() {_		client.shutdown()__	};shuts,down,the,client;public,void,shutdown,client,shutdown
QueryableStateClient -> public void shutdown();1510928926;Shuts down the client.;public void shutdown() {_		client.shutdown()__	};shuts,down,the,client;public,void,shutdown,client,shutdown
QueryableStateClient -> public CompletableFuture<?> shutdownAndHandle();1512567196;Shuts down the client and returns a {@link CompletableFuture} that_will be completed when the shutdown process is completed.__<p>If an exception is thrown for any reason, then the returned future_will be completed exceptionally with that exception.__@return A {@link CompletableFuture} for further handling of the_shutdown result.;public CompletableFuture<?> shutdownAndHandle() {_		return client.shutdown()__	};shuts,down,the,client,and,returns,a,link,completable,future,that,will,be,completed,when,the,shutdown,process,is,completed,p,if,an,exception,is,thrown,for,any,reason,then,the,returned,future,will,be,completed,exceptionally,with,that,exception,return,a,link,completable,future,for,further,handling,of,the,shutdown,result;public,completable,future,shutdown,and,handle,return,client,shutdown
QueryableStateClient -> public CompletableFuture<?> shutdownAndHandle();1518635591;Shuts down the client and returns a {@link CompletableFuture} that_will be completed when the shutdown process is completed.__<p>If an exception is thrown for any reason, then the returned future_will be completed exceptionally with that exception.__@return A {@link CompletableFuture} for further handling of the_shutdown result.;public CompletableFuture<?> shutdownAndHandle() {_		return client.shutdown()__	};shuts,down,the,client,and,returns,a,link,completable,future,that,will,be,completed,when,the,shutdown,process,is,completed,p,if,an,exception,is,thrown,for,any,reason,then,the,returned,future,will,be,completed,exceptionally,with,that,exception,return,a,link,completable,future,for,further,handling,of,the,shutdown,result;public,completable,future,shutdown,and,handle,return,client,shutdown
