# id;timestamp;commentText;codeText;commentWords;codeWords
ResponseStatusException -> @Nullable 	public String getReason();1495868221;The reason explaining the exception (potentially {@code null} or empty).;@Nullable_	public String getReason() {_		return this.reason__	};the,reason,explaining,the,exception,potentially,code,null,or,empty;nullable,public,string,get,reason,return,this,reason
ResponseStatusException -> @Nullable 	public String getReason();1498780456;The reason explaining the exception (potentially {@code null} or empty).;@Nullable_	public String getReason() {_		return this.reason__	};the,reason,explaining,the,exception,potentially,code,null,or,empty;nullable,public,string,get,reason,return,this,reason
ResponseStatusException -> @Nullable 	public String getReason();1502974979;The reason explaining the exception (potentially {@code null} or empty).;@Nullable_	public String getReason() {_		return this.reason__	};the,reason,explaining,the,exception,potentially,code,null,or,empty;nullable,public,string,get,reason,return,this,reason
ResponseStatusException -> @Nullable 	public String getReason();1508162158;The reason explaining the exception (potentially {@code null} or empty).;@Nullable_	public String getReason() {_		return this.reason__	};the,reason,explaining,the,exception,potentially,code,null,or,empty;nullable,public,string,get,reason,return,this,reason
ResponseStatusException -> @Nullable 	public String getReason();1529721864;The reason explaining the exception (potentially {@code null} or empty).;@Nullable_	public String getReason() {_		return this.reason__	};the,reason,explaining,the,exception,potentially,code,null,or,empty;nullable,public,string,get,reason,return,this,reason
ResponseStatusException -> @Nullable 	public String getReason();1530174524;The reason explaining the exception (potentially {@code null} or empty).;@Nullable_	public String getReason() {_		return this.reason__	};the,reason,explaining,the,exception,potentially,code,null,or,empty;nullable,public,string,get,reason,return,this,reason
ResponseStatusException -> public ResponseStatusException(HttpStatus status, @Nullable String reason);1495868221;Constructor with a response status and a reason to add to the exception_message as explanation._@param status the HTTP status (required)_@param reason the associated reason (optional);public ResponseStatusException(HttpStatus status, @Nullable String reason) {_		this(status, reason, null)__	};constructor,with,a,response,status,and,a,reason,to,add,to,the,exception,message,as,explanation,param,status,the,http,status,required,param,reason,the,associated,reason,optional;public,response,status,exception,http,status,status,nullable,string,reason,this,status,reason,null
ResponseStatusException -> public ResponseStatusException(HttpStatus status, @Nullable String reason);1498780456;Constructor with a response status and a reason to add to the exception_message as explanation._@param status the HTTP status (required)_@param reason the associated reason (optional);public ResponseStatusException(HttpStatus status, @Nullable String reason) {_		this(status, reason, null)__	};constructor,with,a,response,status,and,a,reason,to,add,to,the,exception,message,as,explanation,param,status,the,http,status,required,param,reason,the,associated,reason,optional;public,response,status,exception,http,status,status,nullable,string,reason,this,status,reason,null
ResponseStatusException -> public ResponseStatusException(HttpStatus status, @Nullable String reason);1502974979;Constructor with a response status and a reason to add to the exception_message as explanation._@param status the HTTP status (required)_@param reason the associated reason (optional);public ResponseStatusException(HttpStatus status, @Nullable String reason) {_		this(status, reason, null)__	};constructor,with,a,response,status,and,a,reason,to,add,to,the,exception,message,as,explanation,param,status,the,http,status,required,param,reason,the,associated,reason,optional;public,response,status,exception,http,status,status,nullable,string,reason,this,status,reason,null
ResponseStatusException -> public ResponseStatusException(HttpStatus status, @Nullable String reason);1508162158;Constructor with a response status and a reason to add to the exception_message as explanation._@param status the HTTP status (required)_@param reason the associated reason (optional);public ResponseStatusException(HttpStatus status, @Nullable String reason) {_		this(status, reason, null)__	};constructor,with,a,response,status,and,a,reason,to,add,to,the,exception,message,as,explanation,param,status,the,http,status,required,param,reason,the,associated,reason,optional;public,response,status,exception,http,status,status,nullable,string,reason,this,status,reason,null
ResponseStatusException -> public ResponseStatusException(HttpStatus status, @Nullable String reason);1529721864;Constructor with a response status and a reason to add to the exception_message as explanation._@param status the HTTP status (required)_@param reason the associated reason (optional);public ResponseStatusException(HttpStatus status, @Nullable String reason) {_		this(status, reason, null)__	};constructor,with,a,response,status,and,a,reason,to,add,to,the,exception,message,as,explanation,param,status,the,http,status,required,param,reason,the,associated,reason,optional;public,response,status,exception,http,status,status,nullable,string,reason,this,status,reason,null
