# id;timestamp;commentText;codeText;commentWords;codeWords
Location -> public Object getSource();1328020251;Get the actual location within the associated {@link #getResource() resource}_(may be <code>null</code>)._<p>See the {@link Location class level javadoc for this class} for examples_of what the actual type of the returned object may be.;public Object getSource() {_		return this.source__	};get,the,actual,location,within,the,associated,link,get,resource,resource,may,be,code,null,code,p,see,the,link,location,class,level,javadoc,for,this,class,for,examples,of,what,the,actual,type,of,the,returned,object,may,be;public,object,get,source,return,this,source
Location -> public Object getSource();1356735495;Get the actual location within the associated {@link #getResource() resource}_(may be {@code null})._<p>See the {@link Location class level javadoc for this class} for examples_of what the actual type of the returned object may be.;public Object getSource() {_		return this.source__	};get,the,actual,location,within,the,associated,link,get,resource,resource,may,be,code,null,p,see,the,link,location,class,level,javadoc,for,this,class,for,examples,of,what,the,actual,type,of,the,returned,object,may,be;public,object,get,source,return,this,source
Location -> @Nullable 	public Object getSource();1495868221;Get the actual location within the associated {@link #getResource() resource}_(may be {@code null})._<p>See the {@link Location class level javadoc for this class} for examples_of what the actual type of the returned object may be.;@Nullable_	public Object getSource() {_		return this.source__	};get,the,actual,location,within,the,associated,link,get,resource,resource,may,be,code,null,p,see,the,link,location,class,level,javadoc,for,this,class,for,examples,of,what,the,actual,type,of,the,returned,object,may,be;nullable,public,object,get,source,return,this,source
Location -> @Nullable 	public Object getSource();1498780456;Get the actual location within the associated {@link #getResource() resource}_(may be {@code null})._<p>See the {@link Location class level javadoc for this class} for examples_of what the actual type of the returned object may be.;@Nullable_	public Object getSource() {_		return this.source__	};get,the,actual,location,within,the,associated,link,get,resource,resource,may,be,code,null,p,see,the,link,location,class,level,javadoc,for,this,class,for,examples,of,what,the,actual,type,of,the,returned,object,may,be;nullable,public,object,get,source,return,this,source
Location -> public Resource getResource();1328020251;Get the resource with which this location is associated.;public Resource getResource() {_		return this.resource__	};get,the,resource,with,which,this,location,is,associated;public,resource,get,resource,return,this,resource
Location -> public Resource getResource();1356735495;Get the resource with which this location is associated.;public Resource getResource() {_		return this.resource__	};get,the,resource,with,which,this,location,is,associated;public,resource,get,resource,return,this,resource
Location -> public Resource getResource();1495868221;Get the resource with which this location is associated.;public Resource getResource() {_		return this.resource__	};get,the,resource,with,which,this,location,is,associated;public,resource,get,resource,return,this,resource
Location -> public Resource getResource();1498780456;Get the resource with which this location is associated.;public Resource getResource() {_		return this.resource__	};get,the,resource,with,which,this,location,is,associated;public,resource,get,resource,return,this,resource
Location -> public Location(Resource resource, Object source);1328020251;Create a new instance of the {@link Location} class._@param resource the resource with which this location is associated_@param source the actual location within the associated resource_(may be <code>null</code>);public Location(Resource resource, Object source) {_		Assert.notNull(resource, "Resource must not be null")__		this.resource = resource__		this.source = source__	};create,a,new,instance,of,the,link,location,class,param,resource,the,resource,with,which,this,location,is,associated,param,source,the,actual,location,within,the,associated,resource,may,be,code,null,code;public,location,resource,resource,object,source,assert,not,null,resource,resource,must,not,be,null,this,resource,resource,this,source,source
Location -> public Location(Resource resource, Object source);1356735495;Create a new instance of the {@link Location} class._@param resource the resource with which this location is associated_@param source the actual location within the associated resource_(may be {@code null});public Location(Resource resource, Object source) {_		Assert.notNull(resource, "Resource must not be null")__		this.resource = resource__		this.source = source__	};create,a,new,instance,of,the,link,location,class,param,resource,the,resource,with,which,this,location,is,associated,param,source,the,actual,location,within,the,associated,resource,may,be,code,null;public,location,resource,resource,object,source,assert,not,null,resource,resource,must,not,be,null,this,resource,resource,this,source,source
Location -> public Location(Resource resource);1328020251;Create a new instance of the {@link Location} class._@param resource the resource with which this location is associated;public Location(Resource resource) {_		this(resource, null)__	};create,a,new,instance,of,the,link,location,class,param,resource,the,resource,with,which,this,location,is,associated;public,location,resource,resource,this,resource,null
Location -> public Location(Resource resource);1356735495;Create a new instance of the {@link Location} class._@param resource the resource with which this location is associated;public Location(Resource resource) {_		this(resource, null)__	};create,a,new,instance,of,the,link,location,class,param,resource,the,resource,with,which,this,location,is,associated;public,location,resource,resource,this,resource,null
Location -> public Location(Resource resource);1495868221;Create a new instance of the {@link Location} class._@param resource the resource with which this location is associated;public Location(Resource resource) {_		this(resource, null)__	};create,a,new,instance,of,the,link,location,class,param,resource,the,resource,with,which,this,location,is,associated;public,location,resource,resource,this,resource,null
Location -> public Location(Resource resource);1498780456;Create a new instance of the {@link Location} class._@param resource the resource with which this location is associated;public Location(Resource resource) {_		this(resource, null)__	};create,a,new,instance,of,the,link,location,class,param,resource,the,resource,with,which,this,location,is,associated;public,location,resource,resource,this,resource,null
Location -> public Location(Resource resource, @Nullable Object source);1495868221;Create a new instance of the {@link Location} class._@param resource the resource with which this location is associated_@param source the actual location within the associated resource_(may be {@code null});public Location(Resource resource, @Nullable Object source) {_		Assert.notNull(resource, "Resource must not be null")__		this.resource = resource__		this.source = source__	};create,a,new,instance,of,the,link,location,class,param,resource,the,resource,with,which,this,location,is,associated,param,source,the,actual,location,within,the,associated,resource,may,be,code,null;public,location,resource,resource,nullable,object,source,assert,not,null,resource,resource,must,not,be,null,this,resource,resource,this,source,source
Location -> public Location(Resource resource, @Nullable Object source);1498780456;Create a new instance of the {@link Location} class._@param resource the resource with which this location is associated_@param source the actual location within the associated resource_(may be {@code null});public Location(Resource resource, @Nullable Object source) {_		Assert.notNull(resource, "Resource must not be null")__		this.resource = resource__		this.source = source__	};create,a,new,instance,of,the,link,location,class,param,resource,the,resource,with,which,this,location,is,associated,param,source,the,actual,location,within,the,associated,resource,may,be,code,null;public,location,resource,resource,nullable,object,source,assert,not,null,resource,resource,must,not,be,null,this,resource,resource,this,source,source
