# id;timestamp;commentText;codeText;commentWords;codeWords
S3Configuration -> public void setPolicy(String policy);1431086344;The policy for this bucket;public void setPolicy(String policy) {_        this.policy = policy__    };the,policy,for,this,bucket;public,void,set,policy,string,policy,this,policy,policy
S3Configuration -> public void setPolicy(String policy);1436621893;The policy for this bucket;public void setPolicy(String policy) {_        this.policy = policy__    };the,policy,for,this,bucket;public,void,set,policy,string,policy,this,policy,policy
S3Configuration -> public void setPolicy(String policy);1438419536;The policy for this bucket;public void setPolicy(String policy) {_        this.policy = policy__    };the,policy,for,this,bucket;public,void,set,policy,string,policy,this,policy,policy
S3Configuration -> public void setPolicy(String policy);1454731210;*Camel 2.8.4*: The policy for this queue to set in the `com.amazonaws.services.s3.AmazonS3#setBucketPolicy()` method.;public void setPolicy(String policy) {_        this.policy = policy__    };camel,2,8,4,the,policy,for,this,queue,to,set,in,the,com,amazonaws,services,s3,amazon,s3,set,bucket,policy,method;public,void,set,policy,string,policy,this,policy,policy
S3Configuration -> public void setPolicy(String policy);1460636484;*Camel 2.8.4*: The policy for this queue to set in the `com.amazonaws.services.s3.AmazonS3#setBucketPolicy()` method.;public void setPolicy(String policy) {_        this.policy = policy__    };camel,2,8,4,the,policy,for,this,queue,to,set,in,the,com,amazonaws,services,s3,amazon,s3,set,bucket,policy,method;public,void,set,policy,string,policy,this,policy,policy
S3Configuration -> public void setPolicy(String policy);1461827144;*Camel 2.8.4*: The policy for this queue to set in the `com.amazonaws.services.s3.AmazonS3#setBucketPolicy()` method.;public void setPolicy(String policy) {_        this.policy = policy__    };camel,2,8,4,the,policy,for,this,queue,to,set,in,the,com,amazonaws,services,s3,amazon,s3,set,bucket,policy,method;public,void,set,policy,string,policy,this,policy,policy
S3Configuration -> public void setPolicy(String policy);1465906749;*Camel 2.8.4*: The policy for this queue to set in the `com.amazonaws.services.s3.AmazonS3#setBucketPolicy()` method.;public void setPolicy(String policy) {_        this.policy = policy__    };camel,2,8,4,the,policy,for,this,queue,to,set,in,the,com,amazonaws,services,s3,amazon,s3,set,bucket,policy,method;public,void,set,policy,string,policy,this,policy,policy
S3Configuration -> public void setPolicy(String policy);1467715610;*Camel 2.8.4*: The policy for this queue to set in the `com.amazonaws.services.s3.AmazonS3#setBucketPolicy()` method.;public void setPolicy(String policy) {_        this.policy = policy__    };camel,2,8,4,the,policy,for,this,queue,to,set,in,the,com,amazonaws,services,s3,amazon,s3,set,bucket,policy,method;public,void,set,policy,string,policy,this,policy,policy
S3Configuration -> public void setPolicy(String policy);1467715610;*Camel 2.8.4*: The policy for this queue to set in the `com.amazonaws.services.s3.AmazonS3#setBucketPolicy()` method.;public void setPolicy(String policy) {_        this.policy = policy__    };camel,2,8,4,the,policy,for,this,queue,to,set,in,the,com,amazonaws,services,s3,amazon,s3,set,bucket,policy,method;public,void,set,policy,string,policy,this,policy,policy
S3Configuration -> public void setPolicy(String policy);1467715610;*Camel 2.8.4*: The policy for this queue to set in the `com.amazonaws.services.s3.AmazonS3#setBucketPolicy()` method.;public void setPolicy(String policy) {_        this.policy = policy__    };camel,2,8,4,the,policy,for,this,queue,to,set,in,the,com,amazonaws,services,s3,amazon,s3,set,bucket,policy,method;public,void,set,policy,string,policy,this,policy,policy
S3Configuration -> public void setPolicy(String policy);1467715610;*Camel 2.8.4*: The policy for this queue to set in the `com.amazonaws.services.s3.AmazonS3#setBucketPolicy()` method.;public void setPolicy(String policy) {_        this.policy = policy__    };camel,2,8,4,the,policy,for,this,queue,to,set,in,the,com,amazonaws,services,s3,amazon,s3,set,bucket,policy,method;public,void,set,policy,string,policy,this,policy,policy
S3Configuration -> public void setPolicy(String policy);1469527311;*Camel 2.8.4*: The policy for this queue to set in the `com.amazonaws.services.s3.AmazonS3#setBucketPolicy()` method.;public void setPolicy(String policy) {_        this.policy = policy__    };camel,2,8,4,the,policy,for,this,queue,to,set,in,the,com,amazonaws,services,s3,amazon,s3,set,bucket,policy,method;public,void,set,policy,string,policy,this,policy,policy
S3Configuration -> public void setPolicy(String policy);1484914772;*Camel 2.8.4*: The policy for this queue to set in the `com.amazonaws.services.s3.AmazonS3#setBucketPolicy()` method.;public void setPolicy(String policy) {_        this.policy = policy__    };camel,2,8,4,the,policy,for,this,queue,to,set,in,the,com,amazonaws,services,s3,amazon,s3,set,bucket,policy,method;public,void,set,policy,string,policy,this,policy,policy
S3Configuration -> public void setPolicy(String policy);1485520262;*Camel 2.8.4*: The policy for this queue to set in the `com.amazonaws.services.s3.AmazonS3#setBucketPolicy()` method.;public void setPolicy(String policy) {_        this.policy = policy__    };camel,2,8,4,the,policy,for,this,queue,to,set,in,the,com,amazonaws,services,s3,amazon,s3,set,bucket,policy,method;public,void,set,policy,string,policy,this,policy,policy
S3Configuration -> public void setPolicy(String policy);1503494543;*Camel 2.8.4*: The policy for this queue to set in the `com.amazonaws.services.s3.AmazonS3#setBucketPolicy()` method.;public void setPolicy(String policy) {_        this.policy = policy__    };camel,2,8,4,the,policy,for,this,queue,to,set,in,the,com,amazonaws,services,s3,amazon,s3,set,bucket,policy,method;public,void,set,policy,string,policy,this,policy,policy
S3Configuration -> public void setPolicy(String policy);1503555979;*Camel 2.8.4*: The policy for this queue to set in the `com.amazonaws.services.s3.AmazonS3#setBucketPolicy()` method.;public void setPolicy(String policy) {_        this.policy = policy__    };camel,2,8,4,the,policy,for,this,queue,to,set,in,the,com,amazonaws,services,s3,amazon,s3,set,bucket,policy,method;public,void,set,policy,string,policy,this,policy,policy
S3Configuration -> public void setPolicy(String policy);1504006354;*Camel 2.8.4*: The policy for this queue to set in the_`com.amazonaws.services.s3.AmazonS3#setBucketPolicy()` method.;public void setPolicy(String policy) {_        this.policy = policy__    };camel,2,8,4,the,policy,for,this,queue,to,set,in,the,com,amazonaws,services,s3,amazon,s3,set,bucket,policy,method;public,void,set,policy,string,policy,this,policy,policy
