# id;timestamp;commentText;codeText;commentWords;codeWords
Part -> Flux<DataBuffer> getContent()_;1493390543;@return the content of the part as a stream of bytes;Flux<DataBuffer> getContent()_;return,the,content,of,the,part,as,a,stream,of,bytes;flux,data,buffer,get,content
Part -> Flux<DataBuffer> getContent()_;1493676008;Return the part raw content as a stream of DataBuffer's.;Flux<DataBuffer> getContent()_;return,the,part,raw,content,as,a,stream,of,data,buffer,s;flux,data,buffer,get,content
Part -> Flux<DataBuffer> getContent()_;1493815882;Return the part raw content as a stream of DataBuffer's.;Flux<DataBuffer> getContent()_;return,the,part,raw,content,as,a,stream,of,data,buffer,s;flux,data,buffer,get,content
Part -> Flux<DataBuffer> getContent()_;1493865364;Return the part raw content as a stream of DataBuffer's.;Flux<DataBuffer> getContent()_;return,the,part,raw,content,as,a,stream,of,data,buffer,s;flux,data,buffer,get,content
Part -> String getName()_;1493390543;@return the name of the parameter in the multipart form;String getName()_;return,the,name,of,the,parameter,in,the,multipart,form;string,get,name
Part -> String getName()_;1493676008;Return the name of the part in the multipart form._@return the name of the part, never {@code null} or empty;String getName()_;return,the,name,of,the,part,in,the,multipart,form,return,the,name,of,the,part,never,code,null,or,empty;string,get,name
Part -> String getName()_;1493815882;Return the name of the part in the multipart form._@return the name of the part, never {@code null} or empty;String getName()_;return,the,name,of,the,part,in,the,multipart,form,return,the,name,of,the,part,never,code,null,or,empty;string,get,name
Part -> String getName()_;1493865364;Return the name of the part in the multipart form._@return the name of the part, never {@code null} or empty;String getName()_;return,the,name,of,the,part,in,the,multipart,form,return,the,name,of,the,part,never,code,null,or,empty;string,get,name
Part -> Mono<String> getContentAsString()_;1493390543;@return the content of the part as a String using the charset specified in the_{@code Content-Type} header if any, or else using {@code UTF-8} by default.;Mono<String> getContentAsString()_;return,the,content,of,the,part,as,a,string,using,the,charset,specified,in,the,code,content,type,header,if,any,or,else,using,code,utf,8,by,default;mono,string,get,content,as,string
Part -> Mono<String> getContentAsString()_;1493676008;Return the part content converted to a String with the charset from the_{@code Content-Type} header or {@code UTF-8} by default.;Mono<String> getContentAsString()_;return,the,part,content,converted,to,a,string,with,the,charset,from,the,code,content,type,header,or,code,utf,8,by,default;mono,string,get,content,as,string
Part -> Mono<String> getContentAsString()_;1493815882;Return the part content converted to a String with the charset from the_{@code Content-Type} header or {@code UTF-8} by default.;Mono<String> getContentAsString()_;return,the,part,content,converted,to,a,string,with,the,charset,from,the,code,content,type,header,or,code,utf,8,by,default;mono,string,get,content,as,string
