# id;timestamp;commentText;codeText;commentWords;codeWords
MarshallingView -> public MarshallingView(Marshaller marshaller);1328020251;Constructs a new <code>MarshallingView</code> with the given {@link Marshaller} set.;public MarshallingView(Marshaller marshaller) {_		Assert.notNull(marshaller, "'marshaller' must not be null")__		setContentType(DEFAULT_CONTENT_TYPE)__		this.marshaller = marshaller__		setExposePathVariables(false)__	};constructs,a,new,code,marshalling,view,code,with,the,given,link,marshaller,set;public,marshalling,view,marshaller,marshaller,assert,not,null,marshaller,marshaller,must,not,be,null,set,content,type,this,marshaller,marshaller,set,expose,path,variables,false
MarshallingView -> public MarshallingView(Marshaller marshaller);1350941037;Constructs a new <code>MarshallingView</code> with the given {@link Marshaller} set.;public MarshallingView(Marshaller marshaller) {_		Assert.notNull(marshaller, "'marshaller' must not be null")__		setContentType(DEFAULT_CONTENT_TYPE)__		this.marshaller = marshaller__		setExposePathVariables(false)__	};constructs,a,new,code,marshalling,view,code,with,the,given,link,marshaller,set;public,marshalling,view,marshaller,marshaller,assert,not,null,marshaller,marshaller,must,not,be,null,set,content,type,this,marshaller,marshaller,set,expose,path,variables,false
MarshallingView -> public MarshallingView(Marshaller marshaller);1356735495;Constructs a new {@code MarshallingView} with the given {@link Marshaller} set.;public MarshallingView(Marshaller marshaller) {_		Assert.notNull(marshaller, "'marshaller' must not be null")__		setContentType(DEFAULT_CONTENT_TYPE)__		this.marshaller = marshaller__		setExposePathVariables(false)__	};constructs,a,new,code,marshalling,view,with,the,given,link,marshaller,set;public,marshalling,view,marshaller,marshaller,assert,not,null,marshaller,marshaller,must,not,be,null,set,content,type,this,marshaller,marshaller,set,expose,path,variables,false
MarshallingView -> public MarshallingView(Marshaller marshaller);1392158469;Constructs a new {@code MarshallingView} with the given {@link Marshaller} set.;public MarshallingView(Marshaller marshaller) {_		this()__		setMarshaller(marshaller)__	};constructs,a,new,code,marshalling,view,with,the,given,link,marshaller,set;public,marshalling,view,marshaller,marshaller,this,set,marshaller,marshaller
MarshallingView -> public MarshallingView(Marshaller marshaller);1392226536;Constructs a new {@code MarshallingView} with the given {@link Marshaller} set.;public MarshallingView(Marshaller marshaller) {_		this()__		Assert.notNull(marshaller, "Marshaller must not be null")__		this.marshaller = marshaller__	};constructs,a,new,code,marshalling,view,with,the,given,link,marshaller,set;public,marshalling,view,marshaller,marshaller,this,assert,not,null,marshaller,marshaller,must,not,be,null,this,marshaller,marshaller
MarshallingView -> public MarshallingView(Marshaller marshaller);1395698258;Constructs a new {@code MarshallingView} with the given {@link Marshaller} set.;public MarshallingView(Marshaller marshaller) {_		this()__		Assert.notNull(marshaller, "Marshaller must not be null")__		this.marshaller = marshaller__	};constructs,a,new,code,marshalling,view,with,the,given,link,marshaller,set;public,marshalling,view,marshaller,marshaller,this,assert,not,null,marshaller,marshaller,must,not,be,null,this,marshaller,marshaller
MarshallingView -> public MarshallingView(Marshaller marshaller);1396465029;Constructs a new {@code MarshallingView} with the given {@link Marshaller} set.;public MarshallingView(Marshaller marshaller) {_		this()__		Assert.notNull(marshaller, "Marshaller must not be null")__		this.marshaller = marshaller__	};constructs,a,new,code,marshalling,view,with,the,given,link,marshaller,set;public,marshalling,view,marshaller,marshaller,this,assert,not,null,marshaller,marshaller,must,not,be,null,this,marshaller,marshaller
MarshallingView -> public MarshallingView(Marshaller marshaller);1401463654;Constructs a new {@code MarshallingView} with the given {@link Marshaller} set.;public MarshallingView(Marshaller marshaller) {_		this()__		Assert.notNull(marshaller, "Marshaller must not be null")__		this.marshaller = marshaller__	};constructs,a,new,code,marshalling,view,with,the,given,link,marshaller,set;public,marshalling,view,marshaller,marshaller,this,assert,not,null,marshaller,marshaller,must,not,be,null,this,marshaller,marshaller
MarshallingView -> public MarshallingView(Marshaller marshaller);1495868221;Constructs a new {@code MarshallingView} with the given {@link Marshaller} set.;public MarshallingView(Marshaller marshaller) {_		this()__		Assert.notNull(marshaller, "Marshaller must not be null")__		this.marshaller = marshaller__	};constructs,a,new,code,marshalling,view,with,the,given,link,marshaller,set;public,marshalling,view,marshaller,marshaller,this,assert,not,null,marshaller,marshaller,must,not,be,null,this,marshaller,marshaller
MarshallingView -> public MarshallingView(Marshaller marshaller);1498780456;Constructs a new {@code MarshallingView} with the given {@link Marshaller} set.;public MarshallingView(Marshaller marshaller) {_		this()__		Assert.notNull(marshaller, "Marshaller must not be null")__		this.marshaller = marshaller__	};constructs,a,new,code,marshalling,view,with,the,given,link,marshaller,set;public,marshalling,view,marshaller,marshaller,this,assert,not,null,marshaller,marshaller,must,not,be,null,this,marshaller,marshaller
MarshallingView -> public MarshallingView(Marshaller marshaller);1522843494;Constructs a new {@code MarshallingView} with the given {@link Marshaller} set.;public MarshallingView(Marshaller marshaller) {_		this()__		Assert.notNull(marshaller, "Marshaller must not be null")__		this.marshaller = marshaller__	};constructs,a,new,code,marshalling,view,with,the,given,link,marshaller,set;public,marshalling,view,marshaller,marshaller,this,assert,not,null,marshaller,marshaller,must,not,be,null,this,marshaller,marshaller
MarshallingView -> public void setMarshaller(Marshaller marshaller);1328020251;Sets the {@link Marshaller} to be used by this view.;public void setMarshaller(Marshaller marshaller) {_		Assert.notNull(marshaller, "'marshaller' must not be null")__		this.marshaller = marshaller__	};sets,the,link,marshaller,to,be,used,by,this,view;public,void,set,marshaller,marshaller,marshaller,assert,not,null,marshaller,marshaller,must,not,be,null,this,marshaller,marshaller
MarshallingView -> public void setMarshaller(Marshaller marshaller);1350941037;Sets the {@link Marshaller} to be used by this view.;public void setMarshaller(Marshaller marshaller) {_		Assert.notNull(marshaller, "'marshaller' must not be null")__		this.marshaller = marshaller__	};sets,the,link,marshaller,to,be,used,by,this,view;public,void,set,marshaller,marshaller,marshaller,assert,not,null,marshaller,marshaller,must,not,be,null,this,marshaller,marshaller
MarshallingView -> public void setMarshaller(Marshaller marshaller);1356735495;Sets the {@link Marshaller} to be used by this view.;public void setMarshaller(Marshaller marshaller) {_		Assert.notNull(marshaller, "'marshaller' must not be null")__		this.marshaller = marshaller__	};sets,the,link,marshaller,to,be,used,by,this,view;public,void,set,marshaller,marshaller,marshaller,assert,not,null,marshaller,marshaller,must,not,be,null,this,marshaller,marshaller
MarshallingView -> public void setMarshaller(Marshaller marshaller);1392158469;Sets the {@link Marshaller} to be used by this view.;public void setMarshaller(Marshaller marshaller) {_		Assert.notNull(marshaller, "Marshaller must not be null")__		this.marshaller = marshaller__	};sets,the,link,marshaller,to,be,used,by,this,view;public,void,set,marshaller,marshaller,marshaller,assert,not,null,marshaller,marshaller,must,not,be,null,this,marshaller,marshaller
MarshallingView -> public void setMarshaller(Marshaller marshaller);1392226536;Sets the {@link Marshaller} to be used by this view.;public void setMarshaller(Marshaller marshaller) {_		this.marshaller = marshaller__	};sets,the,link,marshaller,to,be,used,by,this,view;public,void,set,marshaller,marshaller,marshaller,this,marshaller,marshaller
MarshallingView -> public void setMarshaller(Marshaller marshaller);1395698258;Sets the {@link Marshaller} to be used by this view.;public void setMarshaller(Marshaller marshaller) {_		this.marshaller = marshaller__	};sets,the,link,marshaller,to,be,used,by,this,view;public,void,set,marshaller,marshaller,marshaller,this,marshaller,marshaller
MarshallingView -> public void setMarshaller(Marshaller marshaller);1396465029;Sets the {@link Marshaller} to be used by this view.;public void setMarshaller(Marshaller marshaller) {_		this.marshaller = marshaller__	};sets,the,link,marshaller,to,be,used,by,this,view;public,void,set,marshaller,marshaller,marshaller,this,marshaller,marshaller
MarshallingView -> public void setMarshaller(Marshaller marshaller);1401463654;Set the {@link Marshaller} to be used by this view.;public void setMarshaller(Marshaller marshaller) {_		this.marshaller = marshaller__	};set,the,link,marshaller,to,be,used,by,this,view;public,void,set,marshaller,marshaller,marshaller,this,marshaller,marshaller
MarshallingView -> public void setMarshaller(Marshaller marshaller);1495868221;Set the {@link Marshaller} to be used by this view.;public void setMarshaller(Marshaller marshaller) {_		this.marshaller = marshaller__	};set,the,link,marshaller,to,be,used,by,this,view;public,void,set,marshaller,marshaller,marshaller,this,marshaller,marshaller
