# id;timestamp;commentText;codeText;commentWords;codeWords
MappingJackson2XmlView -> @Override 	public void setModelKey(String modelKey);1407939778;{@inheritDoc};@Override_	public void setModelKey(String modelKey) {_		this.modelKey = modelKey__	};inherit,doc;override,public,void,set,model,key,string,model,key,this,model,key,model,key
MappingJackson2XmlView -> @Override 	public void setModelKey(String modelKey);1409790625;{@inheritDoc};@Override_	public void setModelKey(String modelKey) {_		this.modelKey = modelKey__	};inherit,doc;override,public,void,set,model,key,string,model,key,this,model,key,model,key
MappingJackson2XmlView -> @Override 	public void setModelKey(String modelKey);1412047095;{@inheritDoc};@Override_	public void setModelKey(String modelKey) {_		this.modelKey = modelKey__	};inherit,doc;override,public,void,set,model,key,string,model,key,this,model,key,model,key
MappingJackson2XmlView -> @Override 	public void setModelKey(String modelKey);1434375869;{@inheritDoc};@Override_	public void setModelKey(String modelKey) {_		this.modelKey = modelKey__	};inherit,doc;override,public,void,set,model,key,string,model,key,this,model,key,model,key
MappingJackson2XmlView -> @Override 	public void setModelKey(String modelKey);1439985855;{@inheritDoc};@Override_	public void setModelKey(String modelKey) {_		this.modelKey = modelKey__	};inherit,doc;override,public,void,set,model,key,string,model,key,this,model,key,model,key
MappingJackson2XmlView -> @Override 	public void setModelKey(String modelKey);1450368890;{@inheritDoc};@Override_	public void setModelKey(String modelKey) {_		this.modelKey = modelKey__	};inherit,doc;override,public,void,set,model,key,string,model,key,this,model,key,model,key
MappingJackson2XmlView -> @Override 	public void setModelKey(String modelKey);1496837955;{@inheritDoc};@Override_	public void setModelKey(String modelKey) {_		this.modelKey = modelKey__	};inherit,doc;override,public,void,set,model,key,string,model,key,this,model,key,model,key
MappingJackson2XmlView -> @Override 	public void setModelKey(String modelKey);1498780456;{@inheritDoc};@Override_	public void setModelKey(String modelKey) {_		this.modelKey = modelKey__	};inherit,doc;override,public,void,set,model,key,string,model,key,this,model,key,model,key
MappingJackson2XmlView -> @Override 	public void setModelKey(String modelKey);1530174524;{@inheritDoc};@Override_	public void setModelKey(String modelKey) {_		this.modelKey = modelKey__	};inherit,doc;override,public,void,set,model,key,string,model,key,this,model,key,model,key
MappingJackson2XmlView -> public MappingJackson2XmlView(XmlMapper xmlMapper);1439985855;Construct a new {@code MappingJackson2XmlView} using the provided {@link XmlMapper}_and setting the content type to {@code application/xml}._@since 4.2.1;public MappingJackson2XmlView(XmlMapper xmlMapper) {_		super(xmlMapper, DEFAULT_CONTENT_TYPE)__	};construct,a,new,code,mapping,jackson2xml,view,using,the,provided,link,xml,mapper,and,setting,the,content,type,to,code,application,xml,since,4,2,1;public,mapping,jackson2xml,view,xml,mapper,xml,mapper,super,xml,mapper
MappingJackson2XmlView -> public MappingJackson2XmlView(XmlMapper xmlMapper);1450368890;Construct a new {@code MappingJackson2XmlView} using the provided {@link XmlMapper}_and setting the content type to {@code application/xml}._@since 4.2.1;public MappingJackson2XmlView(XmlMapper xmlMapper) {_		super(xmlMapper, DEFAULT_CONTENT_TYPE)__	};construct,a,new,code,mapping,jackson2xml,view,using,the,provided,link,xml,mapper,and,setting,the,content,type,to,code,application,xml,since,4,2,1;public,mapping,jackson2xml,view,xml,mapper,xml,mapper,super,xml,mapper
