# id;timestamp;commentText;codeText;commentWords;codeWords
CategorizationAnalyzer -> private static List<TokenFilterFactory> parseTokenFilterFactories(CategorizationAnalyzerConfig config,                                                                       AnalysisRegistry analysisRegistry, Environment environment,                                                                       Tuple<String, TokenizerFactory> tokenizerFactory,                                                                       List<CharFilterFactory> charFilterFactoryList) throws IOException;1531910483;Get token filter factories for each configured token filter.  Each configuration_element can be the name of an out-of-the-box token filter, or a custom definition.;private static List<TokenFilterFactory> parseTokenFilterFactories(CategorizationAnalyzerConfig config,_                                                                      AnalysisRegistry analysisRegistry, Environment environment,_                                                                      Tuple<String, TokenizerFactory> tokenizerFactory,_                                                                      List<CharFilterFactory> charFilterFactoryList) throws IOException {_        List<CategorizationAnalyzerConfig.NameOrDefinition> tokenFilters = config.getTokenFilters()__        final List<TokenFilterFactory> tokenFilterFactoryList = new ArrayList<>()__        for (CategorizationAnalyzerConfig.NameOrDefinition tokenFilter : tokenFilters) {_            TokenFilterFactory tokenFilterFactory__            if (tokenFilter.name != null) {_                AnalysisModule.AnalysisProvider<TokenFilterFactory> tokenFilterFactoryFactory__                tokenFilterFactoryFactory = analysisRegistry.getTokenFilterProvider(tokenFilter.name)__                if (tokenFilterFactoryFactory == null) {_                    throw new IllegalArgumentException("Failed to find global token filter under [" + tokenFilter.name + "]")__                }_                tokenFilterFactory = tokenFilterFactoryFactory.get(environment, tokenFilter.name)__            } else {_                String filterTypeName = tokenFilter.definition.get("type")__                if (filterTypeName == null) {_                    throw new IllegalArgumentException("Missing [type] setting for token filter: " + tokenFilter.definition)__                }_                AnalysisModule.AnalysisProvider<TokenFilterFactory> tokenFilterFactoryFactory =_                    analysisRegistry.getTokenFilterProvider(filterTypeName)__                if (tokenFilterFactoryFactory == null) {_                    throw new IllegalArgumentException("Failed to find global token filter under [" + filterTypeName + "]")__                }_                Settings settings = augmentSettings(tokenFilter.definition)__                _                tokenFilterFactory = tokenFilterFactoryFactory.get(buildDummyIndexSettings(settings), environment, "_anonymous_tokenfilter",_                    settings)__                tokenFilterFactory = CustomAnalyzerProvider.checkAndApplySynonymFilter(tokenFilterFactory, tokenizerFactory.v1(),_                    tokenizerFactory.v2(), tokenFilterFactoryList, charFilterFactoryList, environment)__            }_            if (tokenFilterFactory == null) {_                throw new IllegalArgumentException("Failed to find or create token filter [" + tokenFilter + "]")__            }_            tokenFilterFactoryList.add(tokenFilterFactory)__        }_        return tokenFilterFactoryList__    };get,token,filter,factories,for,each,configured,token,filter,each,configuration,element,can,be,the,name,of,an,out,of,the,box,token,filter,or,a,custom,definition;private,static,list,token,filter,factory,parse,token,filter,factories,categorization,analyzer,config,config,analysis,registry,analysis,registry,environment,environment,tuple,string,tokenizer,factory,tokenizer,factory,list,char,filter,factory,char,filter,factory,list,throws,ioexception,list,categorization,analyzer,config,name,or,definition,token,filters,config,get,token,filters,final,list,token,filter,factory,token,filter,factory,list,new,array,list,for,categorization,analyzer,config,name,or,definition,token,filter,token,filters,token,filter,factory,token,filter,factory,if,token,filter,name,null,analysis,module,analysis,provider,token,filter,factory,token,filter,factory,factory,token,filter,factory,factory,analysis,registry,get,token,filter,provider,token,filter,name,if,token,filter,factory,factory,null,throw,new,illegal,argument,exception,failed,to,find,global,token,filter,under,token,filter,name,token,filter,factory,token,filter,factory,factory,get,environment,token,filter,name,else,string,filter,type,name,token,filter,definition,get,type,if,filter,type,name,null,throw,new,illegal,argument,exception,missing,type,setting,for,token,filter,token,filter,definition,analysis,module,analysis,provider,token,filter,factory,token,filter,factory,factory,analysis,registry,get,token,filter,provider,filter,type,name,if,token,filter,factory,factory,null,throw,new,illegal,argument,exception,failed,to,find,global,token,filter,under,filter,type,name,settings,settings,augment,settings,token,filter,definition,token,filter,factory,token,filter,factory,factory,get,build,dummy,index,settings,settings,environment,settings,token,filter,factory,custom,analyzer,provider,check,and,apply,synonym,filter,token,filter,factory,tokenizer,factory,v1,tokenizer,factory,v2,token,filter,factory,list,char,filter,factory,list,environment,if,token,filter,factory,null,throw,new,illegal,argument,exception,failed,to,find,or,create,token,filter,token,filter,token,filter,factory,list,add,token,filter,factory,return,token,filter,factory,list
CategorizationAnalyzer -> private static List<TokenFilterFactory> parseTokenFilterFactories(CategorizationAnalyzerConfig config,                                                                       AnalysisRegistry analysisRegistry, Environment environment,                                                                       Tuple<String, TokenizerFactory> tokenizerFactory,                                                                       List<CharFilterFactory> charFilterFactoryList) throws IOException;1537371806;Get token filter factories for each configured token filter.  Each configuration_element can be the name of an out-of-the-box token filter, or a custom definition.;private static List<TokenFilterFactory> parseTokenFilterFactories(CategorizationAnalyzerConfig config,_                                                                      AnalysisRegistry analysisRegistry, Environment environment,_                                                                      Tuple<String, TokenizerFactory> tokenizerFactory,_                                                                      List<CharFilterFactory> charFilterFactoryList) throws IOException {_        List<CategorizationAnalyzerConfig.NameOrDefinition> tokenFilters = config.getTokenFilters()__        TransportAnalyzeAction.DeferredTokenFilterRegistry deferredRegistry_            = new TransportAnalyzeAction.DeferredTokenFilterRegistry(analysisRegistry, null)__        final List<TokenFilterFactory> tokenFilterFactoryList = new ArrayList<>()__        for (CategorizationAnalyzerConfig.NameOrDefinition tokenFilter : tokenFilters) {_            TokenFilterFactory tokenFilterFactory__            if (tokenFilter.name != null) {_                AnalysisModule.AnalysisProvider<TokenFilterFactory> tokenFilterFactoryFactory__                tokenFilterFactoryFactory = analysisRegistry.getTokenFilterProvider(tokenFilter.name)__                if (tokenFilterFactoryFactory == null) {_                    throw new IllegalArgumentException("Failed to find global token filter under [" + tokenFilter.name + "]")__                }_                tokenFilterFactory = tokenFilterFactoryFactory.get(environment, tokenFilter.name)__            } else {_                String filterTypeName = tokenFilter.definition.get("type")__                if (filterTypeName == null) {_                    throw new IllegalArgumentException("Missing [type] setting for token filter: " + tokenFilter.definition)__                }_                AnalysisModule.AnalysisProvider<TokenFilterFactory> tokenFilterFactoryFactory =_                    analysisRegistry.getTokenFilterProvider(filterTypeName)__                if (tokenFilterFactoryFactory == null) {_                    throw new IllegalArgumentException("Failed to find global token filter under [" + filterTypeName + "]")__                }_                Settings settings = augmentSettings(tokenFilter.definition)__                _                tokenFilterFactory = tokenFilterFactoryFactory.get(buildDummyIndexSettings(settings), environment, "_anonymous_tokenfilter",_                    settings)__                tokenFilterFactory = tokenFilterFactory.getChainAwareTokenFilterFactory(tokenizerFactory.v2(),_                    charFilterFactoryList, tokenFilterFactoryList, deferredRegistry)__            }_            if (tokenFilterFactory == null) {_                throw new IllegalArgumentException("Failed to find or create token filter [" + tokenFilter + "]")__            }_            tokenFilterFactoryList.add(tokenFilterFactory)__        }_        return tokenFilterFactoryList__    };get,token,filter,factories,for,each,configured,token,filter,each,configuration,element,can,be,the,name,of,an,out,of,the,box,token,filter,or,a,custom,definition;private,static,list,token,filter,factory,parse,token,filter,factories,categorization,analyzer,config,config,analysis,registry,analysis,registry,environment,environment,tuple,string,tokenizer,factory,tokenizer,factory,list,char,filter,factory,char,filter,factory,list,throws,ioexception,list,categorization,analyzer,config,name,or,definition,token,filters,config,get,token,filters,transport,analyze,action,deferred,token,filter,registry,deferred,registry,new,transport,analyze,action,deferred,token,filter,registry,analysis,registry,null,final,list,token,filter,factory,token,filter,factory,list,new,array,list,for,categorization,analyzer,config,name,or,definition,token,filter,token,filters,token,filter,factory,token,filter,factory,if,token,filter,name,null,analysis,module,analysis,provider,token,filter,factory,token,filter,factory,factory,token,filter,factory,factory,analysis,registry,get,token,filter,provider,token,filter,name,if,token,filter,factory,factory,null,throw,new,illegal,argument,exception,failed,to,find,global,token,filter,under,token,filter,name,token,filter,factory,token,filter,factory,factory,get,environment,token,filter,name,else,string,filter,type,name,token,filter,definition,get,type,if,filter,type,name,null,throw,new,illegal,argument,exception,missing,type,setting,for,token,filter,token,filter,definition,analysis,module,analysis,provider,token,filter,factory,token,filter,factory,factory,analysis,registry,get,token,filter,provider,filter,type,name,if,token,filter,factory,factory,null,throw,new,illegal,argument,exception,failed,to,find,global,token,filter,under,filter,type,name,settings,settings,augment,settings,token,filter,definition,token,filter,factory,token,filter,factory,factory,get,build,dummy,index,settings,settings,environment,settings,token,filter,factory,token,filter,factory,get,chain,aware,token,filter,factory,tokenizer,factory,v2,char,filter,factory,list,token,filter,factory,list,deferred,registry,if,token,filter,factory,null,throw,new,illegal,argument,exception,failed,to,find,or,create,token,filter,token,filter,token,filter,factory,list,add,token,filter,factory,return,token,filter,factory,list
CategorizationAnalyzer -> private static Settings augmentSettings(Settings settings);1531910483;The behaviour of Elasticsearch analyzers can vary between versions._For categorization we'll always use the latest version of the text analysis._The other settings are just to stop classes that expect to be associated with_an index from complaining.;private static Settings augmentSettings(Settings settings) {_        return Settings.builder().put(settings)_            .put(IndexMetaData.SETTING_VERSION_CREATED, Version.CURRENT)_            .put(IndexMetaData.SETTING_NUMBER_OF_REPLICAS, 0)_            .put(IndexMetaData.SETTING_NUMBER_OF_SHARDS, 1)_            .put(IndexMetaData.SETTING_INDEX_UUID, UUIDs.randomBase64UUID())_            .build()__    };the,behaviour,of,elasticsearch,analyzers,can,vary,between,versions,for,categorization,we,ll,always,use,the,latest,version,of,the,text,analysis,the,other,settings,are,just,to,stop,classes,that,expect,to,be,associated,with,an,index,from,complaining;private,static,settings,augment,settings,settings,settings,return,settings,builder,put,settings,put,index,meta,data,version,current,put,index,meta,data,0,put,index,meta,data,1,put,index,meta,data,uuids,random,base64uuid,build
CategorizationAnalyzer -> private static Settings augmentSettings(Settings settings);1537371806;The behaviour of Elasticsearch analyzers can vary between versions._For categorization we'll always use the latest version of the text analysis._The other settings are just to stop classes that expect to be associated with_an index from complaining.;private static Settings augmentSettings(Settings settings) {_        return Settings.builder().put(settings)_            .put(IndexMetaData.SETTING_VERSION_CREATED, Version.CURRENT)_            .put(IndexMetaData.SETTING_NUMBER_OF_REPLICAS, 0)_            .put(IndexMetaData.SETTING_NUMBER_OF_SHARDS, 1)_            .put(IndexMetaData.SETTING_INDEX_UUID, UUIDs.randomBase64UUID())_            .build()__    };the,behaviour,of,elasticsearch,analyzers,can,vary,between,versions,for,categorization,we,ll,always,use,the,latest,version,of,the,text,analysis,the,other,settings,are,just,to,stop,classes,that,expect,to,be,associated,with,an,index,from,complaining;private,static,settings,augment,settings,settings,settings,return,settings,builder,put,settings,put,index,meta,data,version,current,put,index,meta,data,0,put,index,meta,data,1,put,index,meta,data,uuids,random,base64uuid,build
CategorizationAnalyzer -> public List<String> tokenizeField(String fieldName, String fieldValue);1524684173;Given a field value, convert it to a list of tokens using the configured analyzer.;public List<String> tokenizeField(String fieldName, String fieldValue) {_        List<String> tokens = new ArrayList<>()__        try (TokenStream stream = analyzer.tokenStream(fieldName, fieldValue)) {_            stream.reset()__            CharTermAttribute term = stream.addAttribute(CharTermAttribute.class)__            while (stream.incrementToken()) {_                String token = term.toString()__                _                if (token.isEmpty() == false) {_                    tokens.add(term.toString())__                }_            }_            stream.end()__        } catch (IOException e) {_            throw new ElasticsearchException("Failed to analyze value [" + fieldValue + "] of field [" + fieldName + "]", e)__        }_        return tokens__    };given,a,field,value,convert,it,to,a,list,of,tokens,using,the,configured,analyzer;public,list,string,tokenize,field,string,field,name,string,field,value,list,string,tokens,new,array,list,try,token,stream,stream,analyzer,token,stream,field,name,field,value,stream,reset,char,term,attribute,term,stream,add,attribute,char,term,attribute,class,while,stream,increment,token,string,token,term,to,string,if,token,is,empty,false,tokens,add,term,to,string,stream,end,catch,ioexception,e,throw,new,elasticsearch,exception,failed,to,analyze,value,field,value,of,field,field,name,e,return,tokens
CategorizationAnalyzer -> public List<String> tokenizeField(String fieldName, String fieldValue);1531910483;Given a field value, convert it to a list of tokens using the configured analyzer.;public List<String> tokenizeField(String fieldName, String fieldValue) {_        List<String> tokens = new ArrayList<>()__        try (TokenStream stream = analyzer.tokenStream(fieldName, fieldValue)) {_            stream.reset()__            CharTermAttribute term = stream.addAttribute(CharTermAttribute.class)__            while (stream.incrementToken()) {_                String token = term.toString()__                _                if (token.isEmpty() == false) {_                    tokens.add(term.toString())__                }_            }_            stream.end()__        } catch (IOException e) {_            throw new ElasticsearchException("Failed to analyze value [" + fieldValue + "] of field [" + fieldName + "]", e)__        }_        return tokens__    };given,a,field,value,convert,it,to,a,list,of,tokens,using,the,configured,analyzer;public,list,string,tokenize,field,string,field,name,string,field,value,list,string,tokens,new,array,list,try,token,stream,stream,analyzer,token,stream,field,name,field,value,stream,reset,char,term,attribute,term,stream,add,attribute,char,term,attribute,class,while,stream,increment,token,string,token,term,to,string,if,token,is,empty,false,tokens,add,term,to,string,stream,end,catch,ioexception,e,throw,new,elasticsearch,exception,failed,to,analyze,value,field,value,of,field,field,name,e,return,tokens
CategorizationAnalyzer -> public List<String> tokenizeField(String fieldName, String fieldValue);1537371806;Given a field value, convert it to a list of tokens using the configured analyzer.;public List<String> tokenizeField(String fieldName, String fieldValue) {_        List<String> tokens = new ArrayList<>()__        try (TokenStream stream = analyzer.tokenStream(fieldName, fieldValue)) {_            stream.reset()__            CharTermAttribute term = stream.addAttribute(CharTermAttribute.class)__            while (stream.incrementToken()) {_                String token = term.toString()__                _                if (token.isEmpty() == false) {_                    tokens.add(term.toString())__                }_            }_            stream.end()__        } catch (IOException e) {_            throw new ElasticsearchException("Failed to analyze value [" + fieldValue + "] of field [" + fieldName + "]", e)__        }_        return tokens__    };given,a,field,value,convert,it,to,a,list,of,tokens,using,the,configured,analyzer;public,list,string,tokenize,field,string,field,name,string,field,value,list,string,tokens,new,array,list,try,token,stream,stream,analyzer,token,stream,field,name,field,value,stream,reset,char,term,attribute,term,stream,add,attribute,char,term,attribute,class,while,stream,increment,token,string,token,term,to,string,if,token,is,empty,false,tokens,add,term,to,string,stream,end,catch,ioexception,e,throw,new,elasticsearch,exception,failed,to,analyze,value,field,value,of,field,field,name,e,return,tokens
CategorizationAnalyzer -> @Override     public void close();1524684173;Release resources held by the analyzer (unless it's global).;@Override_    public void close() {_        if (closeAnalyzer) {_            analyzer.close()__        }_    };release,resources,held,by,the,analyzer,unless,it,s,global;override,public,void,close,if,close,analyzer,analyzer,close
CategorizationAnalyzer -> @Override     public void close();1531910483;Release resources held by the analyzer (unless it's global).;@Override_    public void close() {_        if (closeAnalyzer) {_            analyzer.close()__        }_    };release,resources,held,by,the,analyzer,unless,it,s,global;override,public,void,close,if,close,analyzer,analyzer,close
CategorizationAnalyzer -> @Override     public void close();1537371806;Release resources held by the analyzer (unless it's global).;@Override_    public void close() {_        if (closeAnalyzer) {_            analyzer.close()__        }_    };release,resources,held,by,the,analyzer,unless,it,s,global;override,public,void,close,if,close,analyzer,analyzer,close
CategorizationAnalyzer -> private static List<CharFilterFactory> parseCharFilterFactories(CategorizationAnalyzerConfig config, AnalysisRegistry analysisRegistry,                                                                     Environment environment) throws IOException;1531910483;Get char filter factories for each configured char filter.  Each configuration_element can be the name of an out-of-the-box char filter, or a custom definition.;private static List<CharFilterFactory> parseCharFilterFactories(CategorizationAnalyzerConfig config, AnalysisRegistry analysisRegistry,_                                                                    Environment environment) throws IOException {_        List<CategorizationAnalyzerConfig.NameOrDefinition> charFilters = config.getCharFilters()__        final List<CharFilterFactory> charFilterFactoryList = new ArrayList<>()__        for (CategorizationAnalyzerConfig.NameOrDefinition charFilter : charFilters) {_            final CharFilterFactory charFilterFactory__            if (charFilter.name != null) {_                AnalysisModule.AnalysisProvider<CharFilterFactory> charFilterFactoryFactory =_                    analysisRegistry.getCharFilterProvider(charFilter.name)__                if (charFilterFactoryFactory == null) {_                    throw new IllegalArgumentException("Failed to find global char filter under [" + charFilter.name + "]")__                }_                charFilterFactory = charFilterFactoryFactory.get(environment, charFilter.name)__            } else {_                String charFilterTypeName = charFilter.definition.get("type")__                if (charFilterTypeName == null) {_                    throw new IllegalArgumentException("Missing [type] setting for char filter: " + charFilter.definition)__                }_                AnalysisModule.AnalysisProvider<CharFilterFactory> charFilterFactoryFactory =_                    analysisRegistry.getCharFilterProvider(charFilterTypeName)__                if (charFilterFactoryFactory == null) {_                    throw new IllegalArgumentException("Failed to find global char filter under [" + charFilterTypeName + "]")__                }_                Settings settings = augmentSettings(charFilter.definition)__                _                charFilterFactory = charFilterFactoryFactory.get(buildDummyIndexSettings(settings), environment, "_anonymous_charfilter",_                    settings)__            }_            if (charFilterFactory == null) {_                throw new IllegalArgumentException("Failed to find char filter [" + charFilter + "]")__            }_            charFilterFactoryList.add(charFilterFactory)__        }_        return charFilterFactoryList__    };get,char,filter,factories,for,each,configured,char,filter,each,configuration,element,can,be,the,name,of,an,out,of,the,box,char,filter,or,a,custom,definition;private,static,list,char,filter,factory,parse,char,filter,factories,categorization,analyzer,config,config,analysis,registry,analysis,registry,environment,environment,throws,ioexception,list,categorization,analyzer,config,name,or,definition,char,filters,config,get,char,filters,final,list,char,filter,factory,char,filter,factory,list,new,array,list,for,categorization,analyzer,config,name,or,definition,char,filter,char,filters,final,char,filter,factory,char,filter,factory,if,char,filter,name,null,analysis,module,analysis,provider,char,filter,factory,char,filter,factory,factory,analysis,registry,get,char,filter,provider,char,filter,name,if,char,filter,factory,factory,null,throw,new,illegal,argument,exception,failed,to,find,global,char,filter,under,char,filter,name,char,filter,factory,char,filter,factory,factory,get,environment,char,filter,name,else,string,char,filter,type,name,char,filter,definition,get,type,if,char,filter,type,name,null,throw,new,illegal,argument,exception,missing,type,setting,for,char,filter,char,filter,definition,analysis,module,analysis,provider,char,filter,factory,char,filter,factory,factory,analysis,registry,get,char,filter,provider,char,filter,type,name,if,char,filter,factory,factory,null,throw,new,illegal,argument,exception,failed,to,find,global,char,filter,under,char,filter,type,name,settings,settings,augment,settings,char,filter,definition,char,filter,factory,char,filter,factory,factory,get,build,dummy,index,settings,settings,environment,settings,if,char,filter,factory,null,throw,new,illegal,argument,exception,failed,to,find,char,filter,char,filter,char,filter,factory,list,add,char,filter,factory,return,char,filter,factory,list
