commented;modifiers;parameterAmount;loc;comment;code
false;public;0;4;;@Override public KeyManagersParametersFactoryBean getKeyManagers() {     return keyManagers. }
false;public;1;3;;public void setKeyManagers(KeyManagersParametersFactoryBean keyManagers) {     this.keyManagers = keyManagers. }
false;public;0;4;;@Override public TrustManagersParametersFactoryBean getTrustManagers() {     return trustManagers. }
false;public;1;3;;public void setTrustManagers(TrustManagersParametersFactoryBean trustManagers) {     this.trustManagers = trustManagers. }
false;public;0;4;;@Override public SecureRandomParametersFactoryBean getSecureRandom() {     return secureRandom. }
false;public;1;3;;public void setSecureRandom(SecureRandomParametersFactoryBean secureRandom) {     this.secureRandom = secureRandom. }
false;public;0;4;;@Override public SSLContextClientParametersFactoryBean getClientParameters() {     return clientParameters. }
false;public;1;3;;public void setClientParameters(SSLContextClientParametersFactoryBean clientParameters) {     this.clientParameters = clientParameters. }
false;public;0;4;;@Override public SSLContextServerParametersFactoryBean getServerParameters() {     return serverParameters. }
false;public;1;3;;public void setServerParameters(SSLContextServerParametersFactoryBean serverParameters) {     this.serverParameters = serverParameters. }
false;public;1;3;;public void setBlueprintContainer(BlueprintContainer blueprintContainer) {     this.blueprintContainer = blueprintContainer. }
false;protected;1;7;;@Override protected CamelContext getCamelContextWithId(String camelContextId) {     if (blueprintContainer != null) {         return (CamelContext) blueprintContainer.getComponentInstance(camelContextId).     }     return null. }
false;protected;0;11;;@Override protected CamelContext discoverDefaultCamelContext() {     if (blueprintContainer != null) {         Set<String> ids = BlueprintCamelContextLookupHelper.lookupBlueprintCamelContext(blueprintContainer).         if (ids.size() == 1) {             // there is only 1 id for a BlueprintCamelContext so fallback and use this             return getCamelContextWithId(ids.iterator().next()).         }     }     return null. }
