# id;timestamp;commentText;codeText;commentWords;codeWords
FlatMapIterator -> public abstract Iterator<OUT> flatMap(IN value) throws Exception_;1405024514;The core method of the function. Takes an element from the input data set and transforms_it into zero, one, or more elements.__@param value The input value._@return An iterator over the returned elements.__@throws Exception This method may throw exceptions. Throwing an exception will cause the operation_to fail and may trigger recovery.;public abstract Iterator<OUT> flatMap(IN value) throws Exception_;the,core,method,of,the,function,takes,an,element,from,the,input,data,set,and,transforms,it,into,zero,one,or,more,elements,param,value,the,input,value,return,an,iterator,over,the,returned,elements,throws,exception,this,method,may,throw,exceptions,throwing,an,exception,will,cause,the,operation,to,fail,and,may,trigger,recovery;public,abstract,iterator,out,flat,map,in,value,throws,exception
FlatMapIterator -> public abstract Iterator<OUT> flatMap(IN value) throws Exception_;1405090423;The core method of the function. Takes an element from the input data set and transforms_it into zero, one, or more elements.__@param value The input value._@return An iterator over the returned elements.__@throws Exception This method may throw exceptions. Throwing an exception will cause the operation_to fail and may trigger recovery.;public abstract Iterator<OUT> flatMap(IN value) throws Exception_;the,core,method,of,the,function,takes,an,element,from,the,input,data,set,and,transforms,it,into,zero,one,or,more,elements,param,value,the,input,value,return,an,iterator,over,the,returned,elements,throws,exception,this,method,may,throw,exceptions,throwing,an,exception,will,cause,the,operation,to,fail,and,may,trigger,recovery;public,abstract,iterator,out,flat,map,in,value,throws,exception
FlatMapIterator -> public abstract Iterator<OUT> flatMap(IN value) throws Exception_;1406821655;The core method of the function. Takes an element from the input data set and transforms_it into zero, one, or more elements.__@param value The input value._@return An iterator over the returned elements.__@throws Exception This method may throw exceptions. Throwing an exception will cause the operation_to fail and may trigger recovery.;public abstract Iterator<OUT> flatMap(IN value) throws Exception_;the,core,method,of,the,function,takes,an,element,from,the,input,data,set,and,transforms,it,into,zero,one,or,more,elements,param,value,the,input,value,return,an,iterator,over,the,returned,elements,throws,exception,this,method,may,throw,exceptions,throwing,an,exception,will,cause,the,operation,to,fail,and,may,trigger,recovery;public,abstract,iterator,out,flat,map,in,value,throws,exception
FlatMapIterator -> public abstract Iterator<OUT> flatMap(IN value) throws Exception_;1406830680;The core method of the function. Takes an element from the input data set and transforms_it into zero, one, or more elements.__@param value The input value._@return An iterator over the returned elements.__@throws Exception This method may throw exceptions. Throwing an exception will cause the operation_to fail and may trigger recovery.;public abstract Iterator<OUT> flatMap(IN value) throws Exception_;the,core,method,of,the,function,takes,an,element,from,the,input,data,set,and,transforms,it,into,zero,one,or,more,elements,param,value,the,input,value,return,an,iterator,over,the,returned,elements,throws,exception,this,method,may,throw,exceptions,throwing,an,exception,will,cause,the,operation,to,fail,and,may,trigger,recovery;public,abstract,iterator,out,flat,map,in,value,throws,exception
FlatMapIterator -> public abstract Iterator<OUT> flatMap(IN value) throws Exception_;1411372797;The core method of the function. Takes an element from the input data set and transforms_it into zero, one, or more elements.__@param value The input value._@return An iterator over the returned elements.__@throws Exception This method may throw exceptions. Throwing an exception will cause the operation_to fail and may trigger recovery.;public abstract Iterator<OUT> flatMap(IN value) throws Exception_;the,core,method,of,the,function,takes,an,element,from,the,input,data,set,and,transforms,it,into,zero,one,or,more,elements,param,value,the,input,value,return,an,iterator,over,the,returned,elements,throws,exception,this,method,may,throw,exceptions,throwing,an,exception,will,cause,the,operation,to,fail,and,may,trigger,recovery;public,abstract,iterator,out,flat,map,in,value,throws,exception
FlatMapIterator -> public abstract Iterator<OUT> flatMap(IN value) throws Exception_;1411473593;The core method of the function. Takes an element from the input data set and transforms_it into zero, one, or more elements.__@param value The input value._@return An iterator over the returned elements.__@throws Exception This method may throw exceptions. Throwing an exception will cause the operation_to fail and may trigger recovery.;public abstract Iterator<OUT> flatMap(IN value) throws Exception_;the,core,method,of,the,function,takes,an,element,from,the,input,data,set,and,transforms,it,into,zero,one,or,more,elements,param,value,the,input,value,return,an,iterator,over,the,returned,elements,throws,exception,this,method,may,throw,exceptions,throwing,an,exception,will,cause,the,operation,to,fail,and,may,trigger,recovery;public,abstract,iterator,out,flat,map,in,value,throws,exception
FlatMapIterator -> public abstract Iterator<OUT> flatMap(IN value) throws Exception_;1455477986;The core method of the function. Takes an element from the input data set and transforms_it into zero, one, or more elements.__@param value The input value._@return An iterator over the returned elements.__@throws Exception This method may throw exceptions. Throwing an exception will cause the operation_to fail and may trigger recovery.;public abstract Iterator<OUT> flatMap(IN value) throws Exception_;the,core,method,of,the,function,takes,an,element,from,the,input,data,set,and,transforms,it,into,zero,one,or,more,elements,param,value,the,input,value,return,an,iterator,over,the,returned,elements,throws,exception,this,method,may,throw,exceptions,throwing,an,exception,will,cause,the,operation,to,fail,and,may,trigger,recovery;public,abstract,iterator,out,flat,map,in,value,throws,exception
FlatMapIterator -> public abstract Iterator<OUT> flatMap(IN value) throws Exception_;1500387300;The core method of the function. Takes an element from the input data set and transforms_it into zero, one, or more elements.__@param value The input value._@return An iterator over the returned elements.__@throws Exception This method may throw exceptions. Throwing an exception will cause the operation_to fail and may trigger recovery.;public abstract Iterator<OUT> flatMap(IN value) throws Exception_;the,core,method,of,the,function,takes,an,element,from,the,input,data,set,and,transforms,it,into,zero,one,or,more,elements,param,value,the,input,value,return,an,iterator,over,the,returned,elements,throws,exception,this,method,may,throw,exceptions,throwing,an,exception,will,cause,the,operation,to,fail,and,may,trigger,recovery;public,abstract,iterator,out,flat,map,in,value,throws,exception
FlatMapIterator -> @Override 	public final void flatMap(IN value, Collector<OUT> out) throws Exception;1405024514;Delegates calls to the {@link #flatMap(Object)} method.;@Override_	public final void flatMap(IN value, Collector<OUT> out) throws Exception {_		for (Iterator<OUT> iter = flatMap(value)_ iter.hasNext()_ ) {_			out.collect(iter.next())__		}_	};delegates,calls,to,the,link,flat,map,object,method;override,public,final,void,flat,map,in,value,collector,out,out,throws,exception,for,iterator,out,iter,flat,map,value,iter,has,next,out,collect,iter,next
FlatMapIterator -> @Override 	public final void flatMap(IN value, Collector<OUT> out) throws Exception;1405090423;Delegates calls to the {@link #flatMap(Object)} method.;@Override_	public final void flatMap(IN value, Collector<OUT> out) throws Exception {_		for (Iterator<OUT> iter = flatMap(value)_ iter.hasNext()_ ) {_			out.collect(iter.next())__		}_	};delegates,calls,to,the,link,flat,map,object,method;override,public,final,void,flat,map,in,value,collector,out,out,throws,exception,for,iterator,out,iter,flat,map,value,iter,has,next,out,collect,iter,next
FlatMapIterator -> @Override 	public final void flatMap(IN value, Collector<OUT> out) throws Exception;1406821655;Delegates calls to the {@link #flatMap(Object)} method.;@Override_	public final void flatMap(IN value, Collector<OUT> out) throws Exception {_		for (Iterator<OUT> iter = flatMap(value)_ iter.hasNext()_ ) {_			out.collect(iter.next())__		}_	};delegates,calls,to,the,link,flat,map,object,method;override,public,final,void,flat,map,in,value,collector,out,out,throws,exception,for,iterator,out,iter,flat,map,value,iter,has,next,out,collect,iter,next
